source,version,generation_slot,completion_slot,delay,completed
38,1,0,66,66,True
46,1,0,66,66,True
5,1,1,25,24,True
0,1,2,71,69,True
22,1,2,40,38,True
25,1,2,66,64,True
29,1,2,66,64,True
37,1,2,66,64,True
36,1,3,122,119,True
41,1,3,49,46,True
14,1,4,40,36,True
15,1,4,40,36,True
16,1,4,40,36,True
17,1,4,71,67,True
24,1,4,40,36,True
47,1,4,66,62,True
0,2,5,71,66,True
20,1,5,40,35,True
22,2,5,40,35,True
41,2,5,49,44,True
11,1,6,71,65,True
19,1,6,40,34,True
0,3,7,71,64,True
19,2,7,40,33,True
23,1,7,112,105,True
33,1,7,49,42,True
17,2,8,71,63,True
22,3,8,40,32,True
28,1,8,66,58,True
48,1,8,66,58,True
17,3,9,71,62,True
22,4,9,40,31,True
30,1,9,122,113,True
49,1,9,66,57,True
40,1,11,66,55,True
3,1,12,71,59,True
6,1,12,40,28,True
10,1,12,87,75,True
21,1,12,71,59,True
8,1,14,49,35,True
38,2,14,122,108,True
49,2,15,66,51,True
6,2,16,71,55,True
40,2,16,66,50,True
42,1,16,66,50,True
49,3,16,66,50,True
18,1,17,71,54,True
19,3,17,71,54,True
35,1,17,66,49,True
21,2,18,87,69,True
25,2,18,66,48,True
18,2,19,71,52,True
38,3,20,122,102,True
49,4,20,66,46,True
26,1,21,49,28,True
27,1,21,66,45,True
5,2,22,49,27,True
19,4,22,87,65,True
40,3,22,66,44,True
48,2,22,122,100,True
8,2,23,71,48,True
28,2,24,122,98,True
31,1,24,122,98,True
28,3,25,122,97,True
48,3,25,122,97,True
4,1,26,112,86,True
17,4,26,112,86,True
24,2,26,71,45,True
26,2,26,71,45,True
38,4,26,122,96,True
1,1,27,87,60,True
7,1,27,87,60,True
9,1,27,87,60,True
16,2,27,87,60,True
22,5,27,87,60,True
24,3,27,71,44,True
46,2,27,122,95,True
3,2,28,87,59,True
13,1,28,87,59,True
42,2,28,122,94,True
3,3,29,87,58,True
