source,version,generation_slot,completion_slot,delay,completed
32,1,0,89,89,True
43,1,0,28,28,True
46,1,0,88,88,True
54,1,1,52,51,True
69,1,1,88,87,True
75,1,1,28,27,True
76,1,1,52,51,True
25,1,2,89,87,True
14,1,3,89,86,True
39,1,3,89,86,True
42,1,4,52,48,True
26,1,5,52,47,True
37,1,5,89,84,True
8,1,6,89,83,True
79,1,6,88,82,True
33,1,7,89,82,True
67,1,7,52,45,True
20,1,8,89,81,True
45,1,8,52,44,True
64,1,8,88,80,True
70,1,8,88,80,True
11,1,9,89,80,True
20,2,9,89,80,True
29,1,9,52,43,True
13,1,10,89,79,True
49,1,10,89,79,True
56,1,10,88,78,True
1,1,11,89,78,True
3,1,11,89,78,True
9,1,11,89,78,True
15,1,11,89,78,True
57,1,11,88,77,True
69,2,11,88,77,True
73,1,11,88,77,True
65,1,12,88,76,True
69,3,12,88,76,True
5,1,13,89,76,True
28,1,13,89,76,True
44,1,13,88,75,True
59,1,13,52,39,True
5,2,14,89,75,True
6,1,14,89,75,True
14,2,14,89,75,True
18,1,14,89,75,True
74,1,14,52,38,True
14,3,15,89,74,True
27,1,15,89,74,True
39,2,15,89,74,True
45,2,15,52,37,True
63,1,15,88,73,True
70,2,15,88,73,True
73,2,15,88,73,True
15,2,16,89,73,True
23,1,16,89,73,True
30,1,16,89,73,True
32,2,16,89,73,True
40,1,16,88,72,True
48,1,16,88,72,True
1,2,17,89,72,True
20,3,17,89,72,True
32,3,17,89,72,True
35,1,17,89,72,True
53,1,17,88,71,True
69,4,17,88,71,True
5,3,18,89,71,True
17,1,18,89,71,True
52,1,18,88,70,True
56,2,18,88,70,True
64,2,18,136,118,True
72,1,18,59,41,True
17,2,19,89,70,True
24,1,19,89,70,True
29,2,19,89,70,True
19,1,20,89,69,True
64,3,20,136,116,True
24,2,21,89,68,True
50,1,21,89,68,True
60,1,21,88,67,True
73,3,21,88,67,True
9,2,22,89,67,True
14,4,22,89,67,True
48,2,22,88,66,True
6,2,23,89,66,True
33,2,23,89,66,True
50,2,23,89,66,True
66,1,23,88,65,True
22,1,24,89,65,True
63,2,24,89,65,True
67,2,24,88,64,True
9,3,25,89,64,True
3,2,26,89,63,True
50,3,26,89,63,True
23,2,27,89,62,True
27,2,27,89,62,True
55,1,27,88,61,True
73,4,27,88,61,True
37,2,28,167,139,True
46,2,28,88,60,True
71,1,28,88,60,True
15,3,29,89,60,True
44,2,29,88,59,True
