slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,1.5199367088607596,6.0,4.0,5.0,5.1044303797468356,42.070727848101264,10,33,9,56,82,2.11,5.0,2.03,6.0
51,1.5609177215189873,7.0,4.0,6.0,5.534810126582278,42.784335443037975,5,25,5,82,136,2.16,5.0,2.105,7.0
52,1.639240506329114,7.0,5.0,6.0,5.674050632911392,43.29256329113924,8,39,7,145,216,2.285,6.0,2.188125,7.0
53,1.6583860759493672,7.0,5.0,6.0,5.670886075949367,44.20047468354431,5,30,5,23,37,2.285,6.0,2.238125,7.0
54,1.6550632911392404,7.0,5.0,6.0,5.670886075949367,44.817879746835445,16,55,15,102,179,2.285,6.0,2.288125,7.0
55,1.672626582278481,7.0,5.0,6.0,5.670886075949367,45.33275316455696,13,47,11,121,205,2.31,6.0,2.363125,7.0
56,1.7289556962025316,7.0,5.0,6.0,5.6645569620253164,46.24731012658228,11,31,9,31,39,2.335,6.0,2.463125,7.0
57,1.6870253164556963,7.0,5.0,6.0,5.75,46.08164556962026,7,45,7,303,581,2.12,6.0,2.5225,7.0
58,1.725,7.0,5.0,6.0,5.734177215189874,46.74446202531646,13,45,13,81,155,2.12,6.0,2.6475,7.0
59,1.6846518987341772,7.0,5.0,7.0,5.9113924050632916,46.691930379746836,5,32,5,245,492,1.985,6.0,2.6975,7.0
60,1.7227848101265824,7.0,5.0,7.0,5.867088607594937,47.367721518987345,19,50,15,68,154,2.035,6.0,2.7725,7.0
61,1.745253164556962,7.0,5.0,7.0,5.848101265822785,48.108227848101265,5,38,5,48,95,2.085,6.0,2.7975,7.0
62,1.7746835443037974,8.0,5.0,7.0,5.9905063291139244,48.92674050632911,13,38,12,39,51,2.11,6.0,2.8475,8.0
63,1.8200949367088608,8.0,5.0,7.0,5.962025316455696,49.43370253164557,9,45,8,102,187,2.21,6.0,2.825,8.0
64,1.8943037974683545,8.0,5.0,7.0,5.930379746835443,49.73860759493671,16,46,11,136,242,2.36,6.0,2.8,8.0
65,1.9011075949367089,8.0,5.0,7.0,5.930379746835443,50.123892405063295,10,53,10,128,194,2.41,6.0,2.825,8.0
66,1.9161392405063291,8.0,5.0,7.0,6.044303797468355,50.869620253164555,14,56,11,57,63,2.435,6.0,2.849375,8.0
67,1.9219936708860759,8.0,5.0,7.0,6.031645569620253,51.569462025316454,10,41,10,70,121,2.445,6.0,2.849375,8.0
68,1.9498417721518988,8.0,5.0,7.0,6.031645569620253,52.39256329113924,10,56,10,40,61,2.47,6.0,2.899375,8.0
69,1.9900316455696203,8.0,5.0,7.0,6.031645569620253,53.158069620253166,12,46,12,43,62,2.52,6.0,2.949375,8.0
70,1.9481012658227848,8.0,5.0,7.0,6.044303797468355,52.6378164556962,8,48,8,306,581,2.49,7.0,2.849375,8.0
71,1.9838607594936708,8.0,5.0,7.0,6.205696202531645,53.10838607594937,10,40,10,100,169,2.54,7.0,2.874375,8.0
72,2.0197784810126582,8.0,5.0,7.0,6.281645569620253,53.5998417721519,13,42,11,92,168,2.545,7.0,2.924375,8.0
73,1.9775316455696204,8.0,5.0,7.0,6.3575949367088604,53.5879746835443,7,45,7,189,346,2.545,7.0,2.849375,8.0
74,1.9433544303797468,9.0,5.0,7.0,6.3575949367088604,53.6129746835443,14,35,12,190,374,2.505,7.0,2.799375,9.0
75,1.8411392405063292,9.0,5.0,7.0,6.170886075949367,52.567246835443036,14,46,12,387,804,2.465,7.0,2.499375,9.0
76,1.9270569620253164,9.0,5.0,7.0,6.284810126582278,53.06392405063291,16,46,15,93,168,2.55,7.0,2.599375,9.0
77,1.9156645569620254,9.0,5.0,7.0,6.405063291139241,53.17579113924051,12,46,10,185,388,2.48,7.0,2.599375,9.0
78,1.9322784810126583,9.0,5.0,7.0,6.401898734177215,54.051582278481014,8,30,7,24,53,2.53,7.0,2.599375,9.0
79,1.967879746835443,9.0,5.0,7.0,6.3955696202531644,54.783386075949366,15,38,12,63,91,2.57875,7.0,2.64875,9.0
80,1.9137658227848102,9.0,5.0,7.0,6.189873417721519,54.14604430379747,12,42,10,313,658,2.6025,7.0,2.42375,9.0
81,1.9346518987341772,9.0,5.0,7.0,6.243670886075949,54.86392405063291,5,29,5,56,105,2.6525,8.0,2.44875,9.0
82,1.8837025316455696,9.0,5.0,7.0,6.1044303797468356,54.66613924050633,14,49,12,243,480,2.5975,8.0,2.37375,9.0
83,1.8632911392405063,9.0,5.0,7.0,6.025316455696203,54.64129746835443,9,47,8,211,445,2.4875,8.0,2.42375,9.0
84,1.8911392405063292,9.0,5.0,7.0,6.0886075949367084,55.31772151898734,17,40,14,76,140,2.5225,8.0,2.44875,9.0
85,1.825,9.0,5.0,6.0,5.9113924050632916,54.75189873417722,13,43,12,328,655,2.3225,8.0,2.47375,9.0
86,1.8294303797468354,9.0,5.0,6.0,5.829113924050633,55.00806962025317,15,45,12,154,288,2.3075,8.0,2.49875,9.0
87,1.7655063291139241,9.0,5.0,6.0,5.484177215189874,53.670411392405065,12,50,12,417,878,2.4075,8.0,2.148125,9.0
88,1.7501582278481012,8.0,4.0,6.0,5.291139240506329,52.892721518987344,14,47,12,343,650,2.3225,8.0,2.198125,6.0
89,1.7004746835443039,6.0,4.0,5.0,5.0094936708860756,52.32104430379747,13,53,12,291,551,2.21625,5.0,2.245,6.0
90,1.7221518987341773,6.0,4.0,5.0,4.993670886075949,52.75585443037975,17,52,16,119,179,2.22125,5.0,2.294375,6.0
91,1.7126582278481013,6.0,4.0,5.0,4.9715189873417724,52.65996835443038,8,47,8,182,297,2.21375,5.0,2.344375,6.0
92,1.6944620253164557,6.0,4.0,5.0,4.94620253164557,52.93623417721519,15,58,13,137,194,2.205,5.0,2.344375,6.0
93,1.6890822784810127,6.0,4.0,5.0,4.943037974683544,53.004113924050635,10,42,10,159,271,2.24375,5.0,2.368125,6.0
94,1.7462025316455696,6.0,4.0,5.0,5.063291139240507,53.90363924050633,15,43,15,25,34,2.3075,5.0,2.418125,6.0
95,1.7729430379746836,6.0,4.0,6.0,5.227848101265823,54.74113924050633,12,48,12,39,68,2.3825,6.0,2.4175,6.0
96,1.7865506329113925,6.0,4.0,6.0,5.212025316455696,55.21028481012658,21,44,16,85,151,2.4325,6.0,2.44,6.0
97,1.797626582278481,6.0,4.0,6.0,5.430379746835443,55.65253164556962,5,24,5,91,167,2.4575,6.0,2.4875,6.0
98,1.813132911392405,6.0,4.0,6.0,5.4145569620253164,56.266455696202534,11,43,10,83,139,2.49625,6.0,2.511875,6.0
99,1.8526898734177215,6.0,5.0,6.0,5.6234177215189876,56.336708860759494,9,46,9,168,303,2.564375,6.0,2.61125,6.0
100,1.8634493670886076,6.0,5.0,6.0,5.613924050632911,57.090981012658226,12,44,10,58,90,2.578125,6.0,2.63625,6.0
101,1.813132911392405,6.0,5.0,6.0,5.5886075949367084,55.91898734177215,13,44,12,319,634,2.341875,6.0,2.7,6.0
102,1.8278481012658228,6.0,5.0,6.0,5.743670886075949,56.44367088607595,12,45,12,99,144,2.391875,6.0,2.724375,6.0
103,1.826740506329114,7.0,5.0,6.0,5.958860759493671,56.87262658227848,6,36,6,109,165,2.3775,6.0,2.748125,7.0
104,1.8227848101265822,7.0,5.0,6.0,5.9905063291139244,56.98148734177215,8,48,8,206,341,2.4075,6.0,2.773125,7.0
105,1.855379746835443,7.0,5.0,6.0,5.968354430379747,57.69145569620253,12,48,11,73,110,2.4825,6.0,2.798125,7.0
106,1.9063291139240506,7.0,5.0,7.0,6.2974683544303796,58.45443037974684,19,45,15,55,73,2.5575,7.0,2.848125,7.0
107,1.8514240506329114,7.0,5.0,7.0,6.2025316455696204,58.35427215189873,8,50,8,189,347,2.47875,7.0,2.848125,7.0
108,1.9036392405063292,7.0,5.0,7.0,6.1835443037974684,58.93370253164557,13,42,12,83,144,2.5,7.0,2.9475,7.0
109,1.8947784810126582,7.0,5.0,7.0,6.30379746835443,59.4742088607595,13,47,11,103,135,2.46625,7.0,2.9725,7.0
110,1.8759493670886076,7.0,5.0,7.0,6.237341772151899,59.35395569620253,14,46,12,204,356,2.419375,7.0,2.96375,7.0
111,1.8848101265822785,8.0,5.0,7.0,6.379746835443038,60.078006329113926,16,53,14,67,102,2.444375,7.0,2.98875,8.0
112,1.954746835443038,8.0,5.0,7.0,6.503164556962025,60.685443037974686,14,58,14,80,111,2.494375,7.0,3.111875,8.0
113,1.9393987341772152,8.0,5.0,7.0,6.4715189873417724,60.6003164556962,11,52,9,189,334,2.518125,7.0,3.0075,8.0
114,1.9954113924050634,9.0,6.0,7.0,6.715189873417722,60.992721518987345,22,37,16,133,199,2.564375,7.0,3.105625,9.0
115,1.9960443037974684,9.0,6.0,7.0,6.715189873417722,61.509335443037976,10,38,9,94,154,2.58875,7.0,3.13,9.0
116,1.9944620253164558,9.0,6.0,7.0,6.699367088607595,61.96313291139241,21,46,18,109,168,2.5775,7.0,3.136875,9.0
117,2.0164556962025317,9.0,6.0,7.0,6.699367088607595,62.21344936708861,11,45,11,183,256,2.586875,7.0,3.186875,9.0
118,2.043037974683544,9.0,6.0,7.0,6.80379746835443,61.06028481012658,9,39,9,395,701,2.760625,7.0,3.01875,9.0
119,2.0318037974683545,9.0,6.0,7.0,6.8924050632911396,61.72262658227848,14,49,13,91,150,2.77625,7.0,3.01875,9.0
120,2.007278481012658,10.0,6.0,7.0,6.8955696202531644,61.24003164556962,10,51,10,261,471,2.82625,7.0,2.853125,10.0
121,1.9724683544303798,10.0,5.0,7.0,6.85126582278481,60.5373417721519,5,40,5,293,536,2.845,7.0,2.6625,10.0
122,1.9617088607594937,10.0,5.0,7.0,6.848101265822785,61.045411392405065,16,42,15,93,147,2.85875,7.0,2.65125,10.0
123,1.982753164556962,10.0,5.0,7.0,6.8765822784810124,60.6751582278481,12,46,11,244,420,2.933125,8.0,2.599375,10.0
124,2.0102848101265822,10.0,5.0,7.0,6.8955696202531644,61.39746835443038,13,44,10,49,63,2.958125,8.0,2.649375,10.0
125,1.9545886075949368,10.0,5.0,7.0,6.731012658227848,60.6001582278481,9,42,8,310,589,2.9525,8.0,2.506875,10.0
126,1.910759493670886,10.0,5.0,7.0,6.6075949367088604,59.87879746835443,14,49,13,324,514,3.0025,8.0,2.3575,10.0
127,1.9145569620253164,10.0,5.0,7.0,6.727848101265823,60.251740506329114,12,56,11,151,213,3.025625,8.0,2.34,10.0
