node_i,node_j,curvature
0,11,-0.3125
0,15,0.0
0,20,0.0357142857142857
0,21,0.20000000000000018
0,25,0.15000000000000013
0,33,0.15000000000000002
0,34,0.4375
0,38,0.2451923076923077
1,3,0.4285714285714286
1,14,0.2666666666666667
1,24,0.2666666666666666
1,35,0.37142857142857133
1,36,-0.23636363636363633
2,7,0.2777777777777778
2,16,0.3749999999999999
2,17,0.33333333333333326
2,28,0.2727272727272727
2,31,0.26249999999999996
3,14,0.23809523809523825
3,20,-0.3571428571428572
3,24,0.23809523809523825
3,27,-0.028571428571428692
3,35,0.3571428571428572
3,36,-0.20779220779220764
4,5,0.3535353535353536
4,6,0.3402777777777779
4,9,0.2727272727272727
4,15,0.31944444444444453
4,20,0.28968253968253954
4,22,0.3535353535353535
4,35,-0.20634920634920606
4,36,0.3030303030303031
4,37,0.3944444444444444
5,6,0.40909090909090895
5,9,0.4545454545454546
5,15,0.4772727272727273
5,20,0.3181818181818181
5,22,0.5454545454545454
5,25,0.2727272727272726
5,33,0.2727272727272726
5,36,0.2272727272727273
5,37,0.48636363636363655
5,38,0.09440559440559437
6,9,0.40909090909090917
6,15,0.3749999999999999
6,22,0.40909090909090906
6,25,0.21666666666666679
6,33,0.21666666666666679
6,37,0.44999999999999996
7,13,0.26388888888888906
7,16,0.3750000000000001
7,17,0.4444444444444444
7,18,0.33333333333333326
7,19,0.37222222222222223
7,23,0.33333333333333337
7,28,0.4545454545454545
7,32,0.3333333333333336
8,11,-0.15972222222222232
8,12,0.3125000000000002
8,13,0.3680555555555558
8,18,0.38888888888888884
8,19,0.3388888888888889
8,23,0.38888888888888906
8,28,0.22727272727272751
8,31,0.06249999999999978
8,32,0.38888888888888906
9,15,0.40909090909090917
9,20,0.2402597402597404
9,22,0.4545454545454546
9,25,0.3060606060606059
9,29,-0.006493506493506551
9,33,0.30606060606060603
9,37,0.3954545454545457
9,38,0.18531468531468542
10,21,0.2499999999999999
10,25,0.04583333333333339
