source,version,generation_slot,completion_slot,delay,completed
32,1,0,75,75,True
43,1,0,64,64,True
46,1,0,85,85,True
54,1,1,72,71,True
69,1,1,64,63,True
75,1,1,64,63,True
76,1,1,75,74,True
25,1,2,75,73,True
14,1,3,75,72,True
39,1,3,75,72,True
42,1,4,64,60,True
26,1,5,64,59,True
37,1,5,75,70,True
8,1,6,75,69,True
79,1,6,72,66,True
33,1,7,75,68,True
67,1,7,64,57,True
20,1,8,75,67,True
45,1,8,64,56,True
64,1,8,64,56,True
70,1,8,72,64,True
11,1,9,75,66,True
20,2,9,75,66,True
29,1,9,75,66,True
13,1,10,75,65,True
49,1,10,85,75,True
56,1,10,64,54,True
1,1,11,75,64,True
3,1,11,75,64,True
9,1,11,75,64,True
15,1,11,75,64,True
57,1,11,64,53,True
69,2,11,85,74,True
73,1,11,85,74,True
65,1,12,64,52,True
69,3,12,85,73,True
5,1,13,75,62,True
28,1,13,75,62,True
44,1,13,72,59,True
59,1,13,64,51,True
5,2,14,75,61,True
6,1,14,75,61,True
14,2,14,87,73,True
18,1,14,75,61,True
74,1,14,64,50,True
14,3,15,87,72,True
27,1,15,87,72,True
39,2,15,75,60,True
45,2,15,75,60,True
63,1,15,85,70,True
70,2,15,72,57,True
73,2,15,85,70,True
15,2,16,75,59,True
23,1,16,75,59,True
30,1,16,87,71,True
32,2,16,75,59,True
40,1,16,85,69,True
48,1,16,72,56,True
1,2,17,87,70,True
20,3,17,75,58,True
32,3,17,75,58,True
35,1,17,87,70,True
53,1,17,64,47,True
69,4,17,85,68,True
5,3,18,75,57,True
17,1,18,156,138,True
52,1,18,85,67,True
56,2,18,85,67,True
64,2,18,85,67,True
72,1,18,64,46,True
17,2,19,156,137,True
24,1,19,87,68,True
29,2,19,75,56,True
19,1,20,156,136,True
64,3,20,85,65,True
24,2,21,87,66,True
50,1,21,166,145,True
60,1,21,113,92,True
73,3,21,85,64,True
9,2,22,113,91,True
14,4,22,87,65,True
48,2,22,72,50,True
6,2,23,156,133,True
33,2,23,75,52,True
50,2,23,166,143,True
66,1,23,72,49,True
22,1,24,87,63,True
63,2,24,85,61,True
67,2,24,133,109,True
9,3,25,113,88,True
3,2,26,87,61,True
50,3,26,166,140,True
23,2,27,156,129,True
27,2,27,87,60,True
55,1,27,85,58,True
73,4,27,113,86,True
37,2,28,113,85,True
46,2,28,113,85,True
71,1,28,85,57,True
15,3,29,113,84,True
44,2,29,85,56,True
46,3,29,113,84,True
54,2,29,85,56,True
45,3,30,75,45,True
50,4,30,166,136,True
54,3,30,85,55,True
5,4,31,113,82,True
44,3,31,85,54,True
20,4,32,87,55,True
52,2,32,85,53,True
57,2,32,85,53,True
65,2,32,85,53,True
73,5,32,113,81,True
13,2,33,156,123,True
18,2,33,156,123,True
41,1,33,166,133,True
47,1,33,85,52,True
63,3,33,85,52,True
1,3,34,113,79,True
4,1,34,113,79,True
34,1,34,156,122,True
35,2,34,87,53,True
39,3,34,156,122,True
54,4,34,85,51,True
55,2,34,113,79,True
7,1,35,156,121,True
10,1,35,75,40,True
46,4,35,113,78,True
73,6,35,113,78,True
8,2,36,156,120,True
39,4,36,156,120,True
41,2,36,166,130,True
62,1,36,113,77,True
41,3,37,166,129,True
51,1,37,166,129,True
52,3,37,113,76,True
69,5,37,113,76,True
76,2,37,166,129,True
33,3,38,87,49,True
52,4,38,113,75,True
57,3,38,85,47,True
67,3,38,133,95,True
20,5,39,156,117,True
22,2,39,113,74,True
29,3,40,87,47,True
51,2,40,166,126,True
2,1,41,156,115,True
12,1,41,156,115,True
24,3,41,156,115,True
25,2,41,113,72,True
62,2,41,113,72,True
75,2,41,85,44,True
45,4,42,85,43,True
50,5,42,166,124,True
56,3,42,133,91,True
66,2,42,85,43,True
2,2,43,156,113,True
4,2,43,156,113,True
42,2,44,113,69,True
15,4,45,113,68,True
33,4,45,87,42,True
39,5,45,156,111,True
47,2,45,166,121,True
6,3,46,156,110,True
26,2,46,87,41,True
27,3,46,156,110,True
60,2,46,166,120,True
14,5,47,156,109,True
29,4,47,87,40,True
34,2,47,156,109,True
76,3,47,166,119,True
29,5,48,87,39,True
49,2,48,166,118,True
63,4,48,166,118,True
25,3,49,113,64,True
47,3,49,166,117,True
68,1,49,85,36,True
1,4,50,113,63,True
37,3,50,156,106,True
64,4,50,113,63,True
7,2,51,156,105,True
11,2,51,156,105,True
50,6,51,166,115,True
70,3,51,85,34,True
73,7,51,166,115,True
7,3,52,156,104,True
15,5,52,156,104,True
20,6,52,156,104,True
28,2,52,156,104,True
35,3,52,113,61,True
58,1,52,113,61,True
59,2,52,85,33,True
65,3,52,85,33,True
72,2,52,87,35,True
56,4,53,133,80,True
57,4,53,133,80,True
61,1,54,166,112,True
76,4,54,166,112,True
13,3,55,156,101,True
43,2,55,85,30,True
59,3,55,85,30,True
75,3,55,113,58,True
29,6,56,113,57,True
49,3,56,166,110,True
62,3,56,133,77,True
68,2,56,85,29,True
74,2,56,87,31,True
29,7,57,113,56,True
41,4,57,166,109,True
49,4,57,166,109,True
59,4,57,85,28,True
42,3,58,166,108,True
44,4,58,113,55,True
51,3,58,166,108,True
66,3,58,103,45,True
78,1,58,166,108,True
11,3,59,156,97,True
46,5,59,166,107,True
50,7,59,166,107,True
0,1,60,156,96,True
25,4,60,113,53,True
52,5,60,113,53,True
57,5,60,133,73,True
68,3,60,133,73,True
8,3,61,156,95,True
10,2,61,113,52,True
64,5,61,166,105,True
18,3,62,156,94,True
54,5,62,113,51,True
73,8,62,166,104,True
8,4,63,156,93,True
10,3,63,113,50,True
23,3,63,156,93,True
28,3,63,156,93,True
49,5,63,166,103,True
63,5,63,166,103,True
