node_i,node_j,curvature
0,2,0.16666666666666674
0,3,1.1102230246251565e-16
0,9,-0.16666666666666652
0,15,-0.08333333333333348
0,19,-0.19444444444444442
0,21,0.16666666666666674
1,9,0.2499999999999999
1,12,-0.13333333333333353
1,16,0.33333333333333337
2,15,0.16666666666666674
2,21,0.6666666666666666
3,9,0.375
3,16,0.375
3,19,0.1250000000000001
4,6,0.22222222222222232
4,7,0.11111111111111094
4,8,0.11111111111111116
4,14,0.12222222222222223
4,18,0.18253968253968278
4,22,0.11111111111111094
4,23,-0.2222222222222221
4,24,0.11111111111111094
4,42,-0.2847222222222219
5,7,0.2222222222222222
5,12,0.18333333333333313
5,18,0.2857142857142858
6,7,0.4444444444444444
6,8,-0.11111111111111094
6,12,0.24444444444444424
6,14,0.3222222222222223
6,18,0.3015873015873016
6,20,0.20138888888888884
6,22,0.2777777777777777
6,24,0.2777777777777777
7,12,0.35
7,14,0.36111111111111116
7,18,0.3015873015873016
7,20,0.20138888888888884
7,22,0.33333333333333326
7,24,0.33333333333333326
8,18,-0.08333333333333348
8,23,0.08333333333333326
8,35,-0.016666666666666607
8,42,-0.04166666666666674
9,16,0.375
9,19,0.2222222222222221
9,20,-0.16666666666666652
10,11,0.0
10,13,0.1875
10,15,0.0
10,17,0.375
11,13,-0.125
11,17,0.16666666666666663
11,27,0.330357142857143
11,30,0.22916666666666663
11,38,0.1428571428571429
11,40,0.10416666666666663
11,47,0.375
12,14,0.2999999999999998
12,18,0.17142857142857149
12,19,0.011111111111111294
12,20,0.33750000000000013
12,22,0.25555555555555576
12,24,0.25555555555555576
13,14,-0.32499999999999996
13,15,-0.16666666666666674
13,17,0.1250000000000001
13,22,-0.29166666666666696
13,24,-0.29166666666666696
13,27,-0.14285714285714257
14,18,0.12857142857142856
14,19,-0.03888888888888875
14,20,0.2625000000000002
14,22,0.47777777777777786
14,24,0.47777777777777786
15,17,-0.16666666666666674
15,21,0.16666666666666674
16,19,0.125
17,27,0.09523809523809512
17,47,0.0
19,20,0.11111111111111116
19,22,-2.220446049250313e-16
19,24,0.0
20,22,0.3055555555555556
20,24,0.3055555555555556
22,24,0.5555555555555556
23,34,-0.06666666666666643
23,35,0.46666666666666656
23,42,0.22916666666666663
23,46,0.25
25,29,-0.09523809523809512
25,32,0.29166666666666674
25,34,-0.3500000000000001
25,37,0.25
25,44,0.46666666666666656
25,49,0.16666666666666674
26,29,0.17142857142857149
26,31,-0.20000000000000018
26,37,0.242857142857143
26,39,0.22499999999999998
26,49,0.37142857142857144
27,38,0.2142857142857143
27,40,0.23809523809523825
27,42,-0.2142857142857142
27,47,0.34523809523809545
28,29,-0.09523809523809512
28,31,0.31666666666666665
28,36,0.34523809523809523
28,41,0.34523809523809534
28,45,0.34523809523809523
28,48,0.41666666666666674
29,31,-0.02857142857142847
29,37,0.0
29,48,-0.17857142857142838
29,49,0.1428571428571429
30,38,0.23809523809523803
30,47,0.33333333333333337
31,33,0.2666666666666667
31,36,0.31428571428571417
31,41,0.31428571428571417
31,43,0.2666666666666667
31,45,0.31428571428571417
31,48,0.3750000000000001
31,49,-0.31428571428571406
32,37,0.3571428571428572
32,39,0.25
32,44,0.32500000000000007
33,36,0.488095238095238
33,41,0.48809523809523814
33,43,0.5833333333333333
33,45,0.48809523809523814
33,48,0.41666666666666663
34,35,1.1102230246251565e-16
34,44,-0.30000000000000004
34,46,-0.06666666666666687
35,42,0.1875
35,46,0.2833333333333333
36,41,0.5714285714285714
36,43,0.48809523809523814
36,45,0.5714285714285714
36,48,0.4642857142857144
37,39,0.3571428571428571
37,44,0.19999999999999984
37,49,0.3571428571428572
38,40,0.4642857142857143
38,42,-0.13392857142857117
38,46,-0.15476190476190466
38,47,0.2976190476190478
39,49,0.2857142857142858
40,42,-0.0625
40,46,-0.08333333333333348
40,47,0.2499999999999999
41,43,0.48809523809523814
41,45,0.5714285714285714
41,48,0.4642857142857144
42,46,0.2916666666666665
43,45,0.48809523809523814
43,48,0.41666666666666674
44,49,0.10000000000000009
45,48,0.4642857142857144
