slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
100,3.856734693877551,11.0,8.0,9.509999999999764,9.024390243902438,81.51591836734694,21,23,13,27,54,4.368,11.0,4.5776,9.0
101,3.9048979591836734,11.0,8.0,9.509999999999764,9.097560975609756,82.29224489795918,25,12,9,11,29,4.408,11.0,4.6576,9.0
102,3.9159183673469387,11.0,8.0,9.509999999999764,9.097560975609756,83.15265306122448,28,16,13,12,22,4.448,11.0,4.6576,9.0
103,4.048163265306123,12.0,8.0,10.509999999999764,9.577235772357724,84.02489795918368,27,15,12,13,19,4.648,12.0,4.7376,9.0
104,4.077551020408163,12.0,8.0,10.0,9.609756097560975,84.43795918367347,22,19,14,42,75,4.688,12.0,4.808,9.0
105,4.113469387755102,12.0,8.0,10.0,9.609756097560975,85.40163265306123,25,13,11,5,10,4.728,12.0,4.848,9.0
106,4.127755102040816,12.0,8.0,10.0,9.609756097560975,85.6461224489796,17,25,15,58,112,4.808,12.0,4.8432,9.0
107,4.1657142857142855,12.0,8.0,10.0,9.609756097560975,86.6069387755102,26,12,11,4,5,4.848,12.0,4.8832,9.0
108,4.255102040816326,13.0,9.0,11.0,10.065040650406504,87.44734693877551,27,18,12,16,26,4.968,13.0,4.9632,9.0
109,4.269795918367347,13.0,9.0,11.0,10.065040650406504,88.30326530612246,25,16,12,8,13,5.008,13.0,4.9616,9.0
110,4.276326530612245,13.0,9.0,11.0,10.065040650406504,89.10448979591837,24,18,13,19,33,5.048,13.0,4.96,9.0
111,4.262040816326531,13.0,9.0,11.0,10.121951219512194,89.21142857142857,17,24,11,61,133,5.0256,13.0,4.9712,9.0
112,4.324897959183674,13.0,9.0,11.0,10.121951219512194,89.92857142857143,23,22,12,24,42,5.064,13.0,5.0896,9.0
113,4.297959183673469,13.0,9.0,11.0,10.097560975609756,90.42408163265306,28,17,14,37,66,5.064,13.0,5.0784,9.0
114,4.2975510204081635,13.0,9.0,11.0,10.097560975609756,91.10775510204081,27,19,12,24,50,5.064,13.0,5.1152,9.0
115,4.293877551020408,13.0,9.0,11.0,10.097560975609756,92.0530612244898,22,17,10,7,9,5.064,13.0,5.1104,9.0
116,4.311428571428571,13.0,9.0,11.0,10.390243902439025,93.00897959183673,21,18,11,5,6,5.064,13.0,5.1504,10.0
117,4.3763265306122445,13.0,9.0,11.0,10.390243902439025,93.74489795918367,22,19,9,21,37,5.128,13.0,5.2304,10.0
118,4.355510204081632,13.0,9.0,11.0,10.390243902439025,94.36816326530612,22,22,14,23,51,5.128,13.0,5.2288,10.0
