node_i,node_j,is_inter_cluster
0,2,False
0,3,False
0,9,False
0,15,False
0,19,False
0,21,False
1,9,False
1,12,False
1,16,False
2,15,False
2,21,False
3,9,False
3,16,False
3,19,False
4,6,False
4,7,False
4,8,False
4,14,False
4,18,False
4,22,False
4,23,False
4,24,False
4,42,True
5,7,False
5,12,False
5,18,False
6,7,False
6,8,False
6,12,False
6,14,False
6,18,False
6,20,False
6,22,False
6,24,False
7,12,False
7,14,False
7,18,False
7,20,False
7,22,False
7,24,False
8,18,False
8,23,False
8,35,True
8,42,True
9,16,False
9,19,False
9,20,False
10,11,False
10,13,False
10,15,False
10,17,False
11,13,False
11,17,False
11,27,True
11,30,True
11,38,True
11,40,True
11,47,True
12,14,False
12,18,False
12,19,False
12,20,False
12,22,False
12,24,False
13,14,False
13,15,False
13,17,False
13,22,False
13,24,False
13,27,True
14,18,False
14,19,False
14,20,False
14,22,False
14,24,False
15,17,False
15,21,False
16,19,False
17,27,True
17,47,True
19,20,False
19,22,False
19,24,False
20,22,False
20,24,False
22,24,False
23,34,True
23,35,True
23,42,True
23,46,True
25,29,False
25,32,False
25,34,False
25,37,False
25,44,False
25,49,False
26,29,False
26,31,False
26,37,False
26,39,False
26,49,False
27,38,False
27,40,False
27,42,False
27,47,False
28,29,False
28,31,False
28,36,False
28,41,False
28,45,False
28,48,False
29,31,False
29,37,False
29,48,False
29,49,False
30,38,False
30,47,False
31,33,False
31,36,False
31,41,False
31,43,False
31,45,False
31,48,False
31,49,False
32,37,False
32,39,False
32,44,False
33,36,False
33,41,False
33,43,False
33,45,False
33,48,False
34,35,False
34,44,False
34,46,False
35,42,False
35,46,False
36,41,False
36,43,False
36,45,False
36,48,False
37,39,False
37,44,False
37,49,False
38,40,False
38,42,False
38,46,False
38,47,False
39,49,False
40,42,False
40,46,False
40,47,False
41,43,False
41,45,False
41,48,False
42,46,False
43,45,False
43,48,False
44,49,False
45,48,False
