source,version,generation_slot,completion_slot,delay,completed
6,1,0,278,278,True
10,1,0,35,35,True
29,1,0,2042,2042,True
27,1,1,666,665,True
28,1,1,2042,2041,True
44,1,1,666,665,True
44,2,2,666,664,True
4,1,3,2042,2039,True
2,1,5,1745,1740,True
26,1,6,666,660,True
48,1,6,666,660,True
40,1,7,666,659,True
43,1,7,2042,2035,True
16,1,9,2042,2033,True
22,1,9,2042,2033,True
39,1,9,666,657,True
41,1,9,2042,2033,True
0,1,10,2042,2032,True
37,1,11,2042,2031,True
4,2,12,2042,2030,True
48,2,12,666,654,True
39,2,13,2042,2029,True
40,2,13,666,653,True
45,1,13,2042,2029,True
48,3,13,666,653,True
6,2,14,2042,2028,True
8,1,15,2042,2027,True
19,1,15,666,651,True
49,1,16,2042,2026,True
1,1,17,2042,2025,True
40,3,17,666,649,True
44,3,17,666,649,True
43,2,18,2042,2024,True
44,4,18,2042,2024,True
46,1,18,2042,2024,True
2,2,19,1745,1726,True
3,1,19,2042,2023,True
35,1,19,2042,2023,True
49,2,19,2042,2023,True
1,2,20,2042,2022,True
3,2,20,2042,2022,True
41,2,20,2042,2022,True
41,3,21,2042,2021,True
47,1,21,666,645,True
12,1,22,666,644,True
18,1,22,2042,2020,True
19,2,22,666,644,True
4,3,25,2042,2017,True
17,1,25,2042,2017,True
35,2,25,2042,2017,True
16,2,26,2042,2016,True
29,2,26,2042,2016,True
38,1,26,2042,2016,True
29,3,27,2042,2015,True
31,1,27,2042,2015,True
21,1,28,2042,2014,True
25,1,28,2042,2014,True
48,4,28,2042,2014,True
36,1,29,2042,2013,True
43,3,29,2042,2013,True
7,1,30,2042,2012,True
29,4,30,2042,2012,True
35,3,30,2042,2012,True
46,2,30,2042,2012,True
11,1,31,2042,2011,True
22,2,31,2042,2011,True
32,1,31,666,635,True
38,2,31,2042,2011,True
21,2,32,2042,2010,True
23,1,32,2042,2010,True
29,5,32,2042,2010,True
33,1,32,2042,2010,True
38,3,32,2042,2010,True
46,3,32,2042,2010,True
49,3,32,2042,2010,True
1,3,33,2042,2009,True
47,2,33,666,633,True
0,2,34,2042,2008,True
1,4,34,2042,2008,True
20,1,34,2042,2008,True
4,4,35,2042,2007,True
28,2,35,2042,2007,True
31,2,35,2042,2007,True
41,4,35,2042,2007,True
4,5,36,2042,2006,True
9,1,36,2042,2006,True
28,3,36,2042,2006,True
46,4,36,2042,2006,True
12,2,37,666,629,True
21,3,37,2042,2005,True
24,1,37,2042,2005,True
30,1,39,2042,2003,True
1,5,40,2042,2002,True
32,2,40,666,626,True
35,4,40,2042,2002,True
10,2,41,2042,2001,True
29,6,41,2042,2001,True
33,2,41,2042,2001,True
4,6,42,2042,2000,True
35,5,42,2042,2000,True
46,5,42,2042,2000,True
19,3,43,2042,1999,True
28,4,43,2042,1999,True
40,4,43,2042,1999,True
19,4,44,2042,1998,True
32,3,44,666,622,True
10,3,46,2042,1996,True
32,4,46,666,620,True
39,3,46,2042,1996,True
10,4,47,2042,1995,True
36,2,47,2042,1995,True
38,4,47,2042,1995,True
21,4,49,2042,1993,True
2,3,50,1745,1695,True
8,2,50,2042,1992,True
24,2,50,2042,1992,True
35,6,50,2042,1992,True
14,1,51,2042,1991,True
5,1,52,2042,1990,True
23,2,52,2042,1990,True
46,6,52,2042,1990,True
0,3,53,2042,1989,True
9,2,53,2042,1989,True
10,5,53,2042,1989,True
22,3,53,2042,1989,True
28,5,53,2042,1989,True
49,4,53,2042,1989,True
5,2,54,2042,1988,True
6,3,54,2042,1988,True
29,7,54,2042,1988,True
1,6,55,2042,1987,True
15,1,55,2042,1987,True
33,3,55,2042,1987,True
5,3,56,2042,1986,True
32,5,56,2042,1986,True
15,2,57,2042,1985,True
37,2,58,2042,1984,True
45,2,58,2042,1984,True
8,3,59,2042,1983,True
33,4,59,2042,1983,True
35,7,59,2042,1983,True
14,2,60,2042,1982,True
2,4,61,1745,1684,True
10,6,62,2042,1980,True
17,2,62,2042,1980,True
21,5,63,2042,1979,True
30,2,63,2042,1979,True
41,5,63,2042,1979,True
46,7,63,2042,1979,True
44,5,64,2042,1978,True
42,1,65,2042,1977,True
43,4,65,2042,1977,True
4,7,66,2042,1976,True
15,3,66,2042,1976,True
44,6,66,2042,1976,True
13,1,67,2042,1975,True
25,2,68,2042,1974,True
44,7,69,2042,1973,True
8,4,70,2042,1972,True
11,2,70,2042,1972,True
29,8,70,2042,1972,True
40,5,70,2042,1972,True
6,4,71,2042,1971,True
46,8,71,2042,1971,True
1,7,72,2042,1970,True
27,2,72,2042,1970,True
32,6,72,2042,1970,True
45,3,72,2042,1970,True
6,5,73,2042,1969,True
49,5,73,2042,1969,True
21,6,74,2042,1968,True
24,3,74,2042,1968,True
36,3,74,2042,1968,True
26,2,75,2042,1967,True
10,7,76,2042,1966,True
12,3,76,2042,1966,True
9,3,77,2042,1965,True
15,4,77,2042,1965,True
39,4,77,2042,1965,True
29,9,78,2042,1964,True
17,3,79,2042,1963,True
44,8,79,2042,1963,True
19,5,80,2042,1962,True
38,5,80,2042,1962,True
0,4,81,2042,1961,True
2,5,82,1745,1663,True
1,8,83,2042,1959,True
23,3,83,2042,1959,True
34,1,83,2042,1959,True
42,2,84,2042,1958,True
1,9,85,2042,1957,True
22,4,85,2042,1957,True
41,6,85,2042,1957,True
45,4,85,2042,1957,True
49,6,85,2042,1957,True
4,8,86,2042,1956,True
6,6,86,2042,1956,True
21,7,86,2042,1956,True
25,3,86,2042,1956,True
9,4,87,2042,1955,True
37,3,87,2042,1955,True
17,4,89,2042,1953,True
8,5,90,2042,1952,True
18,2,90,2042,1952,True
39,5,91,2042,1951,True
5,4,92,2042,1950,True
12,4,92,2042,1950,True
5,5,93,2042,1949,True
18,3,93,2042,1949,True
13,2,94,2042,1948,True
18,4,94,2042,1948,True
24,4,95,2042,1947,True
40,6,95,2042,1947,True
45,5,95,2042,1947,True
21,8,96,2042,1946,True
26,3,96,2042,1946,True
45,6,97,2042,1945,True
43,5,98,2042,1944,True
44,9,98,2042,1944,True
2,6,99,1745,1646,True
3,3,99,2042,1943,True
4,9,99,2042,1943,True
16,3,99,2042,1943,True
7,2,100,2042,1942,True
15,5,100,2042,1942,True
42,3,100,2042,1942,True
43,6,100,2042,1942,True
44,10,100,2042,1942,True
10,8,101,2042,1941,True
36,4,101,2042,1941,True
43,7,102,2042,1940,True
9,5,103,2042,1939,True
37,4,103,2042,1939,True
25,4,104,2042,1938,True
31,3,104,2042,1938,True
43,8,105,2042,1937,True
46,9,105,2042,1937,True
25,5,106,2042,1936,True
1,10,107,2042,1935,True
9,6,107,2042,1935,True
17,5,108,2042,1934,True
28,6,108,2042,1934,True
28,7,109,2042,1933,True
23,4,110,2042,1932,True
39,6,110,2042,1932,True
6,7,111,2042,1931,True
14,3,111,2042,1931,True
26,4,111,2042,1931,True
32,7,111,2042,1931,True
35,8,111,2042,1931,True
9,7,112,2042,1930,True
23,5,112,2042,1930,True
33,5,114,2042,1928,True
36,5,114,2042,1928,True
18,5,115,2042,1927,True
19,6,115,2042,1927,True
45,7,115,2042,1927,True
20,2,116,2042,1926,True
2,7,117,1745,1628,True
28,8,117,2042,1925,True
42,4,117,2042,1925,True
21,9,118,2042,1924,True
24,5,118,2042,1924,True
26,5,118,2042,1924,True
34,2,118,2042,1924,True
37,5,118,2042,1924,True
18,6,119,2042,1923,True
26,6,119,2042,1923,True
9,8,120,2042,1922,True
21,10,120,2042,1922,True
7,3,121,2042,1921,True
9,9,121,2042,1921,True
38,6,121,2042,1921,True
12,5,122,2042,1920,True
25,6,122,2042,1920,True
28,9,122,2042,1920,True
24,6,123,2042,1919,True
35,9,123,2042,1919,True
16,4,124,2042,1918,True
2,8,125,1745,1620,True
18,7,125,2042,1917,True
29,10,125,2042,1917,True
37,6,125,2042,1917,True
3,4,126,2042,1916,True
10,9,127,2042,1915,True
0,5,130,2042,1912,True
12,6,130,2042,1912,True
18,8,130,2042,1912,True
12,7,131,2042,1911,True
13,3,131,2042,1911,True
27,3,131,2042,1911,True
29,11,131,2042,1911,True
40,7,131,2042,1911,True
30,3,132,2042,1910,True
39,7,132,2042,1910,True
1,11,133,2042,1909,True
9,10,133,2042,1909,True
36,6,133,2042,1909,True
45,8,133,2042,1909,True
37,7,134,2042,1908,True
38,7,134,2042,1908,True
16,5,137,2042,1905,True
22,5,137,2042,1905,True
23,6,137,2042,1905,True
38,8,137,2042,1905,True
16,6,138,2042,1904,True
26,7,138,2042,1904,True
32,8,138,2042,1904,True
12,8,139,2042,1903,True
20,3,139,2042,1903,True
47,3,139,2042,1903,True
6,8,141,2042,1901,True
19,7,141,2042,1901,True
39,8,141,2042,1901,True
3,5,142,2042,1900,True
6,9,142,2042,1900,True
21,11,142,2042,1900,True
41,7,142,2042,1900,True
29,12,143,2042,1899,True
21,12,144,2042,1898,True
22,6,144,2042,1898,True
31,4,144,2042,1898,True
46,10,144,2042,1898,True
24,7,145,2042,1897,True
33,6,145,2042,1897,True
34,3,145,2042,1897,True
41,8,145,2042,1897,True
48,5,145,2042,1897,True
0,6,146,2042,1896,True
24,8,146,2042,1896,True
22,7,147,2042,1895,True
32,9,147,2042,1895,True
11,3,148,2042,1894,True
17,6,148,2042,1894,True
24,9,148,2042,1894,True
28,10,149,2042,1893,True
6,10,150,2042,1892,True
15,6,150,2042,1892,True
18,9,150,2042,1892,True
44,11,150,2042,1892,True
9,11,151,2042,1891,True
31,5,151,2042,1891,True
27,4,152,2042,1890,True
44,12,152,2042,1890,True
45,9,152,2042,1890,True
3,6,153,2042,1889,True
48,6,153,2042,1889,True
2,9,154,1745,1591,True
23,7,154,2042,1888,True
27,5,154,2042,1888,True
43,9,154,2042,1888,True
44,13,154,2042,1888,True
6,11,155,2042,1887,True
13,4,155,2042,1887,True
14,4,155,2042,1887,True
16,7,155,2042,1887,True
9,12,156,2042,1886,True
20,4,157,2042,1885,True
25,7,157,2042,1885,True
26,8,157,2042,1885,True
10,10,158,2042,1884,True
