slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
100,3.8587755102040817,16.0,9.0,14.0,11.78048780487805,53.117551020408165,5,19,5,56,137,5.1584,12.0,4.1312,14.0
101,3.9959183673469387,16.0,9.0,14.0,11.788617886178862,53.80530612244898,3,14,3,29,56,5.272,12.0,4.2912,14.0
102,3.9906122448979593,16.0,9.0,14.0,11.788617886178862,54.383265306122446,3,21,3,53,111,5.2704,12.0,4.3312,14.0
103,4.042857142857143,16.0,9.0,14.0,11.796747967479675,55.06285714285714,4,20,4,35,68,5.256,12.0,4.4512,14.0
104,3.9681632653061225,16.0,9.0,15.0,11.951219512195122,54.08244897959184,3,15,3,140,428,5.336,12.0,4.2256,15.0
105,3.8620408163265307,15.0,9.0,15.0,11.577235772357724,52.64204081632653,7,29,7,149,554,5.336,12.0,3.9536,15.0
106,3.9820408163265304,15.0,9.0,15.0,11.577235772357724,53.64204081632653,1,3,1,0,0,5.456,12.0,4.0736,15.0
107,3.8824489795918367,15.0,9.0,15.0,11.504065040650406,52.85591836734694,9,33,9,130,391,5.48,12.0,3.8512,15.0
108,3.923265306122449,15.0,9.0,15.0,11.764227642276422,53.64938775510204,2,12,2,30,96,5.4768,12.0,3.92,15.0
109,3.9746938775510205,15.0,9.0,15.0,11.739837398373984,53.748979591836736,3,15,3,63,168,5.5568,12.0,3.984,15.0
110,3.9404081632653063,15.0,9.0,15.0,11.682926829268293,53.042857142857144,3,19,3,109,329,5.3328,12.0,3.984,15.0
111,4.133061224489796,15.0,10.0,15.0,11.772357723577235,54.01877551020408,2,12,2,9,18,5.5232,12.0,4.184,15.0
112,4.194285714285714,15.0,10.0,15.0,11.772357723577235,53.47142857142857,4,20,4,75,291,5.7232,12.0,4.336,15.0
113,4.231020408163265,15.0,10.0,15.0,11.772357723577235,53.06081632653061,4,15,4,81,302,5.5184,12.0,4.5568,15.0
114,4.153061224489796,15.0,10.0,15.0,11.772357723577235,52.118367346938776,1,8,1,106,387,5.3664,12.0,4.5536,15.0
115,4.176734693877551,15.0,10.0,15.0,11.691056910569106,52.73755102040816,1,7,1,27,89,5.4064,12.0,4.6336,15.0
116,4.0416326530612245,15.0,10.0,15.0,11.617886178861788,51.65428571428571,5,16,5,108,478,5.072,12.0,4.7136,15.0
117,4.024897959183673,15.0,10.0,15.0,11.715447154471544,51.15959183673469,5,23,5,106,286,4.9904,12.0,4.8128,15.0
118,3.974285714285714,15.0,10.0,15.0,11.552845528455284,50.306938775510204,3,16,3,137,467,5.0608,12.0,4.6496,15.0
119,3.854285714285714,15.0,10.0,15.0,11.585365853658537,49.63387755102041,2,16,2,95,392,4.7488,12.0,4.616,15.0
120,3.5710204081632653,15.0,9.0,15.0,11.089430894308943,46.636326530612244,4,17,4,201,939,3.9888,13.0,4.696,15.0
121,3.548979591836735,15.0,9.0,15.0,11.05691056910569,46.43224489795919,1,12,1,108,299,4.0688,13.0,4.5264,15.0
122,3.5910204081632653,15.0,9.0,15.0,11.154471544715447,46.842448979591836,6,26,6,52,142,4.1888,14.0,4.5184,15.0
123,3.6387755102040815,15.0,9.0,15.0,11.195121951219512,47.481632653061226,5,25,5,27,79,4.2688,14.0,4.5984,15.0
124,3.6542857142857144,15.0,9.0,14.0,11.048780487804878,47.85877551020408,5,21,5,54,158,4.4128,14.0,4.4256,15.0
125,3.700408163265306,15.0,9.0,14.0,11.065040650406504,48.406122448979595,1,8,1,33,132,4.5088,14.0,4.4032,15.0
126,3.796326530612245,15.0,9.0,14.0,11.357723577235772,48.9134693877551,3,18,3,41,108,4.5616,14.0,4.5632,15.0
127,3.9155102040816328,15.0,9.0,14.0,11.439024390243903,49.910204081632656,1,3,1,2,2,4.7216,14.0,4.6432,15.0
128,3.823265306122449,15.0,9.0,14.0,11.178861788617887,48.7530612244898,7,31,7,150,471,4.5424,14.0,4.6496,15.0
129,3.9404081632653063,15.0,9.0,14.0,11.471544715447154,49.45142857142857,3,16,3,26,56,4.632,14.0,4.7696,15.0
130,4.006530612244898,15.0,9.0,14.0,11.520325203252032,50.27836734693877,2,8,2,11,34,4.672,14.0,4.8896,15.0
131,4.077142857142857,15.0,9.0,14.0,11.617886178861788,51.13428571428572,3,17,3,14,23,4.752,14.0,4.9696,15.0
132,4.1420408163265305,15.0,10.0,14.0,11.796747967479675,51.751020408163264,4,23,4,33,86,4.8,14.0,5.048,15.0
133,4.152653061224489,15.0,10.0,14.0,11.83739837398374,52.21224489795918,3,16,3,36,121,4.7728,14.0,5.0448,15.0
134,4.271836734693878,15.0,10.0,14.0,11.83739837398374,52.702448979591836,3,15,3,39,100,4.8384,14.0,5.1648,15.0
135,4.235102040816327,15.0,10.0,14.0,11.691056910569106,52.46530612244898,1,10,1,96,286,4.8976,14.0,4.9328,15.0
136,4.411020408163266,15.0,10.0,14.0,11.959349593495935,53.373061224489796,1,4,1,6,10,5.0976,14.0,5.0928,15.0
137,4.471020408163265,15.0,10.0,14.0,12.048780487804878,54.373061224489796,0,0,0,0,0,5.1776,14.0,5.1328,15.0
138,4.406530612244898,15.0,10.0,13.0,11.878048780487806,53.64775510204082,6,28,6,134,403,5.1024,14.0,5.0816,15.0
139,4.27469387755102,16.0,10.0,13.0,11.666666666666666,51.816326530612244,4,23,4,203,617,5.0528,14.0,4.8576,16.0
140,4.135918367346939,16.0,10.0,13.0,11.292682926829269,50.14,8,27,8,156,585,4.856,15.0,4.8208,16.0
141,4.299183673469388,16.0,10.0,13.0,11.512195121951219,50.92285714285714,2,13,2,25,41,5.016,15.0,5.0208,16.0
142,4.241224489795918,17.0,10.0,13.0,11.495934959349594,50.85142857142857,5,30,5,90,240,4.992,15.0,4.92,17.0
143,4.148163265306122,17.0,10.0,12.509999999999764,11.471544715447154,50.7465306122449,3,19,3,84,228,4.9312,15.0,4.7952,17.0
144,4.2240816326530615,17.0,10.0,13.0,11.520325203252032,51.67387755102041,4,15,4,6,10,5.0912,15.0,4.7952,17.0
145,4.064081632653061,17.0,9.0,10.0,10.317073170731707,49.957142857142856,3,13,3,141,637,4.6832,10.0,4.8048,17.0
146,4.054693877551021,17.0,9.0,11.0,10.34959349593496,49.81755102040816,7,27,7,95,268,4.6288,11.0,4.9248,17.0
147,3.9853061224489794,17.0,9.0,11.0,10.617886178861788,49.030204081632654,9,21,8,142,415,4.6592,11.0,4.824,17.0
148,3.944489795918367,17.0,9.0,11.0,10.666666666666666,48.84612244897959,3,17,3,89,296,4.7392,11.0,4.7632,17.0
149,3.882857142857143,17.0,10.0,11.0,10.634146341463415,48.30816326530612,6,26,6,102,347,4.8992,11.0,4.6192,17.0
150,3.953469387755102,17.0,10.0,11.0,10.601626016260163,49.148979591836735,4,15,3,14,72,4.9792,11.0,4.7392,17.0
151,3.913061224489796,17.0,9.0,11.0,10.577235772357724,48.61877551020408,2,12,2,101,393,4.984,11.0,4.8592,17.0
152,3.973061224489796,17.0,9.0,11.0,10.520325203252032,48.649795918367346,3,15,3,70,196,5.0928,11.0,4.9232,17.0
153,4.029387755102041,17.0,9.0,11.0,10.739837398373984,49.437551020408165,3,11,3,20,58,5.1664,11.0,5.0032,17.0
