slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
100,9.06734693877551,20.0,15.0,20.0,17.11382113821138,95.78244897959183,29,14,11,11,21,9.8704,20.0,9.04,16.0
101,9.218775510204082,20.0,15.0,20.0,17.11382113821138,96.69020408163266,29,15,13,10,21,9.9712,20.0,9.24,16.0
102,9.255102040816327,20.0,15.0,20.0,17.11382113821138,97.64897959183673,36,10,9,7,9,10.0112,20.0,9.28,16.0
103,9.333877551020407,20.0,15.0,20.0,17.11382113821138,98.62408163265306,39,5,5,2,3,10.0512,20.0,9.4,16.0
104,9.417959183673469,20.0,15.0,20.0,17.11382113821138,99.46367346938776,35,9,6,14,39,10.1312,20.0,9.52,16.0
105,9.531836734693877,20.0,15.0,20.0,17.11382113821138,100.41265306122449,33,8,6,5,15,10.1312,20.0,9.76,16.0
106,9.648979591836735,20.0,15.0,20.0,17.11382113821138,101.3595918367347,41,7,6,5,7,10.2512,20.0,9.88,16.0
107,9.695510204081632,20.0,15.0,20.0,17.11382113821138,102.23714285714286,35,10,7,9,33,10.2912,20.0,9.96,16.0
108,9.770204081632652,20.0,15.0,20.0,17.11382113821138,103.17551020408163,33,9,8,5,13,10.3312,20.0,10.08,16.0
109,9.888163265306122,20.0,15.0,20.0,17.504065040650406,104.14122448979592,38,8,7,4,5,10.4112,20.0,10.24,17.0
110,9.986530612244898,20.0,15.0,20.0,17.504065040650406,105.13469387755102,35,9,6,2,4,10.4512,20.0,10.4,17.0
111,10.183673469387756,20.0,15.0,20.0,17.89430894308943,106.1134693877551,39,6,6,4,7,10.6512,20.0,10.6,18.0
112,10.358367346938776,20.0,16.0,20.0,18.146341463414632,107.06204081632653,36,9,8,8,13,10.8512,20.0,10.76,18.0
113,10.506530612244898,20.0,16.0,20.0,18.146341463414632,107.95428571428572,35,10,9,9,29,10.8912,20.0,11.0112,18.0
114,10.573061224489797,20.0,16.0,20.0,18.146341463414632,108.84897959183674,28,15,13,12,33,10.9568,20.0,11.0912,18.0
115,10.62734693877551,20.0,16.0,20.0,18.536585365853657,109.80816326530612,32,12,10,4,14,10.9968,20.0,11.1712,19.0
116,10.677551020408163,20.0,16.0,20.0,18.536585365853657,110.71551020408164,32,12,9,5,24,11.0368,20.0,11.2224,19.0
117,10.77673469387755,20.0,16.0,20.0,18.536585365853657,111.71306122448979,40,6,6,1,2,11.0768,20.0,11.3824,19.0
118,10.91469387755102,20.0,17.0,20.0,18.788617886178862,112.69428571428571,32,8,8,3,5,11.2768,20.0,11.4624,19.0
119,10.949387755102041,20.0,17.0,20.0,18.788617886178862,113.66285714285715,34,8,6,7,13,11.3168,20.0,11.5024,19.0
120,11.044489795918368,20.0,17.0,20.0,18.788617886178862,114.63265306122449,42,4,4,4,12,11.4368,20.0,11.5824,19.0
121,11.142857142857142,20.0,17.0,20.0,18.788617886178862,115.61632653061224,35,5,5,3,4,11.5168,20.0,11.696,19.0
122,11.240408163265306,20.0,17.0,20.0,18.788617886178862,116.58857142857143,34,9,7,3,6,11.6368,20.0,11.776,19.0
123,11.319183673469388,20.0,17.0,20.0,18.788617886178862,117.57102040816326,34,8,7,2,3,11.7168,20.0,11.856,19.0
124,11.398367346938775,20.0,17.0,20.0,18.788617886178862,118.56285714285714,40,5,5,1,2,11.8768,20.0,11.856,19.0
125,11.491836734693878,20.0,18.0,20.0,19.040650406504064,119.5208163265306,37,10,9,9,16,11.9968,20.0,11.936,19.0
126,11.628571428571428,20.0,18.0,20.0,19.040650406504064,120.49632653061225,37,7,6,5,8,12.1168,20.0,12.096,19.0
127,11.740408163265306,20.0,18.0,20.0,19.040650406504064,121.40775510204081,37,7,6,4,20,12.2768,20.0,12.1472,19.0
128,11.837551020408164,20.0,18.0,20.0,19.43089430894309,122.35632653061225,30,12,10,5,7,12.3536,20.0,12.2672,20.0
129,11.976326530612244,20.0,18.0,20.0,19.43089430894309,123.33836734693878,38,6,5,3,3,12.5136,20.0,12.3872,20.0
130,12.051428571428572,20.0,18.0,20.0,19.43089430894309,124.30122448979591,36,7,6,2,12,12.5536,20.0,12.5072,20.0
