node_i,node_j,curvature
0,5,0.375
0,8,0.47916666666666674
0,10,0.5625
0,15,0.06666666666666687
0,20,0.3579545454545454
0,24,0.3579545454545455
0,35,0.5000000000000001
0,37,0.2670454545454545
1,2,0.11538461538461553
1,3,0.02991452991453003
1,6,0.11538461538461553
1,13,0.21153846153846168
1,17,0.24358974358974383
1,19,0.1923076923076923
1,22,0.21153846153846168
1,28,0.10897435897435914
1,30,0.11538461538461542
1,32,-0.028846153846153966
1,34,-0.11057692307692268
1,38,0.23076923076923073
1,39,0.22527472527472536
2,6,0.46153846153846145
2,9,0.3041958041958043
2,11,0.18681318681318682
2,15,-0.02564102564102555
2,17,0.05982905982905995
2,18,0.23076923076923073
2,19,2.220446049250313e-16
2,28,0.3653846153846153
2,29,0.08547008547008539
2,30,0.46153846153846145
2,36,0.0769230769230771
2,38,0.23076923076923095
3,13,-0.08333333333333326
3,16,0.11111111111111094
3,19,0.07264957264957295
3,22,-0.08333333333333326
3,27,-2.220446049250313e-16
3,32,-0.013888888888888618
3,33,0.05555555555555536
3,34,0.2847222222222223
4,16,-0.15972222222222232
4,26,-0.25
4,27,1.1102230246251565e-16
4,33,-0.04861111111111116
4,47,0.02083333333333337
4,51,0.267857142857143
4,52,-0.0625
4,67,-0.0625
5,8,0.3194444444444444
5,10,0.375
5,15,0.06666666666666676
5,20,0.2329545454545453
5,24,0.23295454545454553
5,31,-0.5625
5,35,0.3750000000000001
6,9,0.2272727272727273
6,11,0.1868131868131867
6,15,0.01025641025641022
6,18,0.23076923076923095
6,19,0.03846153846153855
6,28,0.326923076923077
6,29,0.16239316239316248
6,30,0.5384615384615384
6,32,-0.08653846153846123
6,36,0.0769230769230772
6,38,0.1923076923076924
7,12,0.4
7,14,0.46666666666666656
7,21,0.1636363636363637
7,25,0.36250000000000004
7,26,0.17500000000000004
8,10,0.47916666666666674
8,15,0.12222222222222234
8,20,0.41414141414141403
8,24,0.41414141414141403
8,35,0.44444444444444464
8,36,-0.0512820512820511
8,37,0.3232323232323233
9,11,0.2727272727272726
9,17,0.1565656565656568
9,18,0.18881118881118875
9,23,0.10227272727272751
9,28,0.3560606060606062
9,30,0.2272727272727274
9,36,0.1573426573426573
9,38,0.23426573426573438
9,39,0.045454545454545636
10,15,0.06666666666666665
10,20,0.3579545454545454
10,24,0.3579545454545454
10,35,0.5000000000000001
10,37,0.2670454545454545
11,15,0.1000000000000002
11,17,-0.05555555555555558
11,18,0.40109890109890123
11,20,-0.04545454545454519
11,23,0.1785714285714285
11,24,-0.045454545454545636
11,28,0.14285714285714302
11,30,0.18681318681318682
11,36,0.37362637362637385
11,37,0.038961038961038974
11,38,0.027472527472527597
12,14,0.4833333333333334
12,21,1.1102230246251565e-16
12,25,0.32499999999999996
12,31,0.15000000000000002
13,17,0.22222222222222232
13,22,0.5833333333333333
13,38,0.14102564102564108
13,39,0.30952380952380953
14,21,0.08333333333333348
14,25,0.375
14,26,0.08333333333333326
14,31,0.08333333333333337
15,18,0.17179487179487196
15,20,0.203030303030303
15,24,0.2030303030303029
15,29,-0.0888888888888888
15,30,0.010256410256410553
15,32,-0.3249999999999995
15,36,0.21538461538461562
15,37,0.20303030303030312
16,19,-0.02136752136752129
16,21,0.07575757575757591
16,26,0.11111111111111116
16,27,0.2499999999999999
16,32,0.05555555555555569
16,33,0.38888888888888895
16,34,0.3472222222222223
17,22,0.2222222222222221
17,28,0.20833333333333337
17,38,0.33333333333333337
17,39,0.4126984126984128
18,20,-0.0174825174825175
18,24,-0.01748251748251728
18,28,0.15384615384615374
18,29,-0.025641025641025772
18,30,0.23076923076923084
18,36,0.3846153846153846
18,37,0.020979020979021268
18,38,0.03846153846153855
19,21,-0.0944055944055946
19,28,-0.0512820512820511
19,29,0.15811965811965845
19,30,0.03846153846153877
19,32,0.27564102564102577
19,33,-0.13247863247863245
19,34,0.11057692307692302
19,38,0.0
20,24,0.5454545454545454
20,35,0.3311688311688311
20,36,0.0699300699300699
20,37,0.40909090909090906
21,25,0.1874999999999999
21,26,0.2954545454545452
21,29,-0.16666666666666696
21,32,0.045454545454545525
21,33,-0.03535353535353525
21,34,-0.03409090909090917
22,38,0.14102564102564108
22,39,0.30952380952380953
23,36,0.1923076923076925
23,37,0.045454545454545636
24,35,0.3311688311688312
24,36,0.06993006993006978
24,37,0.40909090909090906
25,26,0.125
25,29,-0.23611111111111138
25,31,0.125
25,32,-0.16666666666666674
26,32,-0.12500000000000022
26,33,0.0
27,33,0.36111111111111105
27,34,0.125
27,51,-0.14285714285714257
28,30,0.326923076923077
28,36,0.03846153846153866
28,38,0.35576923076923084
28,39,0.1071428571428571
29,30,0.16239316239316248
29,32,0.16666666666666685
30,32,-0.08653846153846123
30,36,0.07692307692307687
30,38,0.1923076923076924
32,34,0.10416666666666663
33,34,0.23611111111111116
33,51,-0.25396825396825395
35,37,0.24025974025974028
36,37,0.14335664335664355
38,39,0.24175824175824168
40,44,1.1102230246251565e-16
40,57,1.1102230246251565e-16
40,58,0.41249999999999987
40,59,0.07142857142857151
40,60,-0.16666666666666674
40,61,0.012500000000000178
40,69,0.22916666666666685
40,74,-0.1428571428571428
41,43,0.4833333333333334
41,48,0.4833333333333333
41,54,0.4833333333333333
41,56,0.4999999999999999
41,60,-0.20000000000000018
42,46,0.4642857142857142
42,63,0.2222222222222221
42,64,-0.23809523809523792
42,68,0.2222222222222221
42,71,0.2666666666666666
42,73,0.18333333333333335
43,48,0.5833333333333333
43,54,0.5833333333333333
43,56,0.41666666666666674
43,60,-0.1166666666666667
43,74,-0.16666666666666674
44,45,0.3750000000000001
44,58,-0.10000000000000031
44,59,0.47619047619047616
44,61,0.2333333333333334
44,75,0.375
45,59,0.3035714285714286
45,61,0.17499999999999982
45,75,0.625
46,63,0.25396825396825407
46,64,-0.2857142857142856
46,68,0.25396825396825407
46,71,0.17142857142857149
46,73,0.13571428571428568
46,78,0.2857142857142858
47,49,-0.08333333333333326
47,51,0.22619047619047605
47,52,0.33333333333333326
47,64,-0.16666666666666652
47,67,0.33333333333333326
48,54,0.5833333333333333
48,56,0.41666666666666674
48,60,-0.1166666666666667
48,74,-0.16666666666666652
49,51,-0.11904761904761907
49,53,-0.46666666666666656
50,52,0.33333333333333337
50,64,0.16666666666666652
50,67,0.33333333333333337
51,52,0.07142857142857129
51,67,0.0714285714285714
52,64,-0.011904761904761862
52,67,0.5833333333333333
53,55,0.11250000000000004
53,66,0.07777777777777761
53,72,0.07777777777777772
53,77,0.07777777777777795
54,56,0.41666666666666674
54,60,-0.1166666666666667
54,74,-0.16666666666666652
55,60,0.08750000000000002
55,65,0.28749999999999987
55,66,0.4930555555555557
55,72,0.4930555555555557
55,74,0.11607142857142883
55,77,0.4930555555555556
55,79,0.23295454545454541
57,58,0.10000000000000009
57,60,0.16666666666666685
57,65,0.3416666666666669
57,66,0.13888888888888906
57,69,0.16666666666666663
57,71,-0.34999999999999987
57,72,0.13888888888888906
57,73,-0.3666666666666665
57,74,0.2142857142857144
57,77,0.13888888888888906
57,79,0.3825757575757577
58,59,-0.028571428571428692
58,60,-0.06666666666666665
58,61,-0.10000000000000031
58,65,-2.220446049250313e-16
58,69,0.30833333333333335
58,74,-0.042857142857142705
58,79,0.00909090909090915
59,61,0.2928571428571428
59,69,-0.13690476190476208
59,75,0.3035714285714285
60,65,0.2666666666666665
60,66,0.12222222222222223
60,69,-0.08333333333333304
60,72,0.12222222222222223
60,74,0.4761904761904763
60,77,0.12222222222222201
60,79,0.21212121212121215
61,62,-0.23333333333333361
61,69,-0.06666666666666665
61,70,-0.2333333333333334
61,75,0.17499999999999982
61,76,-0.1499999999999999
62,63,0.16666666666666652
62,68,0.16666666666666652
62,70,0.5833333333333333
62,73,0.23333333333333306
62,76,0.4166666666666665
63,68,0.5555555555555556
63,70,0.16666666666666674
63,71,0.13888888888888895
63,73,0.3111111111111111
63,76,0.18750000000000022
63,78,0.2222222222222222
64,67,-0.011904761904761862
64,71,-0.37142857142857144
65,66,0.3222222222222222
65,69,-0.01666666666666683
65,72,0.3222222222222222
65,74,0.3142857142857143
65,77,0.3222222222222222
65,79,0.46818181818181814
66,72,0.5555555555555556
66,74,0.1507936507936507
66,77,0.5555555555555556
66,79,0.2676767676767676
68,70,0.16666666666666663
68,71,0.13888888888888895
68,73,0.3111111111111111
68,76,0.18750000000000022
68,78,0.22222222222222232
69,71,-0.22499999999999987
69,73,-0.22499999999999987
69,74,-0.05952380952380931
69,76,-0.14583333333333326
69,79,0.03787878787878807
70,73,0.23333333333333317
70,76,0.41666666666666674
71,73,0.2499999999999999
71,76,0.07499999999999996
71,79,-0.4181818181818182
72,74,0.1507936507936507
72,77,0.5555555555555556
72,79,0.2676767676767676
73,76,0.2875000000000002
74,77,0.1507936507936508
74,79,0.2597402597402598
77,79,0.26767676767676785
