node_i,node_j,curvature
0,3,0.0
0,6,0.0714285714285714
0,19,-0.07142857142857162
0,23,0.1875
0,24,-0.045454545454545414
0,25,0.0535714285714286
0,38,0.375
0,39,-0.11250000000000004
1,5,-0.125
1,10,0.06250000000000011
1,12,0.06249999999999989
1,13,0.3374999999999999
1,15,0.3375
1,33,0.22916666666666674
1,34,0.3125
1,37,0.39583333333333326
2,5,-0.16666666666666674
2,7,0.38095238095238115
2,9,-0.0555555555555558
2,14,0.38095238095238093
2,29,0.24603174603174605
2,30,-0.07638888888888906
2,31,-0.05555555555555536
2,35,-0.10101010101010077
2,39,-0.2999999999999998
3,6,0.3035714285714286
3,19,0.07142857142857151
3,27,0.04166666666666663
4,16,0.07142857142857162
4,20,0.392857142857143
4,24,0.2662337662337664
4,25,0.2142857142857144
4,26,0.1517857142857142
4,32,0.25
4,39,0.12857142857142856
5,7,-0.07142857142857162
5,10,-0.2666666666666664
5,13,-0.19999999999999996
5,14,-0.0714285714285714
5,31,-0.24999999999999978
5,33,-0.13333333333333353
5,35,-0.24090909090909074
5,37,-0.1333333333333333
6,10,-0.2857142857142856
6,19,0.1428571428571428
6,23,-0.1785714285714286
6,27,-0.11904761904761885
6,38,-0.0535714285714286
7,9,-0.19841269841269837
7,14,0.5714285714285714
7,29,0.2142857142857144
7,31,0.059523809523809534
7,35,0.025974025974026094
8,11,0.5
8,17,0.5714285714285714
8,21,0.5714285714285714
8,28,0.4285714285714286
8,31,0.2142857142857144
8,35,0.23376623376623384
8,36,0.5714285714285714
9,14,-0.19841269841269815
9,16,0.16666666666666685
9,24,0.030303030303030387
9,26,0.10416666666666674
9,30,0.29166666666666685
9,38,-0.21527777777777746
9,39,0.16666666666666674
10,12,0.16666666666666674
10,19,0.0
10,33,0.33333333333333326
11,17,0.4999999999999999
11,21,0.5
11,31,0.16666666666666674
11,35,0.21212121212121238
11,36,0.5
12,15,-0.10000000000000009
12,18,-0.5
12,19,-0.16666666666666674
12,33,0.25
13,15,0.3999999999999999
13,34,0.475
13,37,0.4666666666666667
14,29,0.2142857142857143
14,31,0.059523809523809756
14,35,0.025974025974026094
15,34,0.44999999999999996
15,37,0.3833333333333333
16,22,0.1607142857142857
16,24,0.168831168831169
16,26,0.4642857142857144
16,30,0.3214285714285714
16,39,0.19285714285714273
17,21,0.5714285714285714
17,28,0.4285714285714286
17,31,0.2142857142857144
17,35,0.23376623376623384
17,36,0.5714285714285714
18,47,-0.08333333333333348
18,54,-0.03333333333333344
19,33,-0.16666666666666674
19,38,-0.19642857142857117
20,23,0.16666666666666663
20,24,0.1742424242424243
20,25,0.3214285714285714
20,26,0.02083333333333337
20,32,0.41666666666666674
21,28,0.4285714285714286
21,31,0.2142857142857144
21,35,0.23376623376623384
21,36,0.5714285714285714
22,26,0.125
22,29,-0.125
22,30,0.3125
23,24,0.17045454545454541
23,25,0.392857142857143
23,32,0.1875
23,38,0.25
23,39,0.06250000000000022
24,25,0.20779220779220775
24,26,0.20454545454545436
24,30,0.017045454545454475
24,38,0.07954545454545459
24,39,0.34090909090909105
25,32,0.3214285714285714
25,38,0.1160714285714286
26,30,0.25
26,39,0.22499999999999987
27,58,-0.33333333333333326
28,29,-0.2142857142857142
28,31,0.25595238095238115
28,35,0.2597402597402598
28,36,0.4285714285714286
29,30,-0.06249999999999978
29,31,-0.04166666666666652
30,39,0.11249999999999982
31,35,0.4772727272727273
31,36,0.2142857142857143
33,37,0.08333333333333315
34,37,0.375
35,36,0.23376623376623373
38,39,0.012499999999999845
40,45,-0.0694444444444442
40,46,-0.04166666666666652
40,48,-0.09166666666666634
40,51,-0.029761904761904656
40,53,-0.02777777777777768
40,57,-0.11111111111111094
40,61,0.02083333333333348
40,64,-0.008333333333333304
40,66,-0.02083333333333326
40,70,-0.11111111111111072
40,73,0.02083333333333348
40,76,-0.04166666666666652
41,45,0.4444444444444444
41,48,0.15000000000000002
41,51,0.3253968253968256
41,64,0.3833333333333333
41,65,0.16666666666666663
41,66,0.3611111111111114
41,67,0.33333333333333326
41,73,0.23611111111111116
41,78,-0.09999999999999987
42,47,0.375
42,50,0.42500000000000004
42,54,0.44999999999999996
42,70,0.125
43,52,0.4772727272727274
43,55,0.3030303030303033
43,56,0.25
43,60,0.10227272727272729
43,63,0.23636363636363644
43,68,0.13636363636363635
43,69,0.3030303030303032
43,71,0.34545454545454557
43,74,0.16287878787878807
43,75,-0.10227272727272707
43,76,-0.04924242424242409
44,58,0.16666666666666663
44,59,0.16666666666666663
44,62,0.1250000000000001
45,48,0.09444444444444433
45,51,0.4126984126984128
45,64,0.4666666666666668
45,65,0.11111111111111116
45,66,0.4722222222222223
45,67,0.38888888888888884
45,73,0.3055555555555556
46,53,0.4444444444444444
46,57,0.38888888888888884
46,59,-0.07936507936507908
46,61,0.4722222222222223
46,70,-0.05555555555555558
46,75,0.13888888888888884
46,76,-0.04166666666666674
46,79,0.23015873015873023
47,50,0.2666666666666666
47,54,0.44999999999999984
47,57,-0.3055555555555558
47,70,0.08333333333333326
48,49,0.016666666666666607
48,64,0.1499999999999998
48,65,0.33333333333333337
48,66,0.025000000000000022
48,74,-0.25
48,76,-0.15833333333333321
48,78,0.24999999999999978
49,63,-0.08333333333333348
49,65,1.1102230246251565e-16
49,72,0.0
49,74,0.04166666666666663
49,78,0.18333333333333324
50,54,0.30000000000000004
50,70,0.14444444444444438
50,73,-0.5125000000000002
51,64,0.3571428571428572
51,66,0.4821428571428572
51,67,0.488095238095238
51,73,0.4464285714285714
52,55,0.2666666666666667
52,56,0.30000000000000027
52,60,0.125
52,63,0.19999999999999973
52,69,0.26666666666666683
52,71,0.3999999999999999
52,74,0.11666666666666681
52,75,-0.07499999999999996
52,76,-0.008333333333333082
53,57,0.2777777777777777
53,61,0.4652777777777778
53,70,-0.05555555555555558
53,71,-0.22777777777777786
53,75,0.1527777777777779
53,76,0.06944444444444431
53,79,0.11904761904761907
54,70,0.0
55,56,0.0833333333333337
55,63,0.36111111111111116
55,68,0.36111111111111105
55,69,0.5555555555555556
55,71,0.24444444444444446
55,72,0.25
55,74,0.23611111111111127
56,60,0.3125
56,69,0.08333333333333337
56,71,0.2250000000000002
56,75,-0.125
56,77,0.0
57,59,-0.07936507936507908
57,61,0.3402777777777779
57,70,0.05555555555555536
57,75,0.02777777777777779
57,79,0.2142857142857144
58,59,-0.1428571428571428
59,62,0.23214285714285698
59,75,-0.1071428571428572
59,79,0.1428571428571428
60,77,0.125
61,70,-0.01388888888888884
61,75,0.10416666666666674
61,76,0.0
61,79,0.1607142857142858
62,77,-0.125
62,79,1.1102230246251565e-16
63,68,0.35
63,69,0.36111111111111116
63,71,0.19999999999999984
63,72,0.31666666666666665
63,74,0.4
63,76,-0.10833333333333339
64,65,0.08333333333333315
64,66,0.4125000000000002
64,67,0.33333333333333337
64,73,0.2500000000000002
64,76,-0.34166666666666656
65,78,0.2999999999999998
66,67,0.4374999999999999
66,73,0.375
67,73,0.39583333333333326
68,69,0.36111111111111105
68,72,0.41666666666666663
68,74,0.25
69,71,0.24444444444444435
69,72,0.25
69,74,0.23611111111111138
71,74,0.11666666666666681
71,75,-0.016666666666666607
71,76,0.0916666666666669
72,74,0.29166666666666663
74,76,-0.04166666666666674
74,78,-0.2250000000000001
75,76,0.04166666666666685
75,77,2.220446049250313e-16
75,79,0.18452380952380953
