source,version,generation_slot,completion_slot,delay,completed
1,1,0,78,78,True
8,1,0,78,78,True
16,1,0,78,78,True
25,1,0,78,78,True
32,1,0,78,78,True
34,1,0,90,90,True
35,1,0,90,90,True
39,1,0,78,78,True
40,1,0,102,102,True
50,1,0,36,36,True
53,1,0,62,62,True
24,1,1,78,77,True
37,1,1,90,89,True
41,1,1,102,101,True
44,1,1,62,61,True
48,1,1,102,101,True
51,1,1,102,101,True
55,1,1,102,101,True
56,1,1,102,101,True
71,1,1,102,101,True
9,1,2,78,76,True
14,1,2,78,76,True
15,1,2,90,88,True
21,1,2,78,76,True
28,1,2,78,76,True
36,1,2,90,88,True
42,1,2,102,100,True
51,2,2,102,100,True
54,1,2,36,34,True
62,1,2,102,100,True
75,1,2,62,60,True
76,1,2,102,100,True
6,1,3,78,75,True
10,1,3,78,75,True
12,1,3,78,75,True
16,2,3,78,75,True
40,2,3,102,99,True
49,1,3,117,114,True
65,1,3,102,99,True
1,2,4,78,74,True
4,1,4,78,74,True
10,2,4,78,74,True
36,2,4,90,86,True
46,1,4,102,98,True
47,1,4,102,98,True
51,3,4,102,98,True
57,1,4,102,98,True
68,1,4,102,98,True
76,2,4,102,98,True
35,2,5,90,85,True
73,1,5,102,97,True
4,2,6,78,72,True
11,1,6,90,84,True
20,1,6,78,72,True
25,2,6,104,98,True
33,1,6,78,72,True
41,2,6,102,96,True
52,1,6,102,96,True
54,2,6,102,96,True
56,2,6,102,96,True
57,2,6,102,96,True
62,2,6,102,96,True
67,1,6,102,96,True
71,2,6,102,96,True
74,1,6,102,96,True
75,2,6,62,56,True
77,1,6,102,96,True
2,1,7,90,83,True
6,2,7,78,71,True
21,2,7,78,71,True
22,1,7,78,71,True
26,1,7,78,71,True
27,1,7,78,71,True
45,1,7,102,95,True
47,2,7,102,95,True
67,2,7,102,95,True
71,3,7,102,95,True
74,2,7,102,95,True
76,3,7,102,95,True
43,1,8,102,94,True
48,2,8,102,94,True
73,2,8,102,94,True
74,3,8,102,94,True
15,2,9,90,81,True
21,3,9,90,81,True
25,3,9,104,95,True
33,2,9,78,69,True
43,2,9,102,93,True
51,4,9,102,93,True
53,2,9,102,93,True
68,2,9,102,93,True
