slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,3.235126582278481,12.0,8.0,10.80999999999949,9.35126582278481,39.48148734177215,15,40,15,91,200,4.474375,12.0,4.52,11.0
51,3.2876582278481012,12.0,8.0,10.80999999999949,9.455696202531646,40.264240506329116,9,39,9,84,142,4.574375,12.0,4.566875,11.0
52,3.347151898734177,12.0,8.0,10.0,9.525316455696203,40.96882911392405,12,51,12,122,256,4.63,12.0,4.641875,12.0
53,3.448101265822785,12.0,8.0,10.0,9.525316455696203,41.72405063291139,5,33,5,82,152,4.77875,12.0,4.73875,12.0
54,3.4037974683544303,12.0,8.0,10.0,9.525316455696203,42.10395569620253,15,41,14,231,438,4.80375,12.0,4.7075,12.0
55,3.3873417721518986,12.0,8.0,10.0,9.417721518987342,42.471835443037975,11,30,10,252,578,4.830625,12.0,4.6225,12.0
56,3.417879746835443,13.0,8.0,10.0,9.598101265822784,43.08259493670886,18,42,16,131,281,4.930625,12.0,4.659375,13.0
57,3.483227848101266,13.0,8.0,10.0,9.632911392405063,43.50806962025317,19,50,18,197,377,5.05625,12.0,4.70875,13.0
58,3.4504746835443036,13.0,8.0,11.0,9.677215189873417,43.75981012658228,16,49,16,248,523,5.04625,12.0,4.73375,13.0
59,3.498892405063291,13.0,8.0,12.0,10.031645569620252,44.25253164556962,15,51,14,180,326,5.0975,12.0,4.808125,13.0
60,3.4925632911392404,13.0,8.0,12.0,10.063291139240507,44.64889240506329,17,45,15,238,514,4.9775,13.0,4.8525,13.0
61,3.5768987341772154,13.0,8.0,12.0,10.227848101265822,45.09208860759494,16,40,15,189,415,5.105625,13.0,4.901875,13.0
62,3.537025316455696,13.0,8.0,12.0,10.246835443037975,45.215664556962025,15,51,14,388,726,5.02,13.0,4.98625,13.0
63,3.588291139240506,13.0,9.0,12.0,10.44620253164557,45.62563291139241,12,50,12,206,387,5.079375,13.0,5.071875,13.0
64,3.69746835443038,14.0,9.0,12.0,10.50632911392405,46.15601265822785,14,43,13,142,337,5.2675,14.0,5.12125,13.0
65,3.7001582278481013,14.0,9.0,12.0,10.645569620253164,46.37958860759494,11,51,11,229,536,5.279375,14.0,5.1575,13.0
66,3.6816455696202532,14.0,9.0,12.0,10.70253164556962,46.23496835443038,13,47,13,332,828,5.281875,14.0,5.11125,13.0
67,3.828639240506329,14.0,9.0,12.0,10.85759493670886,46.76329113924051,17,37,15,159,414,5.431875,14.0,5.23625,13.0
68,3.7811708860759494,14.0,9.0,12.0,10.753164556962025,46.85712025316456,22,44,19,287,695,5.456875,14.0,5.123125,13.0
69,3.804905063291139,14.0,9.0,12.0,10.781645569620252,46.95047468354431,15,48,15,276,640,5.504375,14.0,5.146875,13.0
70,3.7919303797468356,14.0,9.0,12.0,10.708860759493671,47.4131329113924,18,44,13,172,398,5.5175,14.0,5.113125,13.0
71,3.7650316455696204,14.0,9.0,12.0,10.604430379746836,47.40427215189873,17,45,15,309,723,5.536875,14.0,4.994375,13.0
72,3.7106012658227847,14.0,9.0,12.0,10.705696202531646,47.48101265822785,11,53,11,260,581,5.609375,14.0,4.79,13.0
73,3.6582278481012658,14.0,9.0,11.0,10.563291139240507,47.126740506329114,8,46,8,381,963,5.386875,14.0,4.94,13.0
74,3.660917721518987,14.0,9.0,11.0,10.712025316455696,47.23607594936709,13,42,12,264,536,5.461875,14.0,5.0175,14.0
75,3.705379746835443,14.0,10.0,12.0,10.89240506329114,46.82816455696202,10,45,10,387,904,5.423125,14.0,5.2175,14.0
76,3.644145569620253,15.0,10.0,11.0,10.765822784810126,46.30949367088608,17,47,16,394,1019,5.42625,15.0,5.141875,14.0
77,3.5936708860759494,15.0,10.0,11.0,10.746835443037975,45.95727848101266,16,48,15,330,872,5.40375,15.0,5.03,14.0
