node_i,node_j,curvature
0,4,0.0
0,5,0.3125
0,20,0.5
0,26,0.4
1,3,0.44999999999999996
1,11,0.44999999999999996
1,14,0.24285714285714288
1,27,0.45000000000000007
1,37,-0.10000000000000009
2,7,0.41666666666666674
2,17,0.08333333333333315
2,23,0.33333333333333337
2,33,0.08333333333333348
2,35,0.33333333333333326
2,38,0.5833333333333333
3,11,0.625
3,14,0.1964285714285714
3,27,0.33333333333333326
4,5,0.1875
4,8,0.05555555555555558
4,17,-0.0625
4,21,0.19444444444444442
4,30,-0.08750000000000013
4,33,0.0
4,37,-0.18749999999999978
5,8,0.07638888888888895
5,17,0.1250000000000001
5,20,0.3125
5,21,-0.03472222222222232
5,26,0.3375
5,33,0.06250000000000022
6,15,-0.1607142857142856
6,24,0.0
6,31,0.04166666666666663
6,34,-0.0625
7,23,0.25
7,35,0.25
7,38,0.41666666666666663
8,15,0.23015873015873023
8,17,0.1777777777777777
8,21,0.11111111111111094
8,23,0.16666666666666652
8,33,0.36111111111111127
8,34,0.13194444444444453
8,35,0.16666666666666652
9,12,0.030303030303030387
9,19,-0.06060606060606055
9,24,0.125
9,31,0.08333333333333337
9,32,-0.15151515151515138
9,66,-0.6333333333333333
10,14,-0.11607142857142838
10,21,-0.4027777777777777
10,22,-0.1875
10,28,-0.10227272727272707
10,30,-0.0625
10,36,-0.1875
10,37,-0.10416666666666652
10,39,-0.1875
11,14,0.19642857142857162
11,27,0.33333333333333326
12,13,0.1780303030303032
12,16,0.17803030303030298
12,18,0.17803030303030298
12,19,0.40909090909090906
12,22,0.1780303030303032
12,24,-0.13636363636363646
12,31,-0.1439393939393938
12,32,0.31818181818181823
12,36,0.1780303030303032
12,39,0.17803030303030332
13,16,0.5416666666666667
13,18,0.5416666666666667
13,19,0.26893939393939414
13,22,0.41666666666666674
13,25,0.48863636363636365
13,28,0.2765151515151517
13,29,0.29166666666666696
13,32,0.3598484848484851
13,36,0.41666666666666674
13,39,0.41666666666666674
13,51,0.008333333333333526
14,27,0.20238095238095244
14,28,-0.3896103896103895
14,29,-0.40476190476190466
15,21,-0.08730158730158699
15,23,0.10317460317460325
15,33,0.11904761904761918
15,34,0.4553571428571429
15,35,0.10317460317460325
16,18,0.5416666666666667
16,19,0.26893939393939403
16,22,0.41666666666666674
16,25,0.48863636363636365
16,28,0.2765151515151517
16,29,0.29166666666666674
16,32,0.3598484848484851
16,36,0.41666666666666674
16,39,0.41666666666666674
16,51,0.008333333333333415
17,20,0.0
17,23,0.11111111111111127
17,26,0.09999999999999998
17,33,0.31666666666666654
17,35,0.11111111111111138
17,38,0.08333333333333337
18,19,0.26893939393939403
18,22,0.41666666666666674
18,25,0.48863636363636365
18,28,0.2765151515151517
18,29,0.29166666666666685
18,32,0.35984848484848486
18,36,0.41666666666666674
18,39,0.41666666666666674
18,51,0.008333333333333415
19,22,0.2689393939393939
19,25,0.2272727272727273
19,31,-0.23484848484848486
19,32,0.40909090909090917
19,36,0.26893939393939403
19,39,0.26893939393939403
20,26,0.4750000000000001
21,30,-0.011111111111111072
21,33,-0.01388888888888884
21,34,-0.13194444444444464
21,37,-0.11111111111111116
22,25,0.3863636363636366
22,28,0.359848484848485
22,29,0.3611111111111114
22,32,0.359848484848485
22,36,0.5416666666666667
22,39,0.5416666666666667
23,33,0.22222222222222232
23,34,0.013888888888889062
23,35,0.5555555555555556
23,38,0.33333333333333326
24,31,0.41666666666666663
25,28,0.31818181818181823
25,29,0.3333333333333336
25,32,0.31818181818181823
25,36,0.38636363636363646
25,39,0.38636363636363635
25,51,0.027272727272727337
26,33,-0.02499999999999991
27,30,-0.10000000000000009
27,37,0.0
28,29,0.4545454545454547
28,32,0.2272727272727273
28,36,0.359848484848485
28,39,0.35984848484848486
29,36,0.36111111111111116
29,39,0.36111111111111127
30,37,0.44999999999999996
31,34,-0.4375
32,36,0.35984848484848475
32,39,0.359848484848485
33,34,0.02083333333333326
33,35,0.22222222222222243
33,38,0.08333333333333326
34,35,0.01388888888888884
35,38,0.33333333333333337
36,39,0.5416666666666667
40,48,-0.2250000000000001
40,67,0.16666666666666663
40,69,0.04166666666666674
40,72,0.16666666666666663
41,42,0.28333333333333344
41,52,0.55
41,56,0.19285714285714273
41,58,0.23750000000000016
41,61,0.55
41,68,0.0
41,71,0.28333333333333344
41,73,0.0
41,75,0.2499999999999999
41,78,-2.220446049250313e-16
42,52,0.2833333333333332
42,56,0.45238095238095244
42,58,0.41666666666666674
42,61,0.2833333333333333
42,71,0.5833333333333333
43,45,0.14545454545454561
43,50,0.24999999999999978
43,57,0.4083333333333333
43,59,0.22307692307692306
43,62,0.29999999999999993
43,69,0.31666666666666676
43,70,0.4722222222222223
43,74,0.2272727272727273
43,78,-0.2500000000000002
43,79,0.4727272727272729
44,45,-0.21590909090909083
44,47,0.25
44,48,0.09999999999999998
44,54,0.3125
44,55,0.30000000000000004
44,63,0.3749999999999999
44,74,-0.261363636363636
44,77,0.25
45,48,0.018181818181818188
45,49,-0.3246753246753247
45,54,-0.14545454545454573
45,57,0.037878787878787956
45,62,0.3272727272727275
45,69,0.11742424242424254
45,70,0.21212121212121227
45,74,0.40909090909090917
45,79,0.09090909090909094
46,60,0.08333333333333337
46,68,0.1333333333333332
46,73,0.033333333333333104
47,54,0.2499999999999999
47,55,0.46666666666666656
47,63,0.33333333333333326
47,76,0.033333333333333326
47,77,0.5833333333333333
48,63,-0.06666666666666665
48,74,0.009090909090909038
49,53,-0.017857142857142794
49,54,-0.1071428571428572
49,62,-0.34285714285714297
49,65,-0.017857142857142794
49,66,0.09999999999999987
49,76,0.0
50,57,0.2250000000000001
50,59,0.32692307692307687
50,60,0.08333333333333326
50,67,0.15000000000000002
50,69,0.3666666666666668
50,70,0.26666666666666683
50,72,0.15000000000000002
50,74,0.0818181818181819
50,79,0.21363636363636362
51,64,-0.6000000000000001
52,56,0.19285714285714273
52,58,0.23750000000000004
52,61,0.55
52,68,0.0
52,71,0.2833333333333333
52,73,-2.220446049250313e-16
52,75,0.2499999999999999
52,78,0.0
53,64,-0.2250000000000001
53,65,0.625
53,66,0.12499999999999989
54,55,0.19999999999999984
54,62,-0.30000000000000027
54,63,0.2333333333333334
54,74,-0.23636363636363633
54,76,0.09999999999999987
54,77,0.25
55,63,0.44999999999999984
55,77,0.4666666666666667
56,58,0.4732142857142858
56,61,0.19285714285714273
56,64,-0.38571428571428523
56,71,0.45238095238095255
57,59,0.3205128205128205
57,62,0.18333333333333357
57,68,-0.2333333333333334
57,69,0.2500000000000001
57,70,0.34722222222222254
57,73,-0.18333333333333335
57,74,0.1250000000000001
57,78,-0.125
57,79,0.4734848484848485
58,61,0.23749999999999993
58,64,-0.4125000000000003
58,71,0.41666666666666663
58,78,-0.1875
59,60,0.13461538461538458
59,62,-0.0038461538461538325
59,67,0.09615384615384626
59,68,-0.16538461538461546
59,69,0.24038461538461553
59,70,0.1794871794871793
59,72,0.09615384615384637
59,73,-0.16538461538461524
59,78,-0.11538461538461542
59,79,0.2727272727272728
60,67,0.16666666666666674
60,68,-0.16666666666666674
60,72,0.16666666666666674
61,68,-2.220446049250313e-16
61,71,0.2833333333333333
61,73,-2.220446049250313e-16
61,75,0.24999999999999978
61,78,0.0
62,69,0.16666666666666674
62,70,0.3555555555555556
62,74,0.3272727272727274
62,79,0.23636363636363655
63,77,0.33333333333333326
64,65,-0.22499999999999987
65,66,0.12499999999999989
66,76,-0.19999999999999996
67,69,0.08333333333333326
67,72,0.5833333333333333
68,73,0.44999999999999996
68,75,0.19999999999999984
68,78,0.25
69,70,0.33333333333333337
69,72,0.08333333333333337
69,74,0.20833333333333348
69,79,0.28787878787878796
70,74,0.2828282828282829
70,79,0.404040404040404
73,75,0.19999999999999984
73,78,0.2999999999999998
73,79,-0.23636363636363633
74,79,0.18181818181818188
76,77,0.033333333333333215
78,79,-0.18181818181818166
