node_i,node_j,is_inter_cluster
0,12,False
0,21,False
0,30,False
0,39,False
1,2,False
1,4,False
1,7,False
1,8,False
1,19,False
1,22,False
1,24,False
1,26,False
1,31,False
1,36,False
2,4,False
2,7,False
2,8,False
2,13,False
2,15,False
2,17,False
2,20,False
2,24,False
2,25,False
2,27,False
2,36,False
3,5,False
3,10,False
3,14,False
3,29,False
3,37,False
4,7,False
4,8,False
4,13,False
4,15,False
4,17,False
4,20,False
4,25,False
4,27,False
4,28,False
4,32,False
4,35,False
4,36,False
5,6,False
5,23,False
5,29,False
6,23,False
6,34,False
6,38,False
7,8,False
7,22,False
7,24,False
7,27,False
7,31,False
7,36,False
8,15,False
8,22,False
8,24,False
8,26,False
8,31,False
8,36,False
9,15,False
9,16,False
9,18,False
9,20,False
9,24,False
9,25,False
9,28,False
10,14,False
10,29,False
10,37,False
11,19,False
11,22,False
11,31,False
11,33,False
12,21,False
12,23,False
12,30,False
12,34,False
12,38,False
12,39,False
13,15,False
13,17,False
13,20,False
13,23,False
13,25,False
13,27,False
13,28,False
13,32,False
13,34,False
13,35,False
13,36,False
13,39,False
14,29,False
14,37,False
15,16,False
15,18,False
15,20,False
15,24,False
15,25,False
15,28,False
15,32,False
15,35,False
15,36,False
16,24,False
17,20,False
17,23,False
17,25,False
17,27,False
17,28,False
17,32,False
17,34,False
17,35,False
17,36,False
17,39,False
18,20,False
18,25,False
18,28,False
18,32,False
18,35,False
18,47,True
18,67,True
18,78,True
19,22,False
19,31,False
19,33,False
20,25,False
20,27,False
20,28,False
20,32,False
20,35,False
20,36,False
20,39,False
21,23,False
21,30,False
21,34,False
21,35,False
21,38,False
21,39,False
22,31,False
22,33,False
23,27,False
23,34,False
23,35,False
23,38,False
23,39,False
24,26,False
24,36,False
25,27,False
25,28,False
25,32,False
25,35,False
25,36,False
25,39,False
27,28,False
27,32,False
27,34,False
27,35,False
27,36,False
27,39,False
28,32,False
28,35,False
28,39,False
30,34,False
30,39,False
31,33,False
32,35,False
32,39,False
32,67,True
34,35,False
34,38,False
34,39,False
35,39,False
38,39,False
40,41,False
40,42,False
40,46,False
40,58,False
40,72,False
40,79,False
41,42,False
41,46,False
41,50,False
41,58,False
41,60,False
41,64,False
41,66,False
41,72,False
41,79,False
42,46,False
42,48,False
42,50,False
42,58,False
42,60,False
42,66,False
42,71,False
42,72,False
43,44,False
43,51,False
43,53,False
43,54,False
43,55,False
43,56,False
43,57,False
43,61,False
43,65,False
43,73,False
43,77,False
44,53,False
44,55,False
44,56,False
44,57,False
44,61,False
44,73,False
44,77,False
45,49,False
45,51,False
45,52,False
45,59,False
45,63,False
45,69,False
45,70,False
45,74,False
45,75,False
45,76,False
46,48,False
46,58,False
46,60,False
47,67,False
47,78,False
48,60,False
48,67,False
48,78,False
49,50,False
49,51,False
49,65,False
49,66,False
49,70,False
49,71,False
50,58,False
50,60,False
50,65,False
50,66,False
50,71,False
50,72,False
51,54,False
51,61,False
51,62,False
51,65,False
51,68,False
51,69,False
51,70,False
51,74,False
51,76,False
52,59,False
52,63,False
52,75,False
52,76,False
53,55,False
53,56,False
53,57,False
53,65,False
53,73,False
53,77,False
54,61,False
54,62,False
54,68,False
54,69,False
54,74,False
54,77,False
55,56,False
55,57,False
55,61,False
55,73,False
55,77,False
56,57,False
56,73,False
56,77,False
57,65,False
57,73,False
57,77,False
58,60,False
58,64,False
58,66,False
58,71,False
58,72,False
58,79,False
59,62,False
59,63,False
59,68,False
59,69,False
59,70,False
59,74,False
59,75,False
59,76,False
60,66,False
60,71,False
61,62,False
61,68,False
61,74,False
61,77,False
62,68,False
62,69,False
62,70,False
62,74,False
62,76,False
63,75,False
63,76,False
64,72,False
64,79,False
65,66,False
65,70,False
65,71,False
66,71,False
66,72,False
67,78,False
68,69,False
68,70,False
68,74,False
68,76,False
69,70,False
69,74,False
69,75,False
69,76,False
70,74,False
70,76,False
71,72,False
72,79,False
73,77,False
74,76,False
75,76,False
