node_i,node_j,curvature,bottleneck_importance
0,1,-0.04201680672268915,0.0662083015024193
0,3,0.04017857142857162,0.0
0,12,0.26260504201680657,0.0
0,14,-0.13571428571428523,0.21385281385281318
0,24,-0.03571428571428559,0.0562770562770561
0,25,0.07142857142857162,0.0
0,28,0.09523809523809512,0.0
0,31,0.07142857142857162,0.0
0,34,-0.1026785714285714,0.1617965367965368
0,35,-0.14285714285714324,0.2251082251082258
0,39,0.06428571428571439,0.0
0,40,-0.0714285714285714,0.11255411255411255
0,45,0.13736263736263743,0.0
0,46,0.20833333333333337,0.0
1,4,0.22994652406417138,0.0
1,9,0.2299465240641715,0.0
1,12,0.11764705882352933,0.0
1,13,0.4096638655462188,0.0
1,20,0.2805429864253396,0.0
1,30,0.40336134453781536,0.0
1,34,0.45220588235294124,0.0
1,35,0.3025210084033617,0.0
1,37,0.261764705882353,0.0
1,39,0.09215686274509816,0.0
1,40,0.397058823529412,0.0
1,41,-0.06951871657753994,0.10954464430400238
1,43,0.261764705882353,0.0
1,44,-0.10588235294117632,0.16684491978609609
1,45,-0.18099547511312197,0.2852049910873438
1,46,-0.06862745098039214,0.10814022578728462
2,6,0.04999999999999993,0.0
2,17,-0.07500000000000018,0.11818181818181851
2,21,0.09999999999999987,0.0
2,23,0.0346153846153846,0.0
2,24,0.042857142857142816,0.0
2,28,-0.050000000000000044,0.07878787878787889
2,31,-0.021428571428571352,0.03376623376623366
2,38,-0.11666666666666647,0.1838383838383836
2,47,-0.12142857142857122,0.1913419913419911
2,48,0.3999999999999999,0.0
3,12,-0.14154411764705888,0.2230392156862747
3,14,0.3124999999999998,0.0
3,17,0.13541666666666663,0.0
3,18,0.19791666666666696,0.0
3,19,0.04017857142857162,0.0
3,23,0.23798076923076938,0.0
3,24,0.3660714285714288,0.0
3,25,0.3750000000000002,0.0
3,28,0.03333333333333344,0.0
3,31,0.04464285714285732,0.0
3,33,0.19791666666666696,0.0
3,38,0.05208333333333348,0.0
3,45,-0.1538461538461542,0.24242424242424307
3,46,-0.04166666666666696,0.06565656565656615
3,48,0.0,-0.0
4,8,0.027272727272727337,0.0
4,9,0.5454545454545454,0.0
4,13,0.31818181818181823,0.0
4,20,0.43356643356643354,0.0
4,30,0.288961038961039,0.0
4,34,0.24431818181818188,0.0
4,35,0.3896103896103895,0.0
4,37,0.4727272727272729,0.0
4,40,0.31818181818181823,0.0
4,43,0.4727272727272729,0.0
5,7,0.24679487179487192,0.0
5,16,0.125,0.0
5,26,0.41666666666666674,0.0
5,27,-0.026515151515151825,0.041781450872360466
5,28,-0.02499999999999991,0.03939393939393927
5,29,0.21666666666666656,0.0
5,31,-0.03571428571428559,0.0562770562770561
5,32,0.20238095238095244,0.0
5,36,0.20833333333333337,0.0
5,39,-0.07499999999999996,0.11818181818181817
5,45,0.0769230769230771,0.0
5,47,-0.13690476190476186,0.21572871572871574
6,11,-0.10000000000000009,0.15757575757575779
6,21,0.44999999999999996,0.0
6,47,0.19999999999999996,0.0
6,48,-0.050000000000000044,0.07878787878787889
7,12,-0.042986425339366585,0.06773618538324434
7,26,0.16346153846153855,0.0
7,27,0.14335664335664355,0.0
7,28,-0.03333333333333344,0.05252525252525271
7,29,0.038461538461538325,0.0
7,31,-0.07142857142857117,0.1125541125541122
7,32,0.038461538461538436,0.0
7,36,0.47435897435897434,0.0
7,39,0.12051282051282053,0.0
7,41,-0.027972027972027913,0.04407713498622582
7,44,0.0038461538461538325,0.0
7,45,0.1923076923076925,0.0
8,9,0.027272727272727337,0.0
8,15,-0.2999999999999998,0.47272727272727266
8,20,0.030769230769230882,0.0
8,35,0.014285714285714457,0.0
9,13,0.31818181818181823,0.0
9,20,0.43356643356643354,0.0
9,30,0.28896103896103886,0.0
9,34,0.24431818181818166,0.0
9,35,0.3896103896103895,0.0
9,37,0.4727272727272729,0.0
9,40,0.31818181818181845,0.0
9,43,0.4727272727272729,0.0
10,27,0.14772727272727293,0.0
10,41,0.14772727272727304,0.0
10,42,0.625,0.0
10,44,0.17499999999999993,0.0
11,16,0.2833333333333332,0.0
11,26,0.05833333333333324,0.0
11,32,0.05714285714285716,0.0
11,47,0.24285714285714288,0.0
12,13,0.02941176470588247,0.0
12,20,-0.08597285067873317,0.1354723707664887
12,25,-0.12815126050420145,0.20193531958237812
12,28,0.0039215686274512995,0.0
12,30,0.01680672268907568,0.0
12,31,-0.02941176470588247,0.04634581105169361
12,34,0.05698529411764719,0.0
12,35,-0.042016806722688926,0.06620830150241894
12,36,0.00490196078431393,0.0
12,39,0.2352941176470591,0.0
12,40,0.02941176470588247,0.0
12,45,0.12443438914027138,0.0
12,46,0.10784313725490202,0.0
13,20,0.370879120879121,0.0
13,30,0.4642857142857143,0.0
13,34,0.3973214285714287,0.0
13,35,0.3928571428571428,0.0
13,37,0.3500000000000001,0.0
13,39,-0.0023809523809523725,0.00375180375180374
13,40,0.4642857142857143,0.0
13,41,-0.11363636363636376,0.17906336088154295
13,43,0.3500000000000003,0.0
13,46,-0.10714285714285676,0.1688311688311683
14,17,0.21666666666666656,0.0
14,18,0.3666666666666668,0.0
14,19,0.15714285714285703,0.0
14,23,0.26538461538461533,0.0
14,24,0.2785714285714286,0.0
14,25,0.2928571428571427,0.0
14,33,0.3666666666666667,0.0
14,38,0.13333333333333341,0.0
15,22,-0.04761904761904767,0.07503607503607515
15,49,-0.03333333333333344,0.05252525252525271
16,26,0.20833333333333348,0.0
16,29,0.31666666666666665,0.0
16,32,0.33333333333333326,0.0
16,47,0.059523809523809534,0.0
17,18,0.08333333333333337,0.0
17,23,0.3621794871794872,0.0
17,24,0.25,0.0
17,25,0.059523809523809534,0.0
17,33,0.08333333333333337,0.0
17,38,0.41666666666666674,0.0
17,48,0.025000000000000022,0.0
17,56,-0.375,0.5909090909090912
17,74,-0.25,0.3939393939393941
18,19,0.3035714285714285,0.0
18,22,0.11904761904761907,0.0
18,23,0.11538461538461542,0.0
18,24,0.13690476190476208,0.0
18,25,0.24404761904761907,0.0
18,33,0.5416666666666667,0.0
