slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,12.516363636363636,28.0,23.0,26.0,24.63030303030303,32.7089898989899,13,60,13,285,1539,18.1068,28.0,15.0276,26.0
51,12.556666666666667,28.0,23.0,26.0,24.90909090909091,32.65737373737374,23,56,16,656,4155,18.2692,28.0,14.5468,26.0
52,12.740808080808081,29.0,24.0,27.0,25.525252525252526,33.06272727272727,19,47,18,410,2434,18.422,29.0,14.9312,27.0
53,12.61080808080808,29.0,24.0,27.0,25.76969696969697,32.687777777777775,11,59,11,861,5445,18.2908,29.0,14.6808,28.0
54,12.516363636363636,30.0,24.0,27.0,26.141414141414142,32.36929292929293,18,52,15,850,5192,18.4144,30.0,14.3884,28.0
55,12.482323232323232,31.0,24.0,28.0,26.29090909090909,32.474848484848486,19,57,18,581,3604,18.4768,31.0,14.4716,28.0
56,12.29919191919192,31.0,24.0,28.0,26.32929292929293,32.094040404040406,13,53,13,753,5476,18.5992,31.0,14.3504,28.0
57,12.125757575757575,31.0,25.0,28.0,26.476767676767675,31.63191919191919,13,67,13,831,5875,18.6076,31.0,14.6084,29.0
58,12.270909090909091,32.0,25.0,29.0,27.058585858585857,31.68888888888889,15,71,14,597,3711,18.7936,32.0,14.7816,29.0
59,12.55929292929293,32.0,26.0,29.0,27.56969696969697,32.29343434343434,21,55,18,271,1501,19.3136,32.0,14.8232,30.0
60,12.610606060606061,32.0,26.0,29.0,28.060606060606062,32.26373737373737,19,62,17,608,4145,19.3524,32.0,14.7012,31.0
61,12.800707070707071,33.0,27.0,30.0,28.54141414141414,32.786464646464644,20,47,15,263,1880,19.692,33.0,14.9752,32.0
62,12.94959595959596,33.0,27.0,30.0,28.747474747474747,33.103131313131314,12,51,12,389,2684,19.7096,33.0,15.3752,32.0
63,13.201919191919192,34.0,27.0,31.0,29.268686868686867,33.7539393939394,14,71,14,282,1462,20.1544,34.0,15.7152,32.0
64,13.567373737373737,35.0,28.0,31.0,29.822222222222223,34.53111111111111,10,71,10,205,837,20.5744,35.0,16.1852,33.0
65,13.7389898989899,36.0,28.0,31.0,30.268686868686867,34.84292929292929,17,65,17,426,2855,20.7216,36.0,16.648,34.0
66,13.412424242424242,37.0,28.0,32.0,30.193939393939395,34.034444444444446,18,52,14,1002,7391,20.3116,37.0,16.6768,32.0
67,13.612121212121211,37.0,29.0,32.0,30.622222222222224,34.63111111111111,11,58,11,290,1587,20.6116,37.0,17.0112,33.0
68,13.8089898989899,38.0,29.0,33.0,30.816161616161615,35.19646464646465,16,61,16,309,1813,20.8712,38.0,17.4712,33.0
69,13.93939393939394,39.0,29.0,34.0,31.383838383838384,35.653535353535354,11,54,11,329,2174,21.1552,39.0,17.7036,34.0
70,14.0,39.0,29.0,34.0,31.462626262626262,35.813737373737375,19,63,18,528,3459,21.1388,39.0,17.9724,35.0
71,14.135252525252525,40.0,29.0,35.0,31.905050505050504,36.234848484848484,14,48,13,356,2423,21.2812,40.0,18.2368,36.0
72,13.914848484848484,37.0,29.0,33.0,32.05656565656566,35.62464646464647,13,60,12,899,6439,20.9668,35.0,18.2588,37.0
73,14.14929292929293,38.0,30.0,34.0,32.65050505050505,36.29121212121212,14,51,14,251,1342,21.3664,36.0,18.5988,38.0
74,14.216262626262626,39.0,30.0,34.0,32.94343434343434,36.62080808080808,17,59,17,436,2802,21.7064,37.0,18.854,39.0
75,14.435555555555556,39.0,31.0,34.0,33.34747474747475,37.313434343434345,8,42,8,235,1195,22.0664,37.0,18.9988,39.0
76,14.663333333333334,39.0,31.0,35.0,33.85050505050505,37.87191919191919,17,57,17,286,1705,22.3648,37.0,19.314,39.0
77,14.755656565656565,40.0,31.0,36.0,34.07676767676767,38.16080808080808,19,57,16,368,2848,22.11,38.0,19.694,40.0
78,14.873131313131314,40.0,31.0,36.0,34.47070707070707,38.68575757575758,19,55,18,289,1906,22.1932,39.0,19.9384,40.0
79,14.603939393939394,41.0,31.0,36.0,34.51919191919192,38.257474747474745,11,61,11,838,5536,22.17,39.0,19.4584,41.0
80,14.542525252525252,42.0,31.0,36.0,34.95353535353535,38.32666666666667,14,54,11,444,3677,21.7952,40.0,19.6984,42.0
81,14.693838383838385,43.0,32.0,37.0,35.29090909090909,38.704949494949496,10,39,9,423,2462,22.1552,40.0,19.7604,43.0
82,14.86141414141414,43.0,32.0,37.0,35.60606060606061,39.18090909090909,18,60,17,364,2004,22.5552,41.0,19.798,43.0
83,14.68070707070707,44.0,32.0,38.0,35.8020202020202,38.78424242424242,21,49,18,648,5551,21.6056,41.0,20.0648,44.0
84,14.60010101010101,44.0,31.049999999999272,38.0,35.826262626262626,38.752626262626265,21,58,18,513,3966,21.634,41.0,20.0508,44.0
85,14.622323232323232,45.0,31.0,38.0,35.8,38.69050505050505,11,61,11,560,4136,21.476,41.0,20.2796,45.0
86,14.799393939393939,46.0,32.0,38.0,36.15959595959596,39.016969696969696,22,58,20,468,2603,21.916,41.0,20.4516,46.0
87,14.795656565656566,46.0,32.0,39.0,36.38989898989899,38.93090909090909,14,61,12,564,4294,21.3512,42.0,20.8916,46.0
88,15.136767676767677,47.0,32.0,40.0,36.88484848484848,39.631919191919195,16,51,15,246,1177,21.8712,43.0,21.2144,47.0
89,15.451515151515151,47.0,33.0,40.0,37.16969696969697,40.41848484848485,15,64,14,185,844,22.2112,43.0,21.6744,47.0
90,15.524848484848485,47.0,33.0,40.0,37.561616161616165,40.593333333333334,13,63,12,515,3234,22.5836,44.0,21.8116,47.0
91,15.482222222222223,47.0,33.0,40.0,37.406060606060606,40.62414141414141,12,60,11,547,3887,22.2888,44.0,22.0204,47.0
92,15.268888888888888,47.0,32.0,41.0,37.03232323232323,40.05707070707071,14,56,12,744,6171,22.1868,45.0,21.1184,47.0
93,15.408383838383838,47.0,32.0,41.0,37.084848484848486,40.34474747474747,11,58,11,353,2777,22.0432,45.0,21.4828,47.0
94,15.44141414141414,47.0,32.0,41.0,37.14949494949495,40.438080808080805,19,67,17,469,3534,22.1748,45.0,21.346,47.0
95,15.591616161616162,48.0,32.0,42.0,37.472727272727276,40.958888888888886,14,48,13,275,1978,22.5148,45.0,21.706,48.0
96,15.64030303030303,45.0,31.0,43.0,36.6989898989899,40.82525252525252,14,67,14,509,4468,22.0024,45.0,22.0148,44.0
97,15.695454545454545,46.0,31.0,43.0,36.28888888888889,41.09656565656566,22,61,20,370,2919,21.7108,46.0,22.3148,44.0
98,15.432020202020203,46.0,31.0,42.0,36.0040404040404,40.28848484848485,11,54,9,736,6964,22.0928,46.0,20.778,44.0
99,15.481919191919191,46.0,31.0,39.0,35.375757575757575,40.385555555555555,18,64,16,384,3565,21.6304,46.0,21.1048,45.0
100,15.378383838383838,46.0,31.0,36.0,34.44646464646465,40.325050505050505,15,63,15,439,4193,21.1648,32.0,21.1632,46.0
101,15.463333333333333,47.0,31.0,36.0,34.67878787878788,40.588181818181816,14,55,12,380,2822,21.348,33.0,21.4992,47.0
102,15.638787878787879,47.0,31.0,36.0,34.82020202020202,40.89393939393939,18,62,17,376,2619,21.7188,33.0,21.4396,47.0
103,15.666969696969696,48.0,32.0,36.0,34.94343434343434,41.075353535353536,14,59,13,390,3186,21.942,34.0,21.5064,48.0
104,15.702525252525252,49.0,31.0,36.0,34.9010101010101,41.42212121212121,17,57,14,374,2519,22.262,34.0,21.3096,49.0
105,15.86070707070707,50.0,32.0,36.0,35.02626262626263,41.90343434343434,15,58,15,269,1998,22.2668,34.0,21.674,50.0
106,15.698383838383839,50.0,32.0,36.0,34.95757575757576,41.51262626262626,17,63,16,609,5369,22.6064,35.0,20.9792,50.0
107,15.88979797979798,51.0,32.0,36.01000000000022,35.36767676767677,41.80171717171717,17,54,14,429,2857,23.1064,36.0,21.1336,51.0
108,15.62,51.0,32.0,37.0,35.43434343434343,40.94777777777778,17,60,17,819,7027,23.4384,37.0,20.4424,51.0
109,15.60909090909091,51.0,33.0,36.0,35.385858585858585,40.91565656565657,9,52,9,485,3870,23.8384,38.0,20.022,51.0
110,15.69010101010101,51.0,33.0,36.0,35.58585858585859,41.1359595959596,18,61,16,440,3059,24.2384,39.0,20.0028,51.0
111,15.633939393939395,51.0,33.0,37.0,35.65858585858586,41.088181818181816,17,70,17,598,4021,24.3168,40.0,19.7688,51.0
112,15.742424242424242,51.0,33.0,36.0,35.9010101010101,41.290808080808084,15,64,15,473,3084,24.3148,41.0,20.0348,51.0
113,15.391313131313131,51.0,33.0,37.0,35.733333333333334,40.423131313131314,9,51,9,702,7238,24.072,41.0,19.7896,51.0
114,15.612525252525252,51.0,33.0,37.0,36.044444444444444,40.92686868686869,14,53,14,295,1968,24.4228,37.0,20.2296,51.0
115,15.8510101010101,52.0,33.0,37.0,36.303030303030305,41.436565656565655,17,65,16,347,1896,24.5416,37.0,20.6776,52.0
116,15.40050505050505,52.0,33.0,37.0,35.365656565656565,40.38838383838384,11,54,11,881,7925,24.5392,38.0,19.6756,52.0
117,15.618181818181819,53.0,33.0,38.0,35.783838383838386,40.92868686868687,17,40,11,302,1805,24.5776,38.0,20.1156,53.0
118,15.731414141414142,54.0,33.0,38.0,36.19595959595959,41.20868686868687,18,52,16,437,2839,24.9336,38.0,20.288,54.0
119,15.709393939393939,54.0,34.0,38.0,36.52929292929293,40.943030303030305,15,68,15,763,4970,24.9716,39.0,20.704,54.0
120,16.06171717171717,55.0,34.0,39.0,37.0989898989899,41.5710101010101,13,48,12,217,1462,25.4476,40.0,21.2024,55.0
121,16.086161616161615,40.0,34.0,39.0,37.31515151515151,41.43878787878788,15,65,14,635,4411,25.9876,40.0,21.1636,38.0
122,16.256060606060608,41.0,34.0,39.0,37.660606060606064,41.83313131313131,18,46,15,418,2476,26.2464,41.0,21.4704,39.0
123,16.047878787878787,41.0,34.0,40.0,37.5979797979798,41.38020202020202,14,58,13,570,5823,25.2272,41.0,21.6716,39.0
124,16.35969696969697,42.0,35.0,40.0,38.0989898989899,42.06444444444445,20,59,18,135,1269,25.3424,42.0,22.0916,39.0
125,16.392929292929292,43.0,35.0,40.0,38.31515151515151,42.07606060606061,17,55,15,486,3928,25.2132,43.0,22.3084,39.0
126,16.535050505050506,44.0,35.0,41.0,38.47676767676768,42.28838383838384,19,58,15,360,3048,25.0364,44.0,22.7812,40.0
127,16.557979797979797,45.0,35.0,41.0,38.64646464646464,42.262121212121215,15,66,15,499,4030,24.8668,45.0,23.1212,40.0
128,16.525353535353535,45.0,35.0,41.0,38.82222222222222,42.19282828282828,19,56,16,584,4283,25.016,45.0,22.746,41.0
129,16.59232323232323,45.0,35.0,41.0,39.07676767676767,42.681111111111115,11,65,11,358,2010,25.136,45.0,23.166,41.0
130,16.61888888888889,45.0,35.0,42.0,39.20808080808081,42.755959595959595,22,55,18,484,3697,25.3352,45.0,23.0096,41.0
131,16.341313131313132,45.0,35.0,42.0,39.06060606060606,42.111111111111114,15,54,14,653,6510,24.6372,45.0,22.932,41.0
132,16.41090909090909,45.0,35.0,43.0,39.49090909090909,42.268787878787876,13,52,11,453,3370,24.9652,45.0,22.5768,41.0
133,15.839191919191919,45.0,36.0,42.0,39.153535353535354,40.76858585858586,18,59,16,966,9719,23.558,45.0,22.5992,41.0
134,15.375656565656566,45.0,36.0,42.0,39.333333333333336,39.42030303030303,11,66,11,1013,9341,22.6992,45.0,22.1776,42.0
135,15.36010101010101,45.0,36.0,42.0,39.282828282828284,39.32555555555555,17,47,14,466,4312,22.4888,45.0,21.8948,42.0
136,15.486969696969696,46.0,35.04999999999927,43.0,39.333333333333336,39.55808080808081,13,52,13,402,3100,22.9088,46.0,21.5596,43.0
137,15.376767676767678,47.0,35.0,43.0,39.494949494949495,39.39767676767677,17,60,14,589,4556,22.5096,47.0,21.8576,43.0
138,15.200303030303031,47.0,35.0,42.0,39.4969696969697,38.87838383838384,16,67,16,790,6202,22.3728,47.0,21.4224,43.0
139,15.385151515151515,48.0,36.0,43.0,39.75757575757576,39.275252525252526,13,55,12,411,2427,22.7028,48.0,21.6636,44.0
140,15.342828282828282,48.0,35.0,43.0,39.67878787878788,39.156666666666666,13,67,13,542,4478,22.4764,48.0,21.6188,44.0
141,14.920505050505051,49.0,34.0,42.0,39.11515151515152,38.24949494949495,14,64,13,884,7646,22.8364,49.0,19.9708,44.0
142,14.635656565656566,49.0,32.0,41.0,37.955555555555556,37.39464646464646,11,53,11,817,7374,21.5404,49.0,20.0232,45.0
143,14.713939393939395,50.0,33.0,41.0,38.01414141414141,37.544141414141414,13,63,13,514,3482,21.6744,50.0,20.2036,45.0
144,14.709393939393939,50.0,33.0,41.0,37.80404040404041,37.47010101010101,11,41,10,505,4302,21.9828,50.0,19.9872,41.0
145,14.345555555555556,51.0,33.0,41.0,37.74545454545454,36.52929292929293,13,62,13,952,7463,20.948,51.0,19.7348,41.0
146,14.107878787878787,51.0,32.0,41.0,36.624242424242425,35.73343434343435,11,55,11,846,7006,19.644,51.0,20.2348,41.0
147,14.31151515151515,52.0,33.0,41.0,37.06868686868687,36.0610101010101,13,62,13,449,2637,20.104,52.0,20.7148,42.0
148,14.144040404040403,52.0,31.0,40.0,36.15959595959596,35.59070707070707,13,55,13,711,5816,19.3532,52.0,20.8888,42.0
149,14.233131313131313,52.0,31.0,38.01000000000022,35.73535353535353,35.82676767676767,13,69,13,371,3078,19.2652,52.0,21.112,43.0
150,14.492222222222223,52.0,31.0,39.0,36.173737373737374,36.47242424242424,12,56,11,221,1494,19.6652,52.0,21.3952,43.0
151,14.19111111111111,53.0,30.0,36.0,34.816161616161615,35.82090909090909,15,63,15,655,6545,18.85,53.0,21.4416,43.0
