slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,12.799696969696969,28.0,24.0,26.0,25.270707070707072,33.542020202020204,18,53,16,807,5388,16.7652,28.0,16.442,26.0
51,13.023737373737374,28.0,24.0,27.0,25.854545454545455,33.95272727272727,19,64,17,429,2336,17.1212,28.0,16.922,27.0
52,13.265050505050505,29.0,25.0,27.0,26.274747474747475,34.46272727272727,15,47,14,327,1868,17.404,29.0,17.382,28.0
53,13.382727272727273,29.0,25.0,27.0,26.848484848484848,34.69060606060606,13,66,12,481,2993,17.5044,29.0,17.902,29.0
54,13.329191919191919,30.0,26.0,28.0,27.44242424242424,34.508383838383835,19,55,17,644,4787,17.7356,30.0,18.15,29.0
55,13.301111111111112,31.0,26.0,29.0,27.947474747474747,34.64616161616161,16,62,13,520,3545,18.0756,31.0,18.47,30.0
56,13.493232323232323,31.0,26.0,29.0,28.094949494949496,35.223535353535354,14,56,14,254,1761,18.3404,31.0,18.79,30.0
57,13.268888888888888,31.0,26.0,29.0,28.171717171717173,34.63030303030303,11,53,11,855,6379,17.14,31.0,19.19,30.0
58,13.285353535353535,32.0,27.0,29.0,28.616161616161616,34.346161616161616,16,54,14,652,4985,16.5092,32.0,19.714,30.0
59,13.43939393939394,32.0,26.0,30.0,28.97171717171717,34.611717171717174,14,58,13,433,2831,16.9332,32.0,19.7748,30.0
60,13.634040404040404,32.0,26.049999999999272,30.0,29.476767676767675,34.899292929292926,15,63,14,487,2726,17.2884,32.0,20.0764,30.0
61,13.694646464646464,31.0,27.0,31.0,30.004040404040403,35.12858585858586,13,60,12,520,3162,17.3508,31.0,20.4584,31.0
62,13.85050505050505,32.0,28.0,31.0,30.09292929292929,35.4489898989899,20,51,17,398,2615,17.7472,31.0,20.6768,32.0
63,14.047676767676768,33.0,28.0,31.0,30.355555555555554,35.88969696969697,15,53,14,352,2008,18.1816,32.0,21.0168,33.0
64,14.18949494949495,33.0,28.0,31.0,30.632323232323234,36.127575757575755,11,55,11,408,3051,18.2392,33.0,21.4588,33.0
65,14.363434343434344,34.0,28.0,32.0,30.965656565656566,36.41434343434344,16,65,15,427,2832,18.3048,34.0,21.9388,33.0
66,14.526565656565657,35.0,28.0,33.0,31.305050505050506,36.772525252525256,17,49,12,343,2543,18.0596,35.0,22.3988,33.0
67,14.527171717171717,35.0,29.0,34.0,31.727272727272727,36.91,15,55,14,493,3558,18.1216,35.0,22.5116,34.0
68,14.787070707070708,36.0,29.0,34.0,31.97171717171717,37.61212121212121,22,52,19,214,1189,18.3704,36.0,22.9336,34.0
69,15.032828282828282,37.0,29.0,34.0,32.37979797979798,38.35636363636364,18,62,17,205,1032,18.7504,37.0,23.2536,35.0
70,15.337474747474747,37.0,29.0,34.0,32.72727272727273,39.09777777777778,20,52,16,186,1043,19.1248,37.0,23.6736,36.0
71,15.624747474747474,38.0,30.0,35.0,33.51919191919192,39.872727272727275,22,59,21,166,918,19.5448,38.0,24.0136,37.0
72,15.839494949494949,38.0,31.0,35.0,33.96363636363636,40.352929292929296,16,70,15,378,2131,19.9508,38.0,24.4136,38.0
73,15.897272727272727,39.0,31.0,36.0,34.23232323232323,40.56141414141414,23,57,17,399,3091,19.9884,39.0,24.3708,39.0
74,16.03979797979798,40.0,31.0,37.0,34.557575757575755,41.05414141414141,19,64,15,329,2054,20.2456,40.0,24.7304,40.0
75,16.15020202020202,40.0,32.0,37.0,34.8,41.49,12,54,12,333,2273,20.4244,40.0,24.8984,40.0
76,15.755454545454546,40.0,32.0,37.0,34.99393939393939,40.5189898989899,7,58,7,906,7868,19.1376,40.0,25.2044,40.0
77,15.848888888888888,41.0,32.0,37.0,35.442424242424245,40.81808080808081,14,46,13,370,2837,19.212,41.0,25.3648,41.0
78,15.647878787878788,42.0,33.0,38.0,35.753535353535355,40.53454545454545,14,65,14,710,5059,18.9444,42.0,25.5708,41.0
