source,version,generation_slot,completion_slot,delay,completed
0,1,0,56,56,True
2,1,0,60,60,True
5,1,0,60,60,True
6,1,0,60,60,True
8,1,0,56,56,True
11,1,0,112,112,True
12,1,0,56,56,True
14,1,0,56,56,True
17,1,0,56,56,True
20,1,0,60,60,True
23,1,0,56,56,True
25,1,0,91,91,True
27,1,0,112,112,True
35,1,0,56,56,True
39,1,0,60,60,True
42,1,0,56,56,True
43,1,0,60,60,True
47,1,0,56,56,True
56,1,0,114,114,True
57,1,0,87,87,True
58,1,0,70,70,True
59,1,0,56,56,True
60,1,0,70,70,True
71,1,0,87,87,True
73,1,0,48,48,True
76,1,0,87,87,True
79,1,0,87,87,True
81,1,0,87,87,True
82,1,0,56,56,True
84,1,0,56,56,True
85,1,0,48,48,True
87,1,0,87,87,True
90,1,0,87,87,True
91,1,0,114,114,True
92,1,0,87,87,True
94,1,0,87,87,True
95,1,0,87,87,True
1,1,1,60,59,True
4,1,1,56,55,True
8,2,1,56,55,True
9,1,1,112,111,True
10,1,1,60,59,True
12,2,1,56,55,True
18,1,1,60,59,True
19,1,1,60,59,True
21,1,1,56,55,True
24,1,1,60,59,True
33,1,1,112,111,True
35,2,1,91,90,True
36,1,1,60,59,True
38,1,1,56,55,True
40,1,1,91,90,True
44,1,1,60,59,True
45,1,1,56,55,True
47,2,1,56,55,True
49,1,1,56,55,True
52,1,1,56,55,True
53,1,1,87,86,True
55,1,1,48,47,True
64,1,1,70,69,True
66,1,1,48,47,True
70,1,1,48,47,True
71,2,1,87,86,True
73,2,1,48,47,True
75,1,1,87,86,True
76,2,1,87,86,True
80,1,1,48,47,True
83,1,1,87,86,True
84,2,1,56,55,True
86,1,1,87,86,True
87,2,1,87,86,True
89,1,1,87,86,True
90,2,1,87,86,True
93,1,1,87,86,True
97,1,1,87,86,True
98,1,1,70,69,True
2,2,2,60,58,True
5,2,2,60,58,True
7,1,2,112,110,True
8,3,2,56,54,True
9,2,2,112,110,True
14,2,2,56,54,True
21,2,2,56,54,True
22,1,2,60,58,True
24,2,2,60,58,True
26,1,2,60,58,True
27,2,2,112,110,True
32,1,2,56,54,True
35,3,2,91,89,True
39,2,2,60,58,True
41,1,2,56,54,True
42,2,2,60,58,True
