slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,16.096565656565655,30.0,26.0,28.0,27.10909090909091,40.30010101010101,18,68,17,506,3524,20.3368,30.0,20.1148,28.0
51,16.29060606060606,30.0,26.0,29.0,27.462626262626262,40.73141414141414,22,67,19,375,2336,20.6768,30.0,20.6348,29.0
52,16.66040404040404,31.0,26.0,30.0,28.18989898989899,41.60262626262626,24,51,19,120,497,21.1368,31.0,21.0148,30.0
53,16.75929292929293,31.0,27.0,30.0,28.525252525252526,41.7820202020202,17,73,15,516,3278,21.6168,31.0,21.3948,30.0
54,17.14787878787879,32.0,27.0,31.0,29.234343434343433,42.66535353535353,30,49,19,115,509,21.9968,32.0,21.8664,31.0
55,17.526464646464646,32.0,28.0,31.0,29.523232323232325,43.55646464646465,26,41,15,82,509,22.3968,32.0,22.3264,31.0
56,17.7720202020202,32.0,28.0,32.0,29.89090909090909,44.3,26,55,21,180,1133,22.8168,32.0,22.6264,32.0
57,18.012424242424242,33.0,28.0,33.0,30.573737373737373,45.00252525252525,27,61,24,247,1283,23.2368,33.0,22.9464,33.0
58,18.266666666666666,34.0,29.0,33.0,31.076767676767677,45.46858585858586,22,62,21,374,2136,23.7168,34.0,23.4064,33.0
59,18.486767676767677,34.0,30.0,33.0,31.375757575757575,46.00090909090909,22,62,20,311,1979,24.128,34.0,23.7696,33.0
60,18.68919191919192,35.0,30.0,33.0,31.925252525252525,46.52454545454545,28,51,19,252,1956,24.508,35.0,24.1896,33.0
61,19.047070707070706,35.0,30.0,34.0,32.577777777777776,47.33343434343434,27,54,20,188,813,24.968,35.0,24.5244,34.0
62,19.234343434343433,36.0,31.0,34.0,32.98383838383838,47.96828282828283,22,55,19,281,1512,25.328,36.0,24.8444,34.0
63,19.52,36.0,32.0,34.0,33.35757575757576,48.61606060606061,22,52,20,228,1429,25.828,36.0,25.2044,34.0
64,19.69,36.0,32.0,35.0,33.74747474747475,49.0620202020202,27,51,20,322,2277,26.068,36.0,25.7644,35.0
65,19.775151515151514,36.0,33.0,35.0,34.31717171717172,49.262424242424245,24,54,21,391,3216,26.508,36.0,26.1444,35.0
66,20.057979797979797,36.0,33.0,36.0,34.8020202020202,50.01292929292929,26,50,23,154,1061,26.928,36.0,26.5044,36.0
67,20.187272727272727,36.0,34.0,36.0,35.15555555555556,50.51141414141414,25,53,18,283,1987,27.208,36.0,26.8844,36.0
68,20.35161616161616,37.0,34.0,37.0,35.67878787878788,50.86868686868687,25,49,18,330,2630,27.728,37.0,27.2244,37.0
69,20.590707070707072,37.0,34.0,37.0,35.93333333333333,51.43121212121212,19,66,17,330,1890,28.148,37.0,27.5792,37.0
70,20.90131313131313,38.0,35.0,37.0,36.557575757575755,52.074141414141415,20,68,20,211,1479,28.608,38.0,28.0392,37.0
71,21.14878787878788,38.0,35.0,38.0,37.11313131313131,52.87090909090909,27,54,24,161,817,28.908,38.0,28.3708,38.0
72,21.41323232323232,39.0,35.0,38.0,37.36969696969697,53.69010101010101,26,51,18,159,748,29.248,39.0,28.654,38.0
73,21.58,40.0,36.0,39.0,37.88484848484848,54.122121212121215,17,52,14,336,2408,29.628,40.0,29.0656,38.0
74,21.925050505050503,40.0,36.0,39.0,38.35959595959596,54.84787878787879,27,54,25,186,1138,30.048,40.0,29.5656,39.0
75,22.19010101010101,40.0,36.0,40.0,38.94343434343434,55.544747474747474,32,42,19,209,1237,30.508,40.0,29.8572,40.0
76,22.333333333333332,41.0,37.0,41.0,39.23434343434344,55.83444444444444,27,62,22,427,2938,30.928,41.0,30.1468,41.0
77,22.644141414141416,41.0,38.0,41.0,39.75555555555555,56.61222222222222,27,43,16,166,982,31.368,41.0,30.5268,41.0
78,22.961111111111112,42.0,38.0,42.0,40.32727272727273,57.31808080808081,29,54,22,190,1119,31.7792,42.0,30.9668,42.0
79,23.123838383838383,43.0,39.0,42.0,40.666666666666664,57.773737373737376,25,59,22,318,2250,32.1792,42.0,31.3468,43.0
80,23.43010101010101,43.0,39.0,43.0,41.127272727272725,58.5010101010101,24,43,18,164,1126,32.6504,43.0,31.6784,43.0
81,23.746666666666666,43.0,39.0,43.0,41.43030303030303,59.25030303030303,20,56,17,180,1024,33.1104,43.0,32.0584,43.0
82,24.0410101010101,44.0,40.0,44.0,42.11919191919192,60.035353535353536,28,48,16,124,848,33.4728,44.0,32.4384,43.0
83,24.025151515151514,45.0,40.0,44.0,42.474747474747474,60.061919191919195,30,42,19,476,4117,33.8952,45.0,32.77,44.0
84,24.217777777777776,45.0,40.0,44.0,42.75959595959596,60.61646464646465,23,59,20,300,1855,34.2864,45.0,33.13,44.0
85,24.537373737373738,45.0,41.0,45.0,43.32727272727273,61.24242424242424,26,60,23,249,1588,34.7264,45.0,33.65,45.0
86,24.492020202020203,46.0,41.0,46.0,43.72525252525252,61.28636363636364,19,69,17,455,3914,35.0136,46.0,34.01,46.0
87,24.742727272727272,46.0,41.0,46.0,44.21212121212121,61.722929292929294,19,65,19,278,2270,35.4384,46.0,34.51,46.0
88,24.944646464646464,46.0,42.0,46.0,44.48888888888889,62.10949494949495,23,60,20,346,2555,35.8096,46.0,34.9932,46.0
89,25.012727272727272,47.0,42.0,46.0,44.84444444444444,62.31262626262626,20,65,20,468,3187,36.2144,47.0,35.3048,46.0
90,25.19010101010101,47.0,43.0,47.0,45.29090909090909,62.903030303030306,27,58,23,234,1610,36.4744,47.0,35.7248,47.0
91,25.45808080808081,48.0,44.0,47.0,45.68080808080808,63.59878787878788,32,45,21,175,1208,36.9344,48.0,36.0448,47.0
92,25.6779797979798,49.0,44.0,48.0,46.23030303030303,64.03515151515151,24,58,22,350,2179,37.4144,49.0,36.4448,47.0
93,25.876666666666665,50.0,45.0,49.0,46.61616161616162,64.61222222222223,27,50,19,238,1696,37.7456,50.0,36.8164,47.0
94,26.126363636363635,51.0,45.0,49.0,47.018181818181816,65.26797979797979,26,56,24,227,1389,38.1568,51.0,37.1764,48.0
95,26.32979797979798,51.0,46.0,49.0,47.355555555555554,66.02626262626262,21,60,19,169,956,38.4568,51.0,37.4764,49.0
96,26.6510101010101,52.0,46.0,49.0,47.696969696969695,66.6969696969697,22,52,18,207,1275,38.848,52.0,37.948,49.0
97,26.978989898989898,53.0,47.0,50.0,48.35353535353536,67.41343434343435,29,52,24,139,1109,39.2592,53.0,38.408,50.0
98,26.946666666666665,54.0,47.0,51.0,48.913131313131316,67.36363636363636,23,56,18,447,4280,39.6392,54.0,38.828,51.0
99,27.14242424242424,55.0,48.0,52.0,49.515151515151516,67.82131313131313,21,62,20,325,2220,40.0216,55.0,39.268,52.0
100,27.106363636363636,55.0,47.0,52.0,49.74545454545454,67.74626262626262,18,49,16,460,4317,40.2288,55.0,39.808,52.0
101,27.29929292929293,55.0,48.0,53.0,50.4,68.09414141414142,27,55,23,349,2545,40.72,55.0,40.208,53.0
102,27.585757575757576,55.0,48.0,54.0,50.84040404040404,68.86363636363636,29,42,25,160,926,41.06,55.0,40.5996,54.0
