source,version,generation_slot,completion_slot,delay,completed
0,1,0,77,77,True
2,1,0,207,207,True
5,1,0,207,207,True
6,1,0,207,207,True
8,1,0,77,77,True
11,1,0,207,207,True
12,1,0,77,77,True
14,1,0,77,77,True
17,1,0,207,207,True
20,1,0,207,207,True
23,1,0,77,77,True
25,1,0,77,77,True
27,1,0,77,77,True
35,1,0,77,77,True
39,1,0,77,77,True
42,1,0,77,77,True
43,1,0,207,207,True
47,1,0,77,77,True
56,1,0,206,206,True
57,1,0,110,110,True
58,1,0,95,95,True
59,1,0,62,62,True
60,1,0,95,95,True
71,1,0,110,110,True
73,1,0,62,62,True
76,1,0,95,95,True
79,1,0,62,62,True
81,1,0,95,95,True
82,1,0,110,110,True
84,1,0,62,62,True
85,1,0,62,62,True
87,1,0,110,110,True
90,1,0,62,62,True
91,1,0,95,95,True
92,1,0,95,95,True
94,1,0,110,110,True
95,1,0,95,95,True
1,1,1,207,206,True
4,1,1,207,206,True
8,2,1,77,76,True
9,1,1,207,206,True
10,1,1,77,76,True
12,2,1,77,76,True
18,1,1,77,76,True
19,1,1,207,206,True
21,1,1,77,76,True
24,1,1,77,76,True
33,1,1,207,206,True
35,2,1,77,76,True
36,1,1,77,76,True
38,1,1,77,76,True
40,1,1,77,76,True
44,1,1,207,206,True
45,1,1,77,76,True
47,2,1,77,76,True
49,1,1,77,76,True
52,1,1,62,61,True
53,1,1,95,94,True
55,1,1,95,94,True
64,1,1,110,109,True
66,1,1,62,61,True
70,1,1,95,94,True
71,2,1,110,109,True
73,2,1,62,61,True
75,1,1,206,205,True
76,2,1,95,94,True
80,1,1,95,94,True
83,1,1,110,109,True
84,2,1,62,61,True
86,1,1,95,94,True
87,2,1,110,109,True
89,1,1,95,94,True
90,2,1,62,61,True
93,1,1,206,205,True
97,1,1,95,94,True
98,1,1,95,94,True
2,2,2,207,205,True
5,2,2,207,205,True
7,1,2,207,205,True
8,3,2,77,75,True
9,2,2,207,205,True
14,2,2,77,75,True
21,2,2,77,75,True
22,1,2,207,205,True
24,2,2,77,75,True
26,1,2,207,205,True
27,2,2,77,75,True
32,1,2,77,75,True
35,3,2,77,75,True
39,2,2,77,75,True
41,1,2,77,75,True
42,2,2,77,75,True
43,2,2,207,205,True
45,2,2,77,75,True
46,1,2,207,205,True
49,2,2,77,75,True
50,1,2,110,108,True
58,2,2,95,93,True
61,1,2,110,108,True
64,2,2,110,108,True
65,1,2,206,204,True
67,1,2,95,93,True
68,1,2,62,60,True
70,2,2,95,93,True
73,3,2,62,60,True
74,1,2,110,108,True
76,3,2,95,93,True
77,1,2,95,93,True
78,1,2,95,93,True
82,2,2,110,108,True
83,2,2,110,108,True
84,3,2,62,60,True
85,2,2,62,60,True
87,3,2,110,108,True
91,2,2,110,108,True
92,2,2,95,93,True
93,2,2,206,204,True
98,2,2,95,93,True
1,2,3,207,204,True
2,3,3,207,204,True
3,1,3,77,74,True
4,2,3,207,204,True
5,3,3,207,204,True
10,2,3,77,74,True
13,1,3,207,204,True
14,3,3,77,74,True
22,2,3,207,204,True
24,3,3,77,74,True
29,1,3,207,204,True
32,2,3,77,74,True
34,1,3,77,74,True
36,2,3,207,204,True
38,2,3,77,74,True
43,3,3,207,204,True
44,2,3,207,204,True
46,2,3,207,204,True
48,1,3,77,74,True
49,3,3,77,74,True
53,2,3,95,92,True
54,1,3,95,92,True
55,2,3,95,92,True
56,2,3,206,203,True
57,2,3,110,107,True
58,3,3,95,92,True
61,2,3,110,107,True
63,1,3,95,92,True
64,3,3,110,107,True
66,2,3,62,59,True
68,2,3,110,107,True
77,2,3,95,92,True
81,2,3,95,92,True
87,4,3,110,107,True
90,3,3,62,59,True
93,3,3,206,203,True
94,2,3,110,107,True
96,1,3,95,92,True
97,2,3,95,92,True
99,1,3,110,107,True
0,2,4,77,73,True
1,3,4,207,203,True
2,4,4,207,203,True
6,2,4,207,203,True
9,3,4,207,203,True
10,3,4,77,73,True
11,2,4,207,203,True
13,2,4,207,203,True
14,4,4,77,73,True
16,1,4,77,73,True
18,2,4,207,203,True
21,3,4,77,73,True
29,2,4,207,203,True
31,1,4,207,203,True
34,2,4,77,73,True
38,3,4,77,73,True
40,2,4,77,73,True
44,3,4,207,203,True
49,4,4,77,73,True
50,2,4,110,106,True
54,2,4,95,91,True
58,4,4,95,91,True
59,2,4,62,58,True
60,2,4,95,91,True
62,1,4,40,36,True
66,3,4,62,58,True
67,2,4,95,91,True
70,3,4,95,91,True
71,3,4,110,106,True
75,2,4,206,202,True
76,4,4,95,91,True
77,3,4,95,91,True
79,2,4,62,58,True
86,2,4,110,106,True
87,5,4,110,106,True
90,4,4,110,106,True
94,3,4,110,106,True
95,2,4,95,91,True
97,3,4,95,91,True
2,5,5,207,202,True
6,3,5,207,202,True
11,3,5,207,202,True
14,5,5,77,72,True
16,2,5,77,72,True
18,3,5,207,202,True
20,2,5,207,202,True
22,3,5,207,202,True
29,3,5,207,202,True
30,1,5,207,202,True
31,2,5,207,202,True
33,2,5,207,202,True
35,4,5,77,72,True
40,3,5,77,72,True
43,4,5,207,202,True
47,3,5,207,202,True
60,3,5,95,90,True
61,3,5,110,105,True
67,3,5,95,90,True
69,1,5,110,105,True
71,4,5,110,105,True
79,3,5,62,57,True
80,2,5,95,90,True
81,3,5,95,90,True
82,3,5,110,105,True
83,3,5,110,105,True
84,4,5,62,57,True
87,6,5,110,105,True
88,1,5,95,90,True
91,3,5,110,105,True
93,4,5,206,201,True
97,4,5,95,90,True
98,3,5,95,90,True
99,2,5,110,105,True
1,4,6,207,201,True
4,3,6,207,201,True
5,4,6,207,201,True
6,4,6,207,201,True
11,4,6,207,201,True
15,1,6,77,71,True
17,2,6,207,201,True
18,4,6,207,201,True
21,4,6,77,71,True
22,4,6,207,201,True
23,2,6,77,71,True
25,2,6,77,71,True
26,2,6,207,201,True
27,3,6,207,201,True
29,4,6,207,201,True
30,2,6,207,201,True
31,3,6,207,201,True
33,3,6,207,201,True
37,1,6,207,201,True
43,5,6,207,201,True
53,3,6,95,89,True
56,3,6,206,200,True
57,3,6,110,104,True
62,2,6,40,34,True
70,4,6,95,89,True
73,4,6,62,56,True
75,3,6,206,200,True
78,2,6,95,89,True
80,3,6,95,89,True
82,4,6,110,104,True
84,5,6,62,56,True
88,2,6,95,89,True
94,4,6,110,104,True
95,3,6,110,104,True
97,5,6,95,89,True
99,3,6,110,104,True
0,3,7,77,70,True
4,4,7,207,200,True
6,5,7,207,200,True
8,4,7,77,70,True
9,4,7,207,200,True
12,3,7,77,70,True
15,2,7,77,70,True
16,3,7,207,200,True
17,3,7,207,200,True
19,2,7,207,200,True
23,3,7,77,70,True
25,3,7,77,70,True
27,4,7,207,200,True
32,3,7,77,70,True
34,3,7,77,70,True
36,3,7,207,200,True
38,4,7,77,70,True
39,3,7,207,200,True
40,4,7,77,70,True
42,3,7,77,70,True
47,4,7,207,200,True
50,3,7,110,103,True
53,4,7,95,88,True
56,4,7,206,199,True
57,4,7,110,103,True
60,4,7,95,88,True
61,4,7,110,103,True
63,2,7,95,88,True
65,2,7,206,199,True
67,4,7,95,88,True
70,5,7,95,88,True
71,5,7,110,103,True
72,1,7,95,88,True
74,2,7,110,103,True
76,5,7,110,103,True
77,4,7,110,103,True
78,3,7,95,88,True
80,4,7,95,88,True
82,5,7,110,103,True
83,4,7,110,103,True
86,3,7,110,103,True
99,4,7,110,103,True
1,5,8,207,199,True
6,6,8,207,199,True
9,5,8,207,199,True
14,6,8,207,199,True
15,3,8,77,69,True
16,4,8,207,199,True
20,3,8,207,199,True
21,5,8,77,69,True
24,4,8,207,199,True
28,1,8,207,199,True
30,3,8,207,199,True
32,4,8,77,69,True
33,4,8,207,199,True
35,5,8,77,69,True
36,4,8,207,199,True
38,5,8,77,69,True
40,5,8,77,69,True
41,2,8,77,69,True
43,6,8,207,199,True
46,3,8,207,199,True
47,5,8,207,199,True
50,4,8,110,102,True
51,1,8,95,87,True
54,3,8,95,87,True
58,5,8,95,87,True
60,5,8,95,87,True
61,5,8,110,102,True
63,3,8,95,87,True
66,4,8,62,54,True
67,5,8,95,87,True
68,3,8,110,102,True
71,6,8,110,102,True
74,3,8,110,102,True
78,4,8,95,87,True
80,5,8,95,87,True
81,4,8,110,102,True
84,6,8,62,54,True
85,3,8,110,102,True
89,2,8,110,102,True
90,5,8,110,102,True
91,4,8,206,198,True
94,5,8,110,102,True
95,4,8,110,102,True
96,2,8,110,102,True
99,5,8,110,102,True
2,6,9,207,198,True
3,2,9,77,68,True
4,5,9,207,198,True
6,7,9,207,198,True
7,2,9,207,198,True
10,4,9,207,198,True
11,5,9,207,198,True
14,7,9,207,198,True
15,4,9,77,68,True
16,5,9,207,198,True
17,4,9,207,198,True
18,5,9,207,198,True
20,4,9,207,198,True
21,6,9,77,68,True
22,5,9,207,198,True
25,4,9,77,68,True
30,4,9,207,198,True
35,6,9,77,68,True
36,5,9,207,198,True
38,6,9,77,68,True
39,4,9,207,198,True
40,6,9,77,68,True
42,4,9,77,68,True
43,7,9,207,198,True
44,4,9,207,198,True
45,3,9,77,68,True
48,2,9,207,198,True
50,5,9,110,101,True
51,2,9,95,86,True
56,5,9,206,197,True
59,3,9,110,101,True
60,6,9,95,86,True
61,6,9,110,101,True
66,5,9,62,53,True
67,6,9,110,101,True
68,4,9,110,101,True
69,2,9,110,101,True
75,4,9,206,197,True
80,6,9,95,86,True
83,5,9,110,101,True
84,7,9,62,53,True
86,4,9,110,101,True
92,3,9,110,101,True
97,6,9,95,86,True
99,6,9,110,101,True
2,7,10,207,197,True
5,5,10,207,197,True
6,8,10,207,197,True
11,6,10,207,197,True
12,4,10,77,67,True
14,8,10,207,197,True
16,6,10,207,197,True
18,6,10,207,197,True
19,3,10,207,197,True
20,5,10,207,197,True
23,4,10,77,67,True
25,5,10,77,67,True
26,3,10,207,197,True
28,2,10,207,197,True
33,5,10,207,197,True
34,4,10,207,197,True
37,2,10,207,197,True
39,5,10,207,197,True
40,7,10,77,67,True
41,3,10,77,67,True
43,8,10,207,197,True
47,6,10,207,197,True
49,5,10,77,67,True
50,6,10,110,100,True
56,6,10,206,196,True
64,4,10,110,100,True
66,6,10,62,52,True
68,5,10,110,100,True
81,5,10,110,100,True
82,6,10,110,100,True
84,8,10,62,52,True
89,3,10,110,100,True
92,4,10,110,100,True
93,5,10,206,196,True
94,6,10,110,100,True
96,3,10,110,100,True
1,6,11,207,196,True
2,8,11,207,196,True
7,3,11,207,196,True
8,5,11,207,196,True
11,7,11,207,196,True
21,7,11,95,84,True
24,5,11,207,196,True
25,6,11,77,66,True
26,4,11,207,196,True
27,5,11,207,196,True
28,3,11,207,196,True
32,5,11,77,66,True
34,5,11,207,196,True
39,6,11,207,196,True
41,4,11,77,66,True
46,4,11,207,196,True
47,7,11,207,196,True
49,6,11,77,66,True
50,7,11,110,99,True
54,4,11,95,84,True
55,3,11,95,84,True
56,7,11,206,195,True
57,5,11,110,99,True
58,6,11,95,84,True
59,4,11,110,99,True
60,7,11,95,84,True
64,5,11,110,99,True
68,6,11,110,99,True
71,7,11,110,99,True
73,5,11,62,51,True
76,6,11,110,99,True
80,7,11,95,84,True
82,7,11,110,99,True
83,6,11,110,99,True
87,7,11,110,99,True
92,5,11,110,99,True
93,6,11,206,195,True
94,7,11,110,99,True
95,5,11,110,99,True
96,4,11,110,99,True
97,7,11,95,84,True
98,4,11,95,84,True
99,7,11,110,99,True
0,4,12,77,65,True
1,7,12,207,195,True
3,3,12,77,65,True
4,6,12,207,195,True
8,6,12,207,195,True
12,5,12,77,65,True
14,9,12,207,195,True
15,5,12,77,65,True
18,7,12,207,195,True
20,6,12,207,195,True
23,5,12,77,65,True
27,6,12,207,195,True
30,5,12,207,195,True
31,4,12,207,195,True
32,6,12,77,65,True
37,3,12,207,195,True
38,7,12,77,65,True
47,8,12,207,195,True
48,3,12,207,195,True
49,7,12,77,65,True
54,5,12,95,83,True
56,8,12,206,194,True
59,5,12,110,98,True
60,8,12,95,83,True
61,7,12,110,98,True
66,7,12,95,83,True
70,6,12,95,83,True
71,8,12,110,98,True
78,5,12,95,83,True
79,4,12,110,98,True
82,8,12,110,98,True
83,7,12,110,98,True
85,4,12,110,98,True
87,8,12,110,98,True
90,6,12,110,98,True
92,6,12,110,98,True
