slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
100,4.485897435897436,18.0,13.0,18.0,15.435897435897436,48.06410256410256,6,33,5,38,88,4.3,9.0,10.22,18.0
110,5.101923076923077,19.0,15.0,19.0,16.705128205128204,53.77948717948718,5,34,5,63,117,5.2,10.0,11.62,19.0
120,5.300641025641026,20.0,16.0,20.0,17.21794871794872,58.44166666666667,3,36,3,55,166,5.95,11.0,12.47,20.0
130,5.856410256410256,21.0,16.0,21.0,18.435897435897434,64.4948717948718,6,33,6,46,145,6.57,12.0,13.47,21.0
140,6.23974358974359,21.0,17.0,21.0,19.192307692307693,70.23205128205129,5,34,5,35,45,7.36,12.0,14.27,21.0
150,6.740384615384615,21.0,18.0,21.0,19.46153846153846,76.53012820512821,2,18,2,16,25,8.51,12.0,14.87,21.0
160,7.416025641025641,21.0,19.0,21.0,20.46153846153846,82.73653846153846,5,33,5,22,50,9.66,13.0,15.82,21.0
170,7.838461538461538,23.0,20.0,23.0,22.435897435897434,87.73205128205129,4,35,4,51,119,10.41,15.0,16.82,23.0
180,8.34423076923077,25.0,22.0,25.0,23.46153846153846,88.59038461538462,6,30,6,44,116,11.71,17.0,17.545,25.0
190,7.276923076923077,26.0,22.0,26.0,23.94871794871795,78.28205128205128,2,38,2,48,96,7.4,13.0,18.295,26.0
200,7.6967948717948715,26.0,23.0,26.0,24.705128205128204,83.36730769230769,7,29,7,25,31,8.4,13.0,19.095,26.0
210,8.482692307692307,28.0,25.0,28.0,26.705128205128204,88.1025641025641,2,38,2,45,45,9.5,15.0,20.545,28.0
220,9.141666666666667,29.0,26.0,29.0,28.192307692307693,95.6974358974359,8,26,8,15,25,10.5,17.0,21.595,29.0
230,9.832051282051282,30.0,28.0,30.0,29.21794871794872,100.86602564102564,4,34,4,34,70,11.75,21.0,22.895,30.0
240,10.35448717948718,31.0,28.0,31.0,30.435897435897434,106.77628205128205,5,33,4,35,90,12.75,23.0,23.995,31.0
250,10.892307692307693,34.0,30.0,34.0,31.705128205128204,110.8224358974359,5,35,5,32,68,14.0,24.0,24.995,34.0
260,10.888461538461538,36.0,31.0,36.0,33.07692307692308,111.84358974358975,4,33,4,38,65,14.215,25.0,25.14,36.0
270,11.76474358974359,37.0,32.0,37.0,34.76923076923077,119.33589743589744,0,0,0,0,0,15.315,27.0,26.34,37.0
280,8.566025641025641,38.0,22.0,30.410000000000082,28.641025641025642,91.65961538461538,8,30,7,38,85,16.315,29.0,14.41,38.0
