slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
100,3.085897435897436,10.0,8.0,10.0,8.974358974358974,38.14102564102564,3,14,3,6,15,3.5,7.0,5.865,10.0
110,3.7564102564102564,12.0,10.0,12.0,10.73076923076923,44.01282051282051,4,36,4,45,83,4.4,7.0,7.265,12.0
120,3.924358974358974,13.0,10.0,13.0,11.705128205128204,47.94294871794872,3,37,3,48,125,4.9925,9.0,8.115,13.0
130,4.480128205128205,14.0,11.0,14.0,12.461538461538462,53.63846153846154,1,19,1,19,20,5.8225,10.0,9.115,14.0
140,4.778846153846154,16.0,12.0,16.0,13.948717948717949,58.71474358974359,8,31,7,23,32,6.6225,11.0,9.915,16.0
150,4.03974358974359,17.0,13.0,17.0,14.948717948717949,51.889102564102565,4,36,4,33,40,3.45,7.0,10.22,17.0
160,3.9076923076923076,18.0,14.0,18.0,16.192307692307693,49.575,2,18,2,0,0,1.95,5.0,11.17,18.0
170,4.376282051282051,20.0,16.0,20.0,17.21794871794872,54.93205128205128,7,30,7,23,23,2.7,6.0,12.17,20.0
180,5.111538461538461,22.0,17.0,22.0,18.46153846153846,58.63846153846154,5,34,5,65,114,4.0,7.0,13.37,22.0
190,5.623076923076923,23.0,17.0,23.0,18.94871794871795,65.26217948717948,3,37,3,34,38,5.2,9.0,14.12,23.0
200,6.037820512820513,23.0,18.0,23.0,19.46153846153846,70.08653846153847,4,36,4,29,44,6.2,12.0,14.7025,23.0
210,3.181410256410256,14.0,10.0,14.0,11.794871794871796,37.29871794871795,4,36,4,36,64,7.3,14.0,2.7,6.0
220,3.748076923076923,15.0,11.0,15.0,13.051282051282051,42.83717948717949,3,37,3,35,73,8.3,15.0,3.75,8.0
230,4.543589743589743,16.0,14.0,16.0,15.282051282051283,48.55705128205128,0,0,0,0,0,9.55,16.0,5.05,12.0
240,4.883974358974359,18.0,14.0,18.0,16.564102564102566,53.17564102564103,4,36,4,38,91,10.55,18.0,6.15,14.0
250,4.267307692307693,19.0,17.0,19.0,18.025641025641026,47.251282051282054,4,33,4,346,1898,11.8,19.0,2.2625,14.0
260,4.343589743589743,21.0,18.0,21.0,19.53846153846154,49.56153846153846,5,32,5,41,65,12.65,21.0,2.35,7.0
270,4.891666666666667,24.0,16.0,24.0,21.115384615384617,53.85961538461538,2,18,2,26,62,13.12,24.0,3.55,8.0
280,5.36474358974359,25.0,17.0,25.0,22.115384615384617,59.434615384615384,5,34,5,43,62,14.12,25.0,4.5,9.0
290,5.796153846153846,26.0,18.0,26.0,22.871794871794872,65.29294871794872,4,35,3,17,17,14.82,26.0,5.6,11.0
300,6.290384615384616,28.0,20.0,28.0,23.897435897435898,71.30192307692307,3,35,3,18,56,15.72,28.0,6.4,11.0
310,6.915384615384616,29.0,20.0,29.0,25.115384615384617,77.49358974358974,5,32,5,40,79,16.42,29.0,7.35,14.0
320,4.403205128205128,31.0,14.0,17.820000000000164,16.628205128205128,54.151923076923076,3,35,3,379,4515,6.91,31.0,8.15,15.0
330,4.619871794871795,17.0,13.0,17.0,15.435897435897436,57.12435897435898,4,35,4,102,150,6.5,13.0,9.15,17.0
340,5.2,20.0,14.0,20.0,16.67948717948718,61.71923076923077,7,31,7,48,99,7.5,14.0,10.3,20.0
350,5.5211538461538465,21.0,15.0,21.0,17.76923076923077,64.79423076923077,4,35,3,53,140,8.5,15.0,10.8375,21.0
360,4.638461538461539,16.0,13.0,16.0,13.76923076923077,54.485897435897435,2,18,2,13,13,9.55,16.0,6.3375,13.0
370,3.8833333333333333,17.0,14.0,17.0,14.73076923076923,45.907051282051285,7,27,6,49,96,10.22,17.0,2.2,6.0
380,2.1096153846153847,10.0,6.0,10.0,7.282051282051282,27.481410256410257,3,16,3,43,201,2.85,10.0,3.35,7.0
390,2.7352564102564103,11.0,7.0,11.0,8.282051282051283,33.616025641025644,7,32,6,43,74,4.0,11.0,4.2,8.0
400,3.4846153846153847,12.0,8.0,12.0,9.794871794871796,38.325641025641026,3,37,3,37,56,5.4,12.0,5.3,10.0
410,4.222435897435897,15.0,9.0,15.0,11.679487179487179,44.13333333333333,5,32,5,35,133,6.125,15.0,6.6125,12.0
420,4.856410256410256,16.0,12.0,16.0,13.705128205128204,50.14551282051282,4,36,3,43,153,7.125,16.0,8.0125,14.0
430,5.158974358974359,17.0,13.0,17.0,14.948717948717949,54.391666666666666,5,35,5,82,249,8.225,17.0,8.7675,15.0
440,3.473076923076923,18.0,11.0,18.0,13.435897435897436,41.46666666666667,2,18,2,45,241,8.9025,18.0,2.5,10.0
450,4.205128205128205,18.0,12.0,18.0,14.435897435897436,48.141666666666666,2,18,2,18,25,10.3025,18.0,3.25,10.0
460,4.639102564102564,19.0,13.0,19.0,15.435897435897436,53.35641025641026,6,31,6,40,97,11.2525,19.0,4.25,11.0
470,5.069871794871795,21.0,14.0,21.0,17.0,57.18397435897436,2,38,2,29,39,12.105,21.0,5.2,12.0
480,4.894871794871795,21.0,14.0,17.0,16.67948717948718,55.84615384615385,4,16,4,47,133,10.095,21.0,6.2,14.0
490,4.134615384615385,17.0,10.0,17.0,12.564102564102564,50.2698717948718,5,32,5,11,11,6.2925,10.0,7.25,17.0
