slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
100,5.805128205128205,18.0,14.0,18.0,16.923076923076923,60.525,3,37,3,44,103,9.7825,18.0,9.545,18.0
110,4.1967948717948715,19.0,14.0,19.0,16.192307692307693,45.025,4,35,4,59,129,10.6125,19.0,2.45,7.0
120,4.3724358974358974,20.0,15.0,20.0,16.94871794871795,49.86794871794872,8,27,7,35,68,11.3625,20.0,3.3,7.0
130,4.913461538461538,21.0,15.0,21.0,18.166666666666668,55.68397435897436,2,18,2,34,41,12.2625,21.0,4.3,8.0
140,5.0070512820512825,21.0,16.0,21.0,18.17948717948718,58.276923076923076,4,31,4,37,128,12.0875,21.0,5.1,9.0
150,3.1961538461538463,11.0,9.0,11.0,10.025641025641026,43.047435897435896,4,36,4,16,42,4.95,9.0,5.7,11.0
160,3.778205128205128,13.0,10.0,13.0,11.025641025641026,47.863461538461536,2,18,2,22,47,5.855,10.0,6.65,13.0
170,4.182051282051282,15.0,10.0,15.0,11.794871794871796,53.67051282051282,6,32,6,47,83,6.605,10.0,7.65,15.0
180,4.851923076923077,17.0,11.0,17.0,13.294871794871796,57.73205128205128,3,15,3,30,62,7.905,12.0,8.85,17.0
190,5.444230769230769,18.0,12.0,18.0,14.294871794871796,63.95705128205128,2,18,2,18,18,9.105,13.0,9.6,18.0
200,5.833333333333333,18.0,13.049999999999955,18.0,15.025641025641026,68.33782051282051,2,38,2,26,70,10.105,14.0,10.4,18.0
210,5.155769230769231,19.0,14.0,19.0,15.948717948717949,57.08846153846154,3,37,2,65,147,6.55,11.0,11.355,19.0
220,5.598076923076923,21.0,15.0,21.0,17.435897435897434,62.674358974358974,7,30,5,26,80,7.55,13.0,12.405,21.0
230,6.489102564102564,22.0,16.0,22.0,19.166666666666668,68.95064102564102,3,36,3,42,130,8.8,15.0,13.705,22.0
240,7.13525641025641,24.0,17.0,24.0,20.897435897435898,75.89358974358974,7,31,7,33,95,9.8,17.0,14.805,24.0
250,7.665384615384616,26.0,18.0,26.0,22.141025641025642,81.25961538461539,4,35,3,51,104,11.05,18.0,15.805,26.0
260,7.953846153846154,28.0,20.0,28.0,23.653846153846153,86.31282051282051,3,37,3,28,90,11.9,20.0,16.755,28.0
270,8.672435897435898,29.0,22.0,29.0,24.935897435897434,92.72628205128206,3,13,3,6,6,13.0,23.0,17.955,29.0
280,6.792307692307692,24.0,16.0,24.0,20.871794871794872,74.63653846153846,6,29,5,15,36,14.0,24.0,9.5,14.0
290,7.0532051282051285,25.0,17.0,25.0,21.871794871794872,77.28333333333333,6,32,6,28,46,14.7,25.0,10.6,16.0
300,7.2846153846153845,27.0,20.0,27.0,23.333333333333332,79.08846153846154,2,36,2,72,393,15.6,27.0,10.885,17.0
310,5.308333333333334,28.0,21.0,28.0,24.58974358974359,61.075,3,37,2,24,33,16.3,28.0,2.35,12.0
