node_i,node_j,is_inter_cluster
0,1,False
0,2,False
0,3,False
0,4,False
0,5,False
0,6,False
0,7,False
0,8,False
0,9,False
0,10,False
0,11,False
0,12,False
0,13,False
0,14,False
0,15,False
0,16,False
0,17,False
0,18,False
0,19,False
0,20,True
1,2,False
1,3,False
1,4,False
1,5,False
1,6,False
1,7,False
1,8,False
1,9,False
1,10,False
1,11,False
1,12,False
1,13,False
1,14,False
1,15,False
1,16,False
1,17,False
1,18,False
1,19,False
2,3,False
2,4,False
2,5,False
2,6,False
2,7,False
2,8,False
2,9,False
2,10,False
2,11,False
2,12,False
2,13,False
2,14,False
2,15,False
2,16,False
2,17,False
2,18,False
2,19,False
3,4,False
3,5,False
3,6,False
3,7,False
3,8,False
3,9,False
3,10,False
3,11,False
3,12,False
3,13,False
3,14,False
3,15,False
3,16,False
3,17,False
3,18,False
3,19,False
4,5,False
4,6,False
4,7,False
4,8,False
4,9,False
4,10,False
4,11,False
4,12,False
4,13,False
4,14,False
4,15,False
4,16,False
4,17,False
4,18,False
4,19,False
5,6,False
5,7,False
5,8,False
5,9,False
5,10,False
5,11,False
5,12,False
5,13,False
5,14,False
5,15,False
5,16,False
5,17,False
5,18,False
5,19,False
6,7,False
6,8,False
6,9,False
6,10,False
6,11,False
6,12,False
6,13,False
6,14,False
6,15,False
6,16,False
6,17,False
6,18,False
6,19,False
7,8,False
7,9,False
7,10,False
7,11,False
7,12,False
7,13,False
7,14,False
7,15,False
7,16,False
7,17,False
7,18,False
7,19,False
8,9,False
8,10,False
8,11,False
8,12,False
8,13,False
8,14,False
8,15,False
8,16,False
8,17,False
8,18,False
8,19,False
9,10,False
9,11,False
9,12,False
9,13,False
9,14,False
9,15,False
9,16,False
9,17,False
9,18,False
9,19,False
10,11,False
10,12,False
10,13,False
10,14,False
10,15,False
10,16,False
10,17,False
10,18,False
10,19,False
11,12,False
11,13,False
11,14,False
11,15,False
11,16,False
11,17,False
11,18,False
11,19,False
12,13,False
12,14,False
12,15,False
12,16,False
12,17,False
12,18,False
12,19,False
13,14,False
13,15,False
13,16,False
13,17,False
13,18,False
13,19,False
14,15,False
14,16,False
14,17,False
14,18,False
14,19,False
15,16,False
15,17,False
15,18,False
15,19,False
16,17,False
16,18,False
16,19,False
17,18,False
17,19,False
18,19,False
20,21,False
20,22,False
20,23,False
20,24,False
20,25,False
20,26,False
20,27,False
20,28,False
20,29,False
20,30,False
20,31,False
20,32,False
20,33,False
20,34,False
20,35,False
20,36,False
20,37,False
20,38,False
20,39,False
21,22,False
21,23,False
21,24,False
21,25,False
21,26,False
21,27,False
21,28,False
21,29,False
21,30,False
21,31,False
21,32,False
21,33,False
21,34,False
21,35,False
21,36,False
21,37,False
21,38,False
21,39,False
22,23,False
22,24,False
22,25,False
22,26,False
22,27,False
22,28,False
22,29,False
22,30,False
22,31,False
22,32,False
22,33,False
22,34,False
22,35,False
22,36,False
22,37,False
22,38,False
22,39,False
23,24,False
23,25,False
23,26,False
23,27,False
23,28,False
23,29,False
23,30,False
23,31,False
23,32,False
23,33,False
23,34,False
23,35,False
23,36,False
23,37,False
23,38,False
23,39,False
24,25,False
24,26,False
24,27,False
24,28,False
24,29,False
24,30,False
24,31,False
24,32,False
24,33,False
24,34,False
24,35,False
24,36,False
24,37,False
24,38,False
24,39,False
25,26,False
25,27,False
25,28,False
25,29,False
25,30,False
25,31,False
25,32,False
25,33,False
25,34,False
25,35,False
25,36,False
25,37,False
25,38,False
25,39,False
26,27,False
26,28,False
26,29,False
26,30,False
26,31,False
26,32,False
26,33,False
26,34,False
26,35,False
26,36,False
26,37,False
26,38,False
26,39,False
27,28,False
27,29,False
27,30,False
27,31,False
27,32,False
27,33,False
27,34,False
27,35,False
27,36,False
27,37,False
27,38,False
27,39,False
28,29,False
28,30,False
28,31,False
28,32,False
28,33,False
28,34,False
28,35,False
28,36,False
28,37,False
28,38,False
28,39,False
29,30,False
29,31,False
29,32,False
29,33,False
29,34,False
29,35,False
29,36,False
29,37,False
29,38,False
29,39,False
30,31,False
30,32,False
30,33,False
30,34,False
30,35,False
30,36,False
30,37,False
30,38,False
30,39,False
31,32,False
31,33,False
31,34,False
31,35,False
31,36,False
31,37,False
31,38,False
31,39,False
32,33,False
32,34,False
32,35,False
32,36,False
32,37,False
32,38,False
32,39,False
33,34,False
33,35,False
33,36,False
33,37,False
33,38,False
33,39,False
34,35,False
34,36,False
34,37,False
34,38,False
34,39,False
35,36,False
35,37,False
35,38,False
35,39,False
36,37,False
36,38,False
36,39,False
37,38,False
37,39,False
38,39,False
