node,x,y,label
0,200.5,250.0,0
1,121.86378271615564,255.85028913439277,0
2,117.80397627324254,249.24027364907636,0
3,118.4141210548093,250.18397598025277,0
4,123.29354437284084,248.28788770954287,0
5,125.68687471578473,258.4581465546549,0
6,117.3963295130781,254.51130030592478,0
7,125.04738432643899,256.78708210469523,0
8,127.4674452721736,250.87427390453504,0
9,123.39460703437977,256.5706619183286,0
10,114.97175924467903,257.3090178844239,0
11,117.48066282746427,245.31931547930864,0
12,121.39038782269537,252.00805341466483,0
13,124.03766390947503,247.49115316396598,0
14,117.1272469384784,257.9314581182554,0
15,116.44616329170466,246.09914170801974,0
16,126.65358599484269,243.78470203708852,0
17,127.76954807739098,256.9016811075335,0
18,116.35251206714565,243.43726167850053,0
19,115.0129776328094,246.1542983445451,0
20,299.5,250.0,1
21,371.1197930311396,251.6595154261412,1
22,369.6284042595719,243.78609566510042,1
23,372.3974048236695,244.77873940904124,1
24,367.99086446082407,249.67372787471956,1
25,377.6900739893599,256.5748230845841,1
26,384.1195263430226,251.71444803612465,1
27,376.45112682417795,251.08478386848998,1
28,384.16777665142627,255.75346905881773,1
29,370.1846793928916,242.30651267773936,1
30,372.73513605902576,243.31615322459254,1
31,369.536213706639,242.69107334749668,1
32,381.11664583186285,258.16090299711806,1
33,380.5712695230456,253.60978731363988,1
34,378.27094121818686,256.1363965700181,1
35,379.07125859826584,255.44152539424343,1
36,382.1378465374696,249.42700654607603,1
37,378.54312612282416,252.12346900140415,1
38,374.9922966626026,250.0333213531942,1
39,371.9715405942908,241.97020075838273,1
