source,version,generation_slot,completion_slot,delay,completed
0,1,0,28,28,True
1,1,0,49,49,True
8,1,0,36,36,True
1,2,2,49,47,True
8,2,3,36,33,True
5,1,4,28,24,True
5,2,5,28,23,True
4,1,7,49,42,True
8,3,10,36,26,True
10,1,11,36,25,True
1,3,12,49,37,True
6,1,12,36,24,True
8,4,12,36,24,True
9,1,12,36,24,True
1,4,13,49,36,True
9,2,16,36,20,True
9,3,18,36,18,True
8,5,24,36,12,True
3,1,25,49,24,True
4,2,25,67,42,True
0,2,26,49,23,True
4,3,27,67,40,True
6,2,28,36,8,True
11,1,28,36,8,True
4,4,33,67,34,True
0,3,36,49,13,True
0,4,37,49,12,True
1,5,37,49,12,True
7,1,39,76,37,True
10,2,40,76,36,True
5,3,41,49,8,True
5,4,43,67,24,True
8,6,45,76,31,True
3,2,46,67,21,True
7,2,48,76,28,True
8,7,49,76,27,True
9,4,51,113,62,True
6,3,55,76,21,True
7,3,55,76,21,True
11,2,57,76,19,True
2,1,59,67,8,True
4,5,59,161,102,True
10,3,60,113,53,True
8,8,61,137,76,True
2,2,62,67,5,True
7,4,63,113,50,True
6,4,67,76,9,True
3,3,69,90,21,True
4,6,69,161,92,True
10,4,74,113,39,True
1,6,76,161,85,True
10,5,77,113,36,True
0,5,78,161,83,True
4,7,79,161,82,True
7,5,80,113,33,True
8,9,81,137,56,True
9,5,81,113,32,True
3,4,82,161,79,True
10,6,82,113,31,True
3,5,85,161,76,True
7,6,89,113,24,True
9,6,95,113,18,True
1,7,99,161,62,True
10,7,100,113,13,True
7,7,103,113,10,True
8,10,104,137,33,True
2,3,105,161,56,True
3,6,107,161,54,True
10,8,110,170,60,True
7,8,112,137,25,True
1,8,116,161,45,True
1,9,118,161,43,True
1,10,119,161,42,True
0,6,120,161,41,True
0,7,123,161,38,True
8,11,123,170,47,True
7,9,124,170,46,True
10,9,128,170,42,True
2,4,129,161,32,True
10,10,129,170,41,True
2,5,130,161,31,True
11,3,131,170,39,True
10,11,132,170,38,True
11,4,135,170,35,True
4,8,139,,,False
9,7,142,170,28,True
0,8,143,170,27,True
5,5,144,161,17,True
0,9,149,170,21,True
5,6,151,,,False
9,8,154,,,False
6,5,156,170,14,True
8,12,159,170,11,True
9,9,160,,,False
11,5,160,,,False
7,10,161,170,9,True
2,6,162,,,False
6,6,165,170,5,True
2,7,167,,,False
4,9,167,,,False
2,8,169,,,False
2,9,170,,,False
11,6,170,,,False
3,7,172,,,False
11,7,172,,,False
2,10,177,,,False
5,7,177,,,False
2,11,180,,,False
3,8,180,,,False
4,10,180,,,False
9,10,182,,,False
1,11,183,,,False
8,13,183,,,False
3,9,184,,,False
8,14,184,,,False
2,12,188,,,False
4,11,188,,,False
5,8,188,,,False
8,15,190,,,False
10,12,197,,,False
11,8,197,,,False
