source,version,generation_slot,completion_slot,delay,completed
0,1,0,8,8,True
1,1,0,8,8,True
8,1,0,37,37,True
1,2,2,8,6,True
8,2,3,55,52,True
5,1,4,8,4,True
5,2,5,8,3,True
4,1,7,56,49,True
8,3,10,55,45,True
10,1,11,55,44,True
1,3,12,56,44,True
6,1,12,55,43,True
8,4,12,55,43,True
9,1,12,55,43,True
1,4,13,56,43,True
9,2,16,55,39,True
9,3,18,55,37,True
8,5,24,55,31,True
3,1,25,56,31,True
4,2,25,56,31,True
0,2,26,56,30,True
4,3,27,56,29,True
6,2,28,55,27,True
11,1,28,55,27,True
4,4,33,56,23,True
0,3,36,56,20,True
0,4,37,56,19,True
1,5,37,56,19,True
7,1,39,55,16,True
10,2,40,88,48,True
5,3,41,56,15,True
5,4,43,56,13,True
8,6,45,88,43,True
3,2,46,84,38,True
7,2,48,88,40,True
8,7,49,88,39,True
9,4,51,88,37,True
6,3,55,88,33,True
7,3,55,88,33,True
11,2,57,88,31,True
2,1,59,84,25,True
4,5,59,84,25,True
10,3,60,88,28,True
8,8,61,88,27,True
2,2,62,84,22,True
7,4,63,88,25,True
6,4,67,88,21,True
3,3,69,84,15,True
4,6,69,84,15,True
10,4,74,117,43,True
1,6,76,84,8,True
10,5,77,117,40,True
0,5,78,84,6,True
4,7,79,115,36,True
7,5,80,88,8,True
8,9,81,117,36,True
9,5,81,117,36,True
3,4,82,115,33,True
10,6,82,117,35,True
3,5,85,115,30,True
7,6,89,117,28,True
9,6,95,117,22,True
1,7,99,115,16,True
10,7,100,117,17,True
7,7,103,117,14,True
8,10,104,117,13,True
2,3,105,130,25,True
3,6,107,130,23,True
10,8,110,117,7,True
7,8,112,117,5,True
1,8,116,152,36,True
1,9,118,152,34,True
1,10,119,152,33,True
0,6,120,130,10,True
0,7,123,130,7,True
8,11,123,161,38,True
7,9,124,161,37,True
10,9,128,161,33,True
2,4,129,133,4,True
10,10,129,161,32,True
2,5,130,176,46,True
11,3,131,161,30,True
10,11,132,161,29,True
11,4,135,161,26,True
4,8,139,176,37,True
9,7,142,161,19,True
0,8,143,176,33,True
5,5,144,176,32,True
0,9,149,176,27,True
5,6,151,176,25,True
9,8,154,,,False
6,5,156,164,8,True
8,12,159,166,7,True
9,9,160,,,False
11,5,160,,,False
7,10,161,,,False
2,6,162,,,False
6,6,165,,,False
2,7,167,,,False
4,9,167,,,False
2,8,169,,,False
2,9,170,,,False
11,6,170,,,False
3,7,172,,,False
11,7,172,,,False
2,10,177,,,False
5,7,177,,,False
2,11,180,,,False
3,8,180,,,False
4,10,180,,,False
9,10,182,,,False
1,11,183,,,False
8,13,183,,,False
3,9,184,,,False
8,14,184,,,False
2,12,188,,,False
4,11,188,,,False
5,8,188,,,False
8,15,190,,,False
10,12,197,,,False
11,8,197,,,False
