slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
20,0.6212121212121212,4.0,3.0,4.0,3.7142857142857144,17.53030303030303,4,8,2,4,4,0.5,2.0,1.4722222222222223,4.0
21,0.6212121212121212,4.0,3.0,4.0,3.7142857142857144,18.53030303030303,1,5,1,0,0,0.5,2.0,1.4722222222222223,4.0
22,0.6136363636363636,4.0,3.0,4.0,3.7142857142857144,19.446969696969695,3,1,1,1,1,0.5,2.0,1.4722222222222223,4.0
23,0.6136363636363636,4.0,3.0,4.0,3.7142857142857144,20.446969696969695,1,5,1,0,0,0.5,2.0,1.4722222222222223,4.0
24,0.696969696969697,5.0,3.0,5.0,4.571428571428571,21.446969696969695,1,5,1,0,0,0.5,2.0,1.6388888888888888,5.0
25,0.8636363636363636,5.0,3.0,5.0,4.571428571428571,22.446969696969695,3,2,1,0,0,0.8333333333333334,2.0,1.6388888888888888,5.0
26,0.946969696969697,5.0,3.0,5.0,4.571428571428571,23.446969696969695,0,0,0,0,0,1.0,2.0,1.6388888888888888,5.0
27,1.0303030303030303,5.0,3.0,5.0,4.571428571428571,24.446969696969695,2,10,2,0,0,1.1666666666666667,3.0,1.6388888888888888,5.0
28,1.1590909090909092,5.0,3.0,5.0,4.571428571428571,24.5,1,5,1,5,5,1.1666666666666667,3.0,1.9722222222222223,5.0
29,1.128787878787879,5.0,3.0,5.0,4.571428571428571,24.651515151515152,4,8,2,4,4,1.1666666666666667,3.0,1.9722222222222223,5.0
30,1.121212121212121,5.0,3.0,5.0,4.571428571428571,25.439393939393938,3,9,3,1,1,1.1666666666666667,3.0,1.9722222222222223,5.0
31,1.121212121212121,5.0,3.0,5.0,4.571428571428571,26.439393939393938,3,9,2,0,0,1.1666666666666667,3.0,1.9722222222222223,5.0
32,1.121212121212121,5.0,3.0,5.0,4.571428571428571,27.439393939393938,1,5,1,0,0,1.1666666666666667,3.0,1.9722222222222223,5.0
33,1.2045454545454546,5.0,4.0,5.0,4.714285714285714,28.439393939393938,2,10,2,0,0,1.3333333333333333,4.0,1.9722222222222223,5.0
34,1.2045454545454546,5.0,4.0,5.0,4.714285714285714,29.439393939393938,2,4,2,0,0,1.3333333333333333,4.0,1.9722222222222223,5.0
35,1.1818181818181819,5.0,4.0,5.0,4.714285714285714,30.166666666666668,2,4,2,3,3,1.3333333333333333,4.0,1.9722222222222223,5.0
36,1.2651515151515151,5.0,4.0,5.0,4.714285714285714,31.166666666666668,1,5,1,0,0,1.5,4.0,1.9722222222222223,5.0
