source,version,generation_slot,completion_slot,delay,completed
0,1,0,42,42,True
1,1,0,42,42,True
8,1,0,28,28,True
1,2,2,42,40,True
8,2,3,28,25,True
5,1,4,57,53,True
5,2,5,57,52,True
4,1,7,57,50,True
8,3,10,46,36,True
10,1,11,28,17,True
1,3,12,57,45,True
6,1,12,42,30,True
8,4,12,46,34,True
9,1,12,46,34,True
1,4,13,57,44,True
9,2,16,46,30,True
9,3,18,46,28,True
8,5,24,98,74,True
3,1,25,57,32,True
4,2,25,57,32,True
0,2,26,57,31,True
4,3,27,117,90,True
6,2,28,46,18,True
11,1,28,46,18,True
4,4,33,117,84,True
0,3,36,57,21,True
0,4,37,57,20,True
1,5,37,57,20,True
7,1,39,98,59,True
10,2,40,46,6,True
5,3,41,117,76,True
5,4,43,117,74,True
8,6,45,98,53,True
3,2,46,117,71,True
7,2,48,98,50,True
8,7,49,98,49,True
9,4,51,98,47,True
6,3,55,98,43,True
7,3,55,98,43,True
11,2,57,98,41,True
2,1,59,117,58,True
4,5,59,117,58,True
10,3,60,98,38,True
8,8,61,98,37,True
2,2,62,117,55,True
7,4,63,147,84,True
6,4,67,98,31,True
3,3,69,117,48,True
4,6,69,117,48,True
10,4,74,98,24,True
1,6,76,117,41,True
10,5,77,98,21,True
0,5,78,117,39,True
4,7,79,117,38,True
7,5,80,147,67,True
8,9,81,147,66,True
9,5,81,147,66,True
3,4,82,126,44,True
10,6,82,147,65,True
3,5,85,126,41,True
7,6,89,147,58,True
9,6,95,147,52,True
1,7,99,126,27,True
10,7,100,147,47,True
7,7,103,147,44,True
8,10,104,147,43,True
2,3,105,126,21,True
3,6,107,126,19,True
10,8,110,147,37,True
7,8,112,147,35,True
1,8,116,161,45,True
1,9,118,161,43,True
1,10,119,161,42,True
0,6,120,126,6,True
0,7,123,161,38,True
8,11,123,147,24,True
7,9,124,147,23,True
10,9,128,147,19,True
2,4,129,161,32,True
10,10,129,147,18,True
2,5,130,161,31,True
11,3,131,147,16,True
10,11,132,198,66,True
11,4,135,147,12,True
4,8,139,161,22,True
9,7,142,198,56,True
0,8,143,161,18,True
5,5,144,161,17,True
0,9,149,198,49,True
5,6,151,,,False
9,8,154,198,44,True
6,5,156,198,42,True
8,12,159,198,39,True
9,9,160,198,38,True
11,5,160,198,38,True
7,10,161,198,37,True
2,6,162,,,False
6,6,165,198,33,True
2,7,167,,,False
4,9,167,,,False
2,8,169,,,False
2,9,170,,,False
11,6,170,198,28,True
3,7,172,,,False
11,7,172,198,26,True
2,10,177,,,False
5,7,177,,,False
2,11,180,,,False
3,8,180,,,False
4,10,180,,,False
9,10,182,198,16,True
1,11,183,,,False
8,13,183,198,15,True
3,9,184,,,False
8,14,184,198,14,True
2,12,188,,,False
4,11,188,,,False
5,8,188,,,False
8,15,190,198,8,True
10,12,197,,,False
11,8,197,,,False
