slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
20,1.0378787878787878,4.0,4.0,4.0,4.0,18.65909090909091,3,9,2,0,0,1.25,4.0,1.5,4.0
21,1.0378787878787878,4.0,4.0,4.0,4.0,19.65909090909091,1,5,1,0,0,1.25,4.0,1.5,4.0
22,1.0075757575757576,4.0,4.0,4.0,4.0,20.46212121212121,2,5,2,3,4,1.25,4.0,1.3888888888888888,4.0
23,0.9318181818181818,4.0,4.0,4.0,4.0,21.12121212121212,2,10,2,5,10,1.25,4.0,1.3888888888888888,4.0
24,1.0151515151515151,5.0,4.0,5.0,4.714285714285714,22.12121212121212,1,5,1,0,0,1.25,4.0,1.5555555555555556,5.0
25,1.1818181818181819,5.0,4.0,5.0,4.714285714285714,23.12121212121212,0,0,0,0,0,1.5833333333333333,4.0,1.5555555555555556,5.0
26,1.2272727272727273,5.0,4.0,5.0,4.714285714285714,23.439393939393938,1,5,1,5,5,1.75,4.0,1.5555555555555556,5.0
27,1.3106060606060606,5.0,4.0,5.0,4.714285714285714,24.439393939393938,4,8,2,0,0,1.9166666666666667,4.0,1.5555555555555556,5.0
28,1.2272727272727273,4.0,3.0,4.0,3.7142857142857144,23.318181818181817,2,10,2,24,33,1.9166666666666667,4.0,1.3333333333333333,3.0
29,1.2272727272727273,4.0,3.0,4.0,3.7142857142857144,24.318181818181817,0,0,0,0,0,1.9166666666666667,4.0,1.3333333333333333,3.0
30,1.2272727272727273,4.0,3.0,4.0,3.7142857142857144,25.318181818181817,1,5,1,0,0,1.9166666666666667,4.0,1.3333333333333333,3.0
31,1.2272727272727273,4.0,3.0,4.0,3.7142857142857144,26.318181818181817,0,0,0,0,0,1.9166666666666667,4.0,1.3333333333333333,3.0
32,1.1515151515151516,4.0,3.0,4.0,3.7142857142857144,25.310606060606062,2,10,2,10,10,1.9166666666666667,4.0,1.3333333333333333,3.0
33,1.2348484848484849,4.0,4.0,4.0,4.0,26.310606060606062,0,0,0,0,0,2.0833333333333335,4.0,1.3333333333333333,3.0
34,1.2348484848484849,4.0,4.0,4.0,4.0,27.310606060606062,1,5,1,0,0,2.0833333333333335,4.0,1.3333333333333333,3.0
35,1.1893939393939394,4.0,4.0,4.0,4.0,28.03787878787879,2,4,2,2,6,2.0833333333333335,4.0,1.3333333333333333,3.0
36,1.2727272727272727,4.0,4.0,4.0,4.0,29.03787878787879,0,0,0,0,0,2.25,4.0,1.3333333333333333,3.0
37,1.371212121212121,5.0,4.0,5.0,4.714285714285714,29.62878787878788,1,5,1,3,9,2.5833333333333335,5.0,1.3333333333333333,3.0
38,1.3333333333333333,5.0,4.0,5.0,4.714285714285714,29.71969696969697,1,5,1,5,5,2.5833333333333335,5.0,1.3333333333333333,3.0
39,1.393939393939394,5.0,4.0,5.0,4.714285714285714,30.446969696969695,2,4,2,3,3,2.5833333333333335,5.0,1.5,3.0
40,1.4772727272727273,5.0,4.0,5.0,4.714285714285714,31.446969696969695,0,0,0,0,0,2.5833333333333335,5.0,1.6666666666666667,3.0
41,1.553030303030303,5.0,4.0,5.0,4.714285714285714,32.22727272727273,3,9,3,1,1,2.75,5.0,1.6666666666666667,3.0
42,1.2727272727272727,4.0,3.0,4.0,3.857142857142857,30.454545454545453,1,6,1,24,37,2.3333333333333335,4.0,1.4444444444444444,3.0
43,1.3181818181818181,4.0,4.0,4.0,4.0,30.181818181818183,2,5,2,5,5,2.5,4.0,1.4444444444444444,3.0
44,1.3181818181818181,4.0,4.0,4.0,4.0,31.181818181818183,0,0,0,0,0,2.5,4.0,1.4444444444444444,3.0
45,1.4015151515151516,4.0,4.0,4.0,4.0,32.18181818181818,0,0,0,0,0,2.5,4.0,1.6111111111111112,4.0
46,1.0909090909090908,4.0,4.0,4.0,4.0,28.59090909090909,2,10,2,32,52,2.6666666666666665,4.0,0.5,2.0
47,1.0909090909090908,4.0,4.0,4.0,4.0,29.59090909090909,1,5,1,0,0,2.6666666666666665,4.0,0.5,2.0
48,1.1742424242424243,4.0,4.0,4.0,4.0,30.59090909090909,0,0,0,0,0,2.6666666666666665,4.0,0.6666666666666666,2.0
49,1.2575757575757576,4.0,4.0,4.0,4.0,31.59090909090909,4,0,0,0,0,2.6666666666666665,4.0,0.8333333333333334,3.0
50,1.2424242424242424,4.0,4.0,4.0,4.0,32.45454545454545,3,2,1,2,2,2.6666666666666665,4.0,0.8333333333333334,3.0
51,1.303030303030303,4.0,4.0,4.0,4.0,33.25,2,10,2,3,3,2.6666666666666665,4.0,1.0,3.0
52,1.303030303030303,4.0,4.0,4.0,4.0,34.25,1,5,1,0,0,2.6666666666666665,4.0,1.0,3.0
53,1.2196969696969697,4.0,4.0,4.0,4.0,34.28787878787879,1,6,1,5,11,2.361111111111111,4.0,1.0,3.0
54,1.2196969696969697,4.0,4.0,4.0,4.0,35.28787878787879,5,5,1,0,0,2.361111111111111,4.0,1.0,3.0
55,1.3484848484848484,4.0,4.0,4.0,4.0,35.49242424242424,1,5,1,5,5,2.361111111111111,4.0,1.3333333333333333,3.0
56,1.2727272727272727,4.0,4.0,4.0,4.0,35.54545454545455,4,8,2,5,10,2.361111111111111,4.0,1.3333333333333333,3.0
57,0.8560606060606061,3.0,3.0,3.0,3.0,29.863636363636363,1,6,1,33,66,0.8333333333333334,2.0,1.3333333333333333,3.0
58,0.7424242424242424,3.0,3.0,3.0,3.0,30.295454545454547,2,10,2,10,15,0.8333333333333334,2.0,1.3333333333333333,3.0
