point_id,policy,curvature_weight,orc_avg_tx_per_slot,af3_avg_tx_per_slot,avg_tx_per_slot_relative_change_af3_vs_orc,orc_mean_VAoI,af3_mean_VAoI,mean_VAoI_gain_af3_vs_orc
C1,orc_freshness_backoff,0.5,11.268210526315789,12.186105263157893,0.08145878484418195,1.9052525039872414,1.9764775757575754,-0.03738353400469324
C2,orc_freshness_backoff,0.75,6.7404210526315795,7.472421052631579,0.10859855701658483,2.148279914938862,2.1177396916533757,0.014216128481727893
C3,orc_freshness_backoff,1.0,6.925052631578947,7.916421052631579,0.14315680671247033,2.078255481127061,2.0626057841573626,0.007530208442520839
C4,orc_freshness_backoff,0.75,7.3418947368421055,8.186526315789475,0.11504272523943357,2.0498978628389146,2.0436417224880388,0.003051927837132181
C5,orc_freshness_backoff,1.0,7.506105263157894,8.630105263157896,0.14974476917035975,1.9697747793726748,2.004748623072833,-0.017755250024724473
C6,orc_freshness_backoff,1.25,4.971368421052632,5.7985263157894735,0.16638434826797652,2.5036408080808066,2.386974354066985,0.04659871880873101
C7,orc_freshness_backoff,1.25,5.249894736842106,6.150736842105263,0.17159241288045862,2.4023317384370015,2.2951335034556073,0.04462257783395863
F1,freshness_backoff,,9.377894736842105,9.377894736842105,0.0,2.0029151515151513,2.0029151515151513,0.0
F2,freshness_backoff,,10.705473684210528,10.705473684210528,0.0,1.9745722062732596,1.9745722062732596,0.0
F3,freshness_backoff,,7.552421052631578,7.552421052631578,0.0,2.197383264221159,2.197383264221159,0.0
F4,freshness_backoff,,6.352421052631579,6.352421052631579,0.0,2.3587274853801175,2.3587274853801175,0.0
F5,freshness_backoff,,8.20357894736842,8.20357894736842,0.0,2.095188070175439,2.095188070175439,0.0
F6,freshness_backoff,,6.862315789473685,6.862315789473685,0.0,2.280424816586923,2.280424816586923,0.0
F7,freshness_backoff,,7.407789473684209,7.407789473684209,0.0,2.183182349813928,2.183182349813928,0.0
R1,random,,7.039789473684211,7.039789473684211,0.0,2.3426587772461462,2.3426587772461462,0.0
R2,random,,10.015999999999998,10.015999999999998,0.0,2.025931951089845,2.025931951089845,0.0
R3,random,,12.000421052631578,12.000421052631578,0.0,2.0112256884635826,2.0112256884635826,0.0
R4,random,,14.963578947368422,14.963578947368422,0.0,2.197223710792131,2.197223710792131,0.0
