slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement
100,4.155769230769231,18.0,11.0,14.0,13.5,48.33846153846154,6,10,5,23,43
110,4.112179487179487,19.0,9.0,16.0,13.064102564102564,46.0198717948718,4,15,4,58,159
120,3.992948717948718,20.0,10.0,16.0,12.08974358974359,46.49166666666667,3,7,2,47,104
130,4.393589743589744,21.0,11.0,14.410000000000082,12.294871794871796,51.21666666666667,5,11,4,71,229
140,4.118589743589744,21.0,10.049999999999955,13.410000000000082,12.705128205128204,50.55641025641026,4,13,4,45,91
150,4.084615384615384,21.0,10.0,14.0,12.615384615384615,51.47628205128205,2,6,1,2,2
160,4.069230769230769,16.0,10.0,12.0,11.051282051282051,51.103846153846156,5,10,5,23,62
170,4.569230769230769,18.0,10.0,13.0,12.153846153846153,57.62692307692308,4,7,4,36,185
180,5.0025641025641026,20.0,11.0,13.0,12.91025641025641,59.63525641025641,5,14,5,26,71
190,4.669871794871795,17.0,10.049999999999955,14.0,12.692307692307692,56.425,2,6,2,58,199
200,4.61025641025641,16.0,10.0,13.0,12.26923076923077,56.864102564102566,7,12,6,60,202
210,5.006410256410256,18.0,11.0,15.0,13.435897435897436,57.57179487179487,2,9,2,17,36
220,5.096153846153846,20.0,11.0,17.0,14.128205128205128,58.42179487179487,8,8,4,18,48
230,4.81025641025641,22.0,12.0,14.0,14.217948717948717,53.080128205128204,4,13,4,91,359
240,4.608974358974359,23.0,12.049999999999955,16.0,14.64102564102564,51.041666666666664,5,13,5,96,248
250,4.167307692307692,17.0,10.0,14.0,12.58974358974359,46.284615384615385,5,9,4,34,150
260,3.730769230769231,18.0,9.0,13.0,11.923076923076923,43.276923076923076,4,10,4,91,275
270,3.575641025641026,16.0,8.0,16.0,11.35897435897436,40.940384615384616,0,0,0,0,0
280,4.067948717948718,17.0,9.0,14.0,11.871794871794872,47.03910256410256,8,11,5,24,68
290,4.038461538461538,17.0,9.0,12.0,11.448717948717949,49.38333333333333,5,9,4,18,65
300,3.919230769230769,18.0,10.0,12.0,11.41025641025641,50.187179487179485,6,9,4,37,134
310,3.6724358974358973,16.0,10.0,14.0,11.91025641025641,46.73782051282051,5,18,5,165,563
320,3.8878205128205128,17.0,10.0,13.0,12.461538461538462,48.366025641025644,3,7,2,33,129
330,4.217307692307692,16.0,12.0,13.0,13.025641025641026,52.450641025641026,4,6,4,7,20
340,4.1461538461538465,16.0,10.049999999999955,14.0,12.679487179487179,50.385897435897434,6,15,6,82,280
350,4.612179487179487,17.0,10.0,15.0,13.128205128205128,55.02307692307692,1,8,1,29,62
360,4.563461538461539,18.0,11.0,14.0,12.653846153846153,54.71410256410256,6,13,6,37,107
370,4.98525641025641,18.0,11.0,13.0,12.743589743589743,57.3724358974359,4,11,4,31,116
380,4.86025641025641,20.0,11.0,14.0,13.384615384615385,56.11987179487179,2,7,2,1,3
390,5.116666666666666,21.0,11.0,15.0,13.85897435897436,58.667307692307695,3,9,3,27,99
400,5.3961538461538465,22.0,12.0,14.0,13.705128205128204,59.044871794871796,3,7,3,11,32
410,4.566025641025641,23.0,12.0,15.0,14.102564102564102,49.312179487179485,2,9,2,111,472
420,4.541025641025641,26.0,11.0,16.0,13.628205128205128,48.69230769230769,4,13,4,28,57
430,4.065384615384615,26.0,10.0,15.0,12.935897435897436,46.18910256410256,3,8,3,6,6
440,4.2,26.0,11.0,16.0,13.692307692307692,49.73782051282051,2,9,2,35,85
450,3.9096153846153845,18.0,11.0,12.0,12.08974358974359,47.208333333333336,6,16,6,74,246
460,3.8115384615384613,13.0,12.0,13.0,12.26923076923077,47.38461538461539,5,10,5,22,59
470,4.214743589743589,14.0,12.0,14.0,13.051282051282051,50.41282051282051,3,10,3,43,155
480,4.160897435897436,16.0,11.049999999999955,16.0,14.012820512820513,50.2474358974359,7,14,6,27,97
490,4.1275641025641026,16.0,11.0,15.0,13.435897435897436,51.88012820512821,2,10,2,58,152
500,4.178846153846154,18.0,11.0,15.0,13.076923076923077,52.937820512820515,3,13,3,67,189
510,4.006410256410256,20.0,11.0,14.0,12.538461538461538,51.32628205128205,6,13,5,125,423
520,3.7211538461538463,21.0,10.0,13.0,11.884615384615385,47.378846153846155,6,13,6,85,304
530,4.485897435897436,20.0,10.0,14.0,12.705128205128204,51.340384615384615,3,11,3,37,73
540,4.273717948717949,20.0,10.0,15.0,12.576923076923077,48.08205128205128,6,9,4,53,141
