source,version,generation_slot,completion_slot,delay,completed
0,1,0,110,110,True
1,1,0,110,110,True
7,1,0,110,110,True
8,1,0,110,110,True
19,1,0,110,110,True
25,1,0,110,110,True
4,1,1,110,109,True
9,1,1,60,59,True
13,1,1,110,109,True
25,2,1,110,109,True
33,1,1,110,109,True
8,2,2,110,108,True
32,1,2,110,108,True
37,1,2,91,89,True
8,3,3,110,107,True
22,1,3,110,107,True
25,3,3,110,107,True
30,1,3,110,107,True
32,2,3,110,107,True
33,2,3,110,107,True
34,1,3,110,107,True
37,2,3,91,88,True
12,1,4,110,106,True
34,2,4,110,106,True
1,2,5,110,105,True
10,1,5,110,105,True
11,1,5,110,105,True
25,4,5,110,105,True
28,1,5,110,105,True
32,3,5,110,105,True
35,1,5,110,105,True
7,2,6,110,104,True
18,1,6,110,104,True
27,1,6,110,104,True
39,1,6,110,104,True
4,2,7,110,103,True
16,1,7,91,84,True
23,1,7,110,103,True
24,1,7,110,103,True
32,4,7,110,103,True
8,4,8,110,102,True
10,2,8,110,102,True
18,2,8,110,102,True
22,2,8,110,102,True
27,2,8,110,102,True
21,1,9,119,110,True
0,2,10,110,100,True
7,3,10,110,100,True
20,1,10,110,100,True
32,5,10,110,100,True
4,3,11,110,99,True
5,1,11,110,99,True
6,1,11,110,99,True
30,2,11,110,99,True
32,6,11,110,99,True
35,2,11,110,99,True
0,3,12,110,98,True
10,3,12,110,98,True
17,1,12,60,48,True
29,1,12,110,98,True
37,3,12,91,79,True
1,3,13,110,97,True
28,2,13,110,97,True
35,3,13,110,97,True
39,2,13,110,97,True
23,2,14,110,96,True
32,7,14,110,96,True
36,1,14,110,96,True
7,4,15,110,95,True
16,2,15,91,76,True
17,2,15,60,45,True
18,3,15,110,95,True
21,2,15,119,104,True
25,5,15,110,95,True
31,1,15,119,104,True
1,4,16,110,94,True
26,1,16,110,94,True
27,3,16,110,94,True
15,1,17,110,93,True
22,3,17,110,93,True
30,3,17,110,93,True
32,8,17,110,93,True
2,1,18,110,92,True
10,4,18,110,92,True
20,2,18,110,92,True
26,2,18,110,92,True
3,1,19,110,91,True
18,4,19,110,91,True
27,4,19,110,91,True
10,5,20,110,90,True
19,2,20,110,90,True
20,3,20,110,90,True
31,2,20,119,99,True
32,9,20,110,90,True
35,4,20,110,90,True
2,2,21,110,89,True
6,2,21,110,89,True
27,5,21,110,89,True
4,4,22,110,88,True
10,6,22,110,88,True
18,5,22,110,88,True
25,6,22,110,88,True
31,3,22,119,97,True
33,3,22,110,88,True
12,2,23,174,151,True
14,1,23,110,87,True
16,3,23,91,68,True
26,3,23,110,87,True
32,10,23,110,87,True
3,2,24,110,86,True
7,5,24,110,86,True
10,7,24,110,86,True
20,4,24,110,86,True
21,3,24,119,95,True
25,7,24,165,141,True
27,6,24,110,86,True
31,4,24,119,95,True
34,3,24,110,86,True
4,5,25,110,85,True
23,3,25,110,85,True
8,5,26,110,84,True
9,2,26,165,139,True
22,4,26,110,84,True
27,7,26,110,84,True
35,5,26,110,84,True
16,4,27,91,64,True
29,2,27,110,83,True
31,5,27,119,92,True
17,3,28,110,82,True
18,6,28,110,82,True
29,3,28,110,82,True
38,1,28,110,82,True
29,4,29,110,81,True
10,8,30,110,80,True
11,2,30,119,89,True
3,3,31,174,143,True
13,2,31,206,175,True
14,2,31,174,143,True
16,5,31,91,60,True
22,5,31,110,79,True
7,6,32,110,78,True
15,2,32,110,78,True
9,3,33,165,132,True
10,9,33,110,77,True
12,3,33,174,141,True
31,6,33,119,86,True
32,11,33,110,77,True
35,6,33,110,77,True
33,4,34,110,76,True
34,4,34,110,76,True
37,4,34,110,76,True
17,4,35,110,75,True
21,4,35,327,292,True
29,5,35,110,75,True
0,4,36,110,74,True
29,6,36,110,74,True
36,2,36,110,74,True
4,6,37,110,73,True
15,3,37,110,73,True
28,3,37,110,73,True
1,5,38,110,72,True
3,4,38,174,136,True
5,2,38,110,72,True
25,8,38,165,127,True
26,4,38,110,72,True
30,4,38,110,72,True
32,12,38,110,72,True
34,5,38,110,72,True
38,2,38,110,72,True
0,5,39,110,71,True
2,3,39,110,71,True
3,5,39,174,135,True
6,3,39,110,71,True
7,7,39,119,80,True
22,6,39,110,71,True
23,4,39,110,71,True
29,7,39,110,71,True
34,6,39,110,71,True
15,4,40,110,70,True
21,5,40,327,287,True
31,7,40,119,79,True
33,5,40,110,70,True
32,13,41,110,69,True
6,4,42,110,68,True
10,10,42,110,68,True
33,6,42,110,68,True
36,3,42,174,132,True
10,11,43,110,67,True
13,3,43,206,163,True
36,4,43,174,131,True
39,3,43,110,67,True
28,4,44,174,130,True
0,6,45,110,65,True
8,6,45,110,65,True
17,5,45,110,65,True
