slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement
100,3.951923076923077,18.0,11.0,12.0,12.038461538461538,46.05448717948718,3,12,3,28,75
110,4.476923076923077,16.0,10.0,13.0,12.692307692307692,49.875,3,8,3,47,229
120,4.244230769230769,14.0,10.0,13.0,12.41025641025641,49.61794871794872,3,13,3,14,34
130,4.478205128205128,15.0,10.0,13.0,11.987179487179487,52.508974358974356,1,1,1,1,1
140,4.801282051282051,15.0,11.0,14.0,12.846153846153847,58.09230769230769,8,11,6,8,10
150,4.625641025641026,16.0,10.0,14.0,12.846153846153847,57.569871794871794,3,11,3,35,88
160,4.758974358974359,18.0,12.0,15.0,13.897435897435898,58.37948717948718,2,5,2,30,101
170,4.407692307692308,20.0,11.049999999999955,17.0,15.102564102564102,55.56089743589744,7,7,3,30,79
180,4.676923076923077,18.0,12.0,18.0,15.512820512820513,55.35961538461538,5,9,5,40,112
190,4.183974358974359,19.0,13.0,19.0,16.17948717948718,49.94935897435897,3,11,3,89,234
200,4.267307692307693,20.0,12.0,20.0,17.333333333333332,51.4775641025641,4,14,4,82,283
210,4.898717948717949,20.0,14.0,20.0,17.833333333333332,54.853205128205126,4,11,4,16,41
220,5.128205128205129,23.0,13.0,23.0,20.153846153846153,56.84871794871795,3,8,3,25,88
230,5.37948717948718,26.0,13.0,26.0,21.73076923076923,56.246153846153845,0,0,0,0,0
240,5.2243589743589745,26.0,14.0,26.0,21.307692307692307,54.55641025641026,4,17,4,93,270
250,5.226282051282051,26.0,14.0,26.0,21.115384615384617,54.66153846153846,4,14,4,73,224
260,5.3,26.0,14.049999999999955,26.0,21.41025641025641,57.36217948717949,5,9,3,16,67
270,4.954487179487179,29.0,15.0,26.0,21.08974358974359,54.08653846153846,2,7,2,96,409
280,4.243589743589744,27.0,12.049999999999955,27.0,21.692307692307693,48.53333333333333,5,13,5,52,235
290,4.885897435897436,27.0,14.0,27.0,22.71794871794872,56.212820512820514,4,7,4,11,22
300,4.955128205128205,27.0,15.0,27.0,21.17948717948718,58.87179487179487,3,12,3,35,128
310,4.786538461538462,30.0,13.049999999999955,30.0,21.615384615384617,58.01794871794872,5,9,5,76,382
320,3.9955128205128205,31.0,10.0,18.0,15.26923076923077,50.61923076923077,2,7,2,76,364
330,3.480128205128205,14.0,8.0,11.410000000000082,10.115384615384615,46.44679487179487,4,15,4,79,327
340,3.5006410256410256,15.0,9.0,10.0,9.833333333333334,45.17948717948718,7,11,5,43,125
350,3.7967948717948716,16.0,10.0,11.0,11.064102564102564,48.125,4,13,4,93,268
360,4.092948717948718,13.0,10.0,13.0,11.974358974358974,50.521794871794874,2,9,2,76,212
370,3.9955128205128205,13.0,9.0,13.0,11.282051282051283,47.91153846153846,6,9,4,58,151
380,3.8192307692307694,14.0,10.0,14.0,11.320512820512821,45.7224358974359,3,5,3,71,201
390,3.943589743589744,14.0,11.0,12.230000000000246,11.615384615384615,47.133974358974356,7,13,5,108,366
400,4.610897435897436,14.0,11.0,13.0,12.423076923076923,51.50705128205128,3,7,3,49,173
410,4.6826923076923075,15.0,11.0,15.0,13.0,50.385897435897434,5,14,5,68,228
420,5.058974358974359,18.0,11.0,16.0,13.628205128205128,52.6448717948718,4,8,4,28,71
430,4.806410256410256,18.0,11.0,14.0,13.179487179487179,51.34615384615385,5,12,5,71,292
440,4.285256410256411,19.0,11.0,13.0,12.602564102564102,47.79807692307692,2,8,2,8,31
450,4.359615384615385,13.0,11.0,12.0,11.628205128205128,48.70384615384615,2,6,2,26,72
460,4.286538461538462,15.0,11.0,13.0,11.961538461538462,49.46153846153846,6,14,6,31,93
470,4.748717948717949,16.0,11.049999999999955,13.0,12.551282051282051,53.53910256410256,2,4,2,27,77
480,5.05,17.0,13.0,14.0,13.64102564102564,56.930128205128206,4,4,3,17,47
490,5.092307692307692,18.0,12.0,15.0,14.179487179487179,59.71923076923077,5,6,3,9,14
500,4.776282051282052,20.0,12.0,15.0,13.948717948717949,57.511538461538464,6,9,3,42,130
510,4.633333333333334,17.0,13.0,16.0,14.807692307692308,55.330128205128204,4,14,4,30,112
520,4.5256410256410255,18.0,13.0,15.0,15.256410256410257,52.82820512820513,3,11,3,101,508
