node_i,node_j,curvature
0,5,-0.33333333333333326
0,15,0.33333333333333326
0,18,-2.220446049250313e-16
0,19,0.18333333333333313
0,24,0.16666666666666652
0,33,-0.3928571428571428
1,5,-0.08333333333333348
1,7,0.04166666666666674
1,13,0.33333333333333326
2,6,1.1102230246251565e-16
2,10,0.1964285714285715
2,14,0.15476190476190488
2,28,0.15476190476190488
2,29,-0.38095238095238093
2,30,0.07142857142857151
2,33,1.1102230246251565e-16
3,10,0.1875
3,30,0.2499999999999999
4,6,-0.16666666666666652
4,32,0.41666666666666674
4,34,0.5
5,7,0.3333333333333335
5,11,0.3750000000000001
5,15,-0.16666666666666652
5,27,0.33333333333333326
6,10,-0.16666666666666674
6,29,-0.3333333333333335
6,30,-0.16666666666666674
6,32,-0.20833333333333326
7,11,0.375
7,27,0.45833333333333326
8,22,0.16666666666666674
8,35,-0.16666666666666652
8,39,0.04166666666666674
9,17,-0.3666666666666667
9,25,-0.16666666666666652
9,32,-0.2916666666666665
10,12,0.2500000000000001
10,14,0.10416666666666663
10,28,0.10416666666666663
10,30,0.3749999999999999
10,36,0.19642857142857162
11,15,-0.20833333333333326
11,27,0.45833333333333326
12,30,0.2499999999999999
12,36,0.19047619047619047
14,26,0.41666666666666674
14,28,0.5833333333333333
14,33,0.2142857142857142
14,36,0.38095238095238093
15,19,0.016666666666666607
15,24,1.1102230246251565e-16
15,33,-0.3928571428571428
16,31,-0.16666666666666674
16,37,-0.08333333333333348
16,38,0.04166666666666663
17,23,-0.0714285714285714
17,29,-0.16666666666666674
17,37,0.0
17,39,-0.125
18,19,0.29999999999999993
18,20,0.20833333333333326
18,23,0.0714285714285714
18,24,0.41666666666666663
18,29,0.0
19,20,0.025000000000000133
19,24,0.3666666666666666
20,23,0.1964285714285714
20,38,0.0
21,31,0.5
22,37,-0.08333333333333348
22,39,0.45833333333333337
23,24,-0.0714285714285714
23,29,0.011904761904761973
23,37,-0.09523809523809512
23,38,0.05357142857142849
24,29,-0.08333333333333326
25,35,0.0
26,28,0.41666666666666663
26,33,0.267857142857143
26,36,0.267857142857143
28,33,0.2142857142857143
28,36,0.38095238095238093
30,36,0.059523809523809645
32,34,0.375
33,36,0.0714285714285714
37,38,0.08333333333333326
37,39,0.04166666666666663
