slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement
100,5.003846153846154,14.0,12.0,14.0,13.179487179487179,56.04102564102564,3,8,3,3,7
110,5.0025641025641026,16.0,12.0,16.0,14.41025641025641,54.13461538461539,4,9,4,56,181
120,4.818589743589744,16.0,13.0,16.0,14.615384615384615,54.45320512820513,8,10,5,65,278
130,4.91474358974359,16.0,13.0,16.0,15.320512820512821,56.02884615384615,2,4,2,4,7
140,4.8448717948717945,17.0,15.0,17.0,15.76923076923077,57.73717948717949,4,15,4,94,266
150,4.194230769230769,17.0,12.0,16.0,14.73076923076923,53.36153846153846,4,13,4,97,446
160,2.967948717948718,13.0,7.0,10.0,8.948717948717949,41.843589743589746,2,10,2,105,553
170,3.2544871794871795,15.0,8.0,10.410000000000082,9.435897435897436,45.45448717948718,6,13,6,17,34
180,3.5730769230769233,17.0,9.0,12.0,10.58974358974359,45.88269230769231,3,17,3,62,143
190,3.741025641025641,18.0,10.0,12.0,11.692307692307692,47.77820512820513,2,3,1,9,12
200,3.967948717948718,18.0,10.0,14.0,11.76923076923077,51.16153846153846,2,5,2,16,37
210,4.237820512820512,14.0,10.0,12.0,11.666666666666666,50.73397435897436,3,10,3,31,98
220,4.0070512820512825,14.0,9.0,14.0,12.08974358974359,47.276923076923076,7,12,6,65,178
230,4.431410256410256,16.0,12.0,16.0,13.987179487179487,48.80320512820513,3,7,3,18,50
240,3.9346153846153844,17.0,10.0,17.0,13.461538461538462,44.3974358974359,7,14,6,99,288
250,3.960897435897436,18.0,8.0,14.0,12.217948717948717,43.906410256410254,4,15,4,36,83
260,3.848076923076923,21.0,9.0,14.0,11.987179487179487,45.23525641025641,3,8,3,18,59
270,3.876923076923077,24.0,10.0,12.0,11.884615384615385,44.863461538461536,3,6,3,53,165
280,3.9365384615384613,25.0,10.0,12.0,12.076923076923077,45.822435897435895,6,8,4,50,129
290,3.8705128205128205,25.0,12.0,12.0,12.58974358974359,48.0025641025641,6,13,6,30,76
300,3.3160256410256412,15.0,10.0,13.0,11.538461538461538,44.91602564102564,2,6,2,22,56
310,3.5134615384615384,18.0,11.0,13.410000000000082,12.615384615384615,46.22692307692308,3,14,3,47,98
320,3.7737179487179486,19.0,12.0,13.410000000000082,13.294871794871796,47.55897435897436,3,11,3,30,77
330,3.7211538461538463,17.0,10.0,14.0,13.384615384615385,47.00961538461539,3,9,3,12,19
340,4.399358974358974,20.0,10.0,15.0,14.179487179487179,52.88717948717949,3,6,2,26,66
350,4.69551282051282,21.0,11.0,15.0,14.115384615384615,55.50769230769231,3,9,3,3,5
360,4.96025641025641,22.0,12.0,16.0,15.038461538461538,57.82371794871795,6,16,6,78,252
370,5.551282051282051,24.0,13.0,16.0,15.346153846153847,62.3724358974359,0,0,0,0,0
380,5.9282051282051285,25.0,14.0,16.0,15.743589743589743,65.99807692307692,4,9,4,19,30
390,5.878846153846154,26.0,15.0,17.0,16.858974358974358,65.90384615384616,4,8,3,3,3
400,6.164102564102564,28.0,15.0,18.0,18.166666666666668,66.43461538461538,0,0,0,0,0
410,6.473717948717948,30.0,16.0,20.0,19.192307692307693,67.9326923076923,3,12,3,81,256
420,6.089743589743589,31.0,17.0,20.0,19.615384615384617,64.04102564102564,7,15,7,28,86
430,5.3493589743589745,33.0,14.049999999999955,21.0,19.71794871794872,59.297435897435896,0,0,0,0,0
440,4.913461538461538,34.0,14.0,22.0,19.358974358974358,57.42051282051282,5,14,4,40,61
450,5.287179487179487,34.0,14.049999999999955,22.410000000000082,19.871794871794872,60.50064102564102,4,13,4,30,50
460,4.878846153846154,36.0,16.0,20.410000000000082,18.371794871794872,57.25,6,15,5,27,60
470,4.9512820512820515,22.0,13.0,17.0,15.961538461538462,57.76794871794872,2,6,2,13,47
480,5.248076923076923,22.0,13.0,18.0,16.641025641025642,61.09871794871795,6,11,5,12,16
490,5.339743589743589,22.0,14.0,19.0,17.153846153846153,64.1076923076923,3,7,3,14,50
500,5.294871794871795,24.0,14.0,19.0,17.58974358974359,64.13269230769231,2,6,2,1,2
510,4.807051282051282,20.0,15.0,20.0,16.96153846153846,59.049358974358974,4,8,4,48,202
520,4.355128205128205,22.0,13.0,19.0,16.115384615384617,53.427564102564105,2,10,2,93,333
530,4.51025641025641,24.0,10.0,16.0,14.461538461538462,51.467948717948715,1,3,1,0,0
540,4.933333333333334,24.0,11.0,16.0,13.935897435897436,55.94423076923077,4,11,4,15,37
550,4.808974358974359,15.0,11.0,13.0,11.782051282051283,54.49679487179487,4,5,3,30,104
560,4.544871794871795,14.0,11.0,13.0,12.14102564102564,49.75448717948718,5,15,5,47,147
570,4.563461538461539,15.0,10.0,14.0,12.461538461538462,50.60641025641026,4,11,4,28,85
580,5.14551282051282,17.0,12.0,14.0,13.14102564102564,54.496153846153845,5,15,4,59,134
590,5.371153846153846,18.0,12.0,14.0,13.576923076923077,56.687820512820515,3,16,3,80,324
600,5.4788461538461535,18.0,12.0,15.0,14.179487179487179,58.35897435897436,6,13,6,28,139
610,4.75,16.0,13.0,15.0,13.73076923076923,51.26025641025641,5,14,5,82,360
620,4.473076923076923,18.0,12.0,15.0,13.91025641025641,51.07820512820513,2,8,2,45,156
630,3.980769230769231,16.0,11.0,15.0,12.384615384615385,47.90576923076923,5,9,5,13,33
640,4.1365384615384615,17.0,11.0,12.0,12.294871794871796,51.96666666666667,2,7,2,20,56
650,4.128205128205129,18.0,11.0,13.0,13.051282051282051,53.385897435897434,4,17,4,88,454
660,3.980128205128205,15.0,10.0,14.0,12.628205128205128,50.66538461538462,5,12,5,1,1
670,3.8916666666666666,17.0,10.0,14.0,12.102564102564102,49.88333333333333,3,12,3,75,259
680,4.446153846153846,18.0,11.0,16.0,12.85897435897436,53.43397435897436,5,9,4,32,88
