node_i,node_j,is_inter_cluster
0,5,False
0,15,False
0,18,False
0,19,False
0,24,False
0,33,False
1,5,False
1,7,False
1,13,False
2,6,False
2,10,False
2,14,False
2,28,False
2,29,False
2,30,False
2,33,False
3,10,False
3,30,False
4,6,False
4,32,False
4,34,False
5,7,False
5,11,False
5,15,False
5,27,False
6,10,False
6,29,False
6,30,False
6,32,False
7,11,False
7,27,False
8,22,False
8,35,False
8,39,False
9,17,False
9,25,False
9,32,False
10,12,False
10,14,False
10,28,False
10,30,False
10,36,False
11,15,False
11,27,False
12,30,False
12,36,False
14,26,False
14,28,False
14,33,False
14,36,False
15,19,False
15,24,False
15,33,False
16,31,False
16,37,False
16,38,False
17,23,False
17,29,False
17,37,False
17,39,False
18,19,False
18,20,False
18,23,False
18,24,False
18,29,False
19,20,False
19,24,False
20,23,False
20,38,False
21,31,False
22,37,False
22,39,False
23,24,False
23,29,False
23,37,False
23,38,False
24,29,False
25,35,False
26,28,False
26,33,False
26,36,False
28,33,False
28,36,False
30,36,False
32,34,False
33,36,False
37,38,False
37,39,False
