source,version,generation_slot,completion_slot,delay,completed
0,1,0,91,91,True
1,1,0,114,114,True
7,1,0,72,72,True
8,1,0,114,114,True
19,1,0,72,72,True
25,1,0,68,68,True
44,1,0,68,68,True
49,1,0,65,65,True
3,1,1,114,113,True
15,1,1,48,47,True
23,1,1,91,90,True
38,1,1,68,67,True
12,1,2,48,46,True
17,1,2,65,63,True
28,1,2,65,63,True
42,1,2,68,66,True
45,1,2,123,121,True
0,2,3,91,88,True
2,1,3,91,88,True
3,2,3,114,111,True
4,1,3,91,88,True
7,2,3,72,69,True
22,1,3,91,88,True
44,2,3,68,65,True
1,2,4,114,110,True
10,1,4,65,61,True
11,1,4,114,110,True
25,2,4,68,64,True
28,2,4,65,61,True
32,1,4,93,89,True
35,1,4,68,64,True
47,1,4,68,64,True
8,2,5,114,109,True
17,2,5,65,60,True
29,1,5,65,60,True
34,1,5,68,63,True
46,1,5,93,88,True
3,3,6,114,108,True
4,2,6,91,85,True
12,2,6,48,42,True
28,3,6,65,59,True
30,1,6,68,62,True
38,2,6,68,62,True
42,2,6,68,62,True
47,2,6,68,62,True
31,1,7,93,86,True
0,3,8,91,83,True
7,3,8,72,64,True
20,1,8,91,83,True
32,2,8,93,85,True
44,3,8,68,60,True
45,2,8,123,115,True
46,2,8,93,85,True
20,2,9,91,82,True
22,2,9,91,82,True
25,3,9,68,59,True
30,2,9,68,59,True
40,1,9,93,84,True
47,3,9,68,59,True
9,1,10,72,62,True
17,3,10,65,55,True
21,1,10,91,81,True
48,1,10,68,58,True
5,1,11,91,80,True
9,2,11,72,61,True
33,1,11,93,82,True
42,3,11,68,57,True
46,3,11,93,82,True
7,4,12,72,60,True
16,1,12,114,102,True
17,4,12,65,53,True
18,1,12,91,79,True
21,2,12,91,79,True
25,4,12,68,56,True
31,2,12,93,81,True
41,1,12,123,111,True
16,2,13,114,101,True
17,5,13,65,52,True
45,3,13,123,110,True
2,2,14,91,77,True
10,2,14,65,51,True
12,3,14,72,58,True
22,3,14,91,77,True
30,3,14,68,54,True
40,2,14,93,79,True
46,4,14,93,79,True
13,1,15,93,78,True
28,4,15,93,78,True
37,1,15,77,62,True
10,3,16,65,49,True
19,2,16,91,75,True
20,3,16,91,75,True
31,3,16,93,77,True
32,3,16,123,107,True
35,2,16,68,52,True
42,4,16,68,52,True
46,5,16,93,77,True
17,6,17,65,48,True
34,2,17,68,51,True
40,3,17,93,76,True
48,2,17,68,51,True
5,2,18,91,73,True
11,2,18,114,96,True
13,2,18,93,75,True
32,4,18,123,105,True
34,3,18,68,50,True
36,1,18,117,99,True
46,6,18,93,75,True
2,3,19,114,95,True
13,3,19,93,74,True
17,7,19,72,53,True
20,4,19,91,72,True
30,4,19,68,49,True
31,4,19,93,74,True
35,3,19,68,49,True
37,2,19,77,58,True
41,2,19,123,104,True
44,4,19,68,49,True
4,3,20,91,71,True
23,2,20,91,71,True
48,3,20,68,48,True
49,2,20,93,73,True
12,4,21,114,93,True
17,8,21,72,51,True
25,5,21,68,47,True
46,7,21,93,72,True
9,3,22,93,71,True
11,3,22,114,92,True
37,3,22,77,55,True
38,3,22,68,46,True
49,3,22,93,71,True
8,3,23,114,91,True
39,1,23,68,45,True
10,4,24,72,48,True
11,4,24,114,90,True
43,1,24,93,69,True
3,4,25,114,89,True
4,4,25,91,66,True
6,1,25,91,66,True
12,5,25,114,89,True
37,4,25,77,52,True
45,4,25,123,98,True
29,2,26,93,67,True
30,5,26,77,51,True
32,5,26,123,97,True
1,3,27,114,87,True
2,4,27,114,87,True
5,3,27,114,87,True
43,2,27,93,66,True
44,5,27,68,41,True
47,4,27,93,66,True
17,9,28,72,44,True
21,3,28,91,63,True
29,3,28,93,65,True
40,4,28,93,65,True
