slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
100,4.310204081632653,12.0,10.0,12.0,11.333333333333334,51.496326530612244,4,16,4,12,36,5.9024,12.0,4.832,12.0
110,3.9726530612244897,14.0,9.0,12.0,10.577235772357724,50.425714285714285,6,24,6,82,266,4.8432,14.0,5.0656,14.0
120,4.050204081632653,14.0,9.0,12.0,10.447154471544716,53.157551020408164,2,8,2,6,16,4.7456,12.0,5.4032,14.0
130,4.651428571428571,13.0,10.0,12.0,11.601626016260163,58.48897959183673,4,12,4,41,104,5.1824,13.0,6.304,12.0
140,4.849387755102041,13.0,12.0,13.0,12.414634146341463,59.428979591836736,5,14,5,82,291,5.2768,13.0,7.1072,13.0
150,5.027755102040817,15.0,12.0,13.0,13.032520325203253,59.95918367346939,2,12,2,15,36,5.2368,15.0,7.888,13.0
160,4.606530612244898,15.0,11.0,14.0,13.357723577235772,56.489387755102044,7,16,5,88,356,4.9504,15.0,6.4048,14.0
170,4.7024489795918365,17.0,11.0,16.0,13.227642276422765,53.40408163265306,0,0,0,0,0,4.8112,12.0,6.9552,17.0
180,5.312244897959184,18.0,12.0,15.0,13.739837398373984,58.51673469387755,5,17,5,80,270,5.512,13.0,7.4208,18.0
190,5.27469387755102,19.0,12.0,15.0,13.886178861788618,57.26897959183673,3,13,3,79,236,5.3456,15.0,7.5056,19.0
200,5.428571428571429,23.0,11.0,15.0,13.894308943089431,58.114285714285714,7,19,6,130,501,5.4192,9.0,7.6368,23.0
210,5.338775510204082,17.0,11.0,17.0,13.715447154471544,58.35306122448979,3,16,3,99,397,5.9968,10.0,7.232,17.0
220,6.011428571428572,17.0,13.0,17.0,15.032520325203253,64.36408163265307,7,16,7,26,86,6.9312,12.0,7.904,17.0
230,5.740408163265307,19.0,14.0,18.509999999999764,15.707317073170731,63.40326530612245,3,12,3,107,519,6.984,14.0,7.7696,19.0
240,5.091428571428572,21.0,13.0,16.0,15.121951219512194,58.884897959183675,9,22,8,81,336,5.7792,15.0,7.7376,21.0
250,4.847346938775511,22.0,12.0,14.0,14.43089430894309,55.79469387755102,6,14,4,23,39,5.7712,14.0,6.3136,22.0
260,3.8453061224489797,16.0,11.0,14.0,13.195121951219512,47.20734693877551,4,14,4,80,217,4.8704,16.0,4.9328,14.0
270,4.248571428571428,16.0,11.0,15.0,13.764227642276422,51.801632653061226,5,20,5,75,155,5.7424,16.0,5.0384,16.0
