slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
100,4.552244897959183,14.0,10.0,13.0,11.707317073170731,53.30367346938775,5,24,5,107,358,5.9744,12.0,6.152,14.0
110,4.178367346938775,16.0,10.0,11.0,11.16260162601626,51.72244897959184,5,18,5,121,490,5.6032,12.0,5.2144,16.0
120,3.6314285714285712,18.0,10.0,13.0,11.471544715447154,47.68571428571428,5,15,5,73,196,4.592,13.0,4.3568,18.0
130,3.3889795918367347,14.0,8.0,12.0,10.585365853658537,44.505714285714284,6,16,6,106,299,3.7552,14.0,4.1264,12.0
140,3.775918367346939,15.0,8.0,11.0,10.105691056910569,47.63510204081633,7,10,6,77,159,4.072,14.0,4.8624,11.0
150,4.061632653061224,12.0,8.0,12.0,9.772357723577235,48.81265306122449,11,18,9,65,163,4.5024,9.0,5.5088,12.0
160,4.2089795918367345,13.0,9.0,12.0,10.154471544715447,51.329795918367346,4,16,4,157,450,4.4048,9.0,5.6304,13.0
170,4.6787755102040816,15.0,10.0,13.0,11.804878048780488,53.369795918367345,5,16,5,70,218,5.0944,12.0,5.6208,15.0
180,5.12,15.0,11.0,14.0,12.284552845528456,57.61224489795919,3,16,3,31,77,6.0928,13.0,6.1152,15.0
190,4.855102040816327,15.0,11.0,12.0,12.073170731707316,53.74775510204081,2,10,2,35,145,6.6944,15.0,5.2448,14.0
200,5.048979591836734,18.0,11.549999999999727,13.0,12.829268292682928,55.35061224489796,4,10,4,71,236,7.2816,12.0,5.8,18.0
210,5.269795918367347,20.0,13.0,14.0,13.455284552845528,58.593061224489794,6,21,5,24,37,7.9328,14.0,5.8832,20.0
220,5.785714285714286,20.0,13.0,15.0,13.991869918699187,63.217551020408166,6,24,6,91,335,8.3712,15.0,6.7856,20.0
230,5.706530612244898,18.0,13.0,15.0,14.845528455284553,64.19061224489796,12,25,12,102,376,8.2688,18.0,7.0336,18.0
240,4.855510204081632,17.0,12.0,15.0,13.65040650406504,57.57142857142857,4,16,4,58,242,6.424,15.0,6.4112,17.0
250,4.839183673469388,18.0,12.0,14.0,13.666666666666666,56.89673469387755,5,15,5,39,95,6.1696,12.0,6.5648,18.0
260,4.75265306122449,18.0,13.0,14.0,14.08130081300813,57.6265306122449,5,15,5,121,478,6.8528,14.0,5.3872,18.0
270,4.49265306122449,19.0,13.0,15.0,13.821138211382113,55.65469387755102,3,16,3,232,1206,7.68,15.0,3.552,19.0
280,4.548571428571429,16.0,12.0,15.509999999999764,14.24390243902439,54.460408163265306,5,17,5,58,142,7.3088,16.0,3.528,8.0
290,5.010612244897959,18.0,12.0,17.0,15.065040650406504,59.575102040816326,6,14,6,65,145,7.6304,17.0,4.5088,9.0
300,5.371836734693877,18.0,12.0,17.0,15.34959349593496,63.27061224489796,6,16,4,14,32,7.616,17.0,5.4256,12.0
310,5.020816326530612,19.0,12.0,16.0,14.089430894308943,59.34367346938775,8,19,8,94,363,6.3696,19.0,5.7536,14.0
320,5.086530612244898,14.0,12.0,14.0,12.878048780487806,57.456326530612245,5,18,5,53,184,5.568,14.0,6.248,14.0
330,5.802448979591837,17.0,13.0,17.0,14.75609756097561,61.45591836734694,4,20,4,42,97,6.0048,14.0,7.3392,17.0
340,6.118367346938776,21.0,14.0,21.0,16.520325203252032,64.09061224489795,4,14,4,104,411,6.7632,16.0,8.3376,21.0
350,5.7208163265306125,23.0,15.0,19.0,16.853658536585368,61.10163265306122,5,18,5,64,189,7.0816,16.0,7.6288,23.0
360,6.048571428571429,23.0,15.0,18.0,17.065040650406505,64.15306122448979,2,12,2,59,152,7.648,16.0,8.288,23.0
370,6.039183673469387,25.0,13.0,18.0,16.910569105691057,63.82734693877551,3,9,3,129,640,7.8928,16.0,8.2592,25.0
380,5.575918367346938,26.0,15.0,18.0,16.926829268292682,60.912244897959184,6,15,6,49,153,6.736,17.0,7.9328,26.0
390,5.210612244897959,26.0,15.0,17.0,16.390243902439025,58.72857142857143,4,11,3,22,58,7.12,18.0,6.4496,26.0
400,5.365714285714286,28.0,15.0,17.0,16.54471544715447,60.957959183673466,6,18,6,51,165,7.1328,19.0,6.8864,28.0
410,5.390204081632653,22.0,14.549999999999727,17.0,16.016260162601625,61.61795918367347,5,15,5,46,139,7.1824,22.0,6.6096,16.0
420,5.410612244897959,19.0,12.0,17.0,14.1869918699187,60.42612244897959,6,18,6,61,180,6.6832,12.0,7.3392,19.0
430,5.91469387755102,21.0,13.0,18.0,15.08130081300813,65.15020408163265,6,18,5,56,117,7.6096,14.0,7.9104,21.0
440,6.307346938775511,21.0,14.0,17.0,15.504065040650406,69.16775510204081,1,6,1,26,73,8.6352,15.0,8.296,21.0
450,6.373469387755102,23.0,15.0,17.0,15.626016260162602,68.80285714285715,5,21,5,172,685,8.8128,17.0,8.7008,23.0
460,5.684897959183673,17.0,15.0,17.0,16.227642276422763,62.4065306122449,7,21,7,129,503,7.9424,17.0,7.096,16.0
470,5.615510204081633,19.0,14.0,18.0,16.48780487804878,60.11387755102041,3,12,3,10,26,8.0528,19.0,6.528,19.0
480,4.9918367346938775,19.0,12.0,15.0,14.048780487804878,54.85142857142857,6,19,6,215,1195,5.5568,19.0,6.8592,19.0
490,5.002857142857143,22.0,12.0,14.019999999999527,13.317073170731707,54.31306122448979,4,14,4,72,205,5.8464,13.0,6.4896,22.0
500,5.080408163265306,23.0,12.0,15.0,13.926829268292684,57.23877551020408,6,19,6,32,61,6.16,15.0,6.0336,23.0
510,4.89265306122449,15.0,11.0,15.0,12.83739837398374,57.379183673469385,3,11,3,81,331,6.2704,15.0,5.4896,15.0
520,4.7,16.0,11.0,15.0,13.16260162601626,57.32163265306122,13,28,11,130,452,6.256,15.0,5.1664,16.0
530,4.955918367346939,16.0,12.0,15.0,13.666666666666666,59.29551020408163,3,13,3,107,311,6.9296,16.0,4.9136,14.0
540,5.497142857142857,16.0,12.0,15.0,14.065040650406504,65.43632653061225,5,18,5,20,37,7.5168,16.0,5.7856,15.0
550,5.114285714285714,16.0,11.0,16.0,13.365853658536585,59.031836734693876,2,12,2,105,316,7.2944,16.0,5.9008,16.0
560,5.484489795918368,19.0,13.0,17.0,14.609756097560975,62.564081632653064,5,21,5,20,32,7.7088,17.0,6.4864,19.0
570,5.8644897959183675,20.0,14.0,18.0,15.317073170731707,65.78367346938775,7,20,6,51,139,7.448,18.0,7.168,20.0
580,5.124897959183674,19.0,11.0,17.0,14.59349593495935,56.23428571428571,3,15,3,19,25,7.0624,19.0,5.1904,15.0
590,4.91265306122449,18.0,11.0,16.0,13.788617886178862,54.23102040816327,6,19,6,28,78,6.2592,18.0,5.3312,16.0
600,4.610204081632653,19.0,10.0,13.0,12.463414634146341,52.22530612244898,5,13,5,62,150,5.9616,19.0,5.1552,10.0
610,4.80530612244898,14.0,10.0,14.0,12.487804878048781,52.975102040816324,6,22,6,56,132,5.8352,14.0,5.8432,13.0
620,4.408571428571428,15.0,11.0,14.0,12.308943089430894,50.55142857142857,5,16,5,16,19,5.4576,15.0,5.6816,14.0
630,4.953061224489796,18.0,12.0,15.0,13.365853658536585,55.0730612244898,2,11,2,46,135,6.1584,18.0,6.2768,15.0
640,5.47265306122449,19.0,13.0,16.0,14.097560975609756,59.788163265306125,6,13,6,50,148,6.736,19.0,6.9264,13.0
650,5.8795918367346935,20.0,14.0,17.0,15.032520325203253,64.2330612244898,4,16,4,33,70,7.2704,20.0,7.424,15.0
660,5.628163265306123,22.0,14.0,16.0,15.975609756097562,63.33591836734694,3,14,3,31,78,6.8896,22.0,7.6384,15.0
670,5.7575510204081635,23.0,17.0,18.0,17.89430894308943,60.480816326530615,4,20,4,182,545,7.128,23.0,8.1216,18.0
680,5.622857142857143,24.0,17.0,19.0,18.398373983739837,59.99469387755102,5,17,5,104,383,6.9952,24.0,7.9088,19.0
690,5.66734693877551,24.0,15.0,20.0,18.577235772357724,59.94897959183673,4,12,4,14,36,6.448,24.0,7.9872,21.0
700,4.888571428571429,21.0,12.0,20.0,17.1869918699187,53.12285714285714,4,10,4,30,69,5.0016,15.0,7.4176,21.0
710,5.182857142857143,23.0,11.0,21.0,15.959349593495935,54.39795918367347,4,15,4,63,142,5.5536,13.0,7.3296,23.0
720,4.777551020408163,14.0,11.0,12.509999999999764,12.1869918699187,50.94897959183673,6,17,6,13,31,5.7792,14.0,5.5456,12.0
730,5.263673469387755,15.0,13.0,13.509999999999764,13.284552845528456,55.10857142857143,6,18,6,184,525,6.4656,15.0,6.024,13.0
740,5.12734693877551,14.0,13.0,14.0,13.552845528455284,54.873877551020406,2,8,2,5,5,6.0992,14.0,6.2528,14.0
750,5.468979591836734,16.0,15.0,16.0,15.341463414634147,57.604897959183674,3,12,3,98,301,5.9904,15.0,7.2464,16.0
760,5.251428571428572,19.0,16.0,19.0,17.30081300813008,55.29632653061225,2,16,2,175,682,6.496,16.0,5.7856,19.0
770,5.555510204081632,20.0,17.0,20.0,18.260162601626018,59.89877551020408,11,10,9,33,106,7.2016,17.0,6.3728,20.0
780,5.41469387755102,22.0,16.0,22.0,20.089430894308943,59.472244897959186,3,13,3,35,109,7.1728,20.0,6.4272,22.0
790,5.233469387755102,22.0,15.0,21.0,18.585365853658537,57.55591836734694,2,11,2,11,18,6.0192,16.0,6.6032,22.0
800,5.140816326530612,23.0,14.0,22.0,18.447154471544714,57.20530612244898,6,15,6,32,102,4.9824,17.0,7.4096,23.0
810,4.608979591836735,23.0,13.0,21.0,16.747967479674795,54.05142857142857,7,11,6,9,26,5.0288,12.0,6.064,23.0
820,4.530612244897959,25.0,11.0,16.0,14.94308943089431,51.40857142857143,3,16,3,97,271,5.1376,13.0,6.1056,25.0
830,4.868979591836735,26.0,12.0,18.0,15.65040650406504,53.046938775510206,1,7,1,6,15,5.4048,13.0,6.3968,26.0
840,4.674693877551021,28.0,12.0,18.0,15.447154471544716,53.328979591836735,2,9,2,10,27,5.0112,11.0,6.5344,28.0
850,5.289795918367347,31.0,12.0,19.0,16.26829268292683,59.31061224489796,3,13,3,9,16,5.664,12.0,7.3536,31.0
860,5.048979591836734,22.0,12.0,19.0,15.138211382113822,57.7469387755102,5,16,5,111,404,5.7504,12.0,6.616,22.0
870,4.897142857142857,23.0,12.0,14.0,13.853658536585366,56.70448979591837,6,20,6,130,391,6.2448,14.0,5.9072,23.0
880,4.604489795918368,15.0,12.0,14.0,13.577235772357724,54.24938775510204,7,19,7,142,417,5.52,15.0,5.6624,14.0
890,4.2963265306122445,16.0,11.0,16.0,13.626016260162602,52.777142857142856,11,22,9,98,268,4.4912,15.0,5.9664,16.0
900,4.668571428571428,17.0,11.0,16.509999999999764,14.252032520325203,54.73836734693877,6,20,6,101,221,4.5936,15.0,6.44,17.0
910,4.880816326530613,19.0,12.0,17.0,14.325203252032521,56.55877551020408,4,15,4,96,216,5.4832,19.0,5.9584,17.0
920,4.954285714285715,21.0,12.0,17.0,14.479674796747968,57.96081632653061,7,22,5,49,133,5.7792,21.0,5.6432,18.0
930,5.089795918367347,22.0,13.0,20.0,15.91869918699187,59.645714285714284,4,16,4,148,314,6.088,22.0,5.8672,20.0
940,4.551020408163265,24.0,11.0,16.0,14.951219512195122,55.69755102040816,5,19,5,64,123,6.568,24.0,4.208,13.0
950,4.502448979591836,25.0,11.0,16.509999999999764,14.495934959349594,55.35755102040817,7,23,7,112,244,6.4496,25.0,4.296,16.0
960,4.282857142857143,19.0,10.0,13.0,11.691056910569106,55.19387755102041,4,19,4,82,260,5.7744,13.0,4.9632,18.0
970,4.878367346938775,22.0,10.0,14.0,12.34959349593496,57.78775510204082,2,10,2,13,38,6.352,14.0,5.4512,18.0
980,4.630612244897959,17.0,11.0,12.0,11.772357723577235,55.664897959183676,3,17,3,237,750,5.848,17.0,5.192,14.0
990,4.649795918367347,18.0,10.0,13.0,12.211382113821138,58.55469387755102,5,15,5,33,81,6.192,18.0,5.4096,13.0
1000,4.650612244897959,18.0,11.0,13.0,12.699186991869919,59.660816326530615,5,19,5,130,415,6.2336,18.0,5.2896,13.0
1010,4.655102040816327,19.0,11.0,14.0,12.723577235772357,59.91183673469388,6,22,6,228,919,6.4784,19.0,5.3824,14.0
1020,4.9314285714285715,15.0,12.0,14.0,12.853658536585366,61.52204081632653,5,16,5,26,88,6.1696,15.0,5.936,14.0
1030,5.154285714285714,16.0,12.0,15.0,13.609756097560975,60.773877551020405,1,6,1,112,447,7.0048,15.0,5.328,16.0
1040,4.86734693877551,18.0,12.0,15.0,14.455284552845528,55.751836734693875,5,18,5,146,491,6.1424,18.0,5.2768,15.0
1050,4.498775510204082,18.0,12.0,16.0,14.300813008130081,54.58081632653061,2,5,2,7,23,5.5056,18.0,5.0848,16.0
1060,4.056326530612245,20.0,10.0,16.0,13.682926829268293,49.62816326530612,3,16,3,47,129,4.6736,20.0,4.8544,17.0
1070,4.513469387755102,17.0,10.0,16.0,12.520325203252032,52.94,5,14,5,52,130,5.1984,12.0,5.5984,17.0
1080,4.94204081632653,19.0,10.0,16.0,12.642276422764228,57.18530612244898,2,9,2,47,163,5.9584,12.0,5.904,19.0
1090,5.035510204081633,18.0,11.0,14.0,12.528455284552846,56.41183673469388,4,20,4,33,76,6.0528,13.0,5.8368,18.0
1100,5.029795918367347,18.0,10.549999999999727,14.0,12.634146341463415,58.3930612244898,5,14,5,64,193,5.9376,14.0,6.1984,18.0
1110,5.0383673469387755,17.0,11.0,13.0,12.601626016260163,58.27673469387755,4,10,4,17,30,6.8752,15.0,5.4368,17.0
1120,4.82204081632653,16.0,12.0,13.0,13.235772357723578,56.084489795918365,8,19,7,34,75,6.8336,16.0,5.0304,13.0
1130,5.183265306122449,17.0,13.0,16.0,14.479674796747968,60.12571428571429,3,15,3,85,425,7.0864,17.0,5.6112,16.0
1140,4.766938775510204,20.0,12.0,15.0,13.886178861788618,55.90734693877551,7,22,7,129,765,6.8016,20.0,4.9808,12.0
1150,4.293877551020408,13.0,10.0,13.0,11.699186991869919,51.235510204081635,3,9,2,60,173,5.7568,12.0,5.2384,13.0
1160,4.788571428571428,16.0,11.0,16.0,13.373983739837398,54.84285714285714,3,15,3,16,40,6.3232,14.0,5.8928,16.0
1170,5.3677551020408165,18.0,11.0,16.0,13.91869918699187,60.15469387755102,8,17,8,104,406,6.808,18.0,6.5232,16.0
1180,5.639183673469388,19.0,12.0,18.0,15.422764227642276,64.36775510204082,1,8,1,60,174,7.0704,19.0,6.7296,18.0
1190,5.353877551020408,19.0,12.0,19.0,14.878048780487806,62.01877551020408,2,10,2,97,422,6.248,19.0,6.92,19.0
1200,5.524489795918368,20.0,13.0,20.0,15.40650406504065,62.571836734693875,8,18,8,132,469,6.7536,20.0,6.9328,20.0
1210,4.777959183673469,20.0,12.0,14.0,13.878048780487806,57.027755102040814,4,19,4,89,273,5.4736,14.0,6.5024,20.0
1220,4.686938775510204,21.0,12.0,17.0,14.308943089430894,55.1534693877551,2,11,2,16,26,5.76,17.0,6.5776,21.0
1230,4.943673469387755,22.0,12.0,15.0,14.552845528455284,58.928163265306125,4,11,4,22,50,6.1872,19.0,6.632,22.0
1240,5.033877551020408,24.0,12.0,15.0,13.975609756097562,59.33469387755102,6,15,6,37,136,6.1584,19.0,6.2464,24.0
1250,4.914285714285715,26.0,12.0,15.0,13.967479674796747,59.78775510204082,6,21,6,21,34,4.9616,20.0,6.9264,26.0
1260,4.900816326530612,16.0,11.0,16.0,13.512195121951219,59.03918367346939,5,17,5,76,302,5.08,13.0,6.9152,16.0
1270,5.108979591836735,16.0,11.0,16.0,13.292682926829269,61.78040816326531,7,23,7,45,122,5.2128,14.0,7.1968,16.0
