source,version,generation_slot,completion_slot,delay,completed
0,1,0,105,105,True
1,1,0,105,105,True
7,1,0,105,105,True
8,1,0,105,105,True
19,1,0,105,105,True
25,1,0,63,63,True
44,1,0,39,39,True
49,1,0,124,124,True
3,1,1,105,104,True
15,1,1,105,104,True
23,1,1,105,104,True
38,1,1,105,104,True
12,1,2,105,103,True
17,1,2,105,103,True
28,1,2,124,122,True
42,1,2,63,61,True
45,1,2,124,122,True
0,2,3,105,102,True
2,1,3,105,102,True
3,2,3,105,102,True
4,1,3,105,102,True
7,2,3,105,102,True
22,1,3,105,102,True
44,2,3,63,60,True
1,2,4,105,101,True
10,1,4,105,101,True
11,1,4,105,101,True
25,2,4,105,101,True
28,2,4,124,120,True
32,1,4,124,120,True
35,1,4,105,101,True
47,1,4,105,101,True
8,2,5,105,100,True
17,2,5,105,100,True
29,1,5,124,119,True
34,1,5,48,43,True
46,1,5,105,100,True
3,3,6,105,99,True
4,2,6,105,99,True
12,2,6,105,99,True
28,3,6,124,118,True
30,1,6,63,57,True
38,2,6,105,99,True
42,2,6,63,57,True
47,2,6,105,99,True
31,1,7,105,98,True
0,3,8,105,97,True
7,3,8,105,97,True
20,1,8,105,97,True
32,2,8,124,116,True
44,3,8,63,55,True
45,2,8,124,116,True
46,2,8,105,97,True
20,2,9,105,96,True
22,2,9,105,96,True
25,3,9,105,96,True
30,2,9,63,54,True
40,1,9,105,96,True
47,3,9,105,96,True
9,1,10,105,95,True
17,3,10,105,95,True
21,1,10,105,95,True
48,1,10,63,53,True
5,1,11,105,94,True
9,2,11,105,94,True
33,1,11,124,113,True
42,3,11,63,52,True
46,3,11,105,94,True
7,4,12,105,93,True
16,1,12,105,93,True
17,4,12,105,93,True
18,1,12,105,93,True
21,2,12,105,93,True
25,4,12,105,93,True
31,2,12,105,93,True
41,1,12,124,112,True
16,2,13,105,92,True
17,5,13,105,92,True
45,3,13,124,111,True
2,2,14,105,91,True
10,2,14,105,91,True
12,3,14,105,91,True
22,3,14,105,91,True
30,3,14,105,91,True
40,2,14,105,91,True
46,4,14,105,91,True
13,1,15,105,90,True
28,4,15,124,109,True
37,1,15,105,90,True
10,3,16,105,89,True
19,2,16,105,89,True
20,3,16,105,89,True
31,3,16,105,89,True
32,3,16,124,108,True
35,2,16,105,89,True
42,4,16,105,89,True
46,5,16,105,89,True
17,6,17,105,88,True
34,2,17,105,88,True
40,3,17,124,107,True
48,2,17,63,46,True
5,2,18,105,87,True
11,2,18,105,87,True
13,2,18,105,87,True
32,4,18,124,106,True
34,3,18,105,87,True
36,1,18,105,87,True
46,6,18,105,87,True
2,3,19,105,86,True
13,3,19,105,86,True
17,7,19,105,86,True
20,4,19,105,86,True
30,4,19,105,86,True
31,4,19,105,86,True
35,3,19,105,86,True
37,2,19,105,86,True
41,2,19,124,105,True
44,4,19,105,86,True
4,3,20,105,85,True
23,2,20,105,85,True
48,3,20,105,85,True
49,2,20,124,104,True
12,4,21,105,84,True
17,8,21,105,84,True
25,5,21,105,84,True
46,7,21,105,84,True
9,3,22,105,83,True
11,3,22,105,83,True
37,3,22,105,83,True
38,3,22,105,83,True
49,3,22,124,102,True
8,3,23,151,128,True
39,1,23,124,101,True
10,4,24,105,81,True
11,4,24,105,81,True
43,1,24,105,81,True
3,4,25,105,80,True
4,4,25,105,80,True
6,1,25,105,80,True
12,5,25,105,80,True
37,4,25,105,80,True
45,4,25,124,99,True
29,2,26,124,98,True
30,5,26,105,79,True
32,5,26,124,98,True
1,3,27,151,124,True
2,4,27,105,78,True
5,3,27,105,78,True
43,2,27,105,78,True
44,5,27,105,78,True
47,4,27,124,97,True
17,9,28,105,77,True
21,3,28,105,77,True
29,3,28,124,96,True
40,4,28,124,96,True
19,3,29,105,76,True
26,1,29,124,95,True
34,4,29,105,76,True
45,5,29,124,95,True
8,4,30,151,121,True
21,4,30,105,75,True
23,3,30,105,75,True
25,6,30,105,75,True
45,6,30,124,94,True
46,8,30,124,94,True
0,4,31,105,74,True
2,5,31,105,74,True
4,5,31,105,74,True
8,5,31,151,120,True
10,5,31,105,74,True
12,6,31,105,74,True
13,4,31,105,74,True
16,3,31,151,120,True
17,10,31,105,74,True
32,6,31,124,93,True
33,2,31,124,93,True
39,2,31,124,93,True
44,6,31,105,74,True
15,2,32,105,73,True
21,5,32,105,73,True
31,5,32,124,92,True
33,3,32,124,92,True
22,4,33,105,72,True
36,2,33,105,72,True
40,5,33,124,91,True
13,5,34,105,71,True
16,4,34,151,117,True
30,6,34,105,71,True
33,4,34,124,90,True
6,2,35,105,70,True
9,4,35,105,70,True
38,4,35,105,70,True
0,5,36,105,69,True
8,6,36,151,115,True
17,11,36,105,69,True
28,5,36,124,88,True
7,5,37,105,68,True
27,1,37,124,87,True
28,6,37,124,87,True
40,6,37,124,87,True
16,5,38,151,113,True
29,4,38,124,86,True
31,6,38,124,86,True
39,3,38,124,86,True
46,9,38,124,86,True
36,3,39,124,85,True
45,7,39,124,85,True
6,3,40,105,65,True
8,7,40,151,111,True
10,6,40,124,84,True
22,5,40,105,65,True
25,7,40,124,84,True
30,7,40,105,65,True
31,7,40,124,84,True
32,7,40,166,126,True
42,5,40,105,65,True
44,7,40,105,65,True
1,4,41,175,134,True
17,12,41,105,64,True
25,8,41,124,83,True
1,5,42,175,133,True
4,6,42,105,63,True
26,2,42,124,82,True
29,5,42,124,82,True
12,7,43,106,63,True
13,6,43,105,62,True
14,1,43,106,63,True
43,3,43,124,81,True
47,5,43,124,81,True
4,7,44,105,61,True
5,4,44,106,62,True
11,5,44,175,131,True
12,8,44,106,62,True
16,6,44,151,107,True
25,9,44,124,80,True
48,4,44,105,61,True
8,8,45,151,106,True
10,7,45,124,79,True
11,6,45,175,130,True
20,5,45,105,60,True
23,4,45,105,60,True
37,5,45,105,60,True
38,5,45,124,79,True
21,6,46,105,59,True
38,6,46,124,78,True
12,9,47,106,59,True
24,1,47,151,104,True
25,10,47,124,77,True
0,6,48,105,57,True
15,3,48,106,58,True
25,11,48,124,76,True
45,8,48,166,118,True
7,6,49,106,57,True
10,8,49,124,75,True
6,4,50,105,55,True
7,7,50,106,56,True
29,6,50,124,74,True
34,5,50,105,55,True
37,6,50,105,55,True
2,6,51,151,100,True
31,8,51,124,73,True
9,5,52,147,95,True
10,9,52,124,72,True
15,4,52,106,54,True
16,7,52,175,123,True
20,6,52,105,53,True
31,9,52,124,72,True
38,7,52,124,72,True
49,4,52,166,114,True
7,8,53,106,53,True
9,6,53,147,94,True
23,5,53,151,98,True
46,10,53,124,71,True
49,5,53,166,113,True
10,10,54,124,70,True
18,2,54,175,121,True
23,6,54,151,97,True
44,8,54,124,70,True
40,7,55,124,69,True
48,5,55,124,69,True
2,7,56,151,95,True
3,5,56,151,95,True
8,9,56,151,95,True
27,2,56,124,68,True
29,7,56,124,68,True
41,3,56,166,110,True
2,8,57,151,94,True
6,5,57,151,94,True
26,3,57,124,67,True
38,8,57,124,67,True
47,6,57,124,67,True
0,7,58,151,93,True
1,6,58,175,117,True
6,6,58,151,93,True
24,2,58,151,93,True
30,8,58,105,47,True
32,8,58,166,108,True
40,8,58,166,108,True
47,7,58,124,66,True
48,6,58,124,66,True
10,11,59,124,65,True
13,7,59,106,47,True
15,5,59,147,88,True
18,3,59,175,116,True
23,7,59,151,92,True
25,12,59,124,65,True
36,4,59,166,107,True
44,9,59,124,65,True
15,6,60,147,87,True
22,6,60,151,91,True
23,8,60,151,91,True
44,10,60,124,64,True
46,11,60,124,64,True
11,7,61,175,114,True
24,3,61,151,90,True
43,4,61,124,63,True
47,8,61,124,63,True
19,4,62,106,44,True
24,4,62,151,89,True
34,6,62,105,43,True
35,4,62,124,62,True
16,8,63,175,112,True
32,9,63,166,103,True
35,5,63,124,61,True
0,8,64,151,87,True
14,2,64,106,42,True
20,7,64,151,87,True
27,3,64,124,60,True
35,6,64,124,60,True
2,9,65,151,86,True
22,7,65,151,86,True
28,7,65,166,101,True
36,5,65,166,101,True
4,8,66,151,85,True
13,8,66,106,40,True
31,10,66,124,58,True
6,7,67,151,84,True
33,5,67,166,99,True
36,6,67,166,99,True
39,4,67,124,57,True
43,5,67,124,57,True
1,7,68,175,107,True
2,10,68,151,83,True
4,9,68,151,83,True
5,5,68,106,38,True
12,10,68,106,38,True
19,5,68,106,38,True
21,7,68,151,83,True
34,7,68,124,56,True
37,7,68,124,56,True
39,5,68,124,56,True
11,8,69,175,106,True
18,4,69,175,106,True
5,6,70,175,105,True
13,9,70,106,36,True
23,9,70,151,81,True
38,9,70,124,54,True
1,8,71,175,104,True
3,6,71,151,80,True
18,5,71,175,104,True
27,4,71,124,53,True
35,7,71,124,53,True
37,8,71,124,53,True
48,7,71,124,53,True
11,9,72,175,103,True
13,10,72,106,34,True
39,6,72,166,94,True
48,8,72,124,52,True
3,7,73,151,78,True
5,7,73,175,102,True
7,9,73,147,74,True
11,10,73,175,102,True
22,8,73,151,78,True
25,13,73,166,93,True
29,8,73,166,93,True
30,9,73,124,51,True
35,8,73,124,51,True
36,7,73,166,93,True
38,10,73,124,51,True
5,8,74,175,101,True
6,8,74,151,77,True
14,3,74,147,73,True
23,10,74,151,77,True
42,6,74,132,58,True
9,7,75,147,72,True
18,6,75,175,100,True
21,8,75,151,76,True
39,7,75,166,91,True
43,6,75,124,49,True
48,9,75,124,49,True
14,4,76,147,71,True
19,6,76,175,99,True
26,4,76,166,90,True
43,7,76,124,48,True
48,10,76,124,48,True
5,9,77,175,98,True
7,10,77,147,70,True
10,12,77,175,98,True
38,11,77,132,55,True
44,11,77,132,55,True
3,8,78,175,97,True
11,11,78,175,97,True
21,9,78,175,97,True
30,10,78,124,46,True
45,9,78,166,88,True
48,11,78,124,46,True
1,9,79,175,96,True
23,11,79,151,72,True
30,11,79,132,53,True
31,11,79,124,45,True
38,12,79,132,53,True
0,9,80,151,71,True
4,10,80,151,71,True
23,12,80,151,71,True
32,10,80,166,86,True
17,13,81,147,66,True
24,5,81,175,94,True
26,5,81,166,85,True
29,9,81,166,85,True
31,12,81,132,51,True
32,11,81,166,85,True
1,10,82,175,93,True
21,10,82,175,93,True
37,9,82,132,50,True
43,8,82,124,42,True
44,12,82,132,50,True
11,12,83,175,92,True
29,10,83,166,83,True
37,10,83,166,83,True
39,8,83,166,83,True
40,9,83,166,83,True
42,7,83,132,49,True
3,9,84,175,91,True
6,9,84,151,67,True
24,6,84,175,91,True
26,6,84,166,82,True
28,8,84,166,82,True
37,11,84,166,82,True
43,9,84,147,63,True
2,11,85,151,66,True
16,9,85,175,90,True
18,7,85,175,90,True
25,14,85,166,81,True
27,5,85,132,47,True
39,9,85,166,81,True
28,9,86,166,80,True
38,13,86,132,46,True
3,10,87,175,88,True
9,8,87,147,60,True
16,10,87,175,88,True
25,15,87,166,79,True
29,11,87,166,79,True
31,13,87,132,45,True
38,14,87,132,45,True
49,6,87,166,79,True
9,9,88,147,59,True
17,14,88,147,59,True
22,9,88,151,63,True
28,10,88,166,78,True
30,12,88,132,44,True
33,6,88,166,78,True
42,8,88,132,44,True
46,12,88,206,118,True
1,11,89,175,86,True
12,11,89,175,86,True
25,16,89,166,77,True
34,8,89,132,43,True
46,13,89,206,117,True
8,10,90,175,85,True
14,5,90,151,61,True
25,17,90,166,76,True
31,14,90,132,42,True
36,8,90,166,76,True
5,10,91,175,84,True
7,11,91,175,84,True
24,7,91,175,84,True
29,12,91,166,75,True
35,9,91,132,41,True
38,15,91,132,41,True
32,12,92,166,74,True
17,15,93,175,82,True
26,7,93,166,73,True
38,16,93,132,39,True
41,4,93,166,73,True
9,10,94,166,72,True
23,13,94,202,108,True
1,12,95,175,80,True
33,7,95,166,71,True
46,14,95,206,111,True
48,12,95,132,37,True
14,6,96,151,55,True
17,16,96,175,79,True
22,10,96,202,106,True
2,12,97,175,78,True
6,10,97,151,54,True
20,8,97,151,54,True
21,11,97,175,78,True
43,10,97,166,69,True
7,12,98,175,77,True
8,11,98,175,77,True
27,6,98,166,68,True
37,12,98,166,68,True
42,9,98,166,68,True
0,10,99,202,103,True
7,13,99,175,76,True
13,11,99,175,76,True
29,13,99,166,67,True
42,10,99,166,67,True
0,11,100,202,102,True
10,13,100,175,75,True
20,9,100,151,51,True
27,7,100,166,66,True
29,14,100,166,66,True
39,10,100,166,66,True
14,7,101,175,74,True
20,10,101,151,50,True
41,5,101,166,65,True
9,11,102,166,64,True
11,13,102,175,73,True
28,11,102,166,64,True
38,17,102,233,131,True
40,10,102,206,104,True
16,11,103,175,72,True
20,11,103,151,48,True
43,11,103,166,63,True
9,12,104,206,102,True
11,14,104,175,71,True
13,12,104,175,71,True
14,8,104,175,71,True
25,18,104,166,62,True
30,13,104,166,62,True
29,15,105,166,61,True
32,13,105,206,101,True
36,9,105,206,101,True
41,6,105,206,101,True
1,13,106,175,69,True
13,13,106,175,69,True
22,11,106,202,96,True
31,15,106,166,60,True
34,9,106,175,69,True
47,9,106,166,60,True
15,7,107,175,68,True
25,19,107,166,59,True
30,14,107,166,59,True
22,12,108,202,94,True
23,14,108,202,94,True
38,18,108,233,125,True
46,15,108,206,98,True
10,14,109,175,66,True
12,12,109,175,66,True
31,16,109,166,57,True
35,10,109,206,97,True
4,11,110,175,65,True
14,9,110,175,65,True
29,16,110,166,56,True
31,17,110,166,56,True
3,11,111,194,83,True
25,20,111,166,55,True
6,11,112,175,63,True
7,14,112,175,63,True
26,8,112,206,94,True
28,12,112,206,94,True
34,10,112,175,63,True
47,10,112,206,94,True
49,7,112,166,54,True
32,14,113,206,93,True
46,16,113,206,93,True
48,13,113,166,53,True
4,12,114,175,61,True
8,12,114,229,115,True
32,15,114,206,92,True
34,11,114,175,61,True
37,13,114,166,52,True
40,11,114,206,92,True
12,13,115,175,60,True
25,21,115,206,91,True
47,11,115,206,91,True
10,15,116,175,59,True
30,15,116,166,50,True
40,12,116,233,117,True
10,16,117,175,58,True
14,10,117,175,58,True
26,9,117,206,89,True
43,12,117,166,49,True
19,7,118,175,57,True
20,12,118,202,84,True
39,11,118,233,115,True
48,14,118,166,48,True
11,15,119,194,75,True
23,15,119,202,83,True
26,10,119,206,87,True
32,16,119,206,87,True
0,12,120,229,109,True
10,17,120,175,55,True
11,16,120,194,74,True
12,14,120,175,55,True
14,11,120,211,91,True
24,8,120,194,74,True
13,14,121,175,54,True
24,9,121,194,73,True
29,17,121,233,112,True
30,16,121,206,85,True
32,17,121,233,112,True
36,10,121,206,85,True
40,13,121,233,112,True
43,13,121,206,85,True
46,17,121,206,85,True
9,13,122,206,84,True
18,8,122,194,72,True
29,18,122,233,111,True
40,14,122,233,111,True
48,15,122,166,44,True
49,8,122,206,84,True
17,17,123,175,52,True
26,11,123,206,83,True
38,19,123,233,110,True
44,13,123,166,43,True
4,13,124,202,78,True
5,11,124,175,51,True
17,18,124,175,51,True
30,17,124,206,82,True
45,10,124,266,142,True
34,12,125,175,50,True
47,12,125,206,81,True
0,13,126,229,103,True
24,10,126,194,68,True
30,18,126,206,80,True
33,8,126,233,107,True
35,11,126,206,80,True
0,14,127,229,102,True
4,14,127,202,75,True
10,18,127,175,48,True
14,12,127,211,84,True
21,12,127,202,75,True
5,12,128,175,47,True
21,13,128,202,74,True
23,16,128,202,74,True
27,8,128,206,78,True
30,19,128,206,78,True
34,13,128,175,47,True
9,14,129,206,77,True
