slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
100,4.753877551020408,16.0,11.0,14.0,13.05691056910569,55.49673469387755,3,13,3,12,22,6.1248,16.0,5.4736,16.0
110,4.258367346938775,16.0,10.0,13.0,11.373983739837398,53.10857142857143,7,13,4,58,236,5.3536,11.0,4.9664,16.0
120,4.32734693877551,16.0,10.0,12.509999999999764,11.991869918699187,55.70204081632653,4,13,4,17,32,5.3824,12.0,5.4816,16.0
130,3.6187755102040815,14.0,9.0,12.0,11.048780487804878,47.102448979591834,9,24,9,103,357,4.5632,14.0,4.6816,12.0
140,4.046530612244898,15.0,10.0,13.0,11.910569105691057,50.63469387755102,5,16,5,43,124,4.9968,15.0,5.0544,13.0
150,4.031428571428571,16.0,9.0,13.0,11.154471544715447,49.075102040816326,1,8,1,54,171,4.6336,16.0,5.2864,13.0
160,4.077551020408163,15.0,9.0,12.0,10.829268292682928,50.401224489795915,3,16,3,60,141,4.536,15.0,5.1584,15.0
170,4.443673469387755,16.0,9.0,12.0,10.617886178861788,51.11020408163265,4,16,4,58,157,4.8448,16.0,5.6336,12.0
180,4.679591836734694,13.0,10.0,11.0,11.073170731707316,52.74204081632653,4,16,4,192,663,5.2048,11.0,6.1184,13.0
190,4.960816326530613,14.0,10.0,13.0,11.94308943089431,54.48285714285714,6,13,5,66,209,5.3552,13.0,6.5824,14.0
200,4.793061224489796,18.0,10.0,14.0,11.845528455284553,51.77183673469388,4,22,4,77,174,4.36,14.0,7.3968,18.0
210,4.642857142857143,16.0,11.0,13.0,12.804878048780488,50.91795918367347,7,22,7,147,500,4.5072,15.0,6.8208,16.0
220,4.8763265306122445,16.0,13.0,14.0,13.691056910569106,52.60326530612245,6,23,6,103,357,5.2704,11.0,6.3792,16.0
230,4.811020408163265,18.0,13.0,14.509999999999764,13.65040650406504,53.328163265306124,4,16,4,16,29,5.3296,13.0,6.3872,18.0
240,4.727755102040816,16.0,12.0,14.509999999999764,13.495934959349594,54.29102040816326,2,11,2,66,247,5.8016,15.0,5.808,16.0
250,4.5955102040816325,17.0,10.0,16.0,13.967479674796747,52.96326530612245,3,15,3,104,331,5.4416,16.0,5.704,17.0
260,4.352244897959183,19.0,10.0,14.0,12.853658536585366,52.33877551020408,7,22,7,98,358,5.272,15.0,5.4576,19.0
270,4.148163265306122,17.0,11.0,12.0,12.05691056910569,50.86734693877551,3,14,3,170,695,4.784,17.0,5.2896,12.0
280,4.499591836734694,14.0,11.0,13.0,12.439024390243903,53.278775510204085,3,14,3,47,116,5.0064,14.0,5.8144,13.0
290,4.106122448979592,17.0,9.0,13.0,11.788617886178862,49.64857142857143,2,7,2,4,4,5.4976,17.0,4.1168,13.0
300,4.37265306122449,16.0,10.0,14.0,12.097560975609756,52.59469387755102,6,21,5,51,137,5.4336,10.0,4.8256,14.0
310,4.659183673469387,17.0,11.0,14.0,12.804878048780488,54.751020408163264,5,19,5,144,441,5.5968,12.0,5.3008,14.0
320,5.006122448979592,17.0,11.0,14.0,12.78048780487805,55.90081632653061,0,0,0,0,0,5.6752,13.0,6.3744,17.0
330,5.3461224489795915,19.0,12.0,16.0,14.317073170731707,56.251020408163264,4,12,4,46,140,6.1296,17.0,6.9584,19.0
340,5.4314285714285715,20.0,13.0,18.0,15.252032520325203,55.94163265306123,9,13,8,22,62,5.4576,15.0,7.6672,20.0
350,5.196734693877551,23.0,13.0,15.0,14.764227642276422,54.57061224489796,8,21,6,143,686,5.408,14.0,7.2848,23.0
360,5.26530612244898,22.0,12.0,15.0,15.08130081300813,55.391836734693875,4,18,4,144,494,5.68,15.0,7.1728,22.0
370,5.085714285714285,24.0,12.0,15.509999999999764,15.317073170731707,54.10163265306122,4,16,4,27,94,5.5504,15.0,6.9264,24.0
380,5.286938775510204,25.0,14.0,19.0,16.853658536585368,57.077551020408166,7,17,6,132,446,5.2976,12.0,7.7488,25.0
390,4.946122448979592,21.0,12.0,15.0,14.65040650406504,55.304489795918364,7,25,7,54,175,5.8816,14.0,6.432,21.0
400,5.050204081632653,21.0,13.0,17.0,15.0,57.320408163265306,3,12,3,8,11,6.1216,15.0,6.0528,21.0
410,5.195510204081633,21.0,13.0,17.0,15.276422764227643,59.127755102040815,1,7,1,48,152,6.3824,17.0,5.6688,17.0
420,5.18938775510204,22.0,13.0,17.0,15.203252032520325,57.608163265306125,4,16,4,19,45,5.9008,19.0,6.4176,20.0
430,5.313469387755102,22.0,12.0,14.0,14.08130081300813,59.14,3,12,3,28,82,5.656,17.0,6.9408,21.0
440,5.498775510204082,21.0,12.0,14.0,13.821138211382113,61.121632653061226,5,15,5,32,120,5.6336,13.0,7.784,21.0
450,5.686530612244898,15.0,13.0,14.0,13.585365853658537,61.51714285714286,6,18,6,57,149,6.3856,13.0,7.6576,15.0
460,5.885714285714286,16.0,13.0,16.0,14.78048780487805,64.2404081632653,2,4,2,44,166,6.9216,16.0,8.0928,16.0
470,6.1938775510204085,19.0,13.0,16.0,15.16260162601626,65.78979591836735,9,20,9,46,153,7.5872,16.0,7.96,19.0
480,5.821632653061225,19.0,13.0,17.0,15.130081300813009,63.13183673469388,6,19,6,20,94,6.208,17.0,8.7856,19.0
490,5.856326530612245,22.0,13.0,17.0,15.138211382113822,63.120816326530615,1,7,1,11,27,6.136,17.0,8.144,22.0
500,5.45265306122449,23.0,13.0,18.0,15.609756097560975,61.628571428571426,2,11,2,153,631,6.2544,20.0,7.1696,23.0
510,5.2326530612244895,20.0,12.0,16.0,14.764227642276422,61.148163265306124,3,8,3,36,155,6.7136,20.0,6.4592,16.0
520,4.54530612244898,20.0,11.0,15.509999999999764,13.463414634146341,56.20897959183674,6,16,6,48,120,5.7616,20.0,4.8528,17.0
530,4.686938775510204,20.0,12.0,15.0,13.333333333333334,56.21387755102041,3,13,3,91,287,6.2304,20.0,4.8016,19.0
540,3.886122448979592,12.0,8.0,10.0,9.83739837398374,49.29551020408163,7,16,6,33,102,4.9728,10.0,4.4272,12.0
550,4.683673469387755,12.0,10.0,12.0,10.886178861788618,54.947755102040816,6,17,6,47,144,6.1392,12.0,5.312,11.0
560,5.106938775510204,16.0,11.0,14.0,12.94308943089431,59.384897959183675,2,12,2,20,59,6.648,14.0,6.0576,13.0
570,5.1257142857142854,18.0,12.0,14.0,13.390243902439025,58.78408163265306,0,0,0,0,0,6.0144,16.0,6.3312,13.0
580,4.725714285714286,18.0,11.0,13.0,12.65040650406504,52.710204081632654,8,23,8,70,197,5.3424,18.0,6.12,14.0
590,4.477142857142857,15.0,11.0,14.0,12.691056910569106,50.05183673469388,4,14,4,36,95,4.7712,13.0,5.6736,15.0
600,4.817551020408163,16.0,12.0,14.0,13.138211382113822,54.05469387755102,6,13,5,68,219,5.5056,15.0,5.6736,16.0
610,5.046122448979592,19.0,12.0,14.0,13.170731707317072,55.14081632653061,7,21,6,200,551,5.7808,15.0,5.9696,19.0
620,4.984489795918368,15.0,11.0,13.509999999999764,12.861788617886178,55.52734693877551,9,20,9,165,668,5.8528,15.0,5.9536,11.0
630,5.083673469387755,17.0,12.0,16.0,13.94308943089431,55.35918367346939,6,17,6,80,315,5.9152,17.0,6.5328,13.0
640,5.588571428571429,20.0,13.0,17.0,14.609756097560975,59.8469387755102,5,17,5,58,128,6.52,20.0,7.576,13.0
650,5.768571428571429,18.0,14.0,18.0,15.1869918699187,62.28285714285714,2,6,2,28,81,6.7936,18.0,7.7952,14.0
660,5.85469387755102,20.0,14.0,20.0,16.121951219512194,65.1065306122449,3,14,3,78,234,6.9616,20.0,7.944,17.0
670,5.610204081632653,21.0,14.0,21.0,18.040650406504064,59.145714285714284,8,27,8,102,347,7.3824,21.0,6.6848,18.0
680,5.846530612244898,22.0,15.0,20.52999999999929,18.32520325203252,62.456326530612245,5,19,5,33,66,7.832,22.0,7.224,19.0
690,5.691428571428571,22.0,12.0,21.019999999999527,16.260162601626018,60.35918367346939,4,16,4,48,128,8.336,22.0,6.4576,20.0
700,6.020408163265306,23.0,13.0,20.0,16.121951219512194,63.559183673469384,3,14,3,18,28,8.4656,23.0,6.7776,21.0
710,5.570204081632653,27.0,13.0,16.0,15.642276422764228,58.17224489795918,5,16,5,47,115,8.112,27.0,5.9808,13.0
720,5.12,27.0,13.0,16.0,14.975609756097562,54.582857142857144,5,13,5,142,555,7.2272,27.0,5.7296,14.0
730,4.526530612244898,16.0,12.0,16.0,13.463414634146341,48.73591836734694,2,11,2,55,176,6.0768,14.0,5.1056,16.0
740,4.696326530612245,16.0,12.0,15.019999999999527,13.642276422764228,51.784897959183674,5,14,5,104,382,6.3952,13.0,5.3632,16.0
750,4.722040816326531,18.0,12.0,16.0,15.089430894308943,52.505714285714284,5,18,5,111,399,5.3936,14.0,6.1344,18.0
760,4.744081632653061,20.0,12.0,20.0,15.300813008130081,52.82857142857143,4,14,4,13,22,5.2624,15.0,6.2272,20.0
770,4.680816326530612,21.0,10.0,18.0,14.422764227642276,54.465714285714284,4,15,4,77,200,4.9104,15.0,6.2336,21.0
780,4.7975510204081635,24.0,11.0,17.0,14.552845528455284,55.977551020408164,4,10,3,55,149,5.552,16.0,6.0496,24.0
790,4.666938775510204,24.0,11.0,16.0,13.495934959349594,53.47877551020408,5,16,5,110,448,5.2592,17.0,5.848,24.0
800,5.114285714285714,25.0,12.0,15.509999999999764,14.113821138211382,57.23673469387755,6,24,6,137,425,5.9904,17.0,6.3824,25.0
810,4.855102040816327,18.0,11.0,13.0,12.235772357723578,56.19387755102041,6,15,5,106,373,6.328,13.0,5.904,18.0
820,4.824897959183674,16.0,12.0,15.0,13.40650406504065,53.484489795918364,4,19,4,115,278,5.6672,15.0,6.3584,16.0
830,4.579183673469387,18.0,12.0,15.0,13.747967479674797,50.34040816326531,6,22,6,163,681,5.4784,13.0,6.0176,18.0
840,4.342040816326531,19.0,12.0,16.0,13.788617886178862,50.589795918367344,1,4,1,77,422,5.4944,14.0,5.1168,19.0
850,3.8591836734693876,21.0,10.0,13.0,12.040650406504065,45.91836734693877,10,21,10,34,85,4.552,15.0,4.3872,21.0
860,4.262448979591837,17.0,9.0,14.0,10.910569105691057,50.55714285714286,4,15,4,72,215,5.2544,16.0,4.736,10.0
870,4.695510204081633,14.0,11.0,13.0,11.910569105691057,54.996326530612244,4,15,4,37,84,5.5952,14.0,5.6256,12.0
880,5.0016326530612245,16.0,11.0,14.0,13.308943089430894,58.62734693877551,7,11,5,35,79,5.7744,16.0,6.1296,13.0
890,5.3363265306122445,16.0,12.0,15.0,13.83739837398374,63.62979591836735,6,20,6,47,120,5.872,16.0,6.8288,14.0
900,5.468979591836734,18.0,12.0,15.0,14.682926829268293,63.34816326530612,5,19,5,77,274,5.952,18.0,7.3328,15.0
910,5.4918367346938775,18.0,12.0,15.509999999999764,14.528455284552846,63.458775510204084,6,21,6,137,432,5.2144,16.0,7.7952,15.0
