scan,experiment_id,n_nodes,update_probability,curvature_weight,seed_count,freshness_mean_VAoI,curvature_mean_VAoI,mean_VAoI_gain,freshness_mean_max_VAoI,curvature_mean_max_VAoI,mean_max_VAoI_gain,freshness_p95_max_VAoI,curvature_p95_max_VAoI,p95_max_VAoI_gain,freshness_mean_tail_VAoI,curvature_mean_tail_VAoI,mean_tail_VAoI_gain,freshness_mean_dissemination_delay,curvature_mean_dissemination_delay,mean_dissemination_delay_gain,freshness_avg_tx_per_slot,curvature_avg_tx_per_slot,avg_tx_per_slot_gain,freshness_successful_decodes_per_tx,curvature_successful_decodes_per_tx,successful_decodes_per_tx_gain,freshness_innovative_entries_per_tx,curvature_innovative_entries_per_tx,innovative_entries_per_tx_gain
nodes,topo2_backoff_v2_sweep_5seed_nodes_n80_u0.2_cw0.75,80,0.2,0.75,5,8.614504130579617,8.051939573617592,0.06530434583750945,30.57494736842105,28.568842105263155,0.06561271353912046,38.30999999999999,35.8,0.06551814147742083,22.908952031978675,21.41904063957362,0.06503620900359317,81.74708653787992,75.49850210780055,0.07643800769809588,8.010736842105263,8.686105263157895,0.08430790255183833,4.720604620967054,4.557185692568865,-0.03461821980861234,30.478681224411872,30.1585843595752,-0.010502320047243049
nodes,topo2_backoff_v2_sweep_5seed_nodes_n100_u0.2_cw0.75,100,0.2,0.75,5,8.076461499202551,7.639948856990964,0.05404751106096248,28.98736842105263,27.694947368421055,0.044585663446873265,37.4,35.4,0.053475935828877004,21.31386581605528,20.152515470494414,0.05448801993892846,73.93762147552809,69.64913019054582,0.05800147745355425,9.95557894736842,10.57178947368421,0.06189600118420796,5.488386540190252,5.288764128816845,-0.036371784296097935,39.965081927433005,39.49874108991476,-0.011668707157037952
nodes,topo2_backoff_v2_sweep_5seed_nodes_n120_u0.2_cw0.75,120,0.2,0.75,5,8.83339896800825,8.262169556243554,0.06466700007930201,30.664631578947372,29.150947368421054,0.04936254350975242,39.6,37.6,0.050505050505050504,22.952658115877927,21.75609346896653,0.052131855093665684,80.75064554914782,74.26757636492141,0.08028504465986683,11.781894736842105,12.570315789473685,0.06691801872632419,5.90596246953118,5.638902079472123,-0.045218775337096985,48.11491723490373,47.412122442671254,-0.014606588405864488
nodes,topo2_backoff_v2_sweep_5seed_nodes_n150_u0.2_cw0.75,150,0.2,0.75,5,8.538401987519132,8.571801756740843,-0.003911711965603512,30.10421052631579,30.132631578947365,-0.0009440889541591169,38.4,39.2,-0.020833333333333447,22.190792015817717,22.26109669522645,-0.0031681915345165928,76.2353338270378,76.5203925269288,-0.003739193961395057,14.79221052631579,15.603368421052632,0.05483682734867572,6.366021729408185,6.055315272186152,-0.04880700544685668,60.37732226945762,58.38984985981715,-0.0329175315322961
update_probability,topo2_backoff_v2_sweep_5seed_update_probability_n100_u0.05_cw0.75,100,0.05,0.75,5,2.286429218500797,2.054884593301435,0.10126909826282965,10.826947368421052,9.757052631578947,0.09881776464182936,13.909999999999991,12.8,0.07979870596692963,7.444945454545456,6.781909197235514,0.0890585782472228,83.87447416029946,73.8125544991776,0.11996402674181533,6.950105263157894,7.417473684210526,0.06724623633114225,6.6826333416310275,6.517673950186373,-0.02468478861723581,33.55569383693482,33.22267103572959,-0.009924479667253155
update_probability,topo2_backoff_v2_sweep_5seed_update_probability_n100_u0.1_cw0.75,100,0.1,0.75,5,4.195750898458266,3.841391026049975,0.08445684240656456,17.265473684210527,15.779578947368421,0.08606162587945522,22.8,21.0,0.07894736842105265,12.196100372142482,11.131771610845302,0.08726795687318616,76.67684573645833,69.23404150747034,0.09706716750672346,8.38842105263158,8.946947368421053,0.06658300916049688,6.091972099235824,5.905655391588185,-0.030583972581064576,38.465073411941034,38.18029112663687,-0.007403658957160871
update_probability,topo2_backoff_v2_sweep_5seed_update_probability_n100_u0.4_cw0.75,100,0.4,0.75,5,15.889490377458804,15.394313854332802,0.031163776267391852,51.27642105263158,49.735157894736844,0.03005793162344026,65.4,64.0,0.021406727828746263,39.16319872408291,38.01789686337057,0.029244339023003635,72.7808935596421,70.60304899304194,0.029923300746719592,11.373684210526317,11.945052631578948,0.05023600185099482,4.9883014517797335,4.840024921193233,-0.02972485364403906,39.44218343893124,38.66403666471831,-0.0197287955779056
update_probability,topo2_backoff_v2_sweep_5seed_update_probability_n100_u0.6_cw0.75,100,0.6,0.75,5,23.875469005847954,23.488295119617238,0.016216388718306787,73.97221052631579,72.8717894736842,0.014876141253614576,94.41999999999999,94.01999999999998,0.004236390595212939,57.34783157894738,56.41975757575756,0.016183244904599325,73.38017431689825,72.27571946620755,0.015051134192200506,12.084,12.582526315789474,0.04125507413021141,4.763256834514882,4.634708838122769,-0.026987416563525508,38.443271352879364,37.808139183000506,-0.016521283114770288
curvature_weight,topo2_backoff_v2_sweep_5seed_curvature_weight_n100_u0.2_cw0,100,0.2,0.0,5,8.076461499202551,8.094283168527376,-0.0022066184958083692,28.98736842105263,28.533684210526314,0.015651100297770344,37.4,36.6,0.021390374331550728,21.31386581605528,21.274176714513555,0.001862125898898565,73.93762147552809,73.74543347444887,0.002599326259674542,9.95557894736842,9.879368421052632,-0.007655057201463102,5.488386540190252,5.531369229787077,0.007831571133350841,39.965081927433005,40.37142605700545,0.010167478958513568
curvature_weight,topo2_backoff_v2_sweep_5seed_curvature_weight_n100_u0.2_cw0.25,100,0.2,0.25,5,8.076461499202551,7.881888591174904,0.024091355855142667,28.98736842105263,28.181473684210527,0.02780158326675856,37.4,36.10999999999999,0.034491978609625835,21.31386581605528,20.736717916002135,0.02707851804239059,73.93762147552809,72.12870223657424,0.024465477829207223,9.95557894736842,10.102947368421052,0.014802596798409916,5.488386540190252,5.453827825093394,-0.0062966984638913315,39.965081927433005,40.29104794818194,0.008156270549896837
