source,version,generation_slot,completion_slot,delay,completed
4,1,0,86,86,True
10,1,0,124,124,True
11,1,0,86,86,True
20,1,0,86,86,True
23,1,0,86,86,True
26,1,0,86,86,True
30,1,0,86,86,True
31,1,0,86,86,True
34,1,0,86,86,True
36,1,0,86,86,True
40,1,0,86,86,True
47,1,0,86,86,True
52,1,0,84,84,True
53,1,0,84,84,True
57,1,0,84,84,True
60,1,0,84,84,True
61,1,0,84,84,True
64,1,0,84,84,True
65,1,0,84,84,True
69,1,0,125,125,True
70,1,0,84,84,True
73,1,0,84,84,True
78,1,0,84,84,True
83,1,0,84,84,True
88,1,0,84,84,True
94,1,0,84,84,True
95,1,0,84,84,True
97,1,0,125,125,True
3,1,1,124,123,True
5,1,1,86,85,True
10,2,1,124,123,True
17,1,1,86,85,True
26,2,1,86,85,True
28,1,1,124,123,True
31,2,1,86,85,True
37,1,1,86,85,True
42,1,1,86,85,True
49,1,1,86,85,True
52,2,1,84,83,True
53,2,1,84,83,True
64,2,1,84,83,True
66,1,1,84,83,True
75,1,1,84,83,True
80,1,1,84,83,True
82,1,1,84,83,True
91,1,1,84,83,True
93,1,1,84,83,True
94,2,1,84,83,True
95,2,1,84,83,True
1,1,2,86,84,True
2,1,2,86,84,True
3,2,2,124,122,True
20,2,2,86,84,True
27,1,2,86,84,True
29,1,2,86,84,True
31,3,2,86,84,True
35,1,2,86,84,True
42,2,2,86,84,True
47,2,2,86,84,True
48,1,2,86,84,True
50,1,2,84,82,True
64,3,2,84,82,True
73,2,2,84,82,True
74,1,2,84,82,True
79,1,2,125,123,True
86,1,2,84,82,True
91,2,2,84,82,True
93,2,2,84,82,True
97,2,2,125,123,True
5,2,3,86,83,True
6,1,3,86,83,True
13,1,3,86,83,True
17,2,3,86,83,True
26,3,3,86,83,True
32,1,3,86,83,True
34,2,3,86,83,True
35,2,3,86,83,True
44,1,3,86,83,True
47,3,3,86,83,True
50,2,3,84,81,True
52,3,3,84,81,True
57,2,3,84,81,True
60,2,3,84,81,True
69,2,3,125,122,True
75,2,3,84,81,True
86,2,3,84,81,True
94,3,3,84,81,True
98,1,3,84,81,True
3,3,4,124,120,True
5,3,4,86,82,True
7,1,4,86,82,True
12,1,4,86,82,True
18,1,4,86,82,True
20,3,4,86,82,True
22,1,4,124,120,True
27,2,4,86,82,True
39,1,4,86,82,True
42,3,4,86,82,True
44,2,4,86,82,True
45,1,4,86,82,True
47,4,4,86,82,True
53,3,4,84,80,True
54,1,4,84,80,True
57,3,4,84,80,True
65,2,4,84,80,True
67,1,4,84,80,True
70,2,4,84,80,True
84,1,4,84,80,True
90,1,4,84,80,True
94,4,4,84,80,True
95,3,4,84,80,True
96,1,4,84,80,True
97,3,4,125,121,True
99,1,4,84,80,True
2,2,5,86,81,True
14,1,5,86,81,True
21,1,5,86,81,True
23,2,5,86,81,True
39,2,5,86,81,True
40,2,5,86,81,True
43,1,5,86,81,True
45,2,5,86,81,True
47,5,5,86,81,True
50,3,5,84,79,True
55,1,5,84,79,True
56,1,5,84,79,True
66,2,5,84,79,True
77,1,5,84,79,True
82,2,5,84,79,True
83,2,5,84,79,True
84,2,5,84,79,True
85,1,5,84,79,True
86,3,5,84,79,True
92,1,5,84,79,True
94,5,5,84,79,True
95,4,5,84,79,True
5,4,6,86,80,True
10,3,6,124,118,True
17,3,6,86,80,True
20,4,6,86,80,True
29,2,6,86,80,True
31,4,6,86,80,True
42,4,6,86,80,True
55,2,6,84,78,True
62,1,6,84,78,True
68,1,6,84,78,True
73,3,6,84,78,True
74,2,6,84,78,True
78,2,6,84,78,True
92,2,6,84,78,True
98,2,6,84,78,True
3,4,7,124,117,True
4,2,7,86,79,True
8,1,7,86,79,True
10,4,7,124,117,True
13,2,7,86,79,True
16,1,7,124,117,True
27,3,7,86,79,True
30,2,7,86,79,True
35,3,7,86,79,True
36,2,7,86,79,True
41,1,7,124,117,True
46,1,7,86,79,True
47,6,7,86,79,True
48,2,7,86,79,True
49,2,7,86,79,True
50,4,7,84,77,True
56,2,7,84,77,True
59,1,7,84,77,True
60,3,7,84,77,True
63,1,7,84,77,True
65,3,7,84,77,True
67,2,7,84,77,True
71,1,7,84,77,True
75,3,7,84,77,True
77,2,7,84,77,True
78,3,7,84,77,True
82,3,7,84,77,True
85,2,7,84,77,True
86,4,7,125,118,True
95,5,7,84,77,True
99,2,7,84,77,True
1,2,8,86,78,True
4,3,8,86,78,True
7,2,8,86,78,True
9,1,8,86,78,True
11,2,8,86,78,True
15,1,8,86,78,True
30,3,8,86,78,True
36,3,8,86,78,True
38,1,8,86,78,True
50,5,8,84,76,True
52,4,8,125,117,True
55,3,8,84,76,True
56,3,8,84,76,True
57,4,8,84,76,True
60,4,8,84,76,True
68,2,8,84,76,True
70,3,8,84,76,True
71,2,8,84,76,True
76,1,8,84,76,True
77,3,8,84,76,True
85,3,8,84,76,True
87,1,8,84,76,True
88,2,8,84,76,True
95,6,8,84,76,True
2,3,9,86,77,True
12,2,9,86,77,True
13,3,9,86,77,True
16,2,9,124,115,True
18,2,9,86,77,True
30,4,9,86,77,True
31,5,9,86,77,True
32,2,9,86,77,True
58,1,9,84,75,True
61,2,9,84,75,True
70,4,9,84,75,True
72,1,9,84,75,True
74,3,9,84,75,True
80,2,9,125,116,True
82,4,9,125,116,True
83,3,9,84,75,True
88,3,9,84,75,True
91,3,9,84,75,True
92,3,9,84,75,True
93,3,9,84,75,True
0,1,10,86,76,True
2,4,10,86,76,True
7,3,10,86,76,True
9,2,10,86,76,True
12,3,10,86,76,True
13,4,10,86,76,True
17,4,10,86,76,True
22,2,10,124,114,True
42,5,10,86,76,True
50,6,10,84,74,True
63,2,10,84,74,True
75,4,10,84,74,True
79,2,10,125,115,True
81,1,10,84,74,True
93,4,10,84,74,True
4,4,11,86,75,True
13,5,11,86,75,True
19,1,11,86,75,True
27,4,11,86,75,True
41,2,11,124,113,True
42,6,11,86,75,True
48,3,11,182,171,True
52,5,11,125,114,True
62,2,11,125,114,True
74,4,11,84,73,True
83,4,11,84,73,True
7,4,12,86,74,True
16,3,12,124,112,True
20,5,12,86,74,True
30,5,12,86,74,True
32,3,12,86,74,True
46,2,12,86,74,True
49,3,12,86,74,True
62,3,12,125,113,True
66,3,12,84,72,True
74,5,12,84,72,True
77,4,12,84,72,True
83,5,12,84,72,True
96,2,12,84,72,True
97,4,12,125,113,True
7,5,13,86,73,True
8,2,13,86,73,True
31,6,13,86,73,True
35,4,13,86,73,True
36,4,13,86,73,True
40,3,13,86,73,True
41,3,13,124,111,True
42,7,13,86,73,True
45,3,13,86,73,True
54,2,13,84,71,True
57,5,13,84,71,True
59,2,13,84,71,True
62,4,13,125,112,True
66,4,13,84,71,True
69,3,13,125,112,True
70,5,13,84,71,True
71,3,13,84,71,True
80,3,13,125,112,True
98,3,13,84,71,True
8,3,14,86,72,True
13,6,14,86,72,True
14,2,14,86,72,True
19,2,14,86,72,True
20,6,14,86,72,True
30,6,14,86,72,True
36,5,14,86,72,True
42,8,14,86,72,True
44,3,14,86,72,True
48,4,14,182,168,True
54,3,14,84,70,True
59,3,14,84,70,True
64,4,14,84,70,True
65,4,14,84,70,True
67,3,14,125,111,True
71,4,14,125,111,True
73,4,14,84,70,True
91,4,14,84,70,True
93,5,14,84,70,True
96,3,14,84,70,True
99,3,14,84,70,True
1,3,15,86,71,True
9,3,15,86,71,True
17,5,15,86,71,True
24,1,15,86,71,True
33,1,15,86,71,True
34,3,15,86,71,True
36,6,15,86,71,True
41,4,15,124,109,True
43,2,15,86,71,True
55,4,15,84,69,True
57,6,15,84,69,True
70,6,15,125,110,True
82,5,15,125,110,True
84,3,15,125,110,True
85,4,15,84,69,True
96,4,15,84,69,True
5,5,16,86,70,True
14,3,16,86,70,True
15,2,16,86,70,True
24,2,16,86,70,True
26,4,16,86,70,True
27,5,16,86,70,True
29,3,16,86,70,True
31,7,16,86,70,True
35,5,16,86,70,True
41,5,16,124,108,True
44,4,16,86,70,True
55,5,16,84,68,True
59,4,16,84,68,True
61,3,16,125,109,True
63,3,16,84,68,True
67,4,16,125,109,True
81,2,16,125,109,True
87,2,16,84,68,True
88,4,16,84,68,True
92,4,16,84,68,True
94,6,16,84,68,True
97,5,16,125,109,True
0,2,17,86,69,True
2,5,17,86,69,True
4,5,17,86,69,True
11,3,17,124,107,True
19,3,17,86,69,True
28,2,17,124,107,True
39,3,17,86,69,True
41,6,17,124,107,True
45,4,17,124,107,True
47,7,17,86,69,True
51,1,17,125,108,True
54,4,17,84,67,True
64,5,17,84,67,True
66,5,17,84,67,True
74,6,17,84,67,True
82,6,17,125,108,True
83,6,17,84,67,True
84,4,17,125,108,True
87,3,17,84,67,True
93,6,17,84,67,True
0,3,18,86,68,True
5,6,18,86,68,True
10,5,18,124,106,True
18,3,18,86,68,True
19,4,18,86,68,True
29,4,18,86,68,True
36,7,18,86,68,True
40,4,18,86,68,True
44,5,18,86,68,True
51,2,18,125,107,True
52,6,18,125,107,True
59,5,18,84,66,True
62,5,18,125,107,True
70,7,18,125,107,True
71,5,18,125,107,True
72,2,18,84,66,True
75,5,18,84,66,True
87,4,18,84,66,True
89,1,18,125,107,True
91,5,18,125,107,True
94,7,18,84,66,True
98,4,18,84,66,True
0,4,19,86,67,True
20,7,19,86,67,True
25,1,19,86,67,True
26,5,19,86,67,True
27,6,19,86,67,True
34,4,19,86,67,True
35,6,19,86,67,True
37,2,19,124,105,True
46,3,19,86,67,True
74,7,19,84,65,True
75,6,19,125,106,True
80,4,19,125,106,True
83,7,19,84,65,True
84,5,19,125,106,True
90,2,19,125,106,True
96,5,19,84,65,True
98,5,19,84,65,True
1,4,20,86,66,True
10,6,20,124,104,True
18,4,20,86,66,True
26,6,20,86,66,True
28,3,20,124,104,True
42,9,20,86,66,True
47,8,20,86,66,True
48,5,20,182,162,True
49,4,20,86,66,True
54,5,20,84,64,True
56,4,20,125,105,True
58,2,20,84,64,True
60,5,20,125,105,True
64,6,20,84,64,True
70,8,20,125,105,True
73,5,20,84,64,True
93,7,20,84,64,True
96,6,20,84,64,True
98,6,20,84,64,True
1,5,21,86,65,True
30,7,21,86,65,True
45,5,21,124,103,True
54,6,21,84,63,True
59,6,21,125,104,True
61,4,21,125,104,True
64,7,21,125,104,True
66,6,21,84,63,True
84,6,21,125,104,True
89,2,21,125,104,True
91,6,21,125,104,True
94,8,21,84,63,True
95,7,21,84,63,True
97,6,21,125,104,True
3,5,22,124,102,True
7,6,22,124,102,True
10,7,22,124,102,True
14,4,22,124,102,True
19,5,22,86,64,True
24,3,22,86,64,True
27,7,22,86,64,True
28,4,22,124,102,True
40,5,22,86,64,True
46,4,22,86,64,True
50,7,22,84,62,True
51,3,22,125,103,True
53,4,22,125,103,True
54,7,22,84,62,True
55,6,22,84,62,True
62,6,22,125,103,True
68,3,22,125,103,True
82,7,22,125,103,True
97,7,22,125,103,True
99,4,22,84,62,True
4,6,23,86,63,True
10,8,23,124,101,True
24,4,23,86,63,True
28,5,23,124,101,True
29,5,23,86,63,True
31,8,23,86,63,True
46,5,23,86,63,True
47,9,23,86,63,True
49,5,23,86,63,True
50,8,23,84,61,True
52,7,23,125,102,True
58,3,23,125,102,True
63,4,23,125,102,True
69,4,23,125,102,True
72,3,23,84,61,True
74,8,23,84,61,True
75,7,23,125,102,True
84,7,23,125,102,True
85,5,23,84,61,True
91,7,23,125,102,True
96,7,23,84,61,True
99,5,23,84,61,True
1,6,24,86,62,True
2,6,24,86,62,True
9,4,24,86,62,True
11,4,24,124,100,True
15,3,24,86,62,True
26,7,24,86,62,True
29,6,24,86,62,True
43,3,24,124,100,True
49,6,24,86,62,True
54,8,24,84,60,True
55,7,24,84,60,True
58,4,24,125,101,True
70,9,24,125,101,True
79,3,24,125,101,True
82,8,24,125,101,True
86,5,24,228,204,True
90,3,24,125,101,True
95,8,24,125,101,True
1,7,25,86,61,True
8,4,25,86,61,True
17,6,25,124,99,True
23,3,25,86,61,True
24,5,25,86,61,True
27,8,25,86,61,True
37,3,25,124,99,True
38,2,25,86,61,True
41,7,25,124,99,True
50,9,25,84,59,True
62,7,25,228,203,True
66,7,25,84,59,True
67,5,25,125,100,True
69,5,25,228,203,True
71,6,25,125,100,True
91,8,25,125,100,True
99,6,25,84,59,True
12,4,26,86,60,True
16,4,26,124,98,True
19,6,26,86,60,True
20,8,26,86,60,True
23,4,26,86,60,True
29,7,26,86,60,True
33,2,26,86,60,True
36,8,26,86,60,True
38,3,26,86,60,True
39,4,26,86,60,True
40,6,26,86,60,True
41,8,26,124,98,True
50,10,26,84,58,True
51,4,26,125,99,True
53,5,26,125,99,True
54,9,26,84,58,True
58,5,26,125,99,True
62,8,26,228,202,True
67,6,26,125,99,True
71,7,26,125,99,True
77,5,26,125,99,True
84,8,26,125,99,True
87,5,26,125,99,True
89,3,26,228,202,True
95,9,26,125,99,True
96,8,26,84,58,True
1,8,27,86,59,True
10,9,27,124,97,True
13,7,27,86,59,True
15,4,27,86,59,True
23,5,27,86,59,True
31,9,27,86,59,True
34,5,27,86,59,True
38,4,27,86,59,True
41,9,27,124,97,True
48,6,27,182,155,True
49,7,27,86,59,True
60,6,27,228,201,True
62,9,27,228,201,True
74,9,27,125,98,True
78,4,27,125,98,True
80,5,27,228,201,True
85,6,27,84,57,True
92,5,27,125,98,True
5,7,28,86,58,True
7,7,28,124,96,True
12,5,28,86,58,True
23,6,28,86,58,True
26,8,28,86,58,True
29,8,28,86,58,True
31,10,28,86,58,True
34,6,28,86,58,True
35,7,28,86,58,True
36,9,28,86,58,True
47,10,28,86,58,True
49,8,28,86,58,True
50,11,28,84,56,True
55,8,28,125,97,True
60,7,28,228,200,True
70,10,28,125,97,True
71,8,28,125,97,True
73,6,28,125,97,True
80,6,28,228,200,True
82,9,28,228,200,True
86,6,28,228,200,True
92,6,28,125,97,True
94,9,28,125,97,True
99,7,28,84,56,True
1,9,29,86,57,True
18,5,29,86,57,True
20,9,29,86,57,True
26,9,29,86,57,True
35,8,29,86,57,True
38,5,29,182,153,True
47,11,29,86,57,True
48,7,29,182,153,True
49,9,29,86,57,True
50,12,29,84,55,True
51,5,29,125,96,True
53,6,29,125,96,True
57,7,29,84,55,True
58,6,29,125,96,True
65,5,29,125,96,True
66,8,29,125,96,True
77,6,29,125,96,True
80,7,29,228,199,True
81,3,29,125,96,True
84,9,29,125,96,True
85,7,29,84,55,True
87,6,29,125,96,True
90,4,29,228,199,True
94,10,29,125,96,True
97,8,29,125,96,True
98,7,29,84,55,True
4,7,30,86,56,True
6,2,30,86,56,True
16,5,30,124,94,True
21,2,30,86,56,True
22,3,30,124,94,True
26,10,30,86,56,True
34,7,30,86,56,True
35,9,30,86,56,True
37,4,30,124,94,True
46,6,30,86,56,True
55,9,30,125,95,True
59,7,30,125,95,True
60,8,30,228,198,True
62,10,30,228,198,True
68,4,30,125,95,True
72,4,30,84,54,True
77,7,30,125,95,True
87,7,30,125,95,True
91,9,30,125,95,True
5,8,31,86,55,True
7,8,31,124,93,True
10,10,31,124,93,True
14,5,31,124,93,True
15,5,31,86,55,True
18,6,31,86,55,True
40,7,31,86,55,True
47,12,31,86,55,True
59,8,31,125,94,True
68,5,31,125,94,True
76,2,31,125,94,True
82,10,31,228,197,True
86,7,31,228,197,True
88,5,31,125,94,True
95,10,31,125,94,True
96,9,31,84,53,True
2,7,32,86,54,True
5,9,32,86,54,True
13,8,32,86,54,True
14,6,32,124,92,True
16,6,32,124,92,True
21,3,32,86,54,True
29,9,32,86,54,True
31,11,32,86,54,True
33,3,32,124,92,True
41,10,32,124,92,True
44,6,32,86,54,True
45,6,32,124,92,True
48,8,32,182,150,True
58,7,32,125,93,True
67,7,32,125,93,True
73,7,32,125,93,True
79,4,32,125,93,True
89,4,32,228,196,True
91,10,32,125,93,True
2,8,33,86,53,True
4,8,33,86,53,True
6,3,33,86,53,True
10,11,33,124,91,True
11,5,33,124,91,True
21,4,33,86,53,True
22,4,33,124,91,True
24,6,33,86,53,True
25,2,33,124,91,True
27,9,33,86,53,True
28,6,33,124,91,True
29,10,33,86,53,True
36,10,33,86,53,True
39,5,33,124,91,True
40,8,33,86,53,True
58,8,33,125,92,True
63,5,33,125,92,True
66,9,33,125,92,True
70,11,33,125,92,True
80,8,33,228,195,True
84,10,33,125,92,True
88,6,33,125,92,True
93,8,33,125,92,True
95,11,33,125,92,True
99,8,33,125,92,True
20,10,34,86,52,True
22,5,34,124,90,True
26,11,34,124,90,True
45,7,34,124,90,True
48,9,34,182,148,True
51,6,34,125,91,True
52,8,34,125,91,True
60,9,34,228,194,True
65,6,34,125,91,True
66,10,34,125,91,True
71,9,34,125,91,True
77,8,34,125,91,True
86,8,34,228,194,True
93,9,34,125,91,True
98,8,34,84,50,True
3,6,35,124,89,True
4,9,35,86,51,True
5,10,35,124,89,True
10,12,35,124,89,True
15,6,35,86,51,True
22,6,35,124,89,True
26,12,35,124,89,True
27,10,35,86,51,True
30,8,35,86,51,True
33,4,35,124,89,True
42,10,35,124,89,True
46,7,35,124,89,True
55,10,35,125,90,True
57,8,35,84,49,True
65,7,35,125,90,True
66,11,35,125,90,True
68,6,35,125,90,True
70,12,35,125,90,True
76,3,35,125,90,True
77,9,35,125,90,True
80,9,35,228,193,True
89,5,35,228,193,True
92,7,35,228,193,True
95,12,35,125,90,True
97,9,35,125,90,True
2,9,36,86,50,True
8,5,36,182,146,True
9,5,36,86,50,True
14,7,36,124,88,True
19,7,36,86,50,True
34,8,36,86,50,True
42,11,36,124,88,True
43,4,36,124,88,True
47,13,36,182,146,True
48,10,36,182,146,True
68,7,36,125,89,True
75,8,36,125,89,True
77,10,36,125,89,True
81,4,36,125,89,True
96,10,36,125,89,True
98,9,36,84,48,True
99,9,36,125,89,True
1,10,37,86,49,True
2,10,37,86,49,True
9,6,37,86,49,True
18,7,37,86,49,True
24,7,37,124,87,True
25,3,37,124,87,True
27,11,37,86,49,True
34,9,37,86,49,True
41,11,37,124,87,True
44,7,37,86,49,True
47,14,37,182,145,True
54,10,37,84,47,True
63,6,37,125,88,True
64,8,37,125,88,True
67,8,37,125,88,True
71,10,37,125,88,True
73,8,37,125,88,True
75,9,37,125,88,True
81,5,37,125,88,True
82,11,37,228,191,True
84,11,37,125,88,True
86,9,37,228,191,True
90,5,37,228,191,True
92,8,37,228,191,True
97,10,37,125,88,True
2,11,38,86,48,True
3,7,38,124,86,True
5,11,38,124,86,True
6,4,38,86,48,True
8,6,38,182,144,True
14,8,38,124,86,True
15,7,38,86,48,True
17,7,38,124,86,True
19,8,38,124,86,True
21,5,38,86,48,True
