source,version,generation_slot,completion_slot,delay,completed
1,1,0,73,73,True
4,1,0,98,98,True
5,1,0,60,60,True
7,1,0,98,98,True
8,1,0,60,60,True
11,1,0,136,136,True
12,1,0,57,57,True
16,1,0,98,98,True
25,1,0,98,98,True
26,1,0,98,98,True
32,1,0,98,98,True
34,1,0,73,73,True
35,1,0,98,98,True
39,1,0,98,98,True
40,1,0,98,98,True
41,1,0,98,98,True
44,1,0,136,136,True
45,1,0,98,98,True
48,1,0,60,60,True
50,1,0,88,88,True
51,1,0,87,87,True
53,1,0,87,87,True
65,1,0,87,87,True
77,1,0,57,57,True
80,1,0,87,87,True
88,1,0,60,60,True
4,2,1,98,97,True
9,1,1,98,97,True
14,1,1,98,97,True
17,1,1,98,97,True
21,1,1,98,97,True
22,1,1,98,97,True
23,1,1,98,97,True
24,1,1,98,97,True
28,1,1,136,135,True
31,1,1,136,135,True
35,2,1,98,97,True
36,1,1,136,135,True
37,1,1,73,72,True
48,2,1,60,59,True
50,2,1,88,87,True
51,2,1,87,86,True
59,1,1,148,147,True
61,1,1,87,86,True
66,1,1,87,86,True
69,1,1,87,86,True
74,1,1,88,87,True
75,1,1,60,59,True
78,1,1,87,86,True
81,1,1,60,59,True
88,2,1,60,59,True
96,1,1,60,59,True
99,1,1,57,56,True
2,1,2,98,96,True
8,2,2,98,96,True
11,2,2,136,134,True
14,2,2,98,96,True
16,2,2,98,96,True
19,1,2,57,55,True
22,2,2,98,96,True
35,3,2,98,96,True
36,2,2,136,134,True
37,2,2,73,71,True
42,1,2,98,96,True
46,1,2,98,96,True
50,3,2,88,86,True
51,3,2,87,85,True
52,1,2,88,86,True
56,1,2,60,58,True
70,1,2,88,86,True
74,2,2,88,86,True
80,2,2,87,85,True
81,2,2,60,58,True
82,1,2,88,86,True
89,1,2,88,86,True
91,1,2,87,85,True
94,1,2,87,85,True
3,1,3,98,95,True
5,2,3,98,95,True
10,1,3,57,54,True
16,3,3,98,95,True
17,2,3,98,95,True
21,2,3,98,95,True
24,2,3,98,95,True
30,1,3,125,122,True
31,2,3,136,133,True
32,2,3,98,95,True
35,4,3,98,95,True
44,2,3,136,133,True
56,2,3,60,57,True
65,2,3,87,84,True
66,2,3,87,84,True
67,1,3,88,85,True
71,1,3,57,54,True
77,2,3,60,57,True
78,2,3,87,84,True
88,3,3,88,85,True
94,2,3,87,84,True
96,2,3,60,57,True
6,1,4,98,94,True
24,3,4,98,94,True
28,2,4,136,132,True
30,2,4,125,121,True
31,3,4,136,132,True
35,5,4,98,94,True
41,2,4,98,94,True
48,3,4,60,56,True
52,2,4,88,84,True
61,2,4,87,83,True
73,1,4,87,83,True
77,3,4,60,56,True
84,1,4,88,84,True
85,1,4,87,83,True
86,1,4,87,83,True
88,4,4,88,84,True
91,2,4,87,83,True
0,1,5,98,93,True
5,3,5,98,93,True
9,2,5,98,93,True
12,2,5,57,52,True
13,1,5,60,55,True
21,3,5,98,93,True
24,4,5,98,93,True
32,3,5,98,93,True
34,2,5,73,68,True
36,3,5,136,131,True
37,3,5,73,68,True
42,2,5,98,93,True
47,1,5,98,93,True
51,4,5,87,82,True
54,1,5,87,82,True
55,1,5,87,82,True
57,1,5,60,55,True
62,1,5,87,82,True
66,3,5,87,82,True
74,3,5,88,83,True
81,3,5,60,55,True
82,2,5,88,83,True
86,2,5,87,82,True
87,1,5,87,82,True
88,5,5,88,83,True
91,3,5,87,82,True
92,1,5,87,82,True
93,1,5,88,83,True
96,3,5,60,55,True
5,4,6,98,92,True
7,2,6,136,130,True
19,2,6,57,51,True
21,4,6,98,92,True
22,3,6,125,119,True
27,1,6,98,92,True
29,1,6,98,92,True
31,4,6,136,130,True
34,3,6,73,67,True
36,4,6,136,130,True
41,3,6,98,92,True
52,3,6,88,82,True
53,2,6,87,81,True
65,3,6,87,81,True
67,2,6,88,82,True
83,1,6,88,82,True
86,3,6,87,81,True
88,6,6,88,82,True
91,4,6,87,81,True
93,2,6,88,82,True
3,2,7,98,91,True
9,3,7,98,91,True
13,2,7,60,53,True
14,3,7,98,91,True
26,2,7,98,91,True
28,3,7,136,129,True
35,6,7,98,91,True
41,4,7,98,91,True
43,1,7,98,91,True
45,2,7,98,91,True
47,2,7,98,91,True
51,5,7,87,80,True
53,3,7,87,80,True
58,1,7,88,81,True
63,1,7,88,81,True
64,1,7,87,80,True
69,2,7,87,80,True
71,2,7,57,50,True
73,2,7,87,80,True
78,3,7,87,80,True
88,7,7,88,81,True
2,2,8,98,90,True
7,3,8,136,128,True
12,3,8,73,65,True
16,4,8,98,90,True
17,3,8,98,90,True
21,5,8,98,90,True
30,3,8,125,117,True
31,5,8,136,128,True
39,2,8,98,90,True
49,1,8,98,90,True
57,2,8,60,52,True
61,3,8,87,79,True
65,4,8,88,80,True
81,4,8,60,52,True
84,2,8,88,80,True
86,4,8,87,79,True
89,2,8,88,80,True
7,4,9,136,127,True
8,3,9,98,89,True
12,4,9,73,64,True
13,3,9,60,51,True
17,4,9,98,89,True
23,2,9,98,89,True
25,2,9,98,89,True
30,4,9,125,116,True
32,4,9,98,89,True
34,4,9,73,64,True
35,7,9,98,89,True
44,3,9,136,127,True
46,2,9,98,89,True
47,3,9,98,89,True
48,4,9,60,51,True
53,4,9,87,78,True
57,3,9,60,51,True
59,2,9,148,139,True
63,2,9,88,79,True
70,2,9,88,79,True
71,3,9,57,48,True
76,1,9,87,78,True
81,5,9,60,51,True
89,3,9,88,79,True
91,5,9,87,78,True
8,4,10,98,88,True
9,4,10,98,88,True
12,5,10,73,63,True
13,4,10,60,50,True
15,1,10,125,115,True
22,4,10,125,115,True
23,3,10,98,88,True
33,1,10,125,115,True
35,8,10,98,88,True
41,5,10,98,88,True
44,4,10,136,126,True
52,4,10,88,78,True
56,3,10,60,50,True
57,4,10,60,50,True
58,2,10,88,78,True
60,1,10,87,77,True
61,4,10,87,77,True
65,5,10,88,78,True
73,3,10,87,77,True
76,2,10,87,77,True
88,8,10,88,78,True
91,6,10,87,77,True
95,1,10,87,77,True
15,2,11,125,114,True
21,6,11,98,87,True
29,2,11,98,87,True
34,5,11,73,62,True
41,6,11,98,87,True
52,5,11,88,77,True
54,2,11,87,76,True
61,5,11,87,76,True
71,4,11,87,76,True
80,3,11,87,76,True
84,3,11,88,77,True
91,7,11,87,76,True
93,3,11,88,77,True
9,5,12,98,86,True
18,1,12,57,45,True
24,5,12,98,86,True
37,4,12,73,61,True
48,5,12,60,48,True
49,2,12,98,86,True
53,5,12,148,136,True
69,3,12,87,75,True
73,4,12,88,76,True
86,5,12,87,75,True
95,2,12,87,75,True
0,2,13,98,85,True
1,2,13,73,60,True
3,3,13,98,85,True
4,3,13,98,85,True
9,6,13,98,85,True
10,2,13,60,47,True
13,5,13,125,112,True
15,3,13,125,112,True
22,5,13,125,112,True
33,2,13,125,112,True
38,1,13,98,85,True
45,3,13,98,85,True
56,4,13,60,47,True
59,3,13,148,135,True
64,2,13,87,74,True
73,5,13,88,75,True
75,2,13,60,47,True
81,6,13,60,47,True
82,3,13,88,75,True
90,1,13,87,74,True
4,4,14,98,84,True
9,7,14,98,84,True
11,3,14,136,122,True
14,4,14,98,84,True
15,4,14,125,111,True
23,4,14,98,84,True
30,5,14,125,111,True
32,5,14,98,84,True
34,6,14,73,59,True
38,2,14,98,84,True
39,3,14,125,111,True
40,2,14,98,84,True
42,3,14,98,84,True
44,5,14,136,122,True
46,3,14,98,84,True
48,6,14,60,46,True
49,3,14,98,84,True
53,6,14,148,134,True
55,2,14,87,73,True
59,4,14,148,134,True
61,6,14,88,74,True
66,4,14,88,74,True
71,5,14,87,73,True
73,6,14,88,74,True
86,6,14,87,73,True
89,4,14,88,74,True
90,2,14,87,73,True
93,4,14,88,74,True
1,3,15,73,58,True
5,5,15,98,83,True
17,5,15,98,83,True
18,2,15,60,45,True
23,5,15,98,83,True
24,6,15,98,83,True
38,3,15,98,83,True
42,4,15,98,83,True
44,6,15,136,121,True
48,7,15,60,45,True
52,6,15,88,73,True
53,7,15,148,133,True
55,3,15,87,72,True
60,2,15,87,72,True
61,7,15,88,73,True
65,6,15,88,73,True
74,4,15,88,73,True
87,2,15,88,73,True
91,8,15,88,73,True
96,4,15,60,45,True
4,5,16,98,82,True
5,6,16,98,82,True
28,4,16,136,120,True
42,5,16,98,82,True
44,7,16,136,120,True
51,6,16,87,71,True
52,7,16,88,72,True
56,5,16,87,71,True
58,3,16,88,72,True
70,3,16,88,72,True
75,3,16,60,44,True
81,7,16,60,44,True
86,7,16,87,71,True
90,3,16,87,71,True
96,5,16,60,44,True
1,4,17,73,56,True
11,4,17,136,119,True
14,5,17,98,81,True
17,6,17,98,81,True
20,1,17,98,81,True
21,7,17,98,81,True
22,6,17,125,108,True
25,3,17,98,81,True
29,3,17,98,81,True
33,3,17,125,108,True
40,3,17,98,81,True
43,2,17,98,81,True
49,4,17,98,81,True
51,7,17,87,70,True
57,5,17,148,131,True
66,5,17,88,71,True
68,1,17,88,71,True
69,4,17,87,70,True
71,6,17,87,70,True
74,5,17,88,71,True
77,4,17,60,43,True
80,4,17,148,131,True
86,8,17,87,70,True
91,9,17,88,71,True
24,7,18,98,80,True
26,3,18,125,107,True
37,5,18,73,55,True
40,4,18,98,80,True
41,7,18,98,80,True
54,3,18,87,69,True
58,4,18,148,130,True
66,6,18,88,70,True
69,5,18,87,69,True
72,1,18,88,70,True
73,7,18,88,70,True
85,2,18,87,69,True
87,3,18,88,70,True
95,3,18,87,69,True
0,3,19,125,106,True
2,3,19,98,79,True
9,8,19,98,79,True
11,5,19,136,117,True
15,5,19,125,106,True
16,5,19,98,79,True
18,3,19,60,41,True
27,2,19,98,79,True
42,6,19,98,79,True
67,3,19,88,69,True
75,4,19,60,41,True
76,3,19,87,68,True
85,3,19,87,68,True
87,4,19,88,69,True
89,5,19,88,69,True
9,9,20,98,78,True
12,6,20,73,53,True
26,4,20,125,105,True
27,3,20,98,78,True
29,4,20,98,78,True
43,3,20,98,78,True
44,8,20,136,116,True
53,8,20,148,128,True
54,4,20,88,68,True
56,6,20,87,67,True
62,2,20,148,128,True
65,7,20,88,68,True
69,6,20,88,68,True
78,4,20,88,68,True
0,4,21,125,104,True
1,5,21,73,52,True
14,6,21,98,77,True
15,6,21,125,104,True
17,7,21,98,77,True
24,8,21,98,77,True
44,9,21,136,115,True
46,4,21,98,77,True
50,4,21,88,67,True
52,8,21,88,67,True
53,9,21,148,127,True
57,6,21,148,127,True
58,5,21,148,127,True
59,5,21,148,127,True
65,8,21,88,67,True
74,6,21,88,67,True
75,5,21,87,66,True
87,5,21,88,67,True
91,10,21,88,67,True
98,1,21,148,127,True
2,4,22,98,76,True
3,4,22,98,76,True
16,6,22,98,76,True
28,5,22,136,114,True
30,6,22,125,103,True
57,7,22,148,126,True
62,3,22,148,126,True
66,7,22,88,66,True
76,4,22,87,65,True
77,5,22,87,65,True
81,8,22,87,65,True
89,6,22,88,66,True
91,11,22,88,66,True
95,4,22,87,65,True
1,6,23,73,50,True
4,6,23,98,75,True
6,2,23,98,75,True
7,5,23,136,113,True
