source,version,generation_slot,completion_slot,delay,completed
5,1,0,102,102,True
15,1,0,102,102,True
21,1,0,59,59,True
22,1,0,102,102,True
24,1,0,102,102,True
31,1,0,102,102,True
35,1,0,59,59,True
39,1,0,102,102,True
46,1,0,102,102,True
59,1,0,77,77,True
60,1,0,74,74,True
61,1,0,133,133,True
65,1,0,51,51,True
70,1,0,51,51,True
73,1,0,59,59,True
75,1,0,74,74,True
85,1,0,51,51,True
87,1,0,51,51,True
88,1,0,51,51,True
90,1,0,51,51,True
98,1,0,74,74,True
0,1,1,102,101,True
4,1,1,102,101,True
14,1,1,102,101,True
20,1,1,59,58,True
21,2,1,59,58,True
33,1,1,102,101,True
39,2,1,102,101,True
40,1,1,102,101,True
53,1,1,77,76,True
55,1,1,77,76,True
56,1,1,74,73,True
62,1,1,51,50,True
71,1,1,51,50,True
74,1,1,51,50,True
82,1,1,51,50,True
88,2,1,51,50,True
89,1,1,77,76,True
91,1,1,77,76,True
92,1,1,74,73,True
2,1,2,59,57,True
3,1,2,102,100,True
4,2,2,102,100,True
8,1,2,102,100,True
9,1,2,59,57,True
38,1,2,102,100,True
44,1,2,59,57,True
45,1,2,107,105,True
47,1,2,102,100,True
48,1,2,102,100,True
51,1,2,77,75,True
53,2,2,77,75,True
60,2,2,74,72,True
65,2,2,51,49,True
66,1,2,74,72,True
68,1,2,77,75,True
76,1,2,51,49,True
82,2,2,51,49,True
8,2,3,102,99,True
10,1,3,102,99,True
20,2,3,59,56,True
27,1,3,102,99,True
43,1,3,41,38,True
46,2,3,102,99,True
51,2,3,77,74,True
60,3,3,74,71,True
62,2,3,51,48,True
64,1,3,51,48,True
69,1,3,74,71,True
76,2,3,51,48,True
2,2,4,59,55,True
4,3,4,102,98,True
5,2,4,102,98,True
7,1,4,59,55,True
10,2,4,102,98,True
15,2,4,102,98,True
18,1,4,102,98,True
21,3,4,59,55,True
25,1,4,102,98,True
27,2,4,102,98,True
28,1,4,102,98,True
37,1,4,102,98,True
38,2,4,102,98,True
42,1,4,102,98,True
48,2,4,102,98,True
49,1,4,59,55,True
55,2,4,77,73,True
57,1,4,77,73,True
59,2,4,77,73,True
64,2,4,51,47,True
69,2,4,74,70,True
76,3,4,51,47,True
79,1,4,51,47,True
84,1,4,51,47,True
89,2,4,77,73,True
90,2,4,51,47,True
94,1,4,74,70,True
7,2,5,59,54,True
8,3,5,102,97,True
12,1,5,102,97,True
16,1,5,59,54,True
25,2,5,102,97,True
30,1,5,102,97,True
32,1,5,102,97,True
40,2,5,102,97,True
55,3,5,77,72,True
59,3,5,77,72,True
65,3,5,51,46,True
67,1,5,77,72,True
70,2,5,51,46,True
71,2,5,51,46,True
80,1,5,74,69,True
88,3,5,74,69,True
92,2,5,74,69,True
2,3,6,102,96,True
4,4,6,102,96,True
7,3,6,59,53,True
11,1,6,107,101,True
15,3,6,102,96,True
26,1,6,102,96,True
32,2,6,102,96,True
42,2,6,102,96,True
46,3,6,102,96,True
53,3,6,77,71,True
62,3,6,51,45,True
74,2,6,51,45,True
87,2,6,77,71,True
90,3,6,51,45,True
91,2,6,77,71,True
98,2,6,74,68,True
0,2,7,102,95,True
5,3,7,102,95,True
14,2,7,102,95,True
18,2,7,102,95,True
19,1,7,102,95,True
22,2,7,102,95,True
24,2,7,102,95,True
25,3,7,102,95,True
34,1,7,59,52,True
38,3,7,102,95,True
49,2,7,59,52,True
55,4,7,77,70,True
68,2,7,77,70,True
69,3,7,74,67,True
81,1,7,51,44,True
92,3,7,77,70,True
98,3,7,74,67,True
99,1,7,74,67,True
7,4,8,59,51,True
10,3,8,102,94,True
11,2,8,107,99,True
19,2,8,102,94,True
20,3,8,107,99,True
26,2,8,102,94,True
40,3,8,102,94,True
52,1,8,57,49,True
68,3,8,77,69,True
77,1,8,51,43,True
83,1,8,51,43,True
91,3,8,77,69,True
94,2,8,74,66,True
98,4,8,74,66,True
99,2,8,74,66,True
14,3,9,102,93,True
16,2,9,59,50,True
20,4,9,107,98,True
38,4,9,102,93,True
49,3,9,59,50,True
50,1,9,74,65,True
52,2,9,57,48,True
53,4,9,77,68,True
62,4,9,51,42,True
64,3,9,51,42,True
66,2,9,74,65,True
71,3,9,51,42,True
74,3,9,51,42,True
77,2,9,51,42,True
78,1,9,59,50,True
9,2,10,102,92,True
12,2,10,102,92,True
14,4,10,102,92,True
16,3,10,59,49,True
18,3,10,102,92,True
19,3,10,102,92,True
22,3,10,102,92,True
23,1,10,102,92,True
26,3,10,102,92,True
29,1,10,102,92,True
34,2,10,59,49,True
39,3,10,102,92,True
41,1,10,102,92,True
44,2,10,59,49,True
47,2,10,102,92,True
49,4,10,59,49,True
50,2,10,74,64,True
57,2,10,77,67,True
62,5,10,51,41,True
67,2,10,77,67,True
69,4,10,74,64,True
91,4,10,77,67,True
95,1,10,77,67,True
0,3,11,102,91,True
3,2,11,102,91,True
7,5,11,59,48,True
9,3,11,102,91,True
12,3,11,102,91,True
22,4,11,102,91,True
30,2,11,102,91,True
47,3,11,102,91,True
51,3,11,77,66,True
52,3,11,57,46,True
55,5,11,77,66,True
60,4,11,77,66,True
70,3,11,51,40,True
72,1,11,74,63,True
73,2,11,59,48,True
76,4,11,74,63,True
80,2,11,74,63,True
84,2,11,51,40,True
87,3,11,77,66,True
95,2,11,77,66,True
98,5,11,74,63,True
6,1,12,59,47,True
13,1,12,102,90,True
26,4,12,102,90,True
28,2,12,107,95,True
35,2,12,102,90,True
36,1,12,59,47,True
38,5,12,102,90,True
43,2,12,102,90,True
47,4,12,102,90,True
50,3,12,74,62,True
58,1,12,77,65,True
61,2,12,133,121,True
62,6,12,51,39,True
64,4,12,51,39,True
69,5,12,74,62,True
76,5,12,74,62,True
80,3,12,74,62,True
81,2,12,74,62,True
82,3,12,51,39,True
83,2,12,51,39,True
87,4,12,77,65,True
90,4,12,51,39,True
94,3,12,93,81,True
97,1,12,74,62,True
1,1,13,102,89,True
3,3,13,102,89,True
12,4,13,102,89,True
15,4,13,102,89,True
18,4,13,102,89,True
19,4,13,102,89,True
20,5,13,107,94,True
25,4,13,102,89,True
29,2,13,102,89,True
34,3,13,59,46,True
39,4,13,102,89,True
48,3,13,102,89,True
59,4,13,77,64,True
84,3,13,51,38,True
85,2,13,51,38,True
88,4,13,74,61,True
92,4,13,77,64,True
95,3,13,77,64,True
97,2,13,74,61,True
0,4,14,102,88,True
3,4,14,102,88,True
7,6,14,59,45,True
11,3,14,107,93,True
16,4,14,59,45,True
38,6,14,102,88,True
45,2,14,107,93,True
46,4,14,102,88,True
56,2,14,74,60,True
59,5,14,77,63,True
60,5,14,77,63,True
64,5,14,51,37,True
70,4,14,51,37,True
73,3,14,59,45,True
83,3,14,51,37,True
89,3,14,77,63,True
2,4,15,102,87,True
3,5,15,102,87,True
5,4,15,102,87,True
13,2,15,102,87,True
14,5,15,102,87,True
22,5,15,102,87,True
25,5,15,102,87,True
