node_i,node_j,is_inter_cluster
0,4,False
0,5,False
0,10,False
0,15,False
0,16,False
0,19,False
0,27,False
0,29,False
0,36,False
0,37,False
0,38,False
0,42,False
0,43,False
0,46,False
0,55,False
0,57,False
0,59,False
1,2,False
1,9,False
1,11,False
1,13,False
1,19,False
1,24,False
1,37,False
1,41,False
1,42,False
1,43,False
1,44,False
1,47,False
1,48,False
1,49,False
1,50,False
1,51,False
1,54,False
2,9,False
2,11,False
2,23,False
2,33,False
2,34,False
2,35,False
2,39,False
2,41,False
2,44,False
2,47,False
2,48,False
2,49,False
2,51,False
2,54,False
3,20,False
3,34,False
3,35,False
3,44,False
3,47,False
3,51,False
4,5,False
4,10,False
4,15,False
4,16,False
4,22,False
4,28,False
4,29,False
4,36,False
4,38,False
4,46,False
4,55,False
4,59,False
5,6,False
5,7,False
5,10,False
5,15,False
5,16,False
5,25,False
5,28,False
5,29,False
5,31,False
5,36,False
5,38,False
5,46,False
5,56,False
5,59,False
6,7,False
6,15,False
6,16,False
6,19,False
6,25,False
6,31,False
6,36,False
6,38,False
6,43,False
6,45,False
6,50,False
6,56,False
6,58,False
6,59,False
7,15,False
7,16,False
7,19,False
7,25,False
7,31,False
7,36,False
7,43,False
7,45,False
7,50,False
7,56,False
7,58,False
7,59,False
8,14,False
8,17,False
8,18,False
8,21,False
8,26,False
8,52,False
8,53,False
9,11,False
9,23,False
9,33,False
9,35,False
9,39,False
9,45,False
9,47,False
9,48,False
9,54,False
10,15,False
10,16,False
10,22,False
10,27,False
10,28,False
10,29,False
10,38,False
10,46,False
10,55,False
10,57,False
10,59,False
11,19,False
11,23,False
11,33,False
11,39,False
11,43,False
11,45,False
11,47,False
11,48,False
11,49,False
11,50,False
11,54,False
12,14,False
12,20,False
12,21,False
12,30,False
12,32,False
12,40,False
13,20,False
13,24,False
13,26,False
13,32,False
13,37,False
13,41,False
13,44,False
13,47,False
13,49,False
13,51,False
14,17,False
14,21,False
14,26,False
14,30,False
14,32,False
14,52,False
14,53,False
15,16,False
15,19,False
15,25,False
15,28,False
15,29,False
15,31,False
15,36,False
15,38,False
15,42,False
15,43,False
15,46,False
15,55,False
15,56,False
15,59,False
16,19,False
16,25,False
16,27,False
16,28,False
16,29,False
16,36,False
16,37,False
16,38,False
16,42,False
16,43,False
16,46,False
16,49,False
16,50,False
16,55,False
16,56,False
16,57,False
16,59,False
17,18,False
17,21,False
17,26,False
17,52,False
17,53,False
18,52,False
18,53,False
19,25,False
19,36,False
19,37,False
19,41,False
19,42,False
19,43,False
19,49,False
19,50,False
19,54,False
19,56,False
19,59,False
20,32,False
20,34,False
20,40,False
20,41,False
20,44,False
20,47,False
20,51,False
21,26,False
21,30,False
21,32,False
21,40,False
21,52,False
22,29,False
22,46,False
22,55,False
22,63,True
22,118,True
23,33,False
23,35,False
23,39,False
23,47,False
23,48,False
23,54,False
24,26,False
24,27,False
24,32,False
24,37,False
24,41,False
24,42,False
24,43,False
24,49,False
24,52,False
24,57,False
25,31,False
25,36,False
25,38,False
25,43,False
25,45,False
25,49,False
25,50,False
25,56,False
25,58,False
25,59,False
26,30,False
26,32,False
26,37,False
26,52,False
26,53,False
27,29,False
27,37,False
27,42,False
27,46,False
27,53,False
27,55,False
27,57,False
27,59,False
28,29,False
28,36,False
28,38,False
28,46,False
28,55,False
28,59,False
29,37,False
29,38,False
29,42,False
29,46,False
29,55,False
29,57,False
29,59,False
30,32,False
30,40,False
31,36,False
31,45,False
31,56,False
31,58,False
32,40,False
32,52,False
33,35,False
33,39,False
33,45,False
33,47,False
33,48,False
33,54,False
34,35,False
34,44,False
34,47,False
34,51,False
35,39,False
35,44,False
35,47,False
35,48,False
35,51,False
36,38,False
36,43,False
36,46,False
36,50,False
36,56,False
36,59,False
37,41,False
37,42,False
37,43,False
37,49,False
37,50,False
37,57,False
37,59,False
38,46,False
38,55,False
38,59,False
39,45,False
39,47,False
39,48,False
39,54,False
41,42,False
41,43,False
41,44,False
41,47,False
41,49,False
41,50,False
41,51,False
41,54,False
42,43,False
42,49,False
42,50,False
42,57,False
42,59,False
43,49,False
43,50,False
43,54,False
43,59,False
44,47,False
44,51,False
45,56,False
45,58,False
46,55,False
46,57,False
46,59,False
47,48,False
47,51,False
47,54,False
48,54,False
49,50,False
49,54,False
49,59,False
50,54,False
50,59,False
52,53,False
53,57,False
55,57,False
55,59,False
55,63,True
56,58,False
56,59,False
57,59,False
60,61,False
60,62,False
60,65,False
60,67,False
60,73,False
60,78,False
60,79,False
60,87,False
60,90,False
60,93,False
60,97,False
60,101,False
60,102,False
60,108,False
60,113,False
61,62,False
61,65,False
61,67,False
61,68,False
61,75,False
61,76,False
61,79,False
61,80,False
61,83,False
61,85,False
61,86,False
61,87,False
61,96,False
61,97,False
61,102,False
61,104,False
61,105,False
61,106,False
61,109,False
61,116,False
62,67,False
62,68,False
62,75,False
62,76,False
62,79,False
62,80,False
62,85,False
62,86,False
62,87,False
62,96,False
62,97,False
62,102,False
62,104,False
62,105,False
62,106,False
63,118,False
64,70,False
64,72,False
64,77,False
64,82,False
64,90,False
64,91,False
64,94,False
64,98,False
64,99,False
64,100,False
64,101,False
64,103,False
64,110,False
64,114,False
64,118,False
64,119,False
65,67,False
65,73,False
65,76,False
65,77,False
65,78,False
65,86,False
65,87,False
65,90,False
65,93,False
65,97,False
65,99,False
65,101,False
65,102,False
65,113,False
66,70,False
66,72,False
66,82,False
66,91,False
66,98,False
66,107,False
66,110,False
66,112,False
66,114,False
66,115,False
66,117,False
66,119,False
67,73,False
67,76,False
67,78,False
67,86,False
67,87,False
67,90,False
67,93,False
67,96,False
67,97,False
67,99,False
67,101,False
67,102,False
67,113,False
68,74,False
68,76,False
68,77,False
68,83,False
68,85,False
68,86,False
68,87,False
68,96,False
68,97,False
68,105,False
68,106,False
68,109,False
68,112,False
68,116,False
68,117,False
69,71,False
69,73,False
69,78,False
69,81,False
69,88,False
69,89,False
69,93,False
69,113,False
70,72,False
70,77,False
70,82,False
70,91,False
70,94,False
70,98,False
70,99,False
70,100,False
70,103,False
70,107,False
70,110,False
70,111,False
70,114,False
70,115,False
70,119,False
71,78,False
71,88,False
71,89,False
71,93,False
71,99,False
71,113,False
71,118,False
72,77,False
72,82,False
72,83,False
72,86,False
72,91,False
72,94,False
72,98,False
72,99,False
72,100,False
72,107,False
72,110,False
72,112,False
72,114,False
72,115,False
72,116,False
72,117,False
72,119,False
73,78,False
73,81,False
73,89,False
73,93,False
73,101,False
73,108,False
73,113,False
74,76,False
74,83,False
74,84,False
74,86,False
74,92,False
74,95,False
74,96,False
74,97,False
74,105,False
74,106,False
74,109,False
74,112,False
74,116,False
74,117,False
75,79,False
75,85,False
75,102,False
75,104,False
75,108,False
76,77,False
76,83,False
76,86,False
76,87,False
76,90,False
76,96,False
76,97,False
76,98,False
76,99,False
76,101,False
76,105,False
76,106,False
76,109,False
76,112,False
76,116,False
76,117,False
77,82,False
77,83,False
77,86,False
77,90,False
77,94,False
77,97,False
77,98,False
77,99,False
77,100,False
77,101,False
77,106,False
77,110,False
77,112,False
77,113,False
77,114,False
77,116,False
77,117,False
77,119,False
78,81,False
78,88,False
78,89,False
78,90,False
78,93,False
78,101,False
78,113,False
79,85,False
79,87,False
79,102,False
79,104,False
79,108,False
80,85,False
80,95,False
80,96,False
80,104,False
80,105,False
81,89,False
81,93,False
81,108,False
82,91,False
82,94,False
82,98,False
82,100,False
82,107,False
82,110,False
82,112,False
82,114,False
82,115,False
82,117,False
82,119,False
83,86,False
83,87,False
83,92,False
83,96,False
83,97,False
83,98,False
83,105,False
83,106,False
83,109,False
83,112,False
83,116,False
83,117,False
84,92,False
84,95,False
84,109,False
85,87,False
85,96,False
85,97,False
85,102,False
85,104,False
85,105,False
86,87,False
86,90,False
86,96,False
86,97,False
86,98,False
86,99,False
86,100,False
86,101,False
86,105,False
86,106,False
86,109,False
86,112,False
86,116,False
86,117,False
87,90,False
87,96,False
87,97,False
87,101,False
87,102,False
87,104,False
87,105,False
87,106,False
87,109,False
87,116,False
88,89,False
88,93,False
88,113,False
88,118,False
89,93,False
90,94,False
90,97,False
90,98,False
90,99,False
90,100,False
90,101,False
90,106,False
90,113,False
91,94,False
91,103,False
91,107,False
91,110,False
91,111,False
91,114,False
91,115,False
91,119,False
92,109,False
92,112,False
92,116,False
92,117,False
93,113,False
94,98,False
94,99,False
94,100,False
94,101,False
94,103,False
94,110,False
94,114,False
94,118,False
94,119,False
95,105,False
95,109,False
96,97,False
96,102,False
96,104,False
96,105,False
96,106,False
96,109,False
96,116,False
97,101,False
97,102,False
97,105,False
97,106,False
97,109,False
97,116,False
98,99,False
98,100,False
98,101,False
98,106,False
98,107,False
98,110,False
98,112,False
98,114,False
98,116,False
98,117,False
98,119,False
99,100,False
99,101,False
99,113,False
99,114,False
99,119,False
100,101,False
100,110,False
100,113,False
100,114,False
100,119,False
101,106,False
101,113,False
102,104,False
102,108,False
103,107,False
103,110,False
103,111,False
103,114,False
103,115,False
103,119,False
104,105,False
105,106,False
