node_i,node_j,curvature,bottleneck_importance
0,25,0.33333333333333326,0.0
0,38,0.26388888888888884,0.0
0,40,0.13194444444444442,0.0
0,42,0.26388888888888906,0.0
0,45,0.2055555555555556,0.0
0,46,0.05555555555555547,0.0
0,47,0.4833333333333334,0.0
0,54,0.4285714285714288,0.0
0,59,0.11111111111111116,0.0
1,15,0.25,0.0
1,34,0.17499999999999982,0.0
1,37,0.17499999999999993,0.0
1,58,0.625,0.0
2,7,0.12337662337662358,0.0
2,14,0.16428571428571426,0.0
2,28,0.08928571428571441,0.0
2,29,0.3571428571428571,0.0
2,30,-0.4732142857142856,0.7030612244897955
2,31,-0.03571428571428559,0.05306122448979571
2,53,0.4523809523809522,0.0
3,6,0.375,0.0
3,18,-0.13194444444444442,0.19603174603174592
3,19,0.2410714285714285,0.0
3,23,0.004166666666666763,0.0
3,27,0.25,0.0
3,49,0.1696428571428572,0.0
3,50,0.1875,0.0
3,59,0.13333333333333341,0.0
4,9,0.13725490196078416,0.0
4,16,0.13725490196078416,0.0
4,20,0.28676470588235314,0.0
4,22,0.04575163398692805,0.0
4,23,-0.13333333333333308,0.19809523809523763
4,24,0.5294117647058824,0.0
4,25,-0.002673796791443861,0.0039724980901451636
4,26,0.17058823529411749,0.0
4,32,-0.07692307692307687,0.11428571428571416
4,38,0.06066176470588225,0.0
4,39,0.4411764705882353,0.0
4,40,0.09191176470588258,0.0
4,41,0.19786096256684493,0.0
4,42,0.06066176470588258,0.0
4,43,-0.21813725490196045,0.32408963585434114
4,46,0.2132352941176472,0.0
4,52,0.21895424836601296,0.0
5,8,0.15384615384615385,0.0
5,11,0.458041958041958,0.0
5,13,-0.10489510489510456,0.15584415584415529
5,17,0.2692307692307694,0.0
5,21,0.25384615384615405,0.0
5,28,-0.012820512820512553,0.019047619047618643
5,31,0.15384615384615363,0.0
5,34,-0.2538461538461536,0.3771428571428566
5,36,0.09090909090909094,0.0
5,37,-0.2538461538461536,0.3771428571428566
5,44,0.23717948717948723,0.0
5,55,0.23076923076923084,0.0
5,56,0.15384615384615397,0.0
6,19,0.15178571428571463,0.0
6,23,0.004166666666666763,0.0
6,27,0.375,0.0
6,45,0.07499999999999973,0.0
6,49,0.1607142857142858,0.0
6,50,0.3392857142857144,0.0
6,59,0.21250000000000002,0.0
7,8,0.290909090909091,0.0
7,14,0.48636363636363655,0.0
7,17,0.17832167832167856,0.0
7,21,0.21363636363636385,0.0
7,28,0.48484848484848486,0.0
7,29,-0.01948051948051943,0.028942486085343142
7,31,0.2987012987012987,0.0
7,44,0.2272727272727273,0.0
7,53,0.24242424242424243,0.0
7,56,0.2909090909090911,0.0
8,11,0.181818181818182,0.0
8,14,0.2499999999999999,0.0
8,17,0.37692307692307714,0.0
8,21,0.44999999999999996,0.0
8,28,0.32499999999999996,0.0
8,31,0.37857142857142867,0.0
8,44,0.42500000000000004,0.0
8,56,0.55,0.0
9,16,0.5555555555555556,0.0
9,22,0.38888888888888884,0.0
9,24,0.13725490196078438,0.0
9,26,0.4833333333333334,0.0
9,30,0.20138888888888906,0.0
9,39,0.196078431372549,0.0
9,41,0.4242424242424242,0.0
9,52,0.33333333333333326,0.0
10,12,0.08333333333333326,0.0
10,15,0.04166666666666652,0.0
10,18,-2.220446049250313e-16,3.298948416029035e-16
10,19,-0.30952380952380953,0.4598639455782311
10,33,0.3214285714285714,0.0
10,57,0.1666666666666664,0.0
11,17,0.258741258741259,0.0
11,21,0.28181818181818186,0.0
11,31,0.18181818181818188,0.0
11,34,-0.2818181818181822,0.4187012987012991
11,36,0.09090909090909094,0.0
11,37,-0.2818181818181822,0.4187012987012991
11,44,0.26515151515151525,0.0
11,55,0.23076923076923084,0.0
11,56,0.18181818181818188,0.0
12,15,0.0,-0.0
12,33,0.03571428571428581,0.0
12,86,-0.6730769230769234,1.0
13,18,-0.035353535353535026,0.05252525252525202
13,34,0.00454545454545463,0.0
13,35,0.24025974025974017,0.0
13,36,0.13636363636363646,0.0
13,37,0.004545454545454852,0.0
13,43,-0.125,0.18571428571428564
13,48,0.12878787878787878,0.0
13,51,0.128787878787879,0.0
13,55,0.12937062937062938,0.0
13,57,0.045454545454545525,0.0
14,17,0.13076923076923075,0.0
14,28,0.43333333333333324,0.0
14,29,0.02142857142857124,0.0
14,31,0.27142857142857146,0.0
14,44,0.18333333333333324,0.0
14,53,0.2833333333333331,0.0
14,56,0.2499999999999999,0.0
15,33,0.267857142857143,0.0
15,34,0.10000000000000009,0.0
15,37,0.10000000000000009,0.0
15,57,0.012499999999999734,0.0
15,58,0.25,0.0
16,22,0.38888888888888884,0.0
16,24,0.13725490196078438,0.0
16,26,0.4833333333333334,0.0
16,30,0.20138888888888895,0.0
16,39,0.196078431372549,0.0
16,41,0.4242424242424242,0.0
16,52,0.33333333333333326,0.0
17,21,0.4076923076923079,0.0
17,28,0.21153846153846156,0.0
17,31,0.3653846153846154,0.0
17,35,-0.21978021978021944,0.3265306122448973
17,36,0.013986013986014179,0.0
17,44,0.47115384615384626,0.0
17,55,0.0769230769230771,0.0
17,56,0.376923076923077,0.0
18,19,0.07936507936507953,0.0
18,33,-0.10317460317460281,0.1532879818594098
18,48,0.11111111111111127,0.0
18,49,-0.0277777777777779,0.041269841269841435
18,51,0.11111111111111127,0.0
18,57,0.1611111111111111,0.0
19,23,0.06190476190476202,0.0
19,27,0.0267857142857143,0.0
19,32,0.005494505494505697,0.0
19,40,-0.17410714285714257,0.2586734693877546
19,48,-0.017857142857142794,0.026530612244897854
19,49,0.2857142857142858,0.0
19,50,-0.03571428571428559,0.05306122448979571
19,51,-0.01785714285714257,0.026530612244897524
19,57,-0.19999999999999973,0.29714285714285665
19,59,0.03333333333333344,0.0
20,24,0.2867647058823529,0.0
20,25,0.17424242424242442,0.0
20,26,0.05833333333333346,0.0
20,38,0.11458333333333337,0.0
20,39,0.2279411764705882,0.0
20,40,0.13541666666666674,0.0
20,41,0.11742424242424265,0.0
20,42,0.11458333333333359,0.0
20,46,0.41666666666666663,0.0
20,47,0.03333333333333344,0.0
20,52,0.19444444444444453,0.0
21,28,0.25,0.0
21,31,0.36428571428571466,0.0
21,44,0.45833333333333337,0.0
21,55,0.0038461538461537215,0.0
21,56,0.44999999999999996,0.0
22,24,0.04575163398692805,0.0
22,26,0.33333333333333326,0.0
22,29,-0.47619047619047605,0.7074829931972784
22,30,0.3125,0.0
22,39,0.10457516339869277,0.0
22,41,0.28787878787878785,0.0
23,24,-0.13333333333333308,0.19809523809523763
23,32,0.4205128205128207,0.0
23,38,0.07291666666666652,0.0
23,39,-0.16274509803921555,0.24179271708683445
23,40,0.16666666666666652,0.0
23,42,0.07291666666666663,0.0
23,43,0.13333333333333353,0.0
23,48,-0.033333333333333215,0.04952380952380933
23,49,0.2761904761904763,0.0
23,51,-0.03333333333333344,0.04952380952380966
23,59,0.13333333333333341,0.0
24,25,-0.002673796791443639,0.003972498090144833
24,26,0.1705882352941177,0.0
24,32,-0.07692307692307687,0.11428571428571416
24,38,0.06066176470588236,0.0
24,39,0.4411764705882353,0.0
24,40,0.09191176470588269,0.0
24,41,0.19786096256684516,0.0
24,42,0.06066176470588247,0.0
