node_i,node_j,is_inter_cluster
0,3,False
0,5,False
0,9,False
0,11,False
0,14,False
0,22,False
0,25,False
0,45,False
0,46,False
0,47,False
0,52,False
0,53,False
0,56,False
0,57,False
1,2,False
1,4,False
1,7,False
1,12,False
1,13,False
1,26,False
1,29,False
1,31,False
1,39,False
1,40,False
1,42,False
1,44,False
1,48,False
2,4,False
2,13,False
2,26,False
2,29,False
2,39,False
2,42,False
2,44,False
2,48,False
3,11,False
3,22,False
3,25,False
3,33,False
3,41,False
3,43,False
3,45,False
3,53,False
3,56,False
4,6,False
4,7,False
4,8,False
4,12,False
4,13,False
4,26,False
4,29,False
4,39,False
4,40,False
4,44,False
4,48,False
5,9,False
5,14,False
5,17,False
5,36,False
5,42,False
5,45,False
5,52,False
5,53,False
6,7,False
6,8,False
6,26,False
6,27,False
7,8,False
7,26,False
7,29,False
8,26,False
8,27,False
9,14,False
9,17,False
9,45,False
9,52,False
9,53,False
9,56,False
9,57,False
10,15,False
10,23,False
10,24,False
10,30,False
10,32,False
10,35,False
10,51,False
10,55,False
11,18,False
11,22,False
11,25,False
11,33,False
11,41,False
11,43,False
11,45,False
11,47,False
11,53,False
11,56,False
12,13,False
12,19,False
12,21,False
12,27,False
12,31,False
12,37,False
12,39,False
12,40,False
12,48,False
12,49,False
12,54,False
12,57,False
12,58,False
12,59,False
13,26,False
13,29,False
13,31,False
13,36,False
13,39,False
13,42,False
13,44,False
13,48,False
14,17,False
14,36,False
14,42,False
14,45,False
14,52,False
14,53,False
14,56,False
14,57,False
15,16,False
15,23,False
15,24,False
15,32,False
15,50,False
15,51,False
15,55,False
16,19,False
16,20,False
16,21,False
16,23,False
16,24,False
16,28,False
16,32,False
16,34,False
16,37,False
16,38,False
16,50,False
17,36,False
17,42,False
17,45,False
17,52,False
18,22,False
18,25,False
18,30,False
18,33,False
18,35,False
18,41,False
18,43,False
18,55,False
19,21,False
19,30,False
19,31,False
19,32,False
19,37,False
19,38,False
19,40,False
19,46,False
19,47,False
19,49,False
19,54,False
19,57,False
19,58,False
19,59,False
20,27,False
20,34,False
20,37,False
21,27,False
21,31,False
21,32,False
21,34,False
21,37,False
21,38,False
21,40,False
21,46,False
21,49,False
21,54,False
21,58,False
21,59,False
22,25,False
22,33,False
22,41,False
22,43,False
22,53,False
22,56,False
23,24,False
23,30,False
23,32,False
23,38,False
23,50,False
23,51,False
23,55,False
24,30,False
24,32,False
24,35,False
24,38,False
24,46,False
24,50,False
24,51,False
24,55,False
25,30,False
25,33,False
25,35,False
25,38,False
25,41,False
25,43,False
25,46,False
25,47,False
25,49,False
25,55,False
25,56,False
25,59,False
26,29,False
26,39,False
26,44,False
26,48,False
27,34,False
27,37,False
27,40,False
28,50,False
28,64,True
28,90,True
29,39,False
29,44,False
29,48,False
30,35,False
30,38,False
30,43,False
30,46,False
30,47,False
30,49,False
30,55,False
30,58,False
30,59,False
31,37,False
31,38,False
31,39,False
31,40,False
31,48,False
31,49,False
31,52,False
31,54,False
31,57,False
31,58,False
31,59,False
32,38,False
32,50,False
32,55,False
33,35,False
33,41,False
33,43,False
34,37,False
34,40,False
34,50,False
35,43,False
35,51,False
35,55,False
36,39,False
36,42,False
36,52,False
37,38,False
37,40,False
37,49,False
37,54,False
37,58,False
37,59,False
38,46,False
38,47,False
38,49,False
38,54,False
38,55,False
38,57,False
38,58,False
38,59,False
39,42,False
39,44,False
39,48,False
39,52,False
40,48,False
40,54,False
40,58,False
41,43,False
41,56,False
42,44,False
42,48,False
42,52,False
43,55,False
44,48,False
45,52,False
45,53,False
45,56,False
45,57,False
46,47,False
46,49,False
46,54,False
46,55,False
46,57,False
46,58,False
46,59,False
47,49,False
47,54,False
47,55,False
47,56,False
47,57,False
47,58,False
47,59,False
48,52,False
48,54,False
48,57,False
49,54,False
49,55,False
49,57,False
49,58,False
49,59,False
50,64,True
51,55,False
52,53,False
52,56,False
52,57,False
52,58,False
53,56,False
53,57,False
54,57,False
54,58,False
54,59,False
55,59,False
56,57,False
57,58,False
57,59,False
58,59,False
60,63,False
60,75,False
60,79,False
60,96,False
60,108,False
61,75,False
61,85,False
61,88,False
61,91,False
61,93,False
61,96,False
61,101,False
61,102,False
61,104,False
61,114,False
62,72,False
62,74,False
62,80,False
62,86,False
62,87,False
62,89,False
62,112,False
62,119,False
63,75,False
63,79,False
63,96,False
64,69,False
65,66,False
65,69,False
65,72,False
65,73,False
65,76,False
65,78,False
65,83,False
65,84,False
65,88,False
65,95,False
65,97,False
65,99,False
65,100,False
65,110,False
65,116,False
66,73,False
66,76,False
66,77,False
66,78,False
66,83,False
66,84,False
66,88,False
66,91,False
66,94,False
66,95,False
66,97,False
66,99,False
66,100,False
66,101,False
66,103,False
66,104,False
66,106,False
66,107,False
66,108,False
66,109,False
66,110,False
66,113,False
66,116,False
67,70,False
67,82,False
67,105,False
67,111,False
67,115,False
67,117,False
68,71,False
68,74,False
68,77,False
68,80,False
68,81,False
68,92,False
68,94,False
68,98,False
68,103,False
68,107,False
68,118,False
69,72,False
69,73,False
69,76,False
69,83,False
69,84,False
69,86,False
69,100,False
69,119,False
70,82,False
70,105,False
70,111,False
70,115,False
70,117,False
71,74,False
71,77,False
71,80,False
71,81,False
71,89,False
71,92,False
71,94,False
71,98,False
71,103,False
71,107,False
71,109,False
71,118,False
72,73,False
72,76,False
72,80,False
72,84,False
72,86,False
72,87,False
72,89,False
72,94,False
72,99,False
72,100,False
72,103,False
72,109,False
72,112,False
72,119,False
73,76,False
73,77,False
73,78,False
73,83,False
73,84,False
73,88,False
73,91,False
73,94,False
73,95,False
73,97,False
73,99,False
73,100,False
73,103,False
73,106,False
73,108,False
73,109,False
73,110,False
73,113,False
73,116,False
73,119,False
74,77,False
74,80,False
74,87,False
74,89,False
74,92,False
74,94,False
74,98,False
74,103,False
74,109,False
74,118,False
75,79,False
75,91,False
75,96,False
75,101,False
75,107,False
75,108,False
75,113,False
76,77,False
76,78,False
76,83,False
76,84,False
76,86,False
76,89,False
76,94,False
76,97,False
76,99,False
76,100,False
76,103,False
76,106,False
76,109,False
76,113,False
76,116,False
76,119,False
77,80,False
77,86,False
77,89,False
77,92,False
77,94,False
77,97,False
77,98,False
77,99,False
77,103,False
77,106,False
