node_i,node_j,is_inter_cluster
0,19,False
0,24,False
0,34,False
0,43,False
0,45,False
1,6,False
1,8,False
1,12,False
1,16,False
1,21,False
1,31,False
1,33,False
1,40,False
1,42,False
1,44,False
1,54,False
1,56,False
2,7,False
2,15,False
2,29,False
2,30,False
2,38,False
2,49,False
2,53,False
3,5,False
3,10,False
3,11,False
3,18,False
3,25,False
3,32,False
3,35,False
3,47,False
3,50,False
4,14,False
4,29,False
4,38,False
4,52,False
4,81,True
5,10,False
5,18,False
5,25,False
5,32,False
5,35,False
5,47,False
5,50,False
6,8,False
6,12,False
6,13,False
6,16,False
6,21,False
6,27,False
6,31,False
6,33,False
6,40,False
6,42,False
6,44,False
6,54,False
6,55,False
6,56,False
7,22,False
7,30,False
7,49,False
7,57,False
7,59,False
8,11,False
8,12,False
8,16,False
8,17,False
8,21,False
8,27,False
8,28,False
8,31,False
8,40,False
8,41,False
8,42,False
8,44,False
8,46,False
8,48,False
8,54,False
8,55,False
8,56,False
9,13,False
9,19,False
9,24,False
9,33,False
9,39,False
9,43,False
9,45,False
9,51,False
10,11,False
10,17,False
10,18,False
10,25,False
10,26,False
10,32,False
10,35,False
10,46,False
10,47,False
10,48,False
10,50,False
11,17,False
11,18,False
11,25,False
11,26,False
11,28,False
11,32,False
11,35,False
11,46,False
11,47,False
11,48,False
11,50,False
11,54,False
12,13,False
12,16,False
12,21,False
12,27,False
12,33,False
12,39,False
12,40,False
12,42,False
12,44,False
12,51,False
12,55,False
12,56,False
13,16,False
13,21,False
13,33,False
13,39,False
13,51,False
13,56,False
14,34,False
14,52,False
15,23,False
15,26,False
15,30,False
15,37,False
15,38,False
15,53,False
16,21,False
16,27,False
16,33,False
16,39,False
16,40,False
16,42,False
16,44,False
16,51,False
16,55,False
16,56,False
17,25,False
17,28,False
17,31,False
17,32,False
17,35,False
17,44,False
17,46,False
17,47,False
17,48,False
17,54,False
18,25,False
18,32,False
18,35,False
18,46,False
18,47,False
18,50,False
19,20,False
19,24,False
19,34,False
19,39,False
19,43,False
19,45,False
19,51,False
20,23,False
20,24,False
20,27,False
20,34,False
20,36,False
20,37,False
20,41,False
20,43,False
20,45,False
20,52,False
20,55,False
20,58,False
21,27,False
21,33,False
21,39,False
21,40,False
21,41,False
21,42,False
21,44,False
21,48,False
21,51,False
21,54,False
21,55,False
21,56,False
22,30,False
22,49,False
22,50,False
22,57,False
22,59,False
23,26,False
23,36,False
23,37,False
23,38,False
23,41,False
23,52,False
23,53,False
23,58,False
24,34,False
24,43,False
24,45,False
25,28,False
25,31,False
25,32,False
25,35,False
25,46,False
25,47,False
25,54,False
26,32,False
26,36,False
26,37,False
26,38,False
26,41,False
26,46,False
26,48,False
26,53,False
26,55,False
26,58,False
27,36,False
27,40,False
27,41,False
27,42,False
27,43,False
27,44,False
27,45,False
27,48,False
27,51,False
27,55,False
27,56,False
27,58,False
28,31,False
28,32,False
28,35,False
28,44,False
28,46,False
28,47,False
28,48,False
28,54,False
29,30,False
29,81,True
29,109,True
30,38,False
30,49,False
30,57,False
30,59,False
31,35,False
31,40,False
31,42,False
31,44,False
31,48,False
31,54,False
32,35,False
32,46,False
32,47,False
32,48,False
32,50,False
33,39,False
33,40,False
33,42,False
33,44,False
33,51,False
33,56,False
34,36,False
34,43,False
34,45,False
34,52,False
34,58,False
35,46,False
35,47,False
35,54,False
36,37,False
36,41,False
36,43,False
36,45,False
36,52,False
36,53,False
36,55,False
36,58,False
37,38,False
37,41,False
37,53,False
37,58,False
38,49,False
38,53,False
39,43,False
39,45,False
39,51,False
40,41,False
40,42,False
40,44,False
40,46,False
40,48,False
40,54,False
40,55,False
40,56,False
40,58,False
41,42,False
41,46,False
41,48,False
41,55,False
41,56,False
41,58,False
42,44,False
42,48,False
42,54,False
42,55,False
42,56,False
42,58,False
