source,version,generation_slot,completion_slot,delay,completed
5,1,0,63,63,True
15,1,0,63,63,True
21,1,0,85,85,True
22,1,0,91,91,True
24,1,0,66,66,True
31,1,0,63,63,True
35,1,0,63,63,True
39,1,0,63,63,True
46,1,0,63,63,True
59,1,0,63,63,True
60,1,0,66,66,True
61,1,0,91,91,True
65,1,0,63,63,True
70,1,0,63,63,True
73,1,0,65,65,True
75,1,0,67,67,True
85,1,0,72,72,True
87,1,0,52,52,True
88,1,0,72,72,True
90,1,0,72,72,True
98,1,0,52,52,True
100,1,0,84,84,True
104,1,0,67,67,True
114,1,0,84,84,True
120,1,0,95,95,True
121,1,0,52,52,True
133,1,0,52,52,True
139,1,0,84,84,True
140,1,0,67,67,True
3,1,1,85,84,True
5,2,1,63,62,True
6,1,1,63,62,True
12,1,1,63,62,True
21,2,1,85,84,True
24,2,1,66,65,True
32,1,1,43,42,True
38,1,1,66,65,True
39,2,1,63,62,True
41,1,1,85,84,True
42,1,1,63,62,True
52,1,1,91,90,True
53,1,1,66,65,True
54,1,1,65,64,True
58,1,1,66,65,True
59,2,1,63,62,True
88,2,1,72,71,True
94,1,1,72,71,True
95,1,1,84,83,True
97,1,1,72,71,True
98,2,1,52,51,True
101,1,1,52,51,True
103,1,1,84,83,True
110,1,1,52,51,True
115,1,1,52,51,True
116,1,1,67,66,True
118,1,1,67,66,True
126,1,1,84,83,True
132,1,1,67,66,True
8,1,2,63,61,True
10,1,2,63,61,True
20,1,2,63,61,True
27,1,2,66,64,True
43,1,2,63,61,True
46,2,2,63,61,True
51,1,2,85,83,True
60,2,2,66,64,True
62,1,2,63,61,True
64,1,2,91,89,True
69,1,2,85,83,True
76,1,2,67,65,True
102,1,2,52,50,True
104,2,2,67,65,True
105,1,2,84,82,True
107,1,2,52,50,True
110,2,2,52,50,True
115,2,2,52,50,True
118,2,2,67,65,True
121,2,2,52,50,True
125,1,2,67,65,True
127,1,2,52,50,True
128,1,2,84,82,True
137,1,2,67,65,True
138,1,2,52,50,True
142,1,2,52,50,True
148,1,2,52,50,True
149,1,2,52,50,True
5,3,3,63,60,True
7,1,3,66,63,True
9,1,3,91,88,True
14,1,3,63,60,True
19,1,3,66,63,True
26,1,3,85,82,True
29,1,3,63,60,True
34,1,3,63,60,True
39,3,3,63,60,True
40,1,3,63,60,True
44,1,3,118,115,True
57,1,3,63,60,True
58,2,3,66,63,True
62,2,3,63,60,True
66,1,3,65,62,True
75,2,3,67,64,True
80,1,3,52,49,True
82,1,3,72,69,True
90,2,3,72,69,True
105,2,3,84,81,True
109,1,3,72,69,True
115,3,3,52,49,True
117,1,3,72,69,True
120,2,3,95,92,True
121,3,3,52,49,True
130,1,3,84,81,True
138,2,3,52,49,True
142,2,3,52,49,True
2,1,4,63,59,True
4,1,4,63,59,True
7,2,4,66,62,True
11,1,4,128,124,True
15,2,4,63,59,True
26,2,4,85,81,True
32,2,4,43,39,True
42,2,4,63,59,True
46,3,4,63,59,True
53,2,4,66,62,True
62,3,4,63,59,True
74,1,4,63,59,True
87,2,4,52,48,True
