source,version,generation_slot,completion_slot,delay,completed
1,1,0,78,78,True
4,1,0,78,78,True
5,1,0,90,90,True
7,1,0,78,78,True
8,1,0,78,78,True
11,1,0,90,90,True
12,1,0,78,78,True
16,1,0,78,78,True
25,1,0,78,78,True
26,1,0,78,78,True
32,1,0,78,78,True
34,1,0,90,90,True
35,1,0,90,90,True
39,1,0,78,78,True
40,1,0,102,102,True
41,1,0,102,102,True
44,1,0,62,62,True
45,1,0,102,102,True
48,1,0,102,102,True
50,1,0,36,36,True
51,1,0,102,102,True
53,1,0,62,62,True
65,1,0,102,102,True
77,1,0,102,102,True
0,1,1,78,77,True
8,2,1,78,77,True
24,1,1,78,77,True
29,1,1,78,77,True
34,2,1,90,89,True
37,1,1,90,89,True
41,2,1,102,101,True
42,1,1,102,101,True
43,1,1,102,101,True
44,2,1,62,61,True
48,2,1,102,101,True
51,2,1,102,101,True
55,1,1,102,101,True
56,1,1,102,101,True
57,1,1,102,101,True
68,1,1,102,101,True
70,1,1,102,101,True
71,1,1,102,101,True
79,1,1,62,61,True
1,2,2,78,76,True
6,1,2,78,76,True
9,1,2,78,76,True
14,1,2,78,76,True
15,1,2,90,88,True
18,1,2,36,34,True
21,1,2,78,76,True
28,1,2,78,76,True
36,1,2,90,88,True
39,2,2,78,76,True
42,2,2,102,100,True
48,3,2,102,100,True
51,3,2,102,100,True
54,1,2,36,34,True
56,2,2,102,100,True
59,1,2,62,60,True
62,1,2,102,100,True
75,1,2,62,60,True
76,1,2,102,100,True
77,2,2,102,100,True
2,1,3,78,75,True
6,2,3,78,75,True
10,1,3,78,75,True
11,2,3,90,87,True
12,2,3,78,75,True
16,2,3,78,75,True
30,1,3,78,75,True
34,3,3,90,87,True
40,2,3,102,99,True
41,3,3,102,99,True
42,3,3,102,99,True
49,1,3,117,114,True
51,4,3,102,99,True
54,2,3,36,33,True
63,1,3,102,99,True
65,2,3,102,99,True
70,2,3,102,99,True
76,2,3,102,99,True
77,3,3,102,99,True
1,3,4,78,74,True
4,2,4,78,74,True
10,2,4,78,74,True
11,3,4,90,86,True
12,3,4,78,74,True
15,2,4,90,86,True
24,2,4,78,74,True
36,2,4,90,86,True
45,2,4,102,98,True
46,1,4,102,98,True
47,1,4,102,98,True
51,5,4,102,98,True
57,2,4,102,98,True
58,1,4,78,74,True
68,2,4,102,98,True
74,1,4,102,98,True
76,3,4,102,98,True
6,3,5,78,73,True
24,3,5,78,73,True
28,2,5,78,73,True
30,2,5,78,73,True
31,1,5,78,73,True
35,2,5,90,85,True
41,4,5,102,97,True
48,4,5,102,97,True
52,1,5,102,97,True
61,1,5,102,97,True
73,1,5,102,97,True
77,4,5,102,97,True
4,3,6,78,72,True
5,2,6,90,84,True
6,4,6,78,72,True
8,3,6,78,72,True
11,4,6,90,84,True
20,1,6,78,72,True
25,2,6,104,98,True
29,2,6,78,72,True
32,2,6,78,72,True
33,1,6,78,72,True
