source,version,generation_slot,completion_slot,delay,completed
2,1,0,69,69,True
5,1,0,95,95,True
6,1,0,95,95,True
17,1,0,69,69,True
20,1,0,69,69,True
23,1,0,95,95,True
25,1,0,69,69,True
27,1,0,122,122,True
42,1,0,108,108,True
43,1,0,108,108,True
47,1,0,108,108,True
59,1,0,108,108,True
71,1,0,108,108,True
4,1,1,69,68,True
5,2,1,95,94,True
10,1,1,122,121,True
11,1,1,122,121,True
12,1,1,95,94,True
24,1,1,69,68,True
28,1,1,69,68,True
38,1,1,69,68,True
39,1,1,69,68,True
41,1,1,108,107,True
53,1,1,156,155,True
69,1,1,108,107,True
72,1,1,108,107,True
73,1,1,108,107,True
75,1,1,108,107,True
10,2,2,122,120,True
11,2,2,122,120,True
15,1,2,69,67,True
23,2,2,95,93,True
29,1,2,122,120,True
33,1,2,122,120,True
38,2,2,69,67,True
45,1,2,108,106,True
49,1,2,108,106,True
62,1,2,108,106,True
66,1,2,108,106,True
72,2,2,108,106,True
75,2,2,108,106,True
79,1,2,108,106,True
2,2,3,69,66,True
5,3,3,95,92,True
6,2,3,95,92,True
9,1,3,69,66,True
24,2,3,69,66,True
25,2,3,69,66,True
28,2,3,69,66,True
38,3,3,69,66,True
45,2,3,108,105,True
47,2,3,108,105,True
51,1,3,156,153,True
52,1,3,108,105,True
74,1,3,108,105,True
9,2,4,69,65,True
14,1,4,122,118,True
24,3,4,69,65,True
28,3,4,69,65,True
29,2,4,122,118,True
33,2,4,122,118,True
36,1,4,69,65,True
37,1,4,122,118,True
41,2,4,108,104,True
43,2,4,108,104,True
44,1,4,108,104,True
46,1,4,70,66,True
61,1,4,108,104,True
2,3,5,69,64,True
6,3,5,95,90,True
10,3,5,122,117,True
13,1,5,69,64,True
21,1,5,69,64,True
29,3,5,122,117,True
31,1,5,69,64,True
34,1,5,69,64,True
40,1,5,108,103,True
44,2,5,108,103,True
49,2,5,108,103,True
50,1,5,108,103,True
54,1,5,108,103,True
59,2,5,108,103,True
62,2,5,108,103,True
67,1,5,70,65,True
75,3,5,108,103,True
77,1,5,108,103,True
79,2,5,108,103,True
10,4,6,122,116,True
14,2,6,122,116,True
15,2,6,69,63,True
22,1,6,69,63,True
26,1,6,69,63,True
40,2,6,108,102,True
50,2,6,108,102,True
55,1,6,156,150,True
60,1,6,108,102,True
63,1,6,108,102,True
0,1,7,95,88,True
7,1,7,69,62,True
9,3,7,69,62,True
11,3,7,122,115,True
20,2,7,95,88,True
24,4,7,69,62,True
27,2,7,122,115,True
31,2,7,69,62,True
37,2,7,122,115,True
39,2,7,69,62,True
41,3,7,108,101,True
44,3,7,108,101,True
46,2,7,70,63,True
51,2,7,156,149,True
57,1,7,156,149,True
58,1,7,108,101,True
61,2,7,108,101,True
66,2,7,108,101,True
67,2,7,70,63,True
70,1,7,108,101,True
71,2,7,108,101,True
73,2,7,108,101,True
77,2,7,108,101,True
17,2,8,69,61,True
22,2,8,69,61,True
30,1,8,122,114,True
40,3,8,108,100,True
55,2,8,156,148,True
60,2,8,108,100,True
68,1,8,108,100,True
75,4,8,108,100,True
77,3,8,108,100,True
3,1,9,122,113,True
7,2,9,69,60,True
12,2,9,95,86,True
16,1,9,95,86,True
27,3,9,122,113,True
40,4,9,108,99,True
41,4,9,108,99,True
45,3,9,108,99,True
47,3,9,108,99,True
57,2,9,156,147,True
79,3,9,108,99,True
9,4,10,69,59,True
14,3,10,122,112,True
20,3,10,95,85,True
21,2,10,69,59,True
24,5,10,69,59,True
28,4,10,69,59,True
30,2,10,122,112,True
36,2,10,69,59,True
38,4,10,95,85,True
40,5,10,108,98,True
43,3,10,108,98,True
46,3,10,108,98,True
60,3,10,108,98,True
63,2,10,108,98,True
66,3,10,108,98,True
67,3,10,70,60,True
68,2,10,108,98,True
74,2,10,108,98,True
78,1,10,70,60,True
9,5,11,69,58,True
10,5,11,122,111,True
15,3,11,69,58,True
16,2,11,95,84,True
19,1,11,122,111,True
30,3,11,122,111,True
34,2,11,69,58,True
38,5,11,95,84,True
40,6,11,108,97,True
45,4,11,108,97,True
56,1,11,156,145,True
59,3,11,108,97,True
63,3,11,108,97,True
65,1,11,108,97,True
68,3,11,108,97,True
70,2,11,108,97,True
71,3,11,108,97,True
76,1,11,108,97,True
6,4,12,95,83,True
7,3,12,69,57,True
20,4,12,95,83,True
23,3,12,95,83,True
26,2,12,69,57,True
37,3,12,122,110,True
42,2,12,108,96,True
45,5,12,108,96,True
46,4,12,108,96,True
54,2,12,108,96,True
63,4,12,108,96,True
68,4,12,108,96,True
73,3,12,156,144,True
74,3,12,108,96,True
0,2,13,95,82,True
9,6,13,69,56,True
10,6,13,122,109,True
16,3,13,95,82,True
26,3,13,69,56,True
28,5,13,69,56,True
52,2,13,108,95,True
56,2,13,156,143,True
62,3,13,108,95,True
1,1,14,122,108,True
4,2,14,69,55,True
5,4,14,122,108,True
12,3,14,95,81,True
14,4,14,122,108,True
26,4,14,69,55,True
27,4,14,122,108,True
29,4,14,122,108,True
36,3,14,69,55,True
37,4,14,122,108,True
39,3,14,95,81,True
51,3,14,156,142,True
53,2,14,156,142,True
56,3,14,156,142,True
60,4,14,108,94,True
72,3,14,108,94,True
73,4,14,156,142,True
74,4,14,108,94,True
