source,version,generation_slot,completion_slot,delay,completed
1,1,0,138,138,True
8,1,0,94,94,True
16,1,0,60,60,True
25,1,0,60,60,True
32,1,0,60,60,True
34,1,0,138,138,True
35,1,0,138,138,True
39,1,0,94,94,True
40,1,0,60,60,True
50,1,0,68,68,True
53,1,0,68,68,True
4,1,1,60,59,True
17,1,1,94,93,True
21,1,1,60,59,True
24,1,1,94,93,True
28,1,1,138,137,True
31,1,1,60,59,True
35,2,1,138,137,True
36,1,1,60,59,True
51,1,1,51,50,True
69,1,1,156,155,True
74,1,1,156,155,True
75,1,1,63,62,True
81,1,1,63,62,True
88,1,1,68,67,True
96,1,1,63,62,True
2,1,2,60,58,True
11,1,2,138,136,True
14,1,2,94,92,True
22,1,2,94,92,True
35,3,2,138,136,True
36,2,2,60,58,True
46,1,2,94,92,True
50,2,2,156,154,True
52,1,2,156,154,True
56,1,2,156,154,True
80,1,2,68,66,True
89,1,2,156,154,True
5,1,3,138,135,True
21,2,3,94,91,True
24,2,3,94,91,True
30,1,3,94,91,True
56,2,3,156,153,True
66,1,3,156,153,True
67,1,3,156,153,True
71,1,3,63,60,True
77,1,3,68,65,True
88,2,3,156,153,True
96,2,3,63,60,True
35,4,4,138,134,True
73,1,4,156,152,True
84,1,4,156,152,True
91,1,4,156,152,True
0,1,5,60,55,True
5,2,5,138,133,True
13,1,5,138,133,True
21,3,5,138,133,True
32,2,5,60,55,True
34,2,5,138,133,True
36,3,5,138,133,True
37,1,5,55,50,True
42,1,5,94,89,True
47,1,5,60,55,True
51,2,5,68,63,True
54,1,5,68,63,True
55,1,5,68,63,True
57,1,5,68,63,True
62,1,5,68,63,True
66,2,5,156,151,True
81,2,5,68,63,True
82,1,5,156,151,True
86,1,5,68,63,True
87,1,5,156,151,True
5,3,6,138,132,True
7,1,6,138,132,True
27,1,6,68,62,True
31,2,6,138,132,True
34,3,6,138,132,True
36,4,6,138,132,True
83,1,6,68,62,True
88,3,6,156,150,True
13,2,7,138,131,True
14,2,7,94,87,True
35,5,7,138,131,True
41,1,7,94,87,True
45,1,7,60,53,True
53,2,7,156,149,True
63,1,7,68,61,True
71,2,7,68,61,True
73,2,7,156,149,True
88,4,7,156,149,True
2,2,8,94,86,True
7,2,8,138,130,True
12,1,8,55,47,True
16,2,8,94,86,True
21,4,8,138,130,True
30,2,8,94,86,True
31,3,8,138,130,True
49,1,8,60,52,True
65,1,8,156,148,True
81,3,8,68,60,True
7,3,9,138,129,True
8,2,9,138,129,True
17,2,9,138,129,True
30,3,9,94,85,True
32,3,9,94,85,True
34,4,9,138,129,True
35,6,9,138,129,True
46,2,9,94,85,True
76,1,9,68,59,True
89,2,9,156,147,True
91,2,9,156,147,True
8,3,10,138,128,True
9,1,10,94,84,True
12,2,10,63,53,True
22,2,10,94,84,True
23,1,10,94,84,True
33,1,10,138,128,True
41,2,10,94,84,True
44,1,10,138,128,True
57,2,10,68,58,True
58,1,10,156,146,True
60,1,10,68,58,True
61,1,10,156,146,True
65,2,10,156,146,True
73,3,10,156,146,True
76,2,10,68,58,True
91,3,10,156,146,True
