source,version,generation_slot,completion_slot,delay,completed
15,1,0,87,87,True
22,1,0,145,145,True
24,1,0,87,87,True
46,1,0,87,87,True
60,1,0,82,82,True
65,1,0,122,122,True
70,1,0,82,82,True
73,1,0,87,87,True
87,1,0,82,82,True
88,1,0,122,122,True
90,1,0,82,82,True
98,1,0,82,82,True
14,1,1,87,86,True
33,1,1,87,86,True
39,1,1,139,138,True
55,1,1,82,81,True
56,1,1,122,121,True
71,1,1,87,86,True
88,2,1,122,121,True
89,1,1,82,81,True
91,1,1,82,81,True
92,1,1,122,121,True
2,1,2,87,85,True
3,1,2,145,143,True
4,1,2,139,137,True
8,1,2,87,85,True
38,1,2,139,137,True
44,1,2,87,85,True
47,1,2,87,85,True
48,1,2,87,85,True
51,1,2,82,80,True
53,1,2,82,80,True
60,2,2,82,80,True
68,1,2,82,80,True
82,1,2,87,85,True
20,1,3,87,84,True
27,1,3,87,84,True
51,2,3,82,79,True
60,3,3,82,79,True
64,1,3,82,79,True
69,1,3,122,119,True
4,2,4,139,135,True
7,1,4,87,83,True
10,1,4,139,135,True
15,2,4,87,83,True
18,1,4,87,83,True
25,1,4,87,83,True
28,1,4,87,83,True
37,1,4,87,83,True
42,1,4,139,135,True
49,1,4,88,84,True
59,1,4,82,78,True
64,2,4,82,78,True
79,1,4,87,83,True
84,1,4,82,78,True
89,2,4,82,78,True
90,2,4,82,78,True
7,2,5,87,82,True
16,1,5,87,82,True
25,2,5,87,82,True
40,1,5,87,82,True
55,2,5,82,77,True
67,1,5,82,77,True
88,3,5,122,117,True
2,2,6,139,133,True
4,3,6,139,133,True
11,1,6,87,81,True
15,3,6,87,81,True
42,2,6,139,133,True
62,1,6,82,76,True
74,1,6,87,81,True
87,2,6,82,76,True
98,2,6,82,76,True
5,1,7,87,80,True
14,2,7,87,80,True
18,2,7,87,80,True
22,2,7,145,138,True
38,2,7,139,132,True
69,2,7,122,115,True
92,2,7,122,115,True
98,3,7,82,75,True
7,3,8,87,79,True
10,2,8,139,131,True
19,1,8,87,79,True
91,2,8,82,74,True
99,1,8,122,114,True
14,3,9,87,78,True
16,2,9,87,78,True
49,2,9,88,79,True
50,1,9,140,131,True
62,2,9,82,73,True
64,3,9,82,73,True
71,2,9,87,78,True
74,2,9,87,78,True
12,1,10,87,77,True
14,4,10,87,77,True
16,3,10,87,77,True
18,3,10,87,77,True
22,3,10,145,135,True
23,1,10,139,129,True
26,1,10,87,77,True
39,2,10,139,129,True
49,3,10,88,78,True
50,2,10,140,130,True
91,3,10,82,72,True
95,1,10,82,72,True
0,1,11,87,76,True
12,2,11,87,76,True
30,1,11,87,76,True
55,3,11,82,71,True
70,2,11,82,71,True
72,1,11,122,111,True
76,1,11,82,71,True
80,1,11,82,71,True
87,3,11,82,71,True
95,2,11,82,71,True
13,1,12,87,75,True
35,1,12,87,75,True
36,1,12,87,75,True
38,3,12,139,127,True
43,1,12,87,75,True
47,2,12,87,75,True
50,3,12,140,128,True
58,1,12,122,110,True
61,1,12,122,110,True
64,4,12,82,70,True
80,2,12,82,70,True
81,1,12,122,110,True
82,2,12,87,75,True
83,1,12,87,75,True
90,3,12,82,70,True
94,1,12,122,110,True
97,1,12,82,70,True
3,2,13,145,132,True
12,3,13,87,74,True
20,2,13,87,74,True
25,3,13,87,74,True
