source,version,generation_slot,completion_slot,delay,completed
0,1,0,74,74,True
2,1,0,74,74,True
5,1,0,133,133,True
6,1,0,133,133,True
8,1,0,74,74,True
11,1,0,74,74,True
12,1,0,74,74,True
14,1,0,74,74,True
17,1,0,116,116,True
20,1,0,74,74,True
23,1,0,74,74,True
25,1,0,74,74,True
27,1,0,74,74,True
35,1,0,74,74,True
39,1,0,74,74,True
42,1,0,74,74,True
43,1,0,74,74,True
47,1,0,74,74,True
56,1,0,62,62,True
57,1,0,62,62,True
58,1,0,58,58,True
59,1,0,69,69,True
60,1,0,88,88,True
71,1,0,62,62,True
73,1,0,34,34,True
76,1,0,88,88,True
79,1,0,69,69,True
81,1,0,62,62,True
82,1,0,69,69,True
84,1,0,74,74,True
85,1,0,58,58,True
87,1,0,58,58,True
90,1,0,94,94,True
91,1,0,62,62,True
92,1,0,58,58,True
94,1,0,62,62,True
95,1,0,62,62,True
1,1,1,74,73,True
4,1,1,116,115,True
8,2,1,74,73,True
9,1,1,74,73,True
10,1,1,74,73,True
12,2,1,74,73,True
18,1,1,133,132,True
19,1,1,74,73,True
21,1,1,74,73,True
24,1,1,133,132,True
33,1,1,133,132,True
35,2,1,74,73,True
36,1,1,74,73,True
38,1,1,74,73,True
40,1,1,74,73,True
44,1,1,74,73,True
45,1,1,74,73,True
47,2,1,74,73,True
49,1,1,116,115,True
52,1,1,135,134,True
53,1,1,58,57,True
55,1,1,62,61,True
64,1,1,58,57,True
66,1,1,47,46,True
70,1,1,58,57,True
71,2,1,62,61,True
73,2,1,34,33,True
75,1,1,62,61,True
76,2,1,88,87,True
80,1,1,47,46,True
83,1,1,94,93,True
84,2,1,74,73,True
86,1,1,185,184,True
87,2,1,58,57,True
89,1,1,88,87,True
90,2,1,94,93,True
93,1,1,62,61,True
97,1,1,47,46,True
98,1,1,64,63,True
2,2,2,74,72,True
5,2,2,133,131,True
7,1,2,74,72,True
8,3,2,74,72,True
9,2,2,74,72,True
14,2,2,74,72,True
21,2,2,74,72,True
22,1,2,74,72,True
24,2,2,133,131,True
26,1,2,74,72,True
27,2,2,74,72,True
32,1,2,116,114,True
35,3,2,74,72,True
39,2,2,74,72,True
41,1,2,74,72,True
42,2,2,74,72,True
43,2,2,74,72,True
45,2,2,74,72,True
46,1,2,74,72,True
49,2,2,116,114,True
50,1,2,88,86,True
58,2,2,58,56,True
61,1,2,58,56,True
64,2,2,58,56,True
65,1,2,58,56,True
67,1,2,58,56,True
68,1,2,62,60,True
70,2,2,58,56,True
73,3,2,34,32,True
74,1,2,62,60,True
76,3,2,88,86,True
77,1,2,88,86,True
78,1,2,58,56,True
82,2,2,69,67,True
83,2,2,94,92,True
84,3,2,74,72,True
85,2,2,58,56,True
87,3,2,58,56,True
91,2,2,62,60,True
92,2,2,58,56,True
93,2,2,62,60,True
98,2,2,64,62,True
1,2,3,74,71,True
2,3,3,74,71,True
3,1,3,116,113,True
4,2,3,116,113,True
5,3,3,133,130,True
10,2,3,74,71,True
13,1,3,74,71,True
14,3,3,74,71,True
22,2,3,74,71,True
24,3,3,133,130,True
29,1,3,74,71,True
32,2,3,116,113,True
34,1,3,133,130,True
36,2,3,74,71,True
38,2,3,74,71,True
43,3,3,74,71,True
44,2,3,74,71,True
46,2,3,74,71,True
48,1,3,74,71,True
49,3,3,116,113,True
53,2,3,58,55,True
54,1,3,58,55,True
55,2,3,62,59,True
56,2,3,62,59,True
57,2,3,62,59,True
58,3,3,58,55,True
61,2,3,58,55,True
63,1,3,58,55,True
64,3,3,58,55,True
66,2,3,58,55,True
68,2,3,62,59,True
77,2,3,88,85,True
81,2,3,62,59,True
87,4,3,58,55,True
90,3,3,94,91,True
93,3,3,62,59,True
94,2,3,62,59,True
96,1,3,58,55,True
97,2,3,47,44,True
99,1,3,69,66,True
0,2,4,74,70,True
1,3,4,74,70,True
2,4,4,74,70,True
6,2,4,133,129,True
9,3,4,74,70,True
10,3,4,74,70,True
11,2,4,74,70,True
13,2,4,74,70,True
14,4,4,74,70,True
16,1,4,74,70,True
18,2,4,133,129,True
21,3,4,74,70,True
29,2,4,74,70,True
31,1,4,74,70,True
34,2,4,133,129,True
38,3,4,74,70,True
40,2,4,74,70,True
44,3,4,74,70,True
49,4,4,116,112,True
50,2,4,88,84,True
54,2,4,58,54,True
58,4,4,58,54,True
59,2,4,69,65,True
60,2,4,88,84,True
62,1,4,74,70,True
66,3,4,58,54,True
67,2,4,58,54,True
70,3,4,58,54,True
71,3,4,62,58,True
75,2,4,88,84,True
76,4,4,88,84,True
77,3,4,88,84,True
79,2,4,69,65,True
86,2,4,185,181,True
87,5,4,58,54,True
90,4,4,94,90,True
94,3,4,62,58,True
95,2,4,62,58,True
97,3,4,47,43,True
2,5,5,74,69,True
6,3,5,133,128,True
11,3,5,74,69,True
14,5,5,74,69,True
16,2,5,74,69,True
18,3,5,133,128,True
20,2,5,74,69,True
22,3,5,133,128,True
29,3,5,74,69,True
30,1,5,74,69,True
31,2,5,74,69,True
33,2,5,133,128,True
35,4,5,74,69,True
40,3,5,74,69,True
43,4,5,74,69,True
47,3,5,74,69,True
60,3,5,88,83,True
61,3,5,58,53,True
67,3,5,58,53,True
69,1,5,69,64,True
71,4,5,62,57,True
79,3,5,69,64,True
80,2,5,47,42,True
81,3,5,62,57,True
82,3,5,69,64,True
83,3,5,94,89,True
84,4,5,74,69,True
87,6,5,88,83,True
88,1,5,58,53,True
