node_i,node_j,curvature,bottleneck_importance
0,2,0.125,0.0
0,10,0.08639705882352955,0.0
0,11,0.28308823529411764,0.0
0,12,0.3258928571428572,0.0
0,13,0.44444444444444475,0.0
0,19,0.2946428571428572,0.0
0,23,0.2812500000000002,0.0
0,27,0.4062500000000001,0.0
0,31,0.3958333333333335,0.0
0,33,0.04861111111111105,0.0
0,38,0.30000000000000016,0.0
0,39,0.3159722222222223,0.0
0,40,0.3124999999999999,0.0
0,44,0.17013888888888895,0.0
0,45,0.26682692307692324,0.0
0,49,0.3799342105263157,0.0
1,4,0.1875000000000001,0.0
1,6,0.13392857142857173,0.0
1,9,0.1499999999999999,0.0
1,18,-0.2875000000000001,0.4332191780821918
1,26,0.15909090909090917,0.0
1,41,0.1499999999999999,0.0
1,43,0.4642857142857144,0.0
1,47,-0.14583333333333348,0.21974885844748876
2,10,0.41727941176470584,0.0
2,13,0.18750000000000022,0.0
2,14,0.1875,0.0
2,15,0.2979166666666667,0.0
2,17,0.10576923076923095,0.0
2,20,-0.009615384615384581,0.014488935721812379
2,22,0.1339285714285715,0.0
2,23,0.3125,0.0
2,27,0.1875000000000001,0.0
2,31,0.02083333333333337,0.0
2,33,0.3472222222222222,0.0
2,35,-0.017857142857142794,0.026908023483365847
2,38,0.15416666666666679,0.0
2,39,0.02083333333333326,0.0
2,49,0.16118421052631593,0.0
3,15,0.1499999999999999,0.0
3,17,0.23461538461538467,0.0
3,20,0.09230769230769231,0.0
3,22,0.36428571428571443,0.0
3,23,0.0249999999999998,0.0
3,28,0.37857142857142834,0.0
3,29,0.19999999999999996,0.0
3,33,0.2055555555555556,0.0
3,45,-0.011538461538461275,0.01738672286617452
3,46,0.24999999999999978,0.0
4,6,0.33333333333333337,0.0
4,8,0.31547619047619035,0.0
4,9,0.41666666666666685,0.0
4,14,-0.3125,0.470890410958904
4,18,-0.2916666666666665,0.43949771689497685
4,24,0.2689393939393939,0.0
4,26,0.4734848484848486,0.0
4,32,0.33333333333333337,0.0
4,41,0.41666666666666685,0.0
4,43,0.1607142857142856,0.0
4,48,0.33333333333333326,0.0
5,16,0.04166666666666674,0.0
5,25,0.04166666666666674,0.0
5,47,-0.33333333333333326,0.5022831050228308
6,9,0.25,0.0
6,10,-0.32352941176470584,0.4875100725221594
6,14,-0.13392857142857117,0.20181017612524418
6,15,-0.40476190476190466,0.6099151989562945
6,18,-0.17857142857142838,0.2690802348336591
6,24,0.24675324675324695,0.0
6,26,0.29545454545454564,0.0
6,32,0.17857142857142838,0.0
6,35,-0.2857142857142858,0.4305283757338552
6,41,0.25,0.0
6,43,0.1071428571428572,0.0
6,48,0.17857142857142838,0.0
7,17,-0.0064102564102561654,0.009659290481207918
7,20,0.1794871794871794,0.0
7,29,0.18333333333333335,0.0
7,34,0.31666666666666654,0.0
7,35,0.19047619047619047,0.0
7,42,0.4833333333333333,0.0
8,9,0.3857142857142858,0.0
8,24,0.2987012987012987,0.0
8,26,0.35714285714285743,0.0
8,32,0.5,0.0
8,41,0.3857142857142858,0.0
8,48,0.5,0.0
9,24,0.2681818181818181,0.0
9,26,0.4727272727272729,0.0
9,32,0.4125000000000001,0.0
9,41,0.55,0.0
9,43,0.1857142857142856,0.0
9,48,0.4125000000000001,0.0
10,13,0.145424836601307,0.0
10,14,0.2738970588235293,0.0
10,15,0.32156862745098047,0.0
10,17,0.11312217194570107,0.0
10,18,0.0235294117647058,0.0
10,20,-0.002262443438914019,0.003409161346308795
10,22,0.11554621848739521,0.0
10,23,0.24411764705882344,0.0
10,27,0.1732026143790848,0.0
10,33,0.2663398692810457,0.0
10,35,0.025210084033613578,0.0
10,38,0.14313725490196083,0.0
10,39,0.009803921568627416,0.0
10,49,0.15015479876160964,0.0
11,12,0.35924369747899165,0.0
11,13,0.21895424836601318,0.0
11,18,-0.07647058823529385,0.11522965350523727
11,19,0.3928571428571431,0.0
11,21,0.20294117647058818,0.0
11,23,0.057352941176470384,0.0
11,27,0.24183006535947704,0.0
11,30,0.21657754010695196,0.0
11,31,0.3790849673202614,0.0
11,36,0.35784313725490235,0.0
11,37,0.14460784313725494,0.0
11,38,0.27843137254901973,0.0
11,39,0.43137254901960775,0.0
11,40,0.4411764705882353,0.0
11,44,0.29084967320261434,0.0
11,49,0.27399380804953544,0.0
12,13,0.27380952380952384,0.0
12,19,0.4642857142857143,0.0
12,21,0.17857142857142894,0.0
12,23,0.1071428571428572,0.0
12,27,0.24603174603174605,0.0
12,30,0.2012987012987012,0.0
12,31,0.38095238095238093,0.0
12,39,0.28968253968253976,0.0
12,40,0.4285714285714288,0.0
12,44,0.35317460317460303,0.0
12,45,0.17582417582417598,0.0
12,49,0.25187969924812026,0.0
13,15,0.027777777777778123,0.0
13,19,0.23809523809523836,0.0
13,22,-0.06349206349206327,0.09567297238530079
13,23,0.32499999999999996,0.0
13,27,0.41666666666666663,0.0
13,31,0.33333333333333326,0.0
13,33,0.11111111111111105,0.0
13,38,0.2611111111111114,0.0
13,39,0.2777777777777777,0.0
13,40,0.24836601307189554,0.0
13,44,0.11111111111111105,0.0
13,45,0.2841880341880345,0.0
13,49,0.3786549707602339,0.0
14,15,0.21458333333333335,0.0
14,17,0.03365384615384637,0.0
14,18,0.07499999999999996,0.0
14,20,0.021634615384615197,0.0
14,23,0.037499999999999645,0.0
14,24,-0.23011363636363602,0.34674657534246517
14,26,-0.35227272727272685,0.5308219178082184
14,27,-0.03125000000000022,0.04708904109589073
14,33,0.08680555555555536,0.0
14,35,0.08482142857142871,0.0
14,38,-0.014583333333333393,0.02197488584474894
14,49,-0.044407894736842035,0.06691600576784415
15,17,0.2974358974358976,0.0
15,20,0.18205128205128207,0.0
15,22,0.2880952380952382,0.0
15,23,0.1499999999999998,0.0
15,27,0.03333333333333344,0.0
15,29,0.08333333333333326,0.0
15,33,0.3500000000000003,0.0
15,35,0.17380952380952397,0.0
15,49,0.007017543859649478,0.0
16,25,0.625,0.0
16,37,-0.45833333333333304,0.6906392694063921
16,82,-0.29166666666666674,0.4394977168949772
17,20,0.3076923076923077,0.0
17,22,0.34065934065934056,0.0
17,23,0.0346153846153846,0.0
17,28,0.12637362637362637,0.0
17,29,0.2730769230769231,0.0
17,33,0.25213675213675224,0.0
17,35,0.23076923076923073,0.0
18,36,-0.06666666666666687,0.1004566210045665
18,37,-0.10833333333333339,0.16324200913242015
18,38,0.06666666666666665,0.0
18,39,-0.011111111111111072,0.01674277016742764
19,21,0.22857142857142898,0.0
19,27,0.2142857142857142,0.0
19,30,0.24675324675324695,0.0
19,31,0.365079365079365,0.0
19,36,0.27380952380952395,0.0
19,39,0.30952380952380953,0.0
19,40,0.43487394957983205,0.0
19,44,0.357142857142857,0.0
19,45,0.11538461538461542,0.0
19,49,0.22744360902255667,0.0
20,22,0.18681318681318693,0.0
20,29,0.32307692307692326,0.0
20,33,0.09188034188034178,0.0
20,34,0.08461538461538454,0.0
20,35,0.39835164835164827,0.0
20,42,0.1461538461538462,0.0
21,30,0.4954545454545455,0.0
21,36,0.21666666666666667,0.0
21,37,0.1000000000000002,0.0
21,39,0.15555555555555567,0.0
21,40,0.2029411764705883,0.0
