slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,13.704646464646464,30.0,25.0,30.0,27.33939393939394,35.166969696969694,15,55,13,461,3239,17.746,29.0,20.2932,30.0
51,13.823939393939394,30.0,25.0,30.0,27.604040404040404,35.5149494949495,18,61,17,409,2680,18.146,29.0,20.6036,30.0
52,13.871717171717172,31.0,26.0,30.0,27.842424242424244,35.763030303030305,14,64,14,437,2893,18.3752,29.0,20.9004,31.0
53,14.026868686868687,32.0,26.0,31.0,28.424242424242426,36.08737373737374,19,62,17,442,2820,18.312,30.0,21.2856,32.0
54,14.274848484848485,32.0,26.0,31.0,28.719191919191918,36.76262626262626,7,49,7,228,1307,18.4504,30.0,21.6456,32.0
55,14.293131313131314,32.0,27.0,31.0,28.995959595959597,36.96080808080808,15,54,14,508,3383,17.816,30.0,22.0456,32.0
56,14.471919191919191,33.0,27.0,31.0,29.391919191919193,37.31989898989899,19,58,16,401,2586,17.9544,30.0,22.5024,33.0
57,14.666969696969696,33.0,27.0,32.0,29.82020202020202,37.86848484848485,20,51,17,290,1831,17.9728,31.0,22.9824,33.0
58,14.86909090909091,33.0,28.0,33.0,30.163636363636364,38.24636363636364,20,57,17,349,2454,18.4728,31.0,23.336,33.0
59,15.098989898989899,34.0,28.0,34.0,30.737373737373737,38.76050505050505,21,49,17,262,1981,18.8928,31.0,23.7528,34.0
60,15.270909090909091,35.0,29.0,34.0,31.284848484848485,39.07131313131313,9,53,9,443,2654,19.142,31.0,24.2412,35.0
61,15.097373737373738,35.0,30.0,33.0,31.616161616161616,38.70141414141414,13,71,13,801,5678,19.008,32.0,24.1556,35.0
62,15.288282828282828,36.0,30.0,34.0,32.36767676767677,39.25333333333333,15,63,14,290,1773,19.2572,33.0,24.5156,36.0
63,15.468484848484849,36.0,30.0,34.0,32.7939393939394,39.675555555555555,10,48,10,354,2275,19.6972,34.0,24.8724,36.0
64,15.58020202020202,36.0,31.0,35.0,33.256565656565655,39.88171717171717,16,73,16,486,3250,19.8756,35.0,25.3008,36.0
65,15.725959595959596,36.0,31.0,35.0,33.55555555555556,40.277373737373736,17,65,17,358,2517,19.9432,35.0,25.6408,36.0
66,15.822222222222223,36.0,31.0,36.0,33.892929292929296,40.666969696969694,20,55,17,364,2512,20.1336,36.0,25.9176,36.0
67,15.962828282828283,37.0,32.0,36.0,34.35353535353536,41.14727272727273,13,53,12,367,2172,20.3428,36.0,26.2976,37.0
68,16.253333333333334,37.0,33.0,36.0,34.65050505050505,41.687777777777775,17,65,17,292,1777,20.7828,36.0,26.7976,37.0
69,16.214949494949494,38.0,33.0,37.0,35.23030303030303,41.6369696969697,15,62,14,617,4439,20.9212,37.0,27.2176,38.0
70,16.13020202020202,39.0,32.04999999999927,37.0,35.52929292929293,41.546565656565654,12,70,12,451,4502,21.0228,38.0,26.5704,39.0
71,16.43,39.0,33.04999999999927,37.01000000000022,36.05050505050505,42.29525252525252,16,54,15,184,992,21.5228,39.0,26.8704,39.0
72,16.223737373737375,40.0,34.0,38.0,36.38383838383838,41.90808080808081,12,57,12,722,5804,20.9672,39.0,26.928,40.0
73,16.0920202020202,41.0,35.0,39.0,37.09090909090909,41.73858585858586,12,61,12,715,4670,21.1824,39.0,27.288,41.0
74,16.135959595959594,42.0,34.0,39.0,37.36969696969697,41.876060606060605,11,57,11,468,3426,20.9876,40.0,27.728,42.0
75,16.25858585858586,43.0,35.0,39.0,37.63232323232323,42.44262626262626,21,56,19,281,1756,20.932,40.0,28.048,43.0
76,16.516565656565657,43.0,35.0,39.0,37.723232323232324,43.14545454545455,19,61,17,184,1109,21.292,40.0,28.428,43.0
77,16.523737373737372,43.0,36.0,40.0,38.064646464646465,43.086868686868684,20,61,18,397,4384,21.712,41.0,27.5384,43.0
78,15.893131313131313,43.0,36.0,41.0,38.1030303030303,41.526666666666664,12,62,12,992,10302,21.3336,41.0,25.864,43.0
79,16.012323232323233,44.0,36.0,41.0,38.61818181818182,41.89727272727273,18,54,16,395,2384,21.5276,42.0,26.264,44.0
80,16.14666666666667,44.0,36.0,42.0,38.888888888888886,42.246767676767675,13,65,13,321,2630,21.9028,43.0,26.2416,44.0
81,16.24131313131313,44.0,37.0,42.0,39.19595959595959,42.269090909090906,15,53,14,443,3815,22.3628,43.0,26.3992,44.0
82,16.076363636363638,45.0,36.0,43.0,39.494949494949495,41.986060606060605,16,67,14,530,5197,22.578,44.0,25.4296,45.0
83,16.33161616161616,45.0,36.0,43.0,39.795959595959594,42.50919191919192,11,71,10,309,1829,22.938,44.0,25.9496,45.0
84,16.282626262626263,45.0,37.0,43.0,39.83434343434343,42.33,20,59,19,478,4643,22.5844,44.0,25.7448,45.0
85,16.19959595959596,45.0,38.0,43.0,40.05858585858586,42.17888888888889,13,59,12,594,4386,22.312,44.0,26.0448,45.0
86,16.08252525252525,46.0,37.0,43.0,40.28888888888889,41.931111111111115,12,64,12,625,4921,22.188,44.0,25.72,46.0
87,16.235757575757575,46.0,38.0,43.0,40.68888888888889,42.48565656565656,26,53,22,275,1750,22.2772,44.0,26.06,46.0
88,15.267979797979798,46.0,37.0,42.0,40.31515151515151,40.37565656565656,13,65,13,1216,12452,21.0676,45.0,24.3056,46.0
89,15.466868686868686,47.0,38.0,42.0,40.92121212121212,40.76141414141414,12,70,12,405,2288,21.318,45.0,24.7056,47.0
90,15.007878787878788,47.0,36.0,42.0,40.395959595959596,39.56,12,54,11,830,8801,20.9444,45.0,23.324,47.0
91,15.273434343434344,47.0,36.0,43.0,40.88484848484848,40.13131313131313,7,38,7,260,1727,21.0148,45.0,23.744,47.0
92,15.18969696969697,47.0,37.0,44.0,41.02424242424242,39.945151515151515,19,59,17,614,4591,20.3584,46.0,24.164,47.0
93,15.24979797979798,47.0,36.0,44.0,40.94747474747475,40.20181818181818,14,48,14,338,2969,20.5312,47.0,23.8776,47.0
94,14.45,48.0,32.0,42.0,38.40808080808081,38.34777777777778,17,64,16,827,11581,20.7004,47.0,20.6848,48.0
95,13.98939393939394,48.0,30.0,41.0,35.89090909090909,37.37060606060606,22,54,18,759,7728,19.1304,48.0,20.4112,48.0
96,13.295050505050504,49.0,29.0,35.0,33.1979797979798,35.64464646464646,16,55,15,1116,10933,19.206,49.0,18.1544,49.0
97,13.361313131313132,45.0,28.0,33.0,31.464646464646464,35.67505050505051,16,57,13,410,3898,19.3952,45.0,17.9696,34.0
98,13.562727272727273,46.0,29.0,33.0,31.773737373737372,36.13060606060606,18,67,16,395,2164,19.5744,46.0,18.4696,34.0
99,13.90969696969697,46.0,29.0,34.0,32.31515151515151,37.025252525252526,20,51,16,94,426,19.8808,46.0,18.8896,34.0
100,14.10070707070707,46.0,29.0,34.0,32.696969696969695,37.347575757575754,16,63,16,346,2663,20.294,46.0,18.736,35.0
101,14.336868686868687,47.0,30.0,35.0,33.3050505050505,38.076868686868686,11,53,11,256,1127,20.6072,47.0,19.096,35.0
102,14.384444444444444,48.0,30.0,35.0,33.01616161616162,38.16232323232323,18,62,16,517,3588,20.6492,48.0,19.0736,36.0
103,14.634040404040404,48.0,30.049999999999272,35.0,33.57373737373737,38.905454545454546,19,49,16,170,994,20.9492,48.0,19.4736,37.0
104,14.818181818181818,49.0,30.0,36.0,33.78787878787879,39.316464646464645,17,64,15,316,2335,21.2824,49.0,19.5312,37.0
105,15.073131313131313,37.0,30.0,37.0,33.98383838383838,39.77808080808081,11,62,11,349,2030,21.6228,37.0,19.9312,37.0
106,15.351313131313132,38.0,30.0,37.0,34.464646464646464,40.52414141414141,24,55,21,161,1008,21.9828,38.0,20.3312,38.0
107,15.504343434343435,39.0,31.0,38.0,34.95959595959596,40.82888888888889,19,52,17,367,2742,22.396,39.0,20.3288,38.0
108,15.784646464646464,40.0,31.0,38.0,35.266666666666666,41.56484848484848,19,51,18,172,987,22.836,40.0,20.6488,39.0
109,15.965252525252525,40.0,32.0,39.0,35.51919191919192,42.187777777777775,23,54,22,229,1479,23.216,40.0,20.9288,39.0
110,15.767474747474747,40.0,32.0,38.0,35.29494949494949,41.58323232323232,17,59,15,793,6512,23.6492,40.0,19.6992,39.0
111,15.928080808080809,40.0,32.0,39.0,35.68888888888889,41.93030303030303,9,59,9,405,2568,24.0292,40.0,19.948,40.0
112,16.037979797979798,41.0,32.0,39.0,36.094949494949496,42.045353535353534,12,63,12,523,3466,24.3484,41.0,20.1768,41.0
113,16.25929292929293,42.0,32.0,40.0,36.73535353535353,42.20969696969697,9,55,9,439,3353,24.8616,42.0,20.7568,42.0
114,16.436161616161616,43.0,32.0,40.0,37.034343434343434,42.62353535353535,19,57,16,334,2308,25.3148,43.0,20.8856,43.0
115,16.483939393939394,44.0,32.0,40.0,36.87676767676768,42.77080808080808,16,68,15,492,3388,25.5544,43.0,20.9232,44.0
116,16.83131313131313,44.0,33.0,40.0,37.323232323232325,43.47494949494949,13,55,11,201,1115,26.0944,44.0,21.3032,44.0
117,16.58,45.0,32.0,40.0,37.04646464646465,42.97939393939394,14,61,14,662,5953,26.3876,44.0,21.0496,45.0
118,16.68838383838384,45.0,33.0,40.0,37.276767676767676,43.36737373737374,10,63,10,411,2392,26.714,44.0,21.3696,45.0
119,16.798686868686868,45.0,34.0,40.0,37.66262626262626,43.56292929292929,12,56,12,453,3165,26.8572,44.0,21.7496,45.0
120,16.75010101010101,46.0,34.0,41.0,37.41414141414141,43.27353535353535,13,55,13,657,5035,27.2504,44.0,21.4048,46.0
121,16.806868686868686,46.0,34.0,42.0,37.64646464646464,43.44373737373737,22,61,20,435,3299,27.59,44.0,21.5536,46.0
122,16.81979797979798,44.0,34.0,42.0,37.587878787878786,43.541717171717174,17,54,16,444,3535,27.97,44.0,21.28,36.0
123,17.004848484848484,45.0,35.0,42.0,37.981818181818184,43.9339393939394,13,61,10,359,2326,28.35,45.0,21.74,36.0
124,17.23959595959596,46.0,35.0,42.0,38.27878787878788,44.54818181818182,14,73,13,250,1438,28.69,46.0,22.16,36.0
125,17.493434343434345,47.0,35.0,42.0,38.670707070707074,45.306363636363635,17,43,11,171,952,29.05,47.0,22.5,36.0
126,17.675050505050503,47.0,35.0,42.0,38.96161616161616,45.52262626262626,14,59,14,405,3152,29.47,47.0,23.08,36.0
127,17.973939393939393,48.0,35.0,43.0,39.557575757575755,46.208888888888886,11,51,10,217,1298,29.91,48.0,23.5,37.0
128,17.91929292929293,48.0,35.0,44.0,39.85656565656566,45.96282828282828,17,63,17,518,4897,29.44,48.0,23.6052,38.0
129,18.1379797979798,49.0,36.0,44.0,40.107070707070704,46.555757575757575,18,51,17,221,1597,29.78,49.0,24.0252,39.0
130,18.346767676767676,49.0,36.0,45.0,40.292929292929294,47.11212121212121,20,50,18,285,1794,30.22,49.0,24.3652,39.0
131,18.3289898989899,49.0,37.0,45.0,40.717171717171716,47.095555555555556,18,63,16,428,4037,30.68,49.0,23.7408,39.0
132,18.328787878787878,50.0,37.0,45.0,41.0040404040404,47.2379797979798,16,68,16,414,3269,30.5728,50.0,24.1008,39.0
133,18.466666666666665,50.0,38.0,45.0,41.547474747474745,47.43040404040404,16,69,16,437,3288,31.1128,50.0,24.5008,39.0
134,18.451313131313132,51.0,38.0,45.0,41.92323232323233,47.39090909090909,15,71,15,538,4013,31.1628,51.0,24.9208,40.0
135,18.582727272727272,51.0,38.0,45.0,42.282828282828284,47.903939393939396,23,64,20,319,1966,31.5228,51.0,25.2208,41.0
136,18.756464646464647,51.0,39.0,45.0,42.83838383838384,48.40646464646465,13,61,12,326,2141,31.9028,51.0,25.5276,42.0
137,19.015656565656567,51.0,39.0,46.0,43.37979797979798,48.89070707070707,19,50,16,336,2087,32.3028,51.0,25.8812,43.0
138,18.853737373737374,52.0,40.0,47.0,43.85050505050505,48.467171717171716,12,48,12,547,5761,31.8424,52.0,25.74,43.0
139,19.035353535353536,53.0,40.0,48.0,44.18989898989899,48.93525252525252,12,51,11,296,2261,32.3024,53.0,26.1,43.0
140,19.34292929292929,53.0,40.0,48.0,44.52929292929293,49.594343434343436,12,64,12,255,1311,32.7092,53.0,26.56,44.0
141,19.6089898989899,53.0,41.0,49.0,45.1979797979798,50.18363636363637,13,55,12,233,1722,33.3292,53.0,26.82,45.0
142,19.048383838383838,53.0,42.0,49.0,45.14545454545455,49.10090909090909,18,66,17,837,8520,32.4492,53.0,27.06,45.0
143,18.983030303030304,54.0,41.0,47.030000000000655,45.26060606060606,48.74717171717172,14,68,14,561,5399,31.6892,54.0,27.54,45.0
144,18.222424242424243,54.0,42.0,48.02000000000044,45.70909090909091,46.97525252525252,16,45,14,724,11094,31.8684,54.0,24.288,46.0
145,18.41949494949495,54.0,42.0,49.01000000000022,45.965656565656566,47.45959595959596,11,54,9,263,2108,32.2284,54.0,24.34,46.0
146,18.08909090909091,55.0,42.0,49.0,46.12525252525253,46.60919191919192,17,58,16,616,7429,30.9736,55.0,24.372,46.0
147,18.06878787878788,55.0,41.0,50.0,46.21212121212121,46.54373737373737,21,69,20,432,4260,30.2904,55.0,24.772,46.0
148,17.4979797979798,55.0,41.0,49.0,45.58989898989899,45.40676767676768,13,53,12,729,8423,28.2548,55.0,24.972,46.0
149,17.438787878787878,56.0,41.0,49.0,45.531313131313134,45.52939393939394,14,58,14,378,3457,27.854,56.0,25.212,46.0
150,17.73959595959596,56.0,42.0,50.0,46.03838383838384,46.30919191919192,16,58,15,173,883,28.194,56.0,25.652,47.0
151,18.036565656565656,56.0,42.0,50.0,46.33535353535353,47.09444444444444,17,59,17,182,822,28.494,56.0,26.112,47.0
152,16.977777777777778,56.0,41.0,49.0,45.96363636363636,44.49919191919192,9,60,9,1098,14343,27.5008,56.0,23.5244,47.0
153,16.124444444444446,56.0,39.0,47.0,44.5010101010101,42.24232323232323,20,65,16,1015,12903,24.422,56.0,23.5964,48.0
154,16.263737373737374,57.0,39.0,47.0,44.474747474747474,42.46969696969697,23,60,19,299,3076,24.4712,57.0,23.6084,48.0
155,16.387070707070706,58.0,40.0,47.0,44.53939393939394,42.66262626262626,17,52,16,308,3135,24.5004,58.0,23.6204,48.0
156,16.683030303030304,59.0,40.0,48.0,45.02020202020202,43.25858585858586,14,67,13,281,1525,25.0004,59.0,24.0204,49.0
157,16.838686868686867,60.0,40.0,48.0,45.48080808080808,43.71454545454545,15,62,14,374,2122,25.1388,60.0,24.3804,50.0
158,16.816464646464645,61.0,41.0,49.0,45.779797979797976,43.56909090909091,18,55,16,432,4576,25.4988,61.0,23.6764,51.0
159,16.321616161616163,61.0,40.0,46.0,43.48888888888889,42.31878787878788,19,64,18,620,8859,23.274,61.0,24.1164,52.0
