source,version,generation_slot,completion_slot,delay,completed
5,1,0,93,93,True
8,1,0,57,57,True
14,1,0,93,93,True
15,1,0,93,93,True
18,1,0,93,93,True
19,1,0,93,93,True
21,1,0,93,93,True
22,1,0,93,93,True
23,1,0,93,93,True
24,1,0,93,93,True
31,1,0,235,235,True
35,1,0,93,93,True
39,1,0,93,93,True
42,1,0,93,93,True
44,1,0,93,93,True
46,1,0,93,93,True
47,1,0,57,57,True
48,1,0,93,93,True
51,1,0,56,56,True
55,1,0,56,56,True
59,1,0,90,90,True
60,1,0,90,90,True
61,1,0,90,90,True
65,1,0,56,56,True
66,1,0,90,90,True
70,1,0,90,90,True
72,1,0,90,90,True
73,1,0,56,56,True
75,1,0,90,90,True
77,1,0,90,90,True
79,1,0,56,56,True
80,1,0,90,90,True
82,1,0,56,56,True
85,1,0,41,41,True
87,1,0,90,90,True
88,1,0,90,90,True
89,1,0,90,90,True
90,1,0,90,90,True
93,1,0,56,56,True
94,1,0,90,90,True
98,1,0,90,90,True
0,1,1,57,56,True
2,1,1,93,92,True
4,1,1,93,92,True
8,2,1,57,56,True
9,1,1,93,92,True
10,1,1,93,92,True
13,1,1,93,92,True
14,2,1,93,92,True
17,1,1,93,92,True
19,2,1,93,92,True
20,1,1,57,56,True
21,2,1,93,92,True
24,2,1,93,92,True
33,1,1,93,92,True
35,2,1,93,92,True
37,1,1,93,92,True
38,1,1,57,56,True
39,2,1,93,92,True
40,1,1,93,92,True
43,1,1,57,56,True
44,2,1,93,92,True
46,2,1,93,92,True
47,2,1,57,56,True
52,1,1,56,55,True
53,1,1,57,56,True
55,2,1,56,55,True
56,1,1,90,89,True
58,1,1,90,89,True
59,2,1,90,89,True
62,1,1,90,89,True
63,1,1,56,55,True
71,1,1,57,56,True
73,2,1,56,55,True
74,1,1,56,55,True
82,2,1,56,55,True
83,1,1,56,55,True
84,1,1,56,55,True
86,1,1,56,55,True
87,2,1,90,89,True
88,2,1,90,89,True
89,2,1,90,89,True
90,2,1,90,89,True
91,1,1,90,89,True
92,1,1,90,89,True
93,2,1,56,55,True
94,2,1,90,89,True
98,2,1,90,89,True
0,2,2,57,55,True
2,2,2,93,91,True
3,1,2,93,91,True
4,2,2,93,91,True
6,1,2,57,55,True
8,3,2,57,55,True
9,2,2,93,91,True
11,1,2,57,55,True
12,1,2,93,91,True
16,1,2,57,55,True
27,1,2,57,55,True
28,1,2,93,91,True
30,1,2,93,91,True
32,1,2,93,91,True
36,1,2,57,55,True
38,2,2,93,91,True
41,1,2,93,91,True
44,3,2,93,91,True
45,1,2,235,233,True
47,3,2,57,55,True
48,2,2,93,91,True
51,2,2,56,54,True
52,2,2,56,54,True
53,2,2,57,55,True
55,3,2,56,54,True
60,2,2,90,88,True
62,2,2,90,88,True
63,2,2,56,54,True
65,2,2,56,54,True
66,2,2,90,88,True
68,1,2,90,88,True
74,2,2,56,54,True
76,1,2,56,54,True
77,2,2,90,88,True
80,2,2,90,88,True
82,3,2,56,54,True
90,3,2,90,88,True
93,3,2,56,54,True
96,1,2,90,88,True
97,1,2,90,88,True
98,3,2,90,88,True
2,3,3,93,90,True
6,2,3,57,54,True
8,4,3,93,90,True
10,2,3,93,90,True
18,2,3,93,90,True
20,2,3,57,54,True
23,2,3,93,90,True
25,1,3,57,54,True
27,2,3,57,54,True
29,1,3,93,90,True
35,3,3,93,90,True
38,3,3,93,90,True
43,2,3,57,54,True
46,3,3,93,90,True
48,3,3,93,90,True
51,3,3,56,53,True
53,3,3,57,54,True
60,3,3,90,87,True
62,3,3,90,87,True
64,1,3,57,54,True
67,1,3,57,54,True
69,1,3,90,87,True
72,2,3,90,87,True
73,3,3,56,53,True
76,2,3,56,53,True
79,2,3,57,54,True
90,4,3,90,87,True
98,4,3,90,87,True
0,3,4,57,53,True
2,4,4,93,89,True
3,2,4,93,89,True
4,3,4,93,89,True
5,2,4,93,89,True
7,1,4,93,89,True
10,3,4,93,89,True
13,2,4,93,89,True
15,2,4,93,89,True
17,2,4,93,89,True
18,3,4,93,89,True
21,3,4,93,89,True
25,2,4,57,53,True
27,3,4,57,53,True
28,2,4,93,89,True
32,2,4,93,89,True
33,2,4,93,89,True
36,2,4,57,53,True
37,2,4,93,89,True
38,4,4,93,89,True
42,2,4,93,89,True
47,4,4,57,53,True
