slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,14.21,30.0,25.0,27.0,26.2989898989899,35.80282828282828,15,72,15,279,1503,20.0428,30.0,19.0652,28.0
51,14.582828282828283,30.0,25.0,27.0,26.67676767676768,36.6659595959596,22,49,19,94,566,20.3828,30.0,19.5852,29.0
52,14.755555555555556,31.0,26.0,28.0,27.276767676767676,37.0410101010101,17,57,16,439,2448,20.8428,31.0,19.9652,30.0
53,14.932424242424242,31.0,26.0,28.0,27.53939393939394,37.40121212121212,16,65,15,434,2506,21.3228,31.0,20.2668,30.0
54,15.116363636363637,32.0,26.0,29.0,28.014141414141413,37.80040404040404,23,43,16,359,2535,21.3068,32.0,20.6884,31.0
55,15.318383838383838,32.0,27.0,30.0,28.35757575757576,38.25030303030303,20,66,20,388,2257,21.6968,32.0,21.1288,31.0
56,15.036868686868686,32.0,27.0,30.0,28.705050505050504,37.74808080808081,15,62,14,884,6351,20.7308,32.0,21.4288,32.0
57,15.317777777777778,33.0,27.0,30.0,29.09292929292929,38.52151515151515,18,68,17,191,882,21.1508,33.0,21.7488,33.0
58,15.242121212121212,34.0,27.0,30.0,29.363636363636363,38.25454545454546,17,64,17,758,5402,20.4428,34.0,22.1892,33.0
59,15.528888888888888,34.0,28.0,30.0,29.806060606060605,38.92414141414142,23,46,16,244,1319,20.8628,34.0,22.57,33.0
60,15.803333333333333,35.0,28.0,31.0,30.307070707070707,39.623636363636365,22,64,19,207,1243,21.2428,35.0,22.99,33.0
61,16.005656565656565,35.0,29.0,32.0,30.91919191919192,40.0620202020202,12,60,12,372,2353,21.2444,35.0,23.3904,34.0
62,15.71030303030303,36.0,29.0,32.0,31.20808080808081,39.54303030303031,18,60,17,724,6290,20.9168,36.0,23.6908,34.0
63,15.77040404040404,36.0,30.0,33.0,31.43232323232323,39.670707070707074,19,66,19,479,3662,20.8228,36.0,24.0116,34.0
