source,version,generation_slot,completion_slot,delay,completed
1,1,0,89,89,True
8,1,0,89,89,True
12,1,0,89,89,True
17,1,0,89,89,True
18,1,0,89,89,True
19,1,0,89,89,True
21,1,0,89,89,True
22,1,0,89,89,True
24,1,0,89,89,True
25,1,0,95,95,True
28,1,0,89,89,True
29,1,0,89,89,True
30,1,0,89,89,True
34,1,0,89,89,True
35,1,0,89,89,True
37,1,0,89,89,True
39,1,0,89,89,True
42,1,0,89,89,True
43,1,0,89,89,True
45,1,0,89,89,True
47,1,0,95,95,True
48,1,0,89,89,True
50,1,0,55,55,True
55,1,0,55,55,True
59,1,0,55,55,True
60,1,0,55,55,True
61,1,0,55,55,True
64,1,0,55,55,True
70,1,0,76,76,True
72,1,0,55,55,True
76,1,0,55,55,True
78,1,0,55,55,True
82,1,0,55,55,True
86,1,0,55,55,True
90,1,0,55,55,True
93,1,0,55,55,True
94,1,0,121,121,True
95,1,0,121,121,True
96,1,0,55,55,True
97,1,0,55,55,True
99,1,0,55,55,True
0,1,1,89,88,True
2,1,1,89,88,True
6,1,1,89,88,True
9,1,1,89,88,True
10,1,1,89,88,True
11,1,1,89,88,True
12,2,1,89,88,True
18,2,1,89,88,True
20,1,1,89,88,True
22,2,1,89,88,True
23,1,1,89,88,True
24,2,1,89,88,True
25,2,1,95,94,True
26,1,1,89,88,True
28,2,1,89,88,True
31,1,1,89,88,True
32,1,1,89,88,True
41,1,1,89,88,True
43,2,1,89,88,True
46,1,1,89,88,True
47,2,1,95,94,True
48,2,1,89,88,True
49,1,1,89,88,True
50,2,1,55,54,True
53,1,1,55,54,True
54,1,1,55,54,True
57,1,1,55,54,True
60,2,1,55,54,True
61,2,1,55,54,True
64,2,1,55,54,True
66,1,1,55,54,True
70,2,1,76,75,True
71,1,1,55,54,True
75,1,1,55,54,True
77,1,1,55,54,True
79,1,1,55,54,True
82,2,1,55,54,True
90,2,1,55,54,True
91,1,1,121,120,True
93,2,1,55,54,True
95,2,1,121,120,True
96,2,1,55,54,True
99,2,1,55,54,True
3,1,2,89,87,True
4,1,2,89,87,True
5,1,2,95,93,True
6,2,2,89,87,True
11,2,2,89,87,True
13,1,2,89,87,True
14,1,2,89,87,True
15,1,2,89,87,True
17,2,2,89,87,True
19,2,2,89,87,True
22,3,2,89,87,True
23,2,2,89,87,True
27,1,2,89,87,True
30,2,2,89,87,True
32,2,2,89,87,True
36,1,2,89,87,True
40,1,2,89,87,True
41,2,2,89,87,True
43,3,2,89,87,True
44,1,2,89,87,True
46,2,2,89,87,True
47,3,2,95,93,True
50,3,2,55,53,True
51,1,2,55,53,True
58,1,2,55,53,True
59,2,2,55,53,True
62,1,2,55,53,True
65,1,2,55,53,True
66,2,2,55,53,True
69,1,2,55,53,True
74,1,2,55,53,True
78,2,2,55,53,True
79,2,2,55,53,True
80,1,2,55,53,True
81,1,2,55,53,True
82,3,2,55,53,True
83,1,2,55,53,True
84,1,2,55,53,True
85,1,2,55,53,True
90,3,2,55,53,True
93,3,2,55,53,True
94,2,2,121,119,True
97,2,2,55,53,True
98,1,2,55,53,True
4,2,3,89,86,True
10,2,3,89,86,True
13,2,3,89,86,True
14,2,3,89,86,True
16,1,3,95,92,True
17,3,3,89,86,True
18,3,3,89,86,True
20,2,3,89,86,True
21,2,3,89,86,True
26,2,3,89,86,True
30,3,3,89,86,True
31,2,3,89,86,True
32,3,3,89,86,True
34,2,3,89,86,True
38,1,3,89,86,True
41,3,3,89,86,True
42,2,3,89,86,True
47,4,3,95,92,True
49,2,3,89,86,True
50,4,3,55,52,True
51,2,3,55,52,True
54,2,3,55,52,True
55,2,3,55,52,True
56,1,3,55,52,True
57,2,3,55,52,True
58,2,3,55,52,True
59,3,3,55,52,True
60,3,3,55,52,True
62,2,3,55,52,True
66,3,3,55,52,True
69,2,3,55,52,True
76,2,3,55,52,True
79,3,3,55,52,True
80,2,3,55,52,True
81,2,3,55,52,True
87,1,3,55,52,True
93,4,3,55,52,True
94,3,3,121,118,True
95,3,3,121,118,True
96,3,3,55,52,True
97,3,3,55,52,True
0,2,4,89,85,True
5,2,4,95,91,True
10,3,4,89,85,True
11,3,4,89,85,True
12,3,4,89,85,True
13,3,4,89,85,True
15,2,4,89,85,True
16,2,4,95,91,True
21,3,4,89,85,True
25,3,4,95,91,True
27,2,4,89,85,True
30,4,4,89,85,True
33,1,4,89,85,True
34,3,4,89,85,True
35,2,4,89,85,True
36,2,4,89,85,True
39,2,4,89,85,True
